Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-10,Puducherry,Karaikal,1,0,0,0,
2020-05-11,Puducherry,Karaikal,1,0,0,0,
2020-05-12,Puducherry,Karaikal,1,0,0,0,
2020-05-13,Puducherry,Karaikal,1,0,0,0,
2020-05-14,Puducherry,Karaikal,1,0,0,0,
2020-05-15,Puducherry,Karaikal,1,0,0,0,
2020-05-16,Puducherry,Karaikal,2,0,0,0,
2020-05-17,Puducherry,Karaikal,2,0,0,0,
2020-05-18,Puducherry,Karaikal,2,0,0,0,
2020-05-19,Puducherry,Karaikal,2,1,0,0,
2020-05-20,Puducherry,Karaikal,2,1,0,0,
2020-05-21,Puducherry,Karaikal,2,1,0,0,
2020-05-22,Puducherry,Karaikal,2,1,0,0,
2020-05-23,Puducherry,Karaikal,2,1,0,0,
2020-05-24,Puducherry,Karaikal,2,2,0,0,
2020-05-25,Puducherry,Karaikal,2,2,0,0,
2020-05-26,Puducherry,Karaikal,2,2,0,0,
2020-05-27,Puducherry,Karaikal,2,2,0,0,
2020-05-28,Puducherry,Karaikal,2,2,0,0,
2020-05-29,Puducherry,Karaikal,2,2,0,0,
2020-05-30,Puducherry,Karaikal,2,2,0,0,
2020-05-31,Puducherry,Karaikal,2,2,0,0,
2020-06-01,Puducherry,Karaikal,2,2,0,0,
2020-06-02,Puducherry,Karaikal,2,2,0,0,
2020-06-03,Puducherry,Karaikal,2,2,0,0,
2020-06-04,Puducherry,Karaikal,2,2,0,0,
2020-06-05,Puducherry,Karaikal,2,2,0,0,
2020-06-06,Puducherry,Karaikal,2,2,0,0,
2020-06-07,Puducherry,Karaikal,2,2,0,0,
2020-06-08,Puducherry,Karaikal,2,2,0,0,
2020-06-09,Puducherry,Karaikal,2,2,0,0,
2020-06-10,Puducherry,Karaikal,2,2,0,0,
2020-06-11,Puducherry,Karaikal,2,2,0,0,
2020-06-12,Puducherry,Karaikal,3,2,0,0,
2020-06-13,Puducherry,Karaikal,3,2,0,0,
2020-06-14,Puducherry,Karaikal,4,2,0,0,
2020-06-15,Puducherry,Karaikal,4,2,0,0,
2020-06-16,Puducherry,Karaikal,6,2,0,0,
2020-06-17,Puducherry,Karaikal,8,2,0,0,
2020-06-18,Puducherry,Karaikal,8,2,0,0,
2020-06-19,Puducherry,Karaikal,9,2,0,0,
2020-06-20,Puducherry,Karaikal,10,2,0,0,
2020-06-21,Puducherry,Karaikal,10,2,0,0,
2020-06-22,Puducherry,Karaikal,10,3,0,0,
2020-06-23,Puducherry,Karaikal,14,3,0,0,
2020-06-24,Puducherry,Karaikal,14,3,0,0,
2020-06-25,Puducherry,Karaikal,21,3,0,0,
2020-06-26,Puducherry,Karaikal,24,3,0,0,
2020-06-27,Puducherry,Karaikal,39,3,0,0,
