Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-29,Punjab,Bathinda,2,0,0,0,
2020-04-30,Punjab,Bathinda,2,0,0,0,
2020-05-01,Punjab,Bathinda,2,0,0,0,
2020-05-02,Punjab,Bathinda,2,0,0,0,
2020-05-03,Punjab,Bathinda,35,0,0,0,
2020-05-04,Punjab,Bathinda,36,0,0,0,
2020-05-05,Punjab,Bathinda,36,0,0,0,
2020-05-06,Punjab,Bathinda,37,0,0,0,
2020-05-07,Punjab,Bathinda,39,0,0,0,
2020-05-08,Punjab,Bathinda,40,0,0,0,
2020-05-09,Punjab,Bathinda,40,0,0,0,
2020-05-10,Punjab,Bathinda,40,0,0,0,
2020-05-11,Punjab,Bathinda,40,0,0,0,
2020-05-12,Punjab,Bathinda,40,0,0,0,
2020-05-13,Punjab,Bathinda,40,0,0,0,
2020-05-14,Punjab,Bathinda,40,0,0,0,
2020-05-15,Punjab,Bathinda,41,0,0,0,
2020-05-16,Punjab,Bathinda,41,26,0,0,
2020-05-17,Punjab,Bathinda,41,37,0,0,
2020-05-18,Punjab,Bathinda,41,37,0,0,
2020-05-19,Punjab,Bathinda,41,37,0,0,
2020-05-20,Punjab,Bathinda,41,37,0,0,
2020-05-21,Punjab,Bathinda,41,37,0,0,
2020-05-22,Punjab,Bathinda,41,41,0,0,
2020-05-23,Punjab,Bathinda,42,41,0,0,
2020-05-24,Punjab,Bathinda,42,41,0,0,
2020-05-25,Punjab,Bathinda,42,41,0,0,
2020-05-26,Punjab,Bathinda,42,41,0,0,
2020-05-27,Punjab,Bathinda,42,41,0,0,
2020-05-28,Punjab,Bathinda,42,41,0,0,
2020-05-29,Punjab,Bathinda,42,41,0,0,
2020-05-30,Punjab,Bathinda,47,43,0,0,
2020-05-31,Punjab,Bathinda,47,43,0,0,
2020-06-01,Punjab,Bathinda,49,43,0,0,3137.0
2020-06-02,Punjab,Bathinda,49,43,0,0,3316.0
2020-06-03,Punjab,Bathinda,50,43,0,0,3424.0
2020-06-04,Punjab,Bathinda,53,45,0,0,3578.0
2020-06-05,Punjab,Bathinda,54,45,0,0,3723.0
2020-06-06,Punjab,Bathinda,55,45,0,0,3723.0
2020-06-07,Punjab,Bathinda,55,45,0,0,4010.0
2020-06-08,Punjab,Bathinda,55,45,0,0,4313.0
2020-06-09,Punjab,Bathinda,55,45,0,0,4275.0
2020-06-10,Punjab,Bathinda,55,50,0,0,4275.0
