Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Punjab,Faridkot,3,1,0,0,
2020-04-27,Punjab,Faridkot,3,1,0,0,
2020-04-28,Punjab,Faridkot,3,1,0,0,
2020-04-29,Punjab,Faridkot,6,1,0,0,
2020-04-30,Punjab,Faridkot,6,2,0,0,
2020-05-01,Punjab,Faridkot,6,2,0,0,
2020-05-02,Punjab,Faridkot,6,2,0,0,
2020-05-03,Punjab,Faridkot,6,1,0,0,
2020-05-04,Punjab,Faridkot,18,2,0,0,
2020-05-05,Punjab,Faridkot,45,2,0,0,
2020-05-06,Punjab,Faridkot,45,2,0,0,
2020-05-07,Punjab,Faridkot,45,3,0,0,
2020-05-08,Punjab,Faridkot,45,3,0,0,
2020-05-09,Punjab,Faridkot,45,3,0,0,
2020-05-10,Punjab,Faridkot,45,3,0,0,
2020-05-11,Punjab,Faridkot,46,3,0,0,
2020-05-12,Punjab,Faridkot,46,3,0,0,
2020-05-13,Punjab,Faridkot,46,4,0,0,
2020-05-14,Punjab,Faridkot,46,4,0,0,
2020-05-15,Punjab,Faridkot,52,4,0,0,
2020-05-16,Punjab,Faridkot,55,5,0,0,
2020-05-17,Punjab,Faridkot,59,39,0,0,
2020-05-18,Punjab,Faridkot,61,39,0,0,
2020-05-19,Punjab,Faridkot,61,45,0,0,
2020-05-20,Punjab,Faridkot,61,45,0,0,
2020-05-21,Punjab,Faridkot,61,45,0,0,
2020-05-22,Punjab,Faridkot,61,45,0,0,
2020-05-23,Punjab,Faridkot,61,49,0,0,
2020-05-24,Punjab,Faridkot,61,50,0,0,
2020-05-25,Punjab,Faridkot,61,60,0,0,
2020-05-26,Punjab,Faridkot,62,61,0,0,
2020-05-27,Punjab,Faridkot,62,61,0,0,
2020-05-28,Punjab,Faridkot,62,61,0,0,
2020-05-29,Punjab,Faridkot,62,61,0,0,
2020-05-30,Punjab,Faridkot,62,61,0,0,
2020-05-31,Punjab,Faridkot,62,61,0,0,
2020-06-01,Punjab,Faridkot,62,61,0,0,4685.0
2020-06-02,Punjab,Faridkot,63,61,0,0,4827.0
2020-06-03,Punjab,Faridkot,66,61,0,0,5028.0
2020-06-04,Punjab,Faridkot,66,61,0,0,5238.0
2020-06-05,Punjab,Faridkot,67,61,0,0,5400.0
2020-06-06,Punjab,Faridkot,69,61,0,0,5400.0
2020-06-07,Punjab,Faridkot,72,61,0,0,5634.0
2020-06-08,Punjab,Faridkot,74,61,0,0,5881.0
2020-06-09,Punjab,Faridkot,73,61,0,0,5801.0
2020-06-10,Punjab,Faridkot,86,61,0,0,5801.0
2020-06-11,Punjab,Faridkot,86,66,0,0,5801.0
2020-06-12,Punjab,Faridkot,86,66,0,0,5801.0
2020-06-13,Punjab,Faridkot,86,66,0,0,5801.0
2020-06-14,Punjab,Faridkot,86,66,0,0,5801.0
2020-06-15,Punjab,Faridkot,87,73,0,0,5801.0
2020-06-16,Punjab,Faridkot,88,73,0,0,5801.0
2020-06-17,Punjab,Faridkot,89,73,0,0,5801.0
2020-06-18,Punjab,Faridkot,89,73,0,0,7148.0
2020-06-19,Punjab,Faridkot,94,73,0,0,7349.0
2020-06-20,Punjab,Faridkot,94,73,0,0,7349.0
2020-06-21,Punjab,Faridkot,95,73,0,0,8043.0
2020-06-22,Punjab,Faridkot,98,73,0,0,8198.0
2020-06-23,Punjab,Faridkot,99,87,0,0,8410.0
2020-06-24,Punjab,Faridkot,100,87,0,0,8410.0
2020-06-25,Punjab,Faridkot,101,87,0,0,8830.0
2020-06-26,Punjab,Faridkot,101,87,0,0,8905.0
2020-06-27,Punjab,Faridkot,101,87,0,0,9015.0
2020-06-28,Punjab,Faridkot,103,87,0,0,9015.0
2020-06-29,Punjab,Faridkot,106,88,0,0,9015.0
2020-06-30,Punjab,Faridkot,106,88,0,0,9015.0
2020-07-01,Punjab,Faridkot,108,88,0,0,9477.0
2020-07-02,Punjab,Faridkot,110,99,0,0,9611.0
2020-07-03,Punjab,Faridkot,111,99,0,0,9611.0
2020-07-04,Punjab,Faridkot,111,99,0,0,10045.0
2020-07-05,Punjab,Faridkot,119,100,0,0,10192.0
2020-07-06,Punjab,Faridkot,127,100,0,0,10192.0
2020-07-07,Punjab,Faridkot,128,100,0,0,10475.0
2020-07-08,Punjab,Faridkot,146,101,0,0,10861.0
2020-07-09,Punjab,Faridkot,148,108,0,0,11003.0
2020-07-10,Punjab,Faridkot,149,108,0,0,11100.0
2020-07-11,Punjab,Faridkot,152,108,0,0,11215.0
