Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Punjab,Fatehgarh Sahib,2,2,0,0,
2020-04-27,Punjab,Fatehgarh Sahib,2,2,0,0,
2020-04-28,Punjab,Fatehgarh Sahib,2,2,0,0,
2020-04-29,Punjab,Fatehgarh Sahib,2,2,0,0,
2020-04-30,Punjab,Fatehgarh Sahib,2,2,0,0,
2020-05-01,Punjab,Fatehgarh Sahib,3,2,0,0,
2020-05-02,Punjab,Fatehgarh Sahib,9,2,0,0,
2020-05-03,Punjab,Fatehgarh Sahib,16,2,0,0,
2020-05-04,Punjab,Fatehgarh Sahib,16,2,0,0,
2020-05-05,Punjab,Fatehgarh Sahib,16,2,0,0,
2020-05-06,Punjab,Fatehgarh Sahib,19,2,0,0,
2020-05-07,Punjab,Fatehgarh Sahib,20,2,0,0,
2020-05-08,Punjab,Fatehgarh Sahib,24,2,0,0,
2020-05-09,Punjab,Fatehgarh Sahib,29,2,0,0,
2020-05-10,Punjab,Fatehgarh Sahib,37,2,0,0,
2020-05-11,Punjab,Fatehgarh Sahib,48,2,0,0,
2020-05-12,Punjab,Fatehgarh Sahib,56,2,0,0,
2020-05-13,Punjab,Fatehgarh Sahib,56,2,0,0,
2020-05-14,Punjab,Fatehgarh Sahib,56,2,0,0,
2020-05-15,Punjab,Fatehgarh Sahib,56,2,0,0,
2020-05-16,Punjab,Fatehgarh Sahib,56,10,0,0,
2020-05-17,Punjab,Fatehgarh Sahib,56,10,0,0,
2020-05-18,Punjab,Fatehgarh Sahib,56,46,0,0,
2020-05-19,Punjab,Fatehgarh Sahib,56,46,0,0,
2020-05-20,Punjab,Fatehgarh Sahib,56,54,0,0,
2020-05-21,Punjab,Fatehgarh Sahib,56,54,0,0,
2020-05-22,Punjab,Fatehgarh Sahib,57,56,0,0,
2020-05-23,Punjab,Fatehgarh Sahib,57,57,0,0,
2020-05-24,Punjab,Fatehgarh Sahib,57,57,0,0,
2020-05-25,Punjab,Fatehgarh Sahib,57,57,0,0,
2020-05-26,Punjab,Fatehgarh Sahib,57,57,0,0,
2020-05-27,Punjab,Fatehgarh Sahib,57,57,0,0,
2020-05-28,Punjab,Fatehgarh Sahib,57,57,0,0,
2020-05-29,Punjab,Fatehgarh Sahib,57,57,0,0,
2020-05-30,Punjab,Fatehgarh Sahib,58,57,0,0,
2020-05-31,Punjab,Fatehgarh Sahib,58,57,0,0,
2020-06-01,Punjab,Fatehgarh Sahib,63,57,0,0,4159.0
2020-06-02,Punjab,Fatehgarh Sahib,64,57,0,0,4319.0
2020-06-03,Punjab,Fatehgarh Sahib,64,57,0,0,4506.0
2020-06-04,Punjab,Fatehgarh Sahib,64,57,0,0,4744.0
2020-06-05,Punjab,Fatehgarh Sahib,65,57,0,0,4930.0
2020-06-06,Punjab,Fatehgarh Sahib,69,57,0,0,4930.0
2020-06-07,Punjab,Fatehgarh Sahib,70,57,0,0,5220.0
2020-06-08,Punjab,Fatehgarh Sahib,70,58,0,0,5437.0
2020-06-09,Punjab,Fatehgarh Sahib,70,63,0,0,5433.0
2020-06-10,Punjab,Fatehgarh Sahib,73,64,0,0,5433.0
2020-06-11,Punjab,Fatehgarh Sahib,73,64,0,0,5433.0
2020-06-12,Punjab,Fatehgarh Sahib,73,65,0,0,5433.0
2020-06-13,Punjab,Fatehgarh Sahib,74,69,0,0,5433.0
2020-06-14,Punjab,Fatehgarh Sahib,76,69,0,0,5433.0
2020-06-15,Punjab,Fatehgarh Sahib,77,70,0,0,5433.0
2020-06-16,Punjab,Fatehgarh Sahib,78,70,0,0,5433.0
2020-06-17,Punjab,Fatehgarh Sahib,81,72,0,0,5433.0
2020-06-18,Punjab,Fatehgarh Sahib,83,72,0,0,7402.0
2020-06-19,Punjab,Fatehgarh Sahib,85,72,0,0,7569.0
2020-06-20,Punjab,Fatehgarh Sahib,87,74,0,0,7569.0
2020-06-21,Punjab,Fatehgarh Sahib,88,74,0,0,8101.0
2020-06-22,Punjab,Fatehgarh Sahib,90,76,0,0,8173.0
2020-06-23,Punjab,Fatehgarh Sahib,100,76,0,0,8415.0
2020-06-24,Punjab,Fatehgarh Sahib,101,80,0,0,8415.0
2020-06-25,Punjab,Fatehgarh Sahib,101,80,0,0,8816.0
2020-06-26,Punjab,Fatehgarh Sahib,107,82,1,0,9056.0
2020-06-27,Punjab,Fatehgarh Sahib,107,83,0,0,9391.0
2020-06-28,Punjab,Fatehgarh Sahib,110,85,0,0,9391.0
2020-06-29,Punjab,Fatehgarh Sahib,111,86,0,0,9391.0
2020-06-30,Punjab,Fatehgarh Sahib,120,95,0,0,9391.0
2020-07-01,Punjab,Fatehgarh Sahib,120,95,0,0,10094.0
2020-07-02,Punjab,Fatehgarh Sahib,121,95,0,0,10369.0
2020-07-03,Punjab,Fatehgarh Sahib,121,101,0,0,10369.0
2020-07-04,Punjab,Fatehgarh Sahib,122,101,0,0,10687.0
2020-07-05,Punjab,Fatehgarh Sahib,123,104,0,0,10860.0
2020-07-06,Punjab,Fatehgarh Sahib,127,104,0,0,10860.0
2020-07-07,Punjab,Fatehgarh Sahib,131,104,1,0,11251.0
2020-07-08,Punjab,Fatehgarh Sahib,131,114,1,0,11570.0
2020-07-09,Punjab,Fatehgarh Sahib,139,118,1,0,11802.0
2020-07-10,Punjab,Fatehgarh Sahib,142,118,2,0,12125.0
2020-07-11,Punjab,Fatehgarh Sahib,144,118,2,0,12375.0
2020-07-12,Punjab,Fatehgarh Sahib,146,120,2,0,12375.0
2020-07-13,Punjab,Fatehgarh Sahib,166,122,2,0,12757.0
2020-07-14,Punjab,Fatehgarh Sahib,173,125,2,0,13038.0
2020-07-15,Punjab,Fatehgarh Sahib,178,127,2,0,13400.0
2020-07-16,Punjab,Fatehgarh Sahib,192,130,2,0,13687.0
2020-07-17,Punjab,Fatehgarh Sahib,192,139,2,0,13687.0
2020-07-18,Punjab,Fatehgarh Sahib,196,139,2,0,13687.0
2020-07-19,Punjab,Fatehgarh Sahib,201,144,2,0,13687.0
2020-07-20,Punjab,Fatehgarh Sahib,217,163,2,0,13687.0
2020-07-21,Punjab,Fatehgarh Sahib,225,169,2,0,13687.0
2020-07-22,Punjab,Fatehgarh Sahib,244,173,2,0,13687.0
2020-07-23,Punjab,Fatehgarh Sahib,258,182,2,0,13687.0
2020-07-24,Punjab,Fatehgarh Sahib,264,186,2,0,13687.0
2020-07-25,Punjab,Fatehgarh Sahib,276,191,2,0,13687.0
2020-07-26,Punjab,Fatehgarh Sahib,286,195,2,0,13687.0
2020-07-27,Punjab,Fatehgarh Sahib,298,210,2,0,13687.0
2020-07-28,Punjab,Fatehgarh Sahib,302,216,2,0,13687.0
2020-07-29,Punjab,Fatehgarh Sahib,333,216,2,0,13687.0
