Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Punjab,Hoshiarpur,7,5,1,0,
2020-04-27,Punjab,Hoshiarpur,7,5,1,0,
2020-04-28,Punjab,Hoshiarpur,8,5,1,0,
2020-04-29,Punjab,Hoshiarpur,11,5,1,0,
2020-04-30,Punjab,Hoshiarpur,11,5,1,0,
2020-05-01,Punjab,Hoshiarpur,11,5,1,0,
2020-05-02,Punjab,Hoshiarpur,42,6,1,0,
2020-05-03,Punjab,Hoshiarpur,88,6,1,0,
2020-05-04,Punjab,Hoshiarpur,88,6,1,0,
2020-05-05,Punjab,Hoshiarpur,88,6,2,0,
2020-05-06,Punjab,Hoshiarpur,89,6,2,0,
2020-05-07,Punjab,Hoshiarpur,89,6,3,0,
2020-05-08,Punjab,Hoshiarpur,89,6,3,0,
2020-05-09,Punjab,Hoshiarpur,90,6,4,0,
2020-05-10,Punjab,Hoshiarpur,90,6,4,0,
2020-05-11,Punjab,Hoshiarpur,91,6,4,0,
2020-05-12,Punjab,Hoshiarpur,91,6,4,0,
2020-05-13,Punjab,Hoshiarpur,92,6,4,0,
2020-05-14,Punjab,Hoshiarpur,92,6,4,0,
2020-05-15,Punjab,Hoshiarpur,92,6,4,0,
2020-05-16,Punjab,Hoshiarpur,92,85,4,0,
2020-05-17,Punjab,Hoshiarpur,92,85,4,0,
2020-05-18,Punjab,Hoshiarpur,95,85,5,0,
2020-05-19,Punjab,Hoshiarpur,95,88,5,0,
2020-05-20,Punjab,Hoshiarpur,95,88,5,0,
2020-05-21,Punjab,Hoshiarpur,102,88,5,0,
2020-05-22,Punjab,Hoshiarpur,102,88,5,0,
2020-05-23,Punjab,Hoshiarpur,102,88,5,0,
2020-05-24,Punjab,Hoshiarpur,106,88,5,0,
2020-05-25,Punjab,Hoshiarpur,106,88,5,0,
2020-05-26,Punjab,Hoshiarpur,110,88,5,0,
2020-05-27,Punjab,Hoshiarpur,110,88,5,0,
2020-05-28,Punjab,Hoshiarpur,114,88,5,0,
2020-05-29,Punjab,Hoshiarpur,114,88,5,0,
2020-05-30,Punjab,Hoshiarpur,116,88,5,0,
2020-05-31,Punjab,Hoshiarpur,120,93,5,0,
2020-06-01,Punjab,Hoshiarpur,128,100,5,0,2802.0
2020-06-02,Punjab,Hoshiarpur,128,112,5,0,2973.0
