Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Punjab,Jalandhar,78,7,3,0,
2020-04-27,Punjab,Jalandhar,78,7,3,0,
2020-04-28,Punjab,Jalandhar,85,7,3,0,
2020-04-29,Punjab,Jalandhar,86,7,3,0,
2020-04-30,Punjab,Jalandhar,89,8,4,0,
2020-05-01,Punjab,Jalandhar,105,8,4,0,
2020-05-02,Punjab,Jalandhar,120,8,4,0,
2020-05-03,Punjab,Jalandhar,124,8,4,0,
2020-05-04,Punjab,Jalandhar,128,8,4,0,
2020-05-05,Punjab,Jalandhar,134,8,4,0,
2020-05-06,Punjab,Jalandhar,135,8,5,0,
2020-05-07,Punjab,Jalandhar,147,8,5,0,
2020-05-08,Punjab,Jalandhar,158,8,5,0,
2020-05-09,Punjab,Jalandhar,175,13,5,0,
2020-05-10,Punjab,Jalandhar,175,18,5,0,
2020-05-11,Punjab,Jalandhar,188,18,5,0,
2020-05-12,Punjab,Jalandhar,197,20,5,0,
2020-05-13,Punjab,Jalandhar,198,20,5,0,
2020-05-14,Punjab,Jalandhar,205,29,5,0,
2020-05-15,Punjab,Jalandhar,205,33,5,0,
2020-05-16,Punjab,Jalandhar,207,115,5,0,
2020-05-17,Punjab,Jalandhar,207,133,5,0,
2020-05-18,Punjab,Jalandhar,209,150,5,0,
2020-05-19,Punjab,Jalandhar,209,156,5,0,
2020-05-20,Punjab,Jalandhar,210,160,6,0,
2020-05-21,Punjab,Jalandhar,210,173,6,0,
2020-05-22,Punjab,Jalandhar,210,180,6,0,
2020-05-23,Punjab,Jalandhar,213,190,6,0,
2020-05-24,Punjab,Jalandhar,214,190,6,0,
2020-05-25,Punjab,Jalandhar,220,193,6,0,
2020-05-26,Punjab,Jalandhar,230,196,6,0,
2020-05-27,Punjab,Jalandhar,230,196,6,0,
2020-05-28,Punjab,Jalandhar,233,209,6,0,
2020-05-29,Punjab,Jalandhar,241,209,6,0,
2020-05-30,Punjab,Jalandhar,241,209,7,0,
2020-05-31,Punjab,Jalandhar,245,209,7,0,
2020-06-01,Punjab,Jalandhar,246,209,7,0,8269.0
2020-06-02,Punjab,Jalandhar,257,209,7,0,8562.0
2020-06-03,Punjab,Jalandhar,260,209,8,0,8948.0
2020-06-04,Punjab,Jalandhar,262,216,8,0,9349.0
2020-06-05,Punjab,Jalandhar,270,216,8,0,9766.0
2020-06-06,Punjab,Jalandhar,270,216,8,0,9766.0
2020-06-07,Punjab,Jalandhar,293,220,8,0,10473.0
2020-06-08,Punjab,Jalandhar,307,230,8,0,10845.0
2020-06-09,Punjab,Jalandhar,311,230,8,0,10652.0
2020-06-10,Punjab,Jalandhar,312,239,8,0,10652.0
2020-06-11,Punjab,Jalandhar,316,248,9,0,10652.0
2020-06-12,Punjab,Jalandhar,319,252,10,0,10652.0
2020-06-13,Punjab,Jalandhar,323,252,10,0,10652.0
2020-06-14,Punjab,Jalandhar,324,255,10,0,10652.0
2020-06-15,Punjab,Jalandhar,347,255,10,0,10652.0
2020-06-16,Punjab,Jalandhar,378,255,10,0,10652.0
2020-06-17,Punjab,Jalandhar,409,301,10,0,10652.0
2020-06-18,Punjab,Jalandhar,410,302,12,0,16273.0
2020-06-19,Punjab,Jalandhar,489,302,14,0,17518.0
2020-06-20,Punjab,Jalandhar,536,302,14,0,17518.0
2020-06-21,Punjab,Jalandhar,543,302,14,0,19945.0
2020-06-22,Punjab,Jalandhar,564,302,14,0,19560.0
2020-06-23,Punjab,Jalandhar,602,315,14,0,19838.0
2020-06-24,Punjab,Jalandhar,645,315,18,0,19838.0
2020-06-25,Punjab,Jalandhar,668,315,18,0,20534.0
2020-06-26,Punjab,Jalandhar,668,315,18,0,21352.0
2020-06-27,Punjab,Jalandhar,686,315,19,0,21896.0
2020-06-28,Punjab,Jalandhar,704,350,20,0,21896.0
2020-06-29,Punjab,Jalandhar,712,371,20,0,21896.0
2020-06-30,Punjab,Jalandhar,738,411,21,0,21896.0
2020-07-01,Punjab,Jalandhar,743,411,21,0,22896.0
2020-07-02,Punjab,Jalandhar,755,511,21,0,23255.0
2020-07-03,Punjab,Jalandhar,774,537,21,0,23255.0
2020-07-04,Punjab,Jalandhar,834,537,21,0,24469.0
2020-07-05,Punjab,Jalandhar,841,565,21,0,24998.0
2020-07-06,Punjab,Jalandhar,925,565,21,0,24998.0
2020-07-07,Punjab,Jalandhar,941,565,21,0,26258.0
2020-07-08,Punjab,Jalandhar,1016,676,22,0,27050.0
2020-07-09,Punjab,Jalandhar,1048,676,22,0,27804.0
2020-07-10,Punjab,Jalandhar,1110,676,23,0,28462.0
2020-07-11,Punjab,Jalandhar,1187,676,25,0,29201.0
2020-07-12,Punjab,Jalandhar,1223,676,25,0,29201.0
2020-07-13,Punjab,Jalandhar,1276,764,28,0,30075.0
2020-07-14,Punjab,Jalandhar,1345,764,28,0,30848.0
2020-07-15,Punjab,Jalandhar,1437,764,31,0,31691.0
2020-07-16,Punjab,Jalandhar,1467,886,33,0,32526.0
2020-07-17,Punjab,Jalandhar,1545,886,33,0,32526.0
2020-07-18,Punjab,Jalandhar,1616,886,33,0,32526.0
2020-07-19,Punjab,Jalandhar,1676,886,33,0,32526.0
2020-07-20,Punjab,Jalandhar,1703,1041,33,0,32526.0
2020-07-21,Punjab,Jalandhar,1736,1151,33,0,32526.0
2020-07-22,Punjab,Jalandhar,1772,1196,35,0,32526.0
2020-07-23,Punjab,Jalandhar,1832,1196,36,0,32526.0
2020-07-24,Punjab,Jalandhar,1908,1196,36,0,32526.0
2020-07-25,Punjab,Jalandhar,1937,1196,37,0,32526.0
2020-07-26,Punjab,Jalandhar,2009,1196,38,0,32526.0
2020-07-27,Punjab,Jalandhar,2058,1196,39,0,32526.0
2020-07-28,Punjab,Jalandhar,2112,1622,39,0,32526.0
2020-07-29,Punjab,Jalandhar,2157,1686,49,0,32526.0
2020-07-30,Punjab,Jalandhar,2225,1701,52,0,32526.0
2020-07-31,Punjab,Jalandhar,2249,1701,53,0,32526.0
2020-08-01,Punjab,Jalandhar,2411,1701,54,0,32526.0
