Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Punjab,Ludhiana,18,4,4,0,
2020-04-27,Punjab,Ludhiana,18,6,4,0,
2020-04-28,Punjab,Ludhiana,18,6,4,0,
2020-04-29,Punjab,Ludhiana,29,6,4,0,
2020-04-30,Punjab,Ludhiana,63,6,4,0,
2020-05-01,Punjab,Ludhiana,76,6,4,0,
2020-05-02,Punjab,Ludhiana,97,6,4,0,
2020-05-03,Punjab,Ludhiana,111,6,4,0,
2020-05-04,Punjab,Ludhiana,110,6,5,0,
2020-05-05,Punjab,Ludhiana,124,6,5,0,
2020-05-06,Punjab,Ludhiana,124,8,5,0,
2020-05-07,Punjab,Ludhiana,125,8,5,0,
2020-05-08,Punjab,Ludhiana,125,8,5,0,
2020-05-09,Punjab,Ludhiana,125,8,6,0,
2020-05-10,Punjab,Ludhiana,125,8,6,0,
2020-05-11,Punjab,Ludhiana,127,8,6,0,
2020-05-12,Punjab,Ludhiana,143,8,6,0,
2020-05-13,Punjab,Ludhiana,148,8,6,0,
2020-05-14,Punjab,Ludhiana,151,8,6,0,
2020-05-15,Punjab,Ludhiana,136,8,6,0,
2020-05-16,Punjab,Ludhiana,139,29,6,0,
2020-05-17,Punjab,Ludhiana,144,29,7,0,
2020-05-18,Punjab,Ludhiana,150,29,7,0,
2020-05-19,Punjab,Ludhiana,169,29,7,0,
2020-05-20,Punjab,Ludhiana,169,117,7,0,
2020-05-21,Punjab,Ludhiana,171,117,7,0,
2020-05-22,Punjab,Ludhiana,172,117,7,0,
2020-05-23,Punjab,Ludhiana,173,117,7,0,
2020-05-24,Punjab,Ludhiana,173,135,7,0,
2020-05-25,Punjab,Ludhiana,173,135,7,0,
2020-05-26,Punjab,Ludhiana,175,135,7,0,
2020-05-27,Punjab,Ludhiana,176,135,7,0,
2020-05-28,Punjab,Ludhiana,176,135,7,0,
2020-05-29,Punjab,Ludhiana,180,135,8,0,
2020-05-30,Punjab,Ludhiana,180,147,9,0,
2020-05-31,Punjab,Ludhiana,189,151,9,0,
2020-06-01,Punjab,Ludhiana,197,151,8,0,9040.0
2020-06-02,Punjab,Ludhiana,201,151,9,0,9644.0
2020-06-03,Punjab,Ludhiana,201,151,9,0,10253.0
2020-06-04,Punjab,Ludhiana,206,152,9,0,10922.0
2020-06-05,Punjab,Ludhiana,222,155,9,0,11352.0
2020-06-06,Punjab,Ludhiana,232,155,9,0,11352.0
2020-06-07,Punjab,Ludhiana,242,155,10,0,12765.0
2020-06-08,Punjab,Ludhiana,251,160,10,0,13433.0
2020-06-09,Punjab,Ludhiana,266,160,10,0,13426.0
2020-06-10,Punjab,Ludhiana,277,174,10,0,13426.0
2020-06-11,Punjab,Ludhiana,295,174,10,0,13426.0
2020-06-12,Punjab,Ludhiana,307,175,10,0,13426.0
2020-06-13,Punjab,Ludhiana,333,175,10,0,13426.0
2020-06-14,Punjab,Ludhiana,354,175,10,0,13426.0
2020-06-15,Punjab,Ludhiana,387,175,10,0,13426.0
2020-06-16,Punjab,Ludhiana,409,175,11,0,13426.0
2020-06-17,Punjab,Ludhiana,449,175,11,0,13426.0
2020-06-18,Punjab,Ludhiana,470,175,13,0,23286.0
2020-06-19,Punjab,Ludhiana,489,175,13,0,24412.0
2020-06-20,Punjab,Ludhiana,496,175,14,0,24412.0
2020-06-21,Punjab,Ludhiana,550,175,14,0,27397.0
2020-06-22,Punjab,Ludhiana,581,241,16,0,27905.0
2020-06-23,Punjab,Ludhiana,615,392,18,0,29167.0
2020-06-24,Punjab,Ludhiana,642,433,18,0,29167.0
2020-06-25,Punjab,Ludhiana,663,446,19,0,31088.0
2020-06-26,Punjab,Ludhiana,730,446,19,0,32260.0
2020-06-27,Punjab,Ludhiana,742,446,19,0,33412.0
2020-06-28,Punjab,Ludhiana,781,446,20,0,33412.0
2020-06-29,Punjab,Ludhiana,795,570,20,0,33412.0
2020-06-30,Punjab,Ludhiana,840,570,21,0,33412.0
2020-07-01,Punjab,Ludhiana,880,570,22,0,36894.0
2020-07-02,Punjab,Ludhiana,917,570,22,0,38064.0
2020-07-03,Punjab,Ludhiana,971,570,24,0,38064.0
2020-07-04,Punjab,Ludhiana,1017,570,24,0,40413.0
2020-07-05,Punjab,Ludhiana,1079,570,24,0,41306.0
2020-07-06,Punjab,Ludhiana,1104,570,27,0,41306.0
2020-07-07,Punjab,Ludhiana,1182,570,28,0,42800.0
2020-07-08,Punjab,Ludhiana,1194,611,29,0,43721.0
2020-07-09,Punjab,Ludhiana,1248,611,30,0,44539.0
2020-07-10,Punjab,Ludhiana,1287,611,30,0,45564.0
2020-07-11,Punjab,Ludhiana,1316,611,31,0,46589.0
2020-07-12,Punjab,Ludhiana,1376,888,31,0,46589.0
2020-07-13,Punjab,Ludhiana,1441,888,31,0,48246.0
2020-07-14,Punjab,Ludhiana,1520,888,34,0,49235.0
2020-07-15,Punjab,Ludhiana,1581,1011,35,0,50579.0
2020-07-16,Punjab,Ludhiana,1632,1095,39,0,51916.0
2020-07-17,Punjab,Ludhiana,1695,1095,41,0,51916.0
2020-07-18,Punjab,Ludhiana,1767,1095,42,0,51916.0
2020-07-19,Punjab,Ludhiana,1843,1095,46,0,51916.0
2020-07-20,Punjab,Ludhiana,1926,1239,47,0,51916.0
2020-07-21,Punjab,Ludhiana,1989,1309,48,0,51916.0
2020-07-22,Punjab,Ludhiana,2059,1315,49,0,51916.0
2020-07-23,Punjab,Ludhiana,2138,1315,49,0,51916.0
2020-07-24,Punjab,Ludhiana,2182,1514,50,0,51916.0
2020-07-25,Punjab,Ludhiana,2327,1514,54,0,51916.0
2020-07-26,Punjab,Ludhiana,2415,1696,59,0,51916.0
2020-07-27,Punjab,Ludhiana,2591,1751,64,0,51916.0
2020-07-28,Punjab,Ludhiana,2724,1751,70,0,51916.0
2020-07-29,Punjab,Ludhiana,2819,1919,79,0,51916.0
2020-07-30,Punjab,Ludhiana,2962,1919,83,0,51916.0
2020-07-31,Punjab,Ludhiana,3211,1973,89,0,51916.0
2020-08-01,Punjab,Ludhiana,3377,2125,99,0,51916.0
2020-08-02,Punjab,Ludhiana,3524,2125,107,0,51916.0
2020-08-03,Punjab,Ludhiana,3714,2269,115,0,51916.0
2020-08-04,Punjab,Ludhiana,3935,2460,122,0,51916.0
2020-08-05,Punjab,Ludhiana,4236,2460,131,0,51916.0
2020-08-06,Punjab,Ludhiana,4426,2821,144,0,51916.0
2020-08-07,Punjab,Ludhiana,4720,2821,152,0,51916.0
2020-08-08,Punjab,Ludhiana,4888,3075,164,0,51916.0
2020-08-09,Punjab,Ludhiana,5203,3165,173,0,51916.0
2020-08-10,Punjab,Ludhiana,5448,3165,178,0,51916.0
2020-08-11,Punjab,Ludhiana,5701,3681,189,0,51916.0
2020-08-12,Punjab,Ludhiana,5930,3871,202,0,51916.0
2020-08-13,Punjab,Ludhiana,6146,4031,209,0,51916.0
2020-08-14,Punjab,Ludhiana,6438,4031,216,0,51916.0
2020-08-15,Punjab,Ludhiana,6560,4304,228,0,95709.0
2020-08-16,Punjab,Ludhiana,6874,4398,242,0,98368.0
2020-08-17,Punjab,Ludhiana,7094,4549,256,0,101098.0
2020-08-18,Punjab,Ludhiana,7577,4761,264,0,101098.0
2020-08-19,Punjab,Ludhiana,8012,4761,271,0,101098.0
2020-08-20,Punjab,Ludhiana,8410,4761,281,0,110027.0
2020-08-21,Punjab,Ludhiana,8580,4761,289,0,110027.0
2020-08-22,Punjab,Ludhiana,8932,4761,304,0,116330.0
2020-08-23,Punjab,Ludhiana,9170,5944,313,0,116330.0
2020-08-24,Punjab,Ludhiana,9147,6451,324,0,121270.0
2020-08-25,Punjab,Ludhiana,9322,6638,335,0,121270.0
2020-08-26,Punjab,Ludhiana,9794,6881,347,0,121270.0
2020-08-27,Punjab,Ludhiana,10147,6881,352,0,121270.0
2020-08-28,Punjab,Ludhiana,10237,7370,363,0,121270.0
2020-08-29,Punjab,Ludhiana,10509,7577,380,0,150755.0
2020-08-30,Punjab,Ludhiana,10777,7927,395,0,150755.0
2020-08-31,Punjab,Ludhiana,10884,8079,413,0,150755.0
2020-09-01,Punjab,Ludhiana,10950,8261,426,0,165538.0
2020-09-02,Punjab,Ludhiana,11160,8608,444,0,169670.0
2020-09-03,Punjab,Ludhiana,11310,8749,460,0,169670.0
2020-09-04,Punjab,Ludhiana,11494,8994,474,0,169670.0
2020-09-05,Punjab,Ludhiana,11702,9240,486,0,169670.0
2020-09-06,Punjab,Ludhiana,11863,9472,499,0,169670.0
2020-09-07,Punjab,Ludhiana,12201,9754,509,0,169670.0
2020-09-08,Punjab,Ludhiana,12512,9894,522,0,169670.0
2020-09-09,Punjab,Ludhiana,12752,10208,535,0,169670.0
2020-09-10,Punjab,Ludhiana,12847,10443,546,0,169670.0
2020-09-11,Punjab,Ludhiana,12995,10633,558,0,169670.0
2020-09-12,Punjab,Ludhiana,13262,10832,572,0,169670.0
2020-09-13,Punjab,Ludhiana,13499,11342,577,0,169670.0
2020-09-14,Punjab,Ludhiana,13806,11738,588,0,169670.0
2020-09-15,Punjab,Ludhiana,14176,11990,607,0,169670.0
2020-09-16,Punjab,Ludhiana,14738,12651,622,0,169670.0
2020-09-17,Punjab,Ludhiana,15251,12719,634,0,169670.0
2020-09-18,Punjab,Ludhiana,15715,13221,646,0,169670.0
2020-09-19,Punjab,Ludhiana,16027,13558,658,0,169670.0
2020-09-20,Punjab,Ludhiana,16239,13981,663,0,169670.0
2020-09-21,Punjab,Ludhiana,16484,14351,668,0,169670.0
2020-09-22,Punjab,Ludhiana,16599,14380,677,0,169670.0
2020-09-23,Punjab,Ludhiana,16780,14583,688,0,169670.0
2020-09-24,Punjab,Ludhiana,16986,14739,695,0,169670.0
2020-09-25,Punjab,Ludhiana,17156,15033,702,0,169670.0
2020-09-26,Punjab,Ludhiana,17326,15355,708,0,169670.0
2020-09-27,Punjab,Ludhiana,17477,15572,717,0,169670.0
2020-09-28,Punjab,Ludhiana,17615,15785,723,0,169670.0
2020-09-29,Punjab,Ludhiana,17795,15900,735,0,169670.0
2020-09-30,Punjab,Ludhiana,17958,16163,741,0,169670.0
2020-10-01,Punjab,Ludhiana,18088,16352,744,0,169670.0
2020-10-02,Punjab,Ludhiana,18203,16559,750,0,169670.0
2020-10-03,Punjab,Ludhiana,18333,16702,760,0,169670.0
2020-10-04,Punjab,Ludhiana,18502,16872,770,0,169670.0
2020-10-05,Punjab,Ludhiana,18659,17070,778,0,169670.0
2020-10-06,Punjab,Ludhiana,18739,17274,782,0,169670.0
2020-10-07,Punjab,Ludhiana,18853,17444,788,0,169670.0
2020-10-08,Punjab,Ludhiana,18942,17555,790,0,169670.0
2020-10-09,Punjab,Ludhiana,19040,17659,791,0,169670.0
2020-10-10,Punjab,Ludhiana,19083,17800,794,0,169670.0
2020-10-11,Punjab,Ludhiana,19174,17885,799,0,169670.0
2020-10-12,Punjab,Ludhiana,19236,17983,802,0,169670.0
2020-10-13,Punjab,Ludhiana,19339,18053,806,0,169670.0
2020-10-14,Punjab,Ludhiana,19403,18181,809,0,169670.0
2020-10-15,Punjab,Ludhiana,19484,18279,812,0,169670.0
2020-10-16,Punjab,Ludhiana,19552,18382,817,0,169670.0
2020-10-17,Punjab,Ludhiana,19606,18446,818,0,169670.0
2020-10-18,Punjab,Ludhiana,19673,18499,819,0,169670.0
2020-10-19,Punjab,Ludhiana,19701,18606,820,0,169670.0
2020-10-20,Punjab,Ludhiana,19747,18654,821,0,169670.0
2020-10-21,Punjab,Ludhiana,19794,18691,825,0,169670.0
2020-10-22,Punjab,Ludhiana,19837,18731,825,0,169670.0
2020-10-23,Punjab,Ludhiana,19890,18731,828,0,169670.0
2020-10-24,Punjab,Ludhiana,19967,18879,828,0,169670.0
2020-10-25,Punjab,Ludhiana,20022,18945,829,0,169670.0
2020-10-26,Punjab,Ludhiana,20046,19008,830,0,169670.0
2020-10-27,Punjab,Ludhiana,20096,19026,832,0,169670.0
