Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Punjab,Mansa,13,3,0,0,
2020-04-27,Punjab,Mansa,13,3,0,0,
2020-04-28,Punjab,Mansa,13,3,0,0,
2020-04-29,Punjab,Mansa,13,3,0,0,
2020-04-30,Punjab,Mansa,13,3,0,0,
2020-05-01,Punjab,Mansa,13,4,0,0,
2020-05-02,Punjab,Mansa,13,4,0,0,
2020-05-03,Punjab,Mansa,16,4,0,0,
2020-05-04,Punjab,Mansa,17,4,0,0,
2020-05-05,Punjab,Mansa,17,4,0,0,
2020-05-06,Punjab,Mansa,19,4,0,0,
2020-05-07,Punjab,Mansa,19,5,0,0,
2020-05-08,Punjab,Mansa,20,5,0,0,
2020-05-09,Punjab,Mansa,20,5,0,0,
2020-05-10,Punjab,Mansa,20,6,0,0,
2020-05-11,Punjab,Mansa,32,6,0,0,
2020-05-12,Punjab,Mansa,32,6,0,0,
2020-05-13,Punjab,Mansa,32,6,0,0,
2020-05-14,Punjab,Mansa,32,9,0,0,
2020-05-15,Punjab,Mansa,32,10,0,0,
2020-05-16,Punjab,Mansa,32,10,0,0,
2020-05-17,Punjab,Mansa,32,10,0,0,
2020-05-18,Punjab,Mansa,32,10,0,0,
2020-05-19,Punjab,Mansa,32,19,0,0,
2020-05-20,Punjab,Mansa,32,22,0,0,
2020-05-21,Punjab,Mansa,32,22,0,0,
2020-05-22,Punjab,Mansa,32,30,0,0,
2020-05-23,Punjab,Mansa,32,30,0,0,
2020-05-24,Punjab,Mansa,32,32,0,0,
2020-05-25,Punjab,Mansa,32,32,0,0,
2020-05-26,Punjab,Mansa,32,32,0,0,
2020-05-27,Punjab,Mansa,32,32,0,0,
2020-05-28,Punjab,Mansa,32,32,0,0,
2020-05-29,Punjab,Mansa,32,32,0,0,
2020-05-30,Punjab,Mansa,32,32,0,0,
2020-05-31,Punjab,Mansa,32,32,0,0,
2020-06-01,Punjab,Mansa,32,32,0,0,2470.0
2020-06-02,Punjab,Mansa,32,32,0,0,2620.0
2020-06-03,Punjab,Mansa,32,32,0,0,2774.0
2020-06-04,Punjab,Mansa,32,32,0,0,2939.0
2020-06-05,Punjab,Mansa,32,32,0,0,3114.0
2020-06-06,Punjab,Mansa,34,32,0,0,3114.0
2020-06-07,Punjab,Mansa,34,32,0,0,3584.0
2020-06-08,Punjab,Mansa,34,32,0,0,3966.0
2020-06-09,Punjab,Mansa,34,32,0,0,3551.0
2020-06-10,Punjab,Mansa,34,32,0,0,3551.0
2020-06-11,Punjab,Mansa,34,32,0,0,3551.0
2020-06-12,Punjab,Mansa,34,32,0,0,3551.0
2020-06-13,Punjab,Mansa,34,32,0,0,3551.0
2020-06-14,Punjab,Mansa,34,32,0,0,3551.0
2020-06-15,Punjab,Mansa,34,32,0,0,3551.0
2020-06-16,Punjab,Mansa,34,32,0,0,3551.0
2020-06-17,Punjab,Mansa,37,34,0,0,3551.0
2020-06-18,Punjab,Mansa,38,34,0,0,5639.0
2020-06-19,Punjab,Mansa,38,34,0,0,5883.0
2020-06-20,Punjab,Mansa,39,35,0,0,5883.0
2020-06-21,Punjab,Mansa,39,35,0,0,6664.0
2020-06-22,Punjab,Mansa,39,35,0,0,6560.0
