Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Punjab,Moga,4,4,0,0,
2020-04-27,Punjab,Moga,4,4,0,0,
2020-04-28,Punjab,Moga,4,4,0,0,
2020-04-29,Punjab,Moga,4,4,0,0,
2020-04-30,Punjab,Moga,5,4,0,0,
2020-05-01,Punjab,Moga,6,4,0,0,
2020-05-02,Punjab,Moga,28,4,0,0,
2020-05-03,Punjab,Moga,28,4,0,0,
2020-05-04,Punjab,Moga,28,4,0,0,
2020-05-05,Punjab,Moga,28,4,0,0,
2020-05-06,Punjab,Moga,56,4,0,0,
2020-05-07,Punjab,Moga,56,4,0,0,
2020-05-08,Punjab,Moga,56,4,0,0,
2020-05-09,Punjab,Moga,56,4,0,0,
2020-05-10,Punjab,Moga,57,4,0,0,
2020-05-11,Punjab,Moga,59,4,0,0,
2020-05-12,Punjab,Moga,59,4,0,0,
2020-05-13,Punjab,Moga,59,4,0,0,
2020-05-14,Punjab,Moga,59,4,0,0,
2020-05-15,Punjab,Moga,59,48,0,0,
2020-05-16,Punjab,Moga,59,58,0,0,
2020-05-17,Punjab,Moga,61,58,0,0,
2020-05-18,Punjab,Moga,61,58,0,0,
2020-05-19,Punjab,Moga,59,59,0,0,
2020-05-20,Punjab,Moga,59,59,0,0,
2020-05-21,Punjab,Moga,59,59,0,0,
2020-05-22,Punjab,Moga,59,59,0,0,
2020-05-23,Punjab,Moga,59,59,0,0,
2020-05-24,Punjab,Moga,59,59,0,0,
2020-05-25,Punjab,Moga,59,59,0,0,
2020-05-26,Punjab,Moga,59,59,0,0,
2020-05-27,Punjab,Moga,59,59,0,0,
2020-05-28,Punjab,Moga,59,59,0,0,
2020-05-29,Punjab,Moga,61,59,0,0,
2020-05-30,Punjab,Moga,61,59,0,0,
2020-05-31,Punjab,Moga,62,59,0,0,
2020-06-01,Punjab,Moga,62,59,0,0,4337.0
2020-06-02,Punjab,Moga,64,59,0,0,4699.0
2020-06-03,Punjab,Moga,64,59,0,0,4953.0
2020-06-04,Punjab,Moga,64,59,0,0,5143.0
2020-06-05,Punjab,Moga,65,64,0,0,5492.0
2020-06-06,Punjab,Moga,66,64,0,0,5492.0
