Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Punjab,Patiala,61,1,0,0,
2020-04-27,Punjab,Patiala,61,2,1,0,
2020-04-28,Punjab,Patiala,61,2,1,0,
2020-04-29,Punjab,Patiala,63,2,1,0,
2020-04-30,Punjab,Patiala,64,2,1,0,
2020-05-01,Punjab,Patiala,65,2,1,0,
2020-05-02,Punjab,Patiala,86,2,1,0,
2020-05-03,Punjab,Patiala,86,5,1,0,
2020-05-04,Punjab,Patiala,86,8,1,0,
2020-05-05,Punjab,Patiala,87,12,1,0,
2020-05-06,Punjab,Patiala,89,12,2,0,
2020-05-07,Punjab,Patiala,95,18,2,0,
2020-05-08,Punjab,Patiala,95,18,2,0,
2020-05-09,Punjab,Patiala,96,18,2,0,
2020-05-10,Punjab,Patiala,97,18,2,0,
2020-05-11,Punjab,Patiala,98,20,2,0,
2020-05-12,Punjab,Patiala,99,20,2,0,
2020-05-13,Punjab,Patiala,99,20,2,0,
2020-05-14,Punjab,Patiala,100,28,2,0,
2020-05-15,Punjab,Patiala,100,49,2,0,
2020-05-16,Punjab,Patiala,100,78,2,0,
2020-05-17,Punjab,Patiala,100,83,2,0,
2020-05-18,Punjab,Patiala,100,83,2,0,
2020-05-19,Punjab,Patiala,103,83,2,0,
2020-05-20,Punjab,Patiala,103,98,2,0,
2020-05-21,Punjab,Patiala,104,98,2,0,
2020-05-22,Punjab,Patiala,104,98,2,0,
2020-05-23,Punjab,Patiala,107,98,2,0,
2020-05-24,Punjab,Patiala,107,100,2,0,
2020-05-25,Punjab,Patiala,108,100,2,0,
2020-05-26,Punjab,Patiala,108,101,2,0,
2020-05-27,Punjab,Patiala,115,101,2,0,
2020-05-28,Punjab,Patiala,115,101,2,0,
2020-05-29,Punjab,Patiala,116,101,2,0,
2020-05-30,Punjab,Patiala,118,104,2,0,
2020-05-31,Punjab,Patiala,118,105,2,0,
2020-06-01,Punjab,Patiala,122,106,2,0,6019.0
2020-06-02,Punjab,Patiala,123,106,2,0,6357.0
2020-06-03,Punjab,Patiala,125,106,2,0,6714.0
2020-06-04,Punjab,Patiala,125,106,2,0,7186.0
2020-06-05,Punjab,Patiala,126,106,2,0,7619.0
2020-06-06,Punjab,Patiala,126,106,2,0,7619.0
2020-06-07,Punjab,Patiala,133,109,2,0,8442.0
2020-06-08,Punjab,Patiala,138,110,3,0,9127.0
2020-06-09,Punjab,Patiala,139,112,3,0,9107.0
2020-06-10,Punjab,Patiala,142,112,3,0,9107.0
2020-06-11,Punjab,Patiala,148,112,3,0,9107.0
2020-06-12,Punjab,Patiala,148,116,3,0,9107.0
2020-06-13,Punjab,Patiala,149,116,3,0,9107.0
2020-06-14,Punjab,Patiala,159,121,3,0,9107.0
2020-06-15,Punjab,Patiala,169,122,3,0,9107.0
2020-06-16,Punjab,Patiala,178,123,3,0,9107.0
2020-06-17,Punjab,Patiala,179,125,3,0,9107.0
2020-06-18,Punjab,Patiala,191,128,3,0,13941.0
2020-06-19,Punjab,Patiala,199,129,4,0,14646.0
2020-06-20,Punjab,Patiala,206,129,4,0,14646.0
2020-06-21,Punjab,Patiala,209,129,4,0,16803.0
2020-06-22,Punjab,Patiala,214,129,4,0,17150.0
2020-06-23,Punjab,Patiala,226,132,5,0,17743.0
2020-06-24,Punjab,Patiala,235,137,5,0,17743.0
2020-06-25,Punjab,Patiala,243,138,5,0,19081.0
2020-06-26,Punjab,Patiala,274,138,5,0,19727.0
2020-06-27,Punjab,Patiala,275,138,5,0,20275.0
2020-06-28,Punjab,Patiala,281,144,5,0,20275.0
2020-06-29,Punjab,Patiala,326,144,8,0,20275.0
2020-06-30,Punjab,Patiala,329,168,9,0,20275.0
2020-07-01,Punjab,Patiala,332,168,9,0,22578.0
2020-07-02,Punjab,Patiala,339,168,9,0,23251.0
2020-07-03,Punjab,Patiala,351,168,9,0,23251.0
2020-07-04,Punjab,Patiala,354,168,9,0,24533.0
2020-07-05,Punjab,Patiala,379,185,10,0,25128.0
2020-07-06,Punjab,Patiala,398,185,10,0,25128.0
2020-07-07,Punjab,Patiala,440,185,10,0,26026.0
2020-07-08,Punjab,Patiala,444,203,10,0,26753.0
2020-07-09,Punjab,Patiala,486,206,10,0,27316.0
2020-07-10,Punjab,Patiala,508,223,10,0,28131.0
2020-07-11,Punjab,Patiala,563,223,12,0,28611.0
2020-07-12,Punjab,Patiala,584,223,12,0,28611.0
2020-07-13,Punjab,Patiala,672,223,12,0,29778.0
2020-07-14,Punjab,Patiala,723,223,12,0,31421.0
2020-07-15,Punjab,Patiala,748,223,12,0,27316.0
2020-07-16,Punjab,Patiala,776,326,13,0,32845.0
2020-07-17,Punjab,Patiala,832,326,15,0,32845.0
2020-07-18,Punjab,Patiala,880,370,15,0,32845.0
2020-07-19,Punjab,Patiala,921,370,15,0,32845.0
2020-07-20,Punjab,Patiala,1012,421,15,0,32845.0
2020-07-21,Punjab,Patiala,1081,421,16,0,32845.0
2020-07-22,Punjab,Patiala,1131,510,17,0,32845.0
2020-07-23,Punjab,Patiala,1184,510,19,0,32845.0
2020-07-24,Punjab,Patiala,1254,510,20,0,32845.0
2020-07-25,Punjab,Patiala,1294,510,20,0,32845.0
2020-07-26,Punjab,Patiala,1377,735,20,0,32845.0
2020-07-27,Punjab,Patiala,1417,772,22,0,32845.0
2020-07-28,Punjab,Patiala,1483,821,25,0,32845.0
2020-07-29,Punjab,Patiala,1569,871,26,0,32845.0
2020-07-30,Punjab,Patiala,1583,928,26,0,32845.0
2020-07-31,Punjab,Patiala,1719,928,28,0,32845.0
2020-08-01,Punjab,Patiala,1785,928,28,0,32845.0
2020-08-02,Punjab,Patiala,1885,1151,32,0,32845.0
2020-08-03,Punjab,Patiala,1919,1194,33,0,32845.0
2020-08-04,Punjab,Patiala,1938,1194,38,0,32845.0
2020-08-05,Punjab,Patiala,2122,1377,43,0,32845.0
2020-08-06,Punjab,Patiala,2258,1484,44,0,32845.0
2020-08-07,Punjab,Patiala,2380,1592,45,0,32845.0
2020-08-08,Punjab,Patiala,2519,1592,48,0,32845.0
2020-08-09,Punjab,Patiala,2718,1592,48,0,32845.0
2020-08-10,Punjab,Patiala,2915,1808,54,0,32845.0
2020-08-11,Punjab,Patiala,3029,1808,57,0,32845.0
2020-08-12,Punjab,Patiala,3099,1808,61,0,32845.0
2020-08-13,Punjab,Patiala,3239,1808,63,0,32845.0
2020-08-14,Punjab,Patiala,3374,1808,67,0,32845.0
2020-08-15,Punjab,Patiala,3577,1808,70,0,59159.0
2020-08-16,Punjab,Patiala,3667,1808,77,0,29524.0
2020-08-17,Punjab,Patiala,3797,1808,83,0,29524.0
2020-08-18,Punjab,Patiala,4135,2522,87,0,29524.0
2020-08-19,Punjab,Patiala,4249,2758,93,0,29524.0
2020-08-20,Punjab,Patiala,4330,2758,98,0,66364.0
2020-08-21,Punjab,Patiala,4531,2976,103,0,66364.0
2020-08-22,Punjab,Patiala,4708,2976,103,0,69885.0
