Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Punjab,Rupnagar,3,2,1,0,
2020-04-27,Punjab,Rupnagar,3,2,1,0,
2020-04-28,Punjab,Rupnagar,3,2,1,0,
2020-04-29,Punjab,Rupnagar,3,2,1,0,
2020-04-30,Punjab,Rupnagar,5,2,1,0,
2020-05-01,Punjab,Rupnagar,5,2,1,0,
2020-05-02,Punjab,Rupnagar,6,2,1,0,
2020-05-03,Punjab,Rupnagar,14,2,1,0,
2020-05-04,Punjab,Rupnagar,14,2,1,0,
2020-05-05,Punjab,Rupnagar,14,2,1,0,
2020-05-06,Punjab,Rupnagar,14,2,1,0,
2020-05-07,Punjab,Rupnagar,14,2,1,0,
2020-05-08,Punjab,Rupnagar,14,2,1,0,
2020-05-09,Punjab,Rupnagar,18,2,1,0,
2020-05-10,Punjab,Rupnagar,53,2,1,0,
2020-05-11,Punjab,Rupnagar,54,2,1,0,
2020-05-12,Punjab,Rupnagar,54,2,1,0,
2020-05-13,Punjab,Rupnagar,56,2,1,0,
2020-05-14,Punjab,Rupnagar,56,2,1,0,
2020-05-15,Punjab,Rupnagar,59,2,1,0,
2020-05-16,Punjab,Rupnagar,60,19,1,0,
2020-05-17,Punjab,Rupnagar,60,24,1,0,
2020-05-18,Punjab,Rupnagar,60,48,1,0,
2020-05-19,Punjab,Rupnagar,60,52,1,0,
2020-05-20,Punjab,Rupnagar,60,52,1,0,
2020-05-21,Punjab,Rupnagar,60,52,1,0,
2020-05-22,Punjab,Rupnagar,60,58,1,0,
2020-05-23,Punjab,Rupnagar,60,59,1,0,
2020-05-24,Punjab,Rupnagar,60,59,1,0,
2020-05-25,Punjab,Rupnagar,60,59,1,0,
2020-05-26,Punjab,Rupnagar,60,59,1,0,
2020-05-27,Punjab,Rupnagar,60,59,1,0,
2020-05-28,Punjab,Rupnagar,61,59,1,0,
2020-05-29,Punjab,Rupnagar,62,59,1,0,
2020-05-30,Punjab,Rupnagar,62,59,1,0,
2020-05-31,Punjab,Rupnagar,70,59,1,0,
2020-06-01,Punjab,Rupnagar,70,59,1,0,3493.0
2020-06-02,Punjab,Rupnagar,70,59,1,0,3662.0
2020-06-03,Punjab,Rupnagar,70,59,1,0,3918.0
