Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Punjab,S.A.S. Nagar,63,22,2,0,
2020-04-27,Punjab,S.A.S. Nagar,63,28,2,0,
2020-04-28,Punjab,S.A.S. Nagar,65,31,2,0,
2020-04-29,Punjab,S.A.S. Nagar,73,31,2,0,
2020-04-30,Punjab,S.A.S. Nagar,86,31,2,0,
2020-05-01,Punjab,S.A.S. Nagar,92,31,2,0,
2020-05-02,Punjab,S.A.S. Nagar,94,34,2,0,
2020-05-03,Punjab,S.A.S. Nagar,95,36,2,0,
2020-05-04,Punjab,S.A.S. Nagar,95,43,2,0,
2020-05-05,Punjab,S.A.S. Nagar,95,43,2,0,
2020-05-06,Punjab,S.A.S. Nagar,95,43,2,0,
2020-05-07,Punjab,S.A.S. Nagar,95,49,2,0,
2020-05-08,Punjab,S.A.S. Nagar,95,52,3,0,
2020-05-09,Punjab,S.A.S. Nagar,95,52,3,0,
2020-05-10,Punjab,S.A.S. Nagar,102,54,3,0,
2020-05-11,Punjab,S.A.S. Nagar,102,54,3,0,
2020-05-12,Punjab,S.A.S. Nagar,102,55,3,0,
2020-05-13,Punjab,S.A.S. Nagar,102,57,3,0,
2020-05-14,Punjab,S.A.S. Nagar,102,57,3,0,
2020-05-15,Punjab,S.A.S. Nagar,102,60,3,0,
2020-05-16,Punjab,S.A.S. Nagar,102,95,3,0,
2020-05-17,Punjab,S.A.S. Nagar,102,95,3,0,
2020-05-18,Punjab,S.A.S. Nagar,102,97,3,0,
2020-05-19,Punjab,S.A.S. Nagar,102,97,3,0,
2020-05-20,Punjab,S.A.S. Nagar,102,97,3,0,
2020-05-21,Punjab,S.A.S. Nagar,102,99,3,0,
2020-05-22,Punjab,S.A.S. Nagar,102,99,3,0,
2020-05-23,Punjab,S.A.S. Nagar,102,99,3,0,
2020-05-24,Punjab,S.A.S. Nagar,102,99,3,0,
2020-05-25,Punjab,S.A.S. Nagar,103,99,3,0,
2020-05-26,Punjab,S.A.S. Nagar,103,99,3,0,
2020-05-27,Punjab,S.A.S. Nagar,103,99,3,0,
2020-05-28,Punjab,S.A.S. Nagar,104,99,3,0,
2020-05-29,Punjab,S.A.S. Nagar,107,99,3,0,
2020-05-30,Punjab,S.A.S. Nagar,111,99,3,0,
2020-05-31,Punjab,S.A.S. Nagar,111,99,3,0,
2020-06-01,Punjab,S.A.S. Nagar,113,100,3,0,5244.0
2020-06-02,Punjab,S.A.S. Nagar,113,100,3,0,5499.0
2020-06-03,Punjab,S.A.S. Nagar,120,100,3,0,5679.0
2020-06-04,Punjab,S.A.S. Nagar,120,103,3,0,6022.0
2020-06-05,Punjab,S.A.S. Nagar,124,104,3,0,6263.0
2020-06-06,Punjab,S.A.S. Nagar,124,104,3,0,6263.0
2020-06-07,Punjab,S.A.S. Nagar,125,104,3,0,6672.0
2020-06-08,Punjab,S.A.S. Nagar,128,105,3,0,6970.0
2020-06-09,Punjab,S.A.S. Nagar,133,105,3,0,6772.0
2020-06-10,Punjab,S.A.S. Nagar,136,109,3,0,6772.0
2020-06-11,Punjab,S.A.S. Nagar,140,109,3,0,6772.0
2020-06-12,Punjab,S.A.S. Nagar,143,113,3,0,6772.0
2020-06-13,Punjab,S.A.S. Nagar,154,114,3,0,6772.0
2020-06-14,Punjab,S.A.S. Nagar,164,114,3,0,6772.0
2020-06-15,Punjab,S.A.S. Nagar,175,114,3,0,6772.0
2020-06-16,Punjab,S.A.S. Nagar,179,124,3,0,6772.0
2020-06-17,Punjab,S.A.S. Nagar,184,129,3,0,6772.0
2020-06-18,Punjab,S.A.S. Nagar,191,131,3,0,9412.0
2020-06-19,Punjab,S.A.S. Nagar,202,136,3,0,9615.0
2020-06-20,Punjab,S.A.S. Nagar,213,136,3,0,9615.0
2020-06-21,Punjab,S.A.S. Nagar,217,148,3,0,10089.0
2020-06-22,Punjab,S.A.S. Nagar,219,148,3,0,9988.0
2020-06-23,Punjab,S.A.S. Nagar,219,170,3,0,10199.0
2020-06-24,Punjab,S.A.S. Nagar,224,170,3,0,10199.0
2020-06-25,Punjab,S.A.S. Nagar,228,170,3,0,10648.0
2020-06-26,Punjab,S.A.S. Nagar,234,170,3,0,10879.0
2020-06-27,Punjab,S.A.S. Nagar,242,182,3,0,11155.0
2020-06-28,Punjab,S.A.S. Nagar,250,190,3,0,11155.0
2020-06-29,Punjab,S.A.S. Nagar,254,192,3,0,11155.0
2020-06-30,Punjab,S.A.S. Nagar,265,196,3,0,11155.0
2020-07-01,Punjab,S.A.S. Nagar,271,196,4,0,12119.0
2020-07-02,Punjab,S.A.S. Nagar,277,202,4,0,12333.0
2020-07-03,Punjab,S.A.S. Nagar,281,210,4,0,12333.0
2020-07-04,Punjab,S.A.S. Nagar,286,220,5,0,12872.0
2020-07-05,Punjab,S.A.S. Nagar,302,220,5,0,13073.0
2020-07-06,Punjab,S.A.S. Nagar,317,229,5,0,13073.0
2020-07-07,Punjab,S.A.S. Nagar,319,234,6,0,13578.0
2020-07-08,Punjab,S.A.S. Nagar,325,246,6,0,13972.0
2020-07-09,Punjab,S.A.S. Nagar,335,253,6,0,14289.0
2020-07-10,Punjab,S.A.S. Nagar,356,257,7,0,14637.0
2020-07-11,Punjab,S.A.S. Nagar,368,257,7,0,14967.0
2020-07-12,Punjab,S.A.S. Nagar,391,274,7,0,14967.0
2020-07-13,Punjab,S.A.S. Nagar,417,282,7,0,15443.0
2020-07-14,Punjab,S.A.S. Nagar,442,287,9,0,15871.0
2020-07-15,Punjab,S.A.S. Nagar,455,290,9,0,16490.0
2020-07-16,Punjab,S.A.S. Nagar,478,297,9,0,16905.0
2020-07-17,Punjab,S.A.S. Nagar,492,297,9,0,16905.0
2020-07-18,Punjab,S.A.S. Nagar,520,297,10,0,16905.0
2020-07-19,Punjab,S.A.S. Nagar,541,346,11,0,16905.0
2020-07-20,Punjab,S.A.S. Nagar,550,368,12,0,16905.0
2020-07-21,Punjab,S.A.S. Nagar,574,384,12,0,16905.0
2020-07-22,Punjab,S.A.S. Nagar,605,384,12,0,16905.0
2020-07-23,Punjab,S.A.S. Nagar,635,408,13,0,16905.0
2020-07-24,Punjab,S.A.S. Nagar,647,426,13,0,16905.0
2020-07-25,Punjab,S.A.S. Nagar,679,448,13,0,16905.0
2020-07-26,Punjab,S.A.S. Nagar,707,459,14,0,16905.0
2020-07-27,Punjab,S.A.S. Nagar,738,460,14,0,16905.0
2020-07-28,Punjab,S.A.S. Nagar,768,470,14,0,16905.0
2020-07-29,Punjab,S.A.S. Nagar,799,470,14,0,16905.0
2020-07-30,Punjab,S.A.S. Nagar,817,506,14,0,16905.0
2020-07-31,Punjab,S.A.S. Nagar,841,531,14,0,16905.0
2020-08-01,Punjab,S.A.S. Nagar,875,552,15,0,16905.0
2020-08-02,Punjab,S.A.S. Nagar,927,552,16,0,16905.0
2020-08-03,Punjab,S.A.S. Nagar,938,570,17,0,16905.0
2020-08-04,Punjab,S.A.S. Nagar,949,573,17,0,16905.0
2020-08-05,Punjab,S.A.S. Nagar,976,576,17,0,16905.0
2020-08-06,Punjab,S.A.S. Nagar,1080,592,17,0,16905.0
2020-08-07,Punjab,S.A.S. Nagar,1157,649,17,0,16905.0
2020-08-08,Punjab,S.A.S. Nagar,1248,649,18,0,16905.0
2020-08-09,Punjab,S.A.S. Nagar,1260,659,19,0,16905.0
2020-08-10,Punjab,S.A.S. Nagar,1319,659,20,0,16905.0
2020-08-11,Punjab,S.A.S. Nagar,1402,695,23,0,16905.0
2020-08-12,Punjab,S.A.S. Nagar,1506,714,25,0,16905.0
2020-08-13,Punjab,S.A.S. Nagar,1594,714,28,0,16905.0
2020-08-14,Punjab,S.A.S. Nagar,1647,828,30,0,16905.0
2020-08-15,Punjab,S.A.S. Nagar,1732,851,32,0,29107.0
2020-08-16,Punjab,S.A.S. Nagar,1823,887,33,0,29313.0
2020-08-17,Punjab,S.A.S. Nagar,1886,908,34,0,29505.0
2020-08-18,Punjab,S.A.S. Nagar,1990,925,38,0,29505.0
2020-08-19,Punjab,S.A.S. Nagar,2103,1095,38,0,29505.0
2020-08-20,Punjab,S.A.S. Nagar,2272,1095,43,0,31935.0
2020-08-21,Punjab,S.A.S. Nagar,2414,1095,44,0,31935.0
2020-08-22,Punjab,S.A.S. Nagar,2573,1121,47,0,33875.0
2020-08-23,Punjab,S.A.S. Nagar,2607,1121,47,0,33875.0
2020-08-24,Punjab,S.A.S. Nagar,2860,1288,55,0,34874.0
2020-08-25,Punjab,S.A.S. Nagar,3014,1374,64,0,34874.0
2020-08-26,Punjab,S.A.S. Nagar,3068,1374,65,0,34874.0
2020-08-27,Punjab,S.A.S. Nagar,3246,1374,70,0,34874.0
2020-08-28,Punjab,S.A.S. Nagar,3333,1775,71,0,34874.0
2020-08-29,Punjab,S.A.S. Nagar,3470,1862,72,0,38405.0
2020-08-30,Punjab,S.A.S. Nagar,3619,1966,73,0,38405.0
2020-08-31,Punjab,S.A.S. Nagar,3722,2058,83,0,38405.0
2020-09-01,Punjab,S.A.S. Nagar,3933,2058,83,0,40631.0
2020-09-02,Punjab,S.A.S. Nagar,4045,2058,92,0,41532.0
2020-09-03,Punjab,S.A.S. Nagar,4179,2142,93,0,41532.0
2020-09-04,Punjab,S.A.S. Nagar,4317,2186,99,0,41532.0
2020-09-05,Punjab,S.A.S. Nagar,4463,2277,102,0,41532.0
2020-09-06,Punjab,S.A.S. Nagar,4617,2518,102,0,41532.0
2020-09-07,Punjab,S.A.S. Nagar,4793,2844,117,0,41532.0
2020-09-08,Punjab,S.A.S. Nagar,4920,3867,118,0,41532.0
2020-09-09,Punjab,S.A.S. Nagar,5239,3867,118,0,41532.0
2020-09-10,Punjab,S.A.S. Nagar,5546,3892,132,0,41532.0
2020-09-11,Punjab,S.A.S. Nagar,5811,4074,133,0,41532.0
2020-09-12,Punjab,S.A.S. Nagar,6142,4119,134,0,41532.0
2020-09-13,Punjab,S.A.S. Nagar,6575,4119,137,0,41532.0
2020-09-14,Punjab,S.A.S. Nagar,6983,4119,139,0,41532.0
2020-09-15,Punjab,S.A.S. Nagar,7171,4477,139,0,41532.0
2020-09-16,Punjab,S.A.S. Nagar,7443,4519,139,0,41532.0
2020-09-17,Punjab,S.A.S. Nagar,7727,4975,139,0,41532.0
2020-09-18,Punjab,S.A.S. Nagar,8144,5203,146,0,41532.0
2020-09-19,Punjab,S.A.S. Nagar,8429,5458,147,0,41532.0
2020-09-20,Punjab,S.A.S. Nagar,8654,5580,147,0,41532.0
2020-09-21,Punjab,S.A.S. Nagar,8911,6159,147,0,41532.0
2020-09-22,Punjab,S.A.S. Nagar,9138,6315,149,0,41532.0
2020-09-23,Punjab,S.A.S. Nagar,9375,6473,149,0,41532.0
2020-09-24,Punjab,S.A.S. Nagar,9544,6822,158,0,41532.0
2020-09-25,Punjab,S.A.S. Nagar,9670,6966,161,0,41532.0
2020-09-26,Punjab,S.A.S. Nagar,9823,7359,171,0,41532.0
2020-09-27,Punjab,S.A.S. Nagar,9988,7623,171,0,41532.0
2020-09-28,Punjab,S.A.S. Nagar,10116,7896,179,0,41532.0
2020-09-29,Punjab,S.A.S. Nagar,10227,7896,186,0,41532.0
2020-09-30,Punjab,S.A.S. Nagar,10350,7896,191,0,41532.0
2020-10-01,Punjab,S.A.S. Nagar,10516,8519,191,0,41532.0
2020-10-02,Punjab,S.A.S. Nagar,10648,8781,192,0,41532.0
2020-10-03,Punjab,S.A.S. Nagar,10774,8871,192,0,41532.0
2020-10-04,Punjab,S.A.S. Nagar,10813,9007,192,0,41532.0
2020-10-05,Punjab,S.A.S. Nagar,10853,9332,193,0,41532.0
2020-10-06,Punjab,S.A.S. Nagar,10901,9508,193,0,41532.0
2020-10-07,Punjab,S.A.S. Nagar,10963,9508,193,0,41532.0
2020-10-08,Punjab,S.A.S. Nagar,11118,9818,193,0,41532.0
2020-10-09,Punjab,S.A.S. Nagar,11195,9818,196,0,41532.0
2020-10-10,Punjab,S.A.S. Nagar,11320,9946,196,0,41532.0
2020-10-11,Punjab,S.A.S. Nagar,11434,10066,196,0,41532.0
2020-10-12,Punjab,S.A.S. Nagar,11492,10334,196,0,41532.0
2020-10-13,Punjab,S.A.S. Nagar,11533,10394,198,0,41532.0
2020-10-14,Punjab,S.A.S. Nagar,11555,10394,207,0,41532.0
2020-10-15,Punjab,S.A.S. Nagar,11621,10481,216,0,41532.0
2020-10-16,Punjab,S.A.S. Nagar,11663,10604,217,0,41532.0
2020-10-17,Punjab,S.A.S. Nagar,11711,10685,219,0,41532.0
2020-10-18,Punjab,S.A.S. Nagar,11752,10815,222,0,41532.0
2020-10-19,Punjab,S.A.S. Nagar,11794,10850,224,0,41532.0
2020-10-20,Punjab,S.A.S. Nagar,11826,10956,224,0,41532.0
2020-10-21,Punjab,S.A.S. Nagar,11861,11056,227,0,41532.0
2020-10-22,Punjab,S.A.S. Nagar,11918,11152,229,0,41532.0
2020-10-23,Punjab,S.A.S. Nagar,11971,11207,229,0,41532.0
2020-10-24,Punjab,S.A.S. Nagar,12022,11251,231,0,41532.0
2020-10-25,Punjab,S.A.S. Nagar,12065,11283,232,0,41532.0
2020-10-26,Punjab,S.A.S. Nagar,12120,11328,233,0,41532.0
2020-10-27,Punjab,S.A.S. Nagar,12140,11420,234,0,41532.0
2020-10-28,Punjab,S.A.S. Nagar,12213,11461,236,0,41532.0
2020-10-29,Punjab,S.A.S. Nagar,12213,11461,236,0,41532.0
