Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-27,Punjab,Tarn Taran,5,0,0,0,
2020-04-28,Punjab,Tarn Taran,7,0,0,0,
2020-04-29,Punjab,Tarn Taran,7,0,0,0,
2020-04-30,Punjab,Tarn Taran,14,0,0,0,
2020-05-01,Punjab,Tarn Taran,14,0,0,0,
2020-05-02,Punjab,Tarn Taran,14,0,0,0,
2020-05-03,Punjab,Tarn Taran,14,0,0,0,
2020-05-04,Punjab,Tarn Taran,40,0,0,0,
2020-05-05,Punjab,Tarn Taran,87,0,0,0,
2020-05-06,Punjab,Tarn Taran,103,0,0,0,
2020-05-07,Punjab,Tarn Taran,146,0,0,0,
2020-05-08,Punjab,Tarn Taran,157,0,0,0,
2020-05-09,Punjab,Tarn Taran,157,0,0,0,
2020-05-10,Punjab,Tarn Taran,157,0,0,0,
2020-05-11,Punjab,Tarn Taran,158,0,0,0,
2020-05-12,Punjab,Tarn Taran,158,0,0,0,
2020-05-13,Punjab,Tarn Taran,158,0,0,0,
2020-05-14,Punjab,Tarn Taran,158,0,0,0,
2020-05-15,Punjab,Tarn Taran,158,0,0,0,
2020-05-16,Punjab,Tarn Taran,154,85,0,0,
2020-05-17,Punjab,Tarn Taran,154,85,0,0,
2020-05-18,Punjab,Tarn Taran,155,147,0,0,
2020-05-19,Punjab,Tarn Taran,155,154,0,0,
2020-05-20,Punjab,Tarn Taran,155,154,0,0,
2020-05-21,Punjab,Tarn Taran,155,154,0,0,
2020-05-22,Punjab,Tarn Taran,153,154,0,0,
2020-05-23,Punjab,Tarn Taran,153,154,0,0,
2020-05-24,Punjab,Tarn Taran,153,152,0,0,
2020-05-25,Punjab,Tarn Taran,154,152,0,0,
2020-05-26,Punjab,Tarn Taran,154,152,0,0,
2020-05-27,Punjab,Tarn Taran,156,152,0,0,
2020-05-28,Punjab,Tarn Taran,156,152,0,0,
2020-05-29,Punjab,Tarn Taran,156,152,0,0,
2020-05-30,Punjab,Tarn Taran,157,152,0,0,
2020-05-31,Punjab,Tarn Taran,157,153,0,0,
2020-06-01,Punjab,Tarn Taran,157,153,0,0,3393.0
2020-06-02,Punjab,Tarn Taran,157,153,0,0,3553.0
2020-06-03,Punjab,Tarn Taran,157,153,0,0,3691.0
2020-06-04,Punjab,Tarn Taran,157,153,0,0,3935.0
2020-06-05,Punjab,Tarn Taran,159,154,1,0,4039.0
2020-06-06,Punjab,Tarn Taran,159,154,1,0,4039.0
2020-06-07,Punjab,Tarn Taran,159,154,1,0,4343.0
2020-06-08,Punjab,Tarn Taran,159,154,1,0,4602.0
2020-06-09,Punjab,Tarn Taran,160,154,1,0,4513.0
2020-06-10,Punjab,Tarn Taran,160,157,1,0,4513.0
2020-06-11,Punjab,Tarn Taran,160,157,1,0,4513.0
2020-06-12,Punjab,Tarn Taran,160,157,1,0,4513.0
2020-06-13,Punjab,Tarn Taran,164,157,1,0,4513.0
2020-06-14,Punjab,Tarn Taran,167,159,1,0,4513.0
2020-06-15,Punjab,Tarn Taran,168,159,1,0,4513.0
2020-06-16,Punjab,Tarn Taran,169,159,1,0,4513.0
2020-06-17,Punjab,Tarn Taran,170,161,1,0,4513.0
2020-06-18,Punjab,Tarn Taran,176,161,1,0,6981.0
2020-06-19,Punjab,Tarn Taran,178,161,2,0,7285.0
2020-06-20,Punjab,Tarn Taran,180,161,2,0,7285.0
2020-06-21,Punjab,Tarn Taran,181,161,2,0,8044.0
2020-06-22,Punjab,Tarn Taran,184,161,2,0,8046.0
2020-06-23,Punjab,Tarn Taran,186,163,2,0,8345.0
2020-06-24,Punjab,Tarn Taran,186,163,2,0,8345.0
2020-06-25,Punjab,Tarn Taran,187,163,3,0,9259.0
2020-06-26,Punjab,Tarn Taran,187,163,3,0,9489.0
2020-06-27,Punjab,Tarn Taran,187,166,3,0,9503.0
2020-06-28,Punjab,Tarn Taran,188,166,3,0,9503.0
2020-06-29,Punjab,Tarn Taran,194,173,3,0,9503.0
2020-06-30,Punjab,Tarn Taran,194,173,3,0,9503.0
2020-07-01,Punjab,Tarn Taran,196,173,4,0,10499.0
2020-07-02,Punjab,Tarn Taran,198,179,4,0,10686.0
2020-07-03,Punjab,Tarn Taran,204,181,4,0,10686.0
2020-07-04,Punjab,Tarn Taran,206,181,4,0,11017.0
2020-07-05,Punjab,Tarn Taran,207,181,5,0,11175.0
2020-07-06,Punjab,Tarn Taran,207,184,5,0,11175.0
2020-07-07,Punjab,Tarn Taran,207,184,5,0,11566.0
2020-07-08,Punjab,Tarn Taran,208,185,5,0,11605.0
2020-07-09,Punjab,Tarn Taran,217,185,5,0,12048.0
2020-07-10,Punjab,Tarn Taran,216,191,5,0,12296.0
2020-07-11,Punjab,Tarn Taran,216,191,5,0,12484.0
2020-07-12,Punjab,Tarn Taran,217,191,5,0,12484.0
2020-07-13,Punjab,Tarn Taran,217,203,5,0,12899.0
2020-07-14,Punjab,Tarn Taran,219,203,5,0,13170.0
2020-07-15,Punjab,Tarn Taran,221,205,5,0,13437.0
2020-07-16,Punjab,Tarn Taran,221,205,5,0,13446.0
2020-07-17,Punjab,Tarn Taran,222,205,6,0,13446.0
2020-07-18,Punjab,Tarn Taran,222,205,6,0,13446.0
2020-07-19,Punjab,Tarn Taran,229,205,6,0,13446.0
2020-07-20,Punjab,Tarn Taran,229,209,6,0,13446.0
