Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Rajasthan,Ajmer,123,5,0,0,
2020-04-27,Rajasthan,Ajmer,124,5,0,0,
2020-04-28,Rajasthan,Ajmer,135,5,0,0,
2020-04-29,Rajasthan,Ajmer,146,13,0,0,
2020-04-30,Rajasthan,Ajmer,150,13,0,0,
2020-05-01,Rajasthan,Ajmer,161,14,0,0,
2020-05-02,Rajasthan,Ajmer,165,14,1,0,
2020-05-03,Rajasthan,Ajmer,168,40,1,0,
2020-05-04,Rajasthan,Ajmer,172,40,1,0,
2020-05-05,Rajasthan,Ajmer,177,40,1,0,
2020-05-06,Rajasthan,Ajmer,182,50,1,0,
2020-05-07,Rajasthan,Ajmer,187,51,2,0,
2020-05-08,Rajasthan,Ajmer,196,63,4,0,
2020-05-09,Rajasthan,Ajmer,211,68,4,0,
2020-05-10,Rajasthan,Ajmer,220,68,4,0,
2020-05-11,Rajasthan,Ajmer,232,80,5,0,
2020-05-12,Rajasthan,Ajmer,235,103,5,0,
2020-05-13,Rajasthan,Ajmer,235,108,5,0,
2020-05-14,Rajasthan,Ajmer,242,110,5,0,
2020-05-15,Rajasthan,Ajmer,247,122,5,0,
2020-05-16,Rajasthan,Ajmer,254,161,5,0,
2020-05-17,Rajasthan,Ajmer,255,169,5,0,
2020-05-18,Rajasthan,Ajmer,256,196,5,0,
2020-05-19,Rajasthan,Ajmer,259,201,5,0,9877.0
2020-05-20,Rajasthan,Ajmer,266,215,5,0,10327.0
2020-05-21,Rajasthan,Ajmer,273,228,5,0,10737.0
2020-05-22,Rajasthan,Ajmer,279,231,5,0,11129.0
2020-05-23,Rajasthan,Ajmer,285,235,5,0,11696.0
2020-05-24,Rajasthan,Ajmer,307,236,5,0,13164.0
2020-05-25,Rajasthan,Ajmer,307,236,6,0,13471.0
2020-05-26,Rajasthan,Ajmer,309,238,6,0,13715.0
2020-05-27,Rajasthan,Ajmer,310,247,6,0,13715.0
2020-05-28,Rajasthan,Ajmer,316,253,7,0,14089.0
2020-05-29,Rajasthan,Ajmer,329,253,7,0,14469.0
2020-05-30,Rajasthan,Ajmer,336,291,7,0,14962.0
2020-05-31,Rajasthan,Ajmer,342,292,7,0,14962.0
2020-06-01,Rajasthan,Ajmer,349,292,7,0,15647.0
2020-06-02,Rajasthan,Ajmer,350,297,7,0,15647.0
2020-06-03,Rajasthan,Ajmer,356,299,7,0,16325.0
2020-06-04,Rajasthan,Ajmer,362,299,7,0,16325.0
2020-06-05,Rajasthan,Ajmer,362,299,9,0,16325.0
2020-06-06,Rajasthan,Ajmer,363,303,9,0,16325.0
2020-06-07,Rajasthan,Ajmer,365,310,9,0,16325.0
2020-06-08,Rajasthan,Ajmer,368,313,9,0,17759.0
2020-06-09,Rajasthan,Ajmer,377,331,11,0,18243.0
2020-06-10,Rajasthan,Ajmer,380,331,11,0,18557.0
2020-06-11,Rajasthan,Ajmer,394,340,11,0,18874.0
2020-06-12,Rajasthan,Ajmer,404,346,12,0,19310.0
2020-06-13,Rajasthan,Ajmer,415,351,12,0,20263.0
2020-06-14,Rajasthan,Ajmer,424,352,12,0,20381.0
2020-06-15,Rajasthan,Ajmer,429,352,12,0,20523.0
2020-06-16,Rajasthan,Ajmer,430,352,12,0,21062.0
2020-06-17,Rajasthan,Ajmer,436,354,12,0,21307.0
2020-06-18,Rajasthan,Ajmer,441,361,12,0,21630.0
2020-06-19,Rajasthan,Ajmer,445,365,13,0,22162.0
2020-06-20,Rajasthan,Ajmer,445,371,13,0,22368.0
2020-06-21,Rajasthan,Ajmer,449,375,14,0,22636.0
2020-06-22,Rajasthan,Ajmer,455,394,14,0,22766.0
2020-06-23,Rajasthan,Ajmer,468,397,14,0,23090.0
2020-06-24,Rajasthan,Ajmer,469,408,15,0,23523.0
2020-06-25,Rajasthan,Ajmer,479,410,15,0,24084.0
