Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Rajasthan,Alwar,7,4,1,0,
2020-04-27,Rajasthan,Alwar,7,5,1,0,
2020-04-28,Rajasthan,Alwar,7,5,1,0,
2020-04-29,Rajasthan,Alwar,7,5,1,0,
2020-04-30,Rajasthan,Alwar,9,5,1,0,
2020-05-01,Rajasthan,Alwar,9,5,1,0,
2020-05-02,Rajasthan,Alwar,11,5,1,0,
2020-05-03,Rajasthan,Alwar,11,6,1,0,
2020-05-04,Rajasthan,Alwar,12,6,1,0,
2020-05-05,Rajasthan,Alwar,13,6,1,0,
2020-05-06,Rajasthan,Alwar,16,6,1,0,
2020-05-07,Rajasthan,Alwar,18,6,1,0,
2020-05-08,Rajasthan,Alwar,20,6,1,0,
2020-05-09,Rajasthan,Alwar,20,6,1,0,
2020-05-10,Rajasthan,Alwar,20,6,1,0,
2020-05-11,Rajasthan,Alwar,31,6,1,0,
2020-05-12,Rajasthan,Alwar,31,6,1,0,
2020-05-13,Rajasthan,Alwar,32,7,2,0,
2020-05-14,Rajasthan,Alwar,33,7,2,0,
2020-05-15,Rajasthan,Alwar,33,13,2,0,
2020-05-16,Rajasthan,Alwar,33,13,2,0,
2020-05-17,Rajasthan,Alwar,35,13,2,0,
2020-05-18,Rajasthan,Alwar,35,13,2,0,
2020-05-19,Rajasthan,Alwar,36,13,2,0,6730.0
2020-05-20,Rajasthan,Alwar,36,13,2,0,7193.0
2020-05-21,Rajasthan,Alwar,40,28,2,0,7261.0
2020-05-22,Rajasthan,Alwar,40,28,2,0,7423.0
2020-05-23,Rajasthan,Alwar,45,28,2,0,7648.0
2020-05-24,Rajasthan,Alwar,46,28,2,0,7845.0
2020-05-25,Rajasthan,Alwar,51,28,2,0,8009.0
2020-05-26,Rajasthan,Alwar,51,28,2,0,8459.0
2020-05-27,Rajasthan,Alwar,51,32,2,0,8507.0
2020-05-28,Rajasthan,Alwar,51,45,2,0,8797.0
2020-05-29,Rajasthan,Alwar,53,47,2,0,9087.0
2020-05-30,Rajasthan,Alwar,53,49,2,0,9410.0
2020-05-31,Rajasthan,Alwar,53,49,2,0,9410.0
2020-06-01,Rajasthan,Alwar,59,52,2,0,10104.0
2020-06-02,Rajasthan,Alwar,69,52,2,0,10104.0
2020-06-03,Rajasthan,Alwar,82,52,2,0,10716.0
2020-06-04,Rajasthan,Alwar,82,52,2,0,10716.0
2020-06-05,Rajasthan,Alwar,82,52,2,0,10716.0
2020-06-06,Rajasthan,Alwar,82,52,2,0,10716.0
2020-06-07,Rajasthan,Alwar,83,52,2,0,10716.0
2020-06-08,Rajasthan,Alwar,150,52,2,0,13212.0
2020-06-09,Rajasthan,Alwar,169,52,2,0,13558.0
2020-06-10,Rajasthan,Alwar,171,52,2,0,13985.0
2020-06-11,Rajasthan,Alwar,215,52,2,0,14480.0
2020-06-12,Rajasthan,Alwar,247,57,2,0,14847.0
2020-06-13,Rajasthan,Alwar,250,64,2,0,15186.0
2020-06-14,Rajasthan,Alwar,262,68,2,0,15214.0
2020-06-15,Rajasthan,Alwar,300,89,2,0,15692.0
2020-06-16,Rajasthan,Alwar,313,89,3,0,16022.0
2020-06-17,Rajasthan,Alwar,315,302,3,0,16112.0
2020-06-18,Rajasthan,Alwar,325,302,3,0,16290.0
2020-06-19,Rajasthan,Alwar,339,302,3,0,16428.0
2020-06-20,Rajasthan,Alwar,340,302,3,0,16666.0
2020-06-21,Rajasthan,Alwar,352,302,5,0,16910.0
2020-06-22,Rajasthan,Alwar,358,302,5,0,16993.0
2020-06-23,Rajasthan,Alwar,368,302,5,0,17197.0
2020-06-24,Rajasthan,Alwar,386,302,5,0,17407.0
2020-06-25,Rajasthan,Alwar,400,304,5,0,17539.0
2020-06-26,Rajasthan,Alwar,407,307,5,0,17812.0
2020-06-27,Rajasthan,Alwar,463,316,5,0,18001.0
2020-06-28,Rajasthan,Alwar,503,329,6,0,18218.0
2020-06-29,Rajasthan,Alwar,503,329,6,0,18402.0
2020-06-30,Rajasthan,Alwar,525,329,6,0,18705.0
2020-07-01,Rajasthan,Alwar,572,329,6,0,18945.0
2020-07-02,Rajasthan,Alwar,598,338,6,0,19172.0
2020-07-03,Rajasthan,Alwar,602,340,6,0,19512.0
2020-07-04,Rajasthan,Alwar,656,340,6,0,19849.0
2020-07-05,Rajasthan,Alwar,703,340,6,0,20315.0
2020-07-06,Rajasthan,Alwar,758,343,6,0,20711.0
2020-07-07,Rajasthan,Alwar,797,351,6,0,21230.0
2020-07-08,Rajasthan,Alwar,923,369,6,0,21852.0
2020-07-09,Rajasthan,Alwar,944,373,6,0,22479.0
2020-07-10,Rajasthan,Alwar,1070,393,6,0,23035.0
2020-07-11,Rajasthan,Alwar,1115,393,6,0,23634.0
2020-07-12,Rajasthan,Alwar,1208,417,6,0,24283.0
2020-07-13,Rajasthan,Alwar,1250,449,7,0,24812.0
2020-07-14,Rajasthan,Alwar,1288,523,8,0,26299.0
2020-07-15,Rajasthan,Alwar,1452,640,8,0,27417.0
2020-07-16,Rajasthan,Alwar,1510,640,8,0,28643.0
2020-07-17,Rajasthan,Alwar,1534,736,8,0,30065.0
2020-07-18,Rajasthan,Alwar,1650,757,8,0,31347.0
2020-07-19,Rajasthan,Alwar,1702,860,8,0,32933.0
2020-07-20,Rajasthan,Alwar,1808,920,8,0,33630.0
2020-07-21,Rajasthan,Alwar,1914,948,8,0,34937.0
2020-07-22,Rajasthan,Alwar,2094,1037,11,0,36342.0
2020-07-23,Rajasthan,Alwar,2227,1065,14,0,38162.0
2020-07-24,Rajasthan,Alwar,2451,1135,14,0,39913.0
2020-07-25,Rajasthan,Alwar,2764,1176,14,0,41693.0
2020-07-26,Rajasthan,Alwar,2914,1232,14,0,43460.0
2020-07-27,Rajasthan,Alwar,3161,1348,14,0,44958.0
2020-07-28,Rajasthan,Alwar,3361,1407,14,0,46727.0
2020-07-29,Rajasthan,Alwar,3614,1490,15,0,48272.0
2020-07-30,Rajasthan,Alwar,3807,1651,16,0,50022.0
2020-07-31,Rajasthan,Alwar,3897,1654,16,0,51466.0
2020-08-01,Rajasthan,Alwar,4104,1724,16,0,52755.0
2020-08-02,Rajasthan,Alwar,4232,1809,18,0,53801.0
2020-08-03,Rajasthan,Alwar,4373,1896,18,0,54760.0
2020-08-04,Rajasthan,Alwar,4527,1909,20,0,55221.0
2020-08-05,Rajasthan,Alwar,4639,1994,21,0,56626.0
2020-08-06,Rajasthan,Alwar,4843,2264,21,0,57969.0
2020-08-07,Rajasthan,Alwar,5046,2501,23,0,59202.0
2020-08-08,Rajasthan,Alwar,5137,2864,23,0,60692.0
2020-08-09,Rajasthan,Alwar,5163,2976,23,0,62087.0
2020-08-10,Rajasthan,Alwar,5328,3114,23,0,62783.0
2020-08-11,Rajasthan,Alwar,5379,3309,23,0,64249.0
2020-08-12,Rajasthan,Alwar,5458,3518,23,0,66012.0
2020-08-13,Rajasthan,Alwar,5531,3518,23,0,67119.0
2020-08-14,Rajasthan,Alwar,5681,4085,23,0,68746.0
2020-08-15,Rajasthan,Alwar,5810,4347,23,0,70510.0
2020-08-16,Rajasthan,Alwar,5920,4522,23,0,71496.0
2020-08-17,Rajasthan,Alwar,6118,4640,23,0,72569.0
2020-08-18,Rajasthan,Alwar,6118,4801,23,0,74278.0
2020-08-19,Rajasthan,Alwar,6342,4890,23,0,75904.0
2020-08-20,Rajasthan,Alwar,6522,5006,23,0,77633.0
2020-08-21,Rajasthan,Alwar,6560,5139,23,0,78658.0
2020-08-22,Rajasthan,Alwar,6631,5397,23,0,80353.0
2020-08-23,Rajasthan,Alwar,6802,5397,23,0,81925.0
2020-08-24,Rajasthan,Alwar,6887,5502,23,0,82968.0
2020-08-25,Rajasthan,Alwar,7024,5698,23,0,84600.0
2020-08-26,Rajasthan,Alwar,7116,5771,23,0,85927.0
2020-08-27,Rajasthan,Alwar,7237,5915,23,0,87639.0
2020-08-28,Rajasthan,Alwar,7286,6039,24,0,89514.0
2020-08-29,Rajasthan,Alwar,7440,6133,24,0,90992.0
2020-08-30,Rajasthan,Alwar,7533,6320,24,0,93215.0
2020-08-31,Rajasthan,Alwar,7675,6499,24,0,94216.0
2020-09-01,Rajasthan,Alwar,7819,6620,24,0,95969.0
2020-09-02,Rajasthan,Alwar,7904,7383,25,0,97353.0
2020-09-03,Rajasthan,Alwar,7980,7383,26,0,98993.0
2020-09-04,Rajasthan,Alwar,8070,7383,26,0,100810.0
2020-09-05,Rajasthan,Alwar,8199,7383,28,0,102501.0
2020-09-06,Rajasthan,Alwar,8303,7600,29,0,104023.0
2020-09-07,Rajasthan,Alwar,8419,7800,30,0,105151.0
2020-09-08,Rajasthan,Alwar,8536,7899,30,0,106970.0
2020-09-09,Rajasthan,Alwar,8621,7961,30,0,108754.0
2020-09-10,Rajasthan,Alwar,8677,8000,31,0,110474.0
2020-09-11,Rajasthan,Alwar,8797,8090,31,0,112286.0
2020-09-12,Rajasthan,Alwar,8906,8120,31,0,113902.0
2020-09-13,Rajasthan,Alwar,9015,8205,31,0,115595.0
2020-09-14,Rajasthan,Alwar,9144,8500,31,0,116451.0
2020-09-15,Rajasthan,Alwar,9238,8680,31,0,118296.0
2020-09-16,Rajasthan,Alwar,9339,8820,31,0,120377.0
2020-09-17,Rajasthan,Alwar,9442,8962,31,0,121933.0
2020-09-18,Rajasthan,Alwar,9535,9088,32,0,123384.0
2020-09-19,Rajasthan,Alwar,9637,9180,32,0,124799.0
2020-09-20,Rajasthan,Alwar,9751,9290,33,0,126242.0
2020-09-21,Rajasthan,Alwar,9843,9400,34,0,127109.0
2020-09-22,Rajasthan,Alwar,9936,9515,35,0,128917.0
2020-09-23,Rajasthan,Alwar,10076,9641,36,0,130252.0
2020-09-24,Rajasthan,Alwar,10168,9710,37,0,131793.0
2020-09-25,Rajasthan,Alwar,10249,9855,38,0,133232.0
2020-09-26,Rajasthan,Alwar,10402,9995,38,0,134622.0
2020-09-27,Rajasthan,Alwar,10507,10168,39,0,136069.0
2020-09-28,Rajasthan,Alwar,10617,10219,40,0,136805.0
2020-09-29,Rajasthan,Alwar,10700,10339,41,0,138185.0
2020-09-30,Rajasthan,Alwar,10809,10475,42,0,139480.0
2020-10-01,Rajasthan,Alwar,10897,10560,42,0,140654.0
2020-10-02,Rajasthan,Alwar,11095,10630,43,0,141751.0
2020-10-03,Rajasthan,Alwar,11264,10840,43,0,142602.0
2020-10-04,Rajasthan,Alwar,11412,10949,45,0,143881.0
2020-10-05,Rajasthan,Alwar,11602,11073,46,0,144527.0
2020-10-06,Rajasthan,Alwar,11798,11289,46,0,145760.0
2020-10-07,Rajasthan,Alwar,11983,11392,46,0,146858.0
2020-10-08,Rajasthan,Alwar,12105,11512,46,0,147717.0
2020-10-09,Rajasthan,Alwar,12191,11649,46,0,148708.0
2020-10-10,Rajasthan,Alwar,12395,11942,46,0,149736.0
2020-10-11,Rajasthan,Alwar,12547,12050,46,0,150660.0
2020-10-12,Rajasthan,Alwar,12706,12169,46,0,151131.0
2020-10-13,Rajasthan,Alwar,12862,12284,47,0,152363.0
2020-10-14,Rajasthan,Alwar,12988,12398,48,0,153342.0
2020-10-15,Rajasthan,Alwar,13156,12559,49,0,154316.0
2020-10-16,Rajasthan,Alwar,13240,12737,50,0,155286.0
2020-10-17,Rajasthan,Alwar,13345,12878,50,0,156359.0
2020-10-18,Rajasthan,Alwar,13380,12984,50,0,156804.0
2020-10-19,Rajasthan,Alwar,13593,13080,50,0,157278.0
2020-10-20,Rajasthan,Alwar,13748,13277,51,0,158488.0
2020-10-21,Rajasthan,Alwar,13926,13398,51,0,159527.0
2020-10-22,Rajasthan,Alwar,13988,13469,51,0,160575.0
2020-10-23,Rajasthan,Alwar,14100,13680,52,0,161551.0
2020-10-24,Rajasthan,Alwar,14199,13783,53,0,162516.0
2020-10-25,Rajasthan,Alwar,14282,13890,53,0,163156.0
2020-10-26,Rajasthan,Alwar,14423,13990,53,0,163574.0
2020-10-27,Rajasthan,Alwar,14548,14080,54,0,164779.0
2020-10-28,Rajasthan,Alwar,14702,14221,54,0,165897.0
2020-10-29,Rajasthan,Alwar,14702,14221,54,0,165897.0
