Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-06,Rajasthan,BSF Camp,30,0,0,0,
2020-05-07,Rajasthan,BSF Camp,42,0,0,0,
2020-05-08,Rajasthan,BSF Camp,42,0,0,0,
2020-05-09,Rajasthan,BSF Camp,42,0,0,0,
2020-05-10,Rajasthan,BSF Camp,42,0,0,0,
2020-05-11,Rajasthan,BSF Camp,42,0,0,0,
2020-05-12,Rajasthan,BSF Camp,42,0,0,0,
2020-05-13,Rajasthan,BSF Camp,43,0,0,0,
2020-05-14,Rajasthan,BSF Camp,43,0,0,0,
2020-05-15,Rajasthan,BSF Camp,49,0,0,0,
2020-05-16,Rajasthan,BSF Camp,49,42,0,0,
2020-05-17,Rajasthan,BSF Camp,49,42,0,0,
2020-05-18,Rajasthan,BSF Camp,50,42,0,0,
2020-05-19,Rajasthan,BSF Camp,50,42,0,0,
2020-05-20,Rajasthan,BSF Camp,50,42,0,0,
2020-05-21,Rajasthan,BSF Camp,50,42,0,0,
2020-05-22,Rajasthan,BSF Camp,50,42,0,0,
2020-05-23,Rajasthan,BSF Camp,50,42,0,0,
2020-05-24,Rajasthan,BSF Camp,50,42,0,0,
2020-05-25,Rajasthan,BSF Camp,50,42,0,0,
2020-05-26,Rajasthan,BSF Camp,50,42,0,0,
2020-05-27,Rajasthan,BSF Camp,50,42,0,0,
2020-05-28,Rajasthan,BSF Camp,50,42,0,0,
2020-05-29,Rajasthan,BSF Camp,50,42,0,0,
2020-05-30,Rajasthan,BSF Camp,50,42,0,0,
2020-05-31,Rajasthan,BSF Camp,50,42,0,0,
2020-06-01,Rajasthan,BSF Camp,50,42,0,0,
2020-06-02,Rajasthan,BSF Camp,50,42,0,0,
2020-06-03,Rajasthan,BSF Camp,50,50,0,0,
2020-06-04,Rajasthan,BSF Camp,50,50,0,0,
2020-06-05,Rajasthan,BSF Camp,50,50,0,0,
2020-06-06,Rajasthan,BSF Camp,50,50,0,0,
2020-06-07,Rajasthan,BSF Camp,50,50,0,0,
2020-06-08,Rajasthan,BSF Camp,50,50,0,0,
2020-06-09,Rajasthan,BSF Camp,50,50,0,0,
2020-06-10,Rajasthan,BSF Camp,50,50,0,0,
2020-06-11,Rajasthan,BSF Camp,50,50,0,0,
2020-06-12,Rajasthan,BSF Camp,50,50,0,0,
2020-06-13,Rajasthan,BSF Camp,50,50,0,0,
2020-06-14,Rajasthan,BSF Camp,50,50,0,0,
2020-06-15,Rajasthan,BSF Camp,50,50,0,0,
2020-06-16,Rajasthan,BSF Camp,50,50,0,0,
2020-06-17,Rajasthan,BSF Camp,50,50,0,0,
2020-06-18,Rajasthan,BSF Camp,50,50,0,0,
2020-06-19,Rajasthan,BSF Camp,50,50,0,0,
2020-06-20,Rajasthan,BSF Camp,50,50,0,0,
2020-06-21,Rajasthan,BSF Camp,50,50,0,0,
2020-06-22,Rajasthan,BSF Camp,50,50,0,0,
2020-06-23,Rajasthan,BSF Camp,50,50,0,0,
2020-06-24,Rajasthan,BSF Camp,50,50,0,0,
2020-06-25,Rajasthan,BSF Camp,50,50,0,0,
2020-06-26,Rajasthan,BSF Camp,50,50,0,0,
2020-06-27,Rajasthan,BSF Camp,50,50,0,0,
2020-06-28,Rajasthan,BSF Camp,50,50,0,0,
2020-06-29,Rajasthan,BSF Camp,51,50,0,0,
2020-06-30,Rajasthan,BSF Camp,52,50,0,0,
2020-07-01,Rajasthan,BSF Camp,52,50,0,0,
2020-07-02,Rajasthan,BSF Camp,52,50,0,0,
2020-07-03,Rajasthan,BSF Camp,52,50,0,0,
2020-07-04,Rajasthan,BSF Camp,53,50,0,0,
2020-07-05,Rajasthan,BSF Camp,53,50,0,0,
2020-07-06,Rajasthan,BSF Camp,58,50,0,0,
2020-07-07,Rajasthan,BSF Camp,54,50,0,0,
2020-07-08,Rajasthan,BSF Camp,54,50,0,0,
2020-07-09,Rajasthan,BSF Camp,54,50,0,0,
2020-07-10,Rajasthan,BSF Camp,54,50,0,0,
2020-07-11,Rajasthan,BSF Camp,54,50,0,0,
2020-07-12,Rajasthan,BSF Camp,54,50,0,0,
2020-07-13,Rajasthan,BSF Camp,54,52,0,0,
2020-07-14,Rajasthan,BSF Camp,54,52,0,0,
2020-07-15,Rajasthan,BSF Camp,54,52,0,0,
2020-07-16,Rajasthan,BSF Camp,54,52,0,0,
2020-07-17,Rajasthan,BSF Camp,54,52,0,0,
2020-07-18,Rajasthan,BSF Camp,54,52,0,0,
2020-07-19,Rajasthan,BSF Camp,54,52,0,0,
2020-07-20,Rajasthan,BSF Camp,59,52,0,0,
2020-07-21,Rajasthan,BSF Camp,59,52,0,0,
2020-07-22,Rajasthan,BSF Camp,59,52,0,0,
2020-07-23,Rajasthan,BSF Camp,59,52,0,0,
2020-07-24,Rajasthan,BSF Camp,59,52,0,0,
2020-07-25,Rajasthan,BSF Camp,59,52,0,0,
2020-07-26,Rajasthan,BSF Camp,59,52,0,0,
2020-07-27,Rajasthan,BSF Camp,59,52,0,0,
2020-07-28,Rajasthan,BSF Camp,59,52,0,0,
2020-07-29,Rajasthan,BSF Camp,59,52,0,0,
2020-07-30,Rajasthan,BSF Camp,59,52,0,0,
2020-07-31,Rajasthan,BSF Camp,59,52,0,0,
2020-08-01,Rajasthan,BSF Camp,59,52,0,0,
2020-08-02,Rajasthan,BSF Camp,59,52,0,0,
2020-08-03,Rajasthan,BSF Camp,79,52,0,0,
2020-08-04,Rajasthan,BSF Camp,79,52,0,0,
2020-08-05,Rajasthan,BSF Camp,79,52,0,0,
2020-08-06,Rajasthan,BSF Camp,79,52,0,0,
2020-08-07,Rajasthan,BSF Camp,85,52,0,0,
2020-08-08,Rajasthan,BSF Camp,85,52,0,0,
2020-08-09,Rajasthan,BSF Camp,85,52,0,0,
2020-08-10,Rajasthan,BSF Camp,85,52,0,0,
2020-08-11,Rajasthan,BSF Camp,85,52,0,0,
2020-08-12,Rajasthan,BSF Camp,85,52,0,0,
2020-08-13,Rajasthan,BSF Camp,85,52,0,0,
2020-08-14,Rajasthan,BSF Camp,85,52,0,0,
2020-08-15,Rajasthan,BSF Camp,85,52,0,0,
2020-08-16,Rajasthan,BSF Camp,85,52,0,0,
2020-08-17,Rajasthan,BSF Camp,85,85,0,0,
2020-08-18,Rajasthan,BSF Camp,85,85,0,0,
2020-08-19,Rajasthan,BSF Camp,85,85,0,0,
2020-08-20,Rajasthan,BSF Camp,85,85,0,0,
2020-08-21,Rajasthan,BSF Camp,85,85,0,0,
2020-08-22,Rajasthan,BSF Camp,85,85,0,0,
2020-08-23,Rajasthan,BSF Camp,85,85,0,0,
2020-08-24,Rajasthan,BSF Camp,85,85,0,0,
2020-08-25,Rajasthan,BSF Camp,85,85,0,0,
2020-08-26,Rajasthan,BSF Camp,85,85,0,0,
2020-08-27,Rajasthan,BSF Camp,85,85,0,0,
2020-08-28,Rajasthan,BSF Camp,85,85,0,0,
2020-08-29,Rajasthan,BSF Camp,85,85,0,0,
2020-08-30,Rajasthan,BSF Camp,85,85,0,0,
2020-08-31,Rajasthan,BSF Camp,85,85,0,0,
2020-09-01,Rajasthan,BSF Camp,85,85,0,0,
2020-09-02,Rajasthan,BSF Camp,85,85,0,0,
2020-09-03,Rajasthan,BSF Camp,85,85,0,0,
2020-09-04,Rajasthan,BSF Camp,85,85,0,0,
2020-09-05,Rajasthan,BSF Camp,85,85,0,0,
2020-09-06,Rajasthan,BSF Camp,85,85,0,0,
2020-09-07,Rajasthan,BSF Camp,85,85,0,0,
2020-09-08,Rajasthan,BSF Camp,85,85,0,0,
2020-09-09,Rajasthan,BSF Camp,85,85,0,0,
2020-09-10,Rajasthan,BSF Camp,85,85,0,0,
2020-09-11,Rajasthan,BSF Camp,85,85,0,0,
2020-09-12,Rajasthan,BSF Camp,85,85,0,0,
2020-09-13,Rajasthan,BSF Camp,85,85,0,0,
2020-09-14,Rajasthan,BSF Camp,85,85,0,0,
2020-09-15,Rajasthan,BSF Camp,85,85,0,0,
2020-09-16,Rajasthan,BSF Camp,85,85,0,0,
2020-09-17,Rajasthan,BSF Camp,85,85,0,0,
2020-09-18,Rajasthan,BSF Camp,85,85,0,0,
2020-09-19,Rajasthan,BSF Camp,85,85,0,0,
2020-09-20,Rajasthan,BSF Camp,85,85,0,0,
2020-09-21,Rajasthan,BSF Camp,85,85,0,0,
2020-09-22,Rajasthan,BSF Camp,85,85,0,0,
2020-09-23,Rajasthan,BSF Camp,85,85,0,0,
2020-09-24,Rajasthan,BSF Camp,85,85,0,0,
2020-09-25,Rajasthan,BSF Camp,85,85,0,0,
2020-09-26,Rajasthan,BSF Camp,85,85,0,0,
2020-09-27,Rajasthan,BSF Camp,85,85,0,0,
2020-09-28,Rajasthan,BSF Camp,85,85,0,0,
2020-09-29,Rajasthan,BSF Camp,85,85,0,0,
2020-09-30,Rajasthan,BSF Camp,85,85,0,0,
2020-10-01,Rajasthan,BSF Camp,85,85,0,0,
2020-10-02,Rajasthan,BSF Camp,85,85,0,0,
2020-10-03,Rajasthan,BSF Camp,85,85,0,0,
2020-10-04,Rajasthan,BSF Camp,85,85,0,0,
2020-10-05,Rajasthan,BSF Camp,85,85,0,0,
2020-10-06,Rajasthan,BSF Camp,85,85,0,0,
2020-10-07,Rajasthan,BSF Camp,85,85,0,0,
2020-10-08,Rajasthan,BSF Camp,85,85,0,0,
2020-10-09,Rajasthan,BSF Camp,85,85,0,0,
2020-10-10,Rajasthan,BSF Camp,85,85,0,0,
2020-10-11,Rajasthan,BSF Camp,85,85,0,0,
2020-10-12,Rajasthan,BSF Camp,85,85,0,0,
2020-10-13,Rajasthan,BSF Camp,85,85,0,0,
2020-10-14,Rajasthan,BSF Camp,85,85,0,0,
2020-10-15,Rajasthan,BSF Camp,85,85,0,0,
2020-10-16,Rajasthan,BSF Camp,85,85,0,0,
2020-10-17,Rajasthan,BSF Camp,85,85,0,0,
2020-10-18,Rajasthan,BSF Camp,85,85,0,0,
2020-10-19,Rajasthan,BSF Camp,85,85,0,0,
2020-10-20,Rajasthan,BSF Camp,85,85,0,0,
2020-10-21,Rajasthan,BSF Camp,85,85,0,0,
2020-10-22,Rajasthan,BSF Camp,85,85,0,0,
2020-10-23,Rajasthan,BSF Camp,85,85,0,0,
2020-10-24,Rajasthan,BSF Camp,85,85,0,0,
2020-10-25,Rajasthan,BSF Camp,85,85,0,0,
2020-10-26,Rajasthan,BSF Camp,85,85,0,0,
2020-10-27,Rajasthan,BSF Camp,85,85,0,0,
