Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-30,Rajasthan,Baran,1,0,0,0,
2020-05-01,Rajasthan,Baran,1,0,0,0,
2020-05-02,Rajasthan,Baran,1,0,0,0,
2020-05-03,Rajasthan,Baran,1,0,0,0,
2020-05-04,Rajasthan,Baran,1,0,0,0,
2020-05-05,Rajasthan,Baran,1,0,0,0,
2020-05-06,Rajasthan,Baran,1,0,0,0,
2020-05-07,Rajasthan,Baran,1,0,0,0,
2020-05-08,Rajasthan,Baran,1,0,0,0,
2020-05-09,Rajasthan,Baran,1,0,0,0,
2020-05-10,Rajasthan,Baran,3,0,0,0,
2020-05-11,Rajasthan,Baran,3,0,0,0,
2020-05-12,Rajasthan,Baran,3,1,0,0,
2020-05-13,Rajasthan,Baran,3,1,0,0,
2020-05-14,Rajasthan,Baran,3,3,0,0,
2020-05-15,Rajasthan,Baran,4,3,0,0,
2020-05-16,Rajasthan,Baran,4,3,0,0,
2020-05-17,Rajasthan,Baran,4,3,0,0,
2020-05-18,Rajasthan,Baran,4,3,0,0,
2020-05-19,Rajasthan,Baran,4,4,0,0,
2020-05-20,Rajasthan,Baran,5,4,0,0,1658.0
2020-05-21,Rajasthan,Baran,5,4,0,0,1679.0
2020-05-22,Rajasthan,Baran,5,4,0,0,1806.0
2020-05-23,Rajasthan,Baran,5,4,0,0,1914.0
2020-05-24,Rajasthan,Baran,5,4,0,0,1990.0
2020-05-25,Rajasthan,Baran,5,4,0,0,1994.0
2020-05-26,Rajasthan,Baran,5,4,0,0,2084.0
2020-05-27,Rajasthan,Baran,8,4,0,0,2105.0
2020-05-28,Rajasthan,Baran,8,4,0,0,2203.0
2020-05-29,Rajasthan,Baran,8,4,0,0,2292.0
2020-05-30,Rajasthan,Baran,15,4,0,0,2359.0
2020-05-31,Rajasthan,Baran,15,4,0,0,2359.0
2020-06-01,Rajasthan,Baran,42,4,1,0,2900.0
2020-06-02,Rajasthan,Baran,42,6,1,0,2900.0
2020-06-03,Rajasthan,Baran,45,6,2,0,3233.0
2020-06-04,Rajasthan,Baran,53,8,2,0,3233.0
2020-06-05,Rajasthan,Baran,57,8,2,0,3233.0
2020-06-06,Rajasthan,Baran,58,8,2,0,3233.0
2020-06-07,Rajasthan,Baran,59,8,3,0,3233.0
2020-06-08,Rajasthan,Baran,60,32,3,0,4034.0
2020-06-09,Rajasthan,Baran,61,33,3,0,4103.0
2020-06-10,Rajasthan,Baran,61,33,3,0,4242.0
2020-06-11,Rajasthan,Baran,62,33,4,0,4265.0
2020-06-12,Rajasthan,Baran,62,41,4,0,4290.0
2020-06-13,Rajasthan,Baran,62,44,4,0,4377.0
2020-06-14,Rajasthan,Baran,62,52,4,0,4421.0
2020-06-15,Rajasthan,Baran,62,55,4,0,4545.0
2020-06-16,Rajasthan,Baran,62,55,4,0,4620.0
2020-06-17,Rajasthan,Baran,62,57,4,0,4685.0
2020-06-18,Rajasthan,Baran,62,58,4,0,4748.0
2020-06-19,Rajasthan,Baran,62,58,4,0,4800.0
2020-06-20,Rajasthan,Baran,62,58,4,0,4846.0
2020-06-21,Rajasthan,Baran,62,58,4,0,4895.0
2020-06-22,Rajasthan,Baran,62,58,4,0,4917.0
2020-06-23,Rajasthan,Baran,62,58,4,0,4966.0
2020-06-24,Rajasthan,Baran,64,58,4,0,5041.0
2020-06-25,Rajasthan,Baran,64,58,4,0,5096.0
2020-06-26,Rajasthan,Baran,65,58,4,0,5136.0
2020-06-27,Rajasthan,Baran,65,58,4,0,5223.0
2020-06-28,Rajasthan,Baran,65,58,4,0,5283.0
2020-06-29,Rajasthan,Baran,65,58,4,0,5313.0
2020-06-30,Rajasthan,Baran,65,58,4,0,5354.0
2020-07-01,Rajasthan,Baran,65,59,4,0,5407.0
2020-07-02,Rajasthan,Baran,67,59,4,0,5442.0
2020-07-03,Rajasthan,Baran,67,59,4,0,5525.0
2020-07-04,Rajasthan,Baran,67,60,4,0,5642.0
2020-07-05,Rajasthan,Baran,71,60,4,0,5709.0
2020-07-06,Rajasthan,Baran,71,60,4,0,5764.0
2020-07-07,Rajasthan,Baran,71,60,4,0,5979.0
2020-07-08,Rajasthan,Baran,71,60,4,0,6385.0
2020-07-09,Rajasthan,Baran,74,62,4,0,6745.0
2020-07-10,Rajasthan,Baran,74,62,4,0,7058.0
2020-07-11,Rajasthan,Baran,76,62,4,0,7370.0
2020-07-12,Rajasthan,Baran,76,64,4,0,7516.0
2020-07-13,Rajasthan,Baran,76,64,4,0,7537.0
2020-07-14,Rajasthan,Baran,76,65,4,0,7683.0
2020-07-15,Rajasthan,Baran,77,65,4,0,7787.0
2020-07-16,Rajasthan,Baran,77,67,4,0,7880.0
2020-07-17,Rajasthan,Baran,78,70,4,0,8034.0
2020-07-18,Rajasthan,Baran,78,71,4,0,8377.0
2020-07-19,Rajasthan,Baran,79,71,4,0,8658.0
2020-07-20,Rajasthan,Baran,79,72,4,0,8936.0
2020-07-21,Rajasthan,Baran,80,72,4,0,9163.0
2020-07-22,Rajasthan,Baran,81,73,4,0,9740.0
2020-07-23,Rajasthan,Baran,91,74,4,0,10004.0
2020-07-24,Rajasthan,Baran,102,74,4,0,10507.0
2020-07-25,Rajasthan,Baran,102,74,4,0,11147.0
2020-07-26,Rajasthan,Baran,113,74,5,0,11479.0
2020-07-27,Rajasthan,Baran,119,74,5,0,11822.0
2020-07-28,Rajasthan,Baran,124,74,5,0,12224.0
2020-07-29,Rajasthan,Baran,128,95,5,0,12489.0
2020-07-30,Rajasthan,Baran,135,95,5,0,12671.0
2020-07-31,Rajasthan,Baran,138,95,5,0,13016.0
2020-08-01,Rajasthan,Baran,139,95,5,0,13244.0
2020-08-02,Rajasthan,Baran,181,95,5,0,13293.0
2020-08-03,Rajasthan,Baran,181,95,5,0,13711.0
2020-08-04,Rajasthan,Baran,221,107,5,0,13773.0
2020-08-05,Rajasthan,Baran,226,107,5,0,14250.0
2020-08-06,Rajasthan,Baran,227,107,5,0,14738.0
2020-08-07,Rajasthan,Baran,227,107,5,0,14901.0
2020-08-08,Rajasthan,Baran,227,122,8,0,15098.0
2020-08-09,Rajasthan,Baran,261,139,8,0,15353.0
2020-08-10,Rajasthan,Baran,264,139,8,0,15569.0
2020-08-11,Rajasthan,Baran,301,142,10,0,15874.0
2020-08-12,Rajasthan,Baran,308,153,10,0,16310.0
2020-08-13,Rajasthan,Baran,317,153,10,0,16543.0
2020-08-14,Rajasthan,Baran,323,159,10,0,16759.0
2020-08-15,Rajasthan,Baran,328,159,12,0,16929.0
2020-08-16,Rajasthan,Baran,363,166,12,0,17090.0
2020-08-17,Rajasthan,Baran,367,176,12,0,17473.0
2020-08-18,Rajasthan,Baran,386,206,12,0,17807.0
2020-08-19,Rajasthan,Baran,386,206,12,0,18034.0
2020-08-20,Rajasthan,Baran,386,230,12,0,18528.0
2020-08-21,Rajasthan,Baran,393,230,12,0,19059.0
2020-08-22,Rajasthan,Baran,405,240,12,0,19575.0
2020-08-23,Rajasthan,Baran,410,256,12,0,20065.0
2020-08-24,Rajasthan,Baran,429,271,12,0,20453.0
2020-08-25,Rajasthan,Baran,441,271,12,0,21067.0
2020-08-26,Rajasthan,Baran,451,307,12,0,21627.0
2020-08-27,Rajasthan,Baran,463,307,12,0,22142.0
2020-08-28,Rajasthan,Baran,474,328,12,0,22621.0
2020-08-29,Rajasthan,Baran,481,360,12,0,22818.0
2020-08-30,Rajasthan,Baran,517,383,12,0,23166.0
2020-08-31,Rajasthan,Baran,557,393,12,0,23481.0
2020-09-01,Rajasthan,Baran,603,393,12,0,24020.0
2020-09-02,Rajasthan,Baran,630,422,12,0,24293.0
2020-09-03,Rajasthan,Baran,671,430,12,0,24536.0
2020-09-04,Rajasthan,Baran,731,486,12,0,24807.0
2020-09-05,Rajasthan,Baran,765,490,12,0,25214.0
2020-09-06,Rajasthan,Baran,803,530,12,0,25656.0
2020-09-07,Rajasthan,Baran,839,570,12,0,25829.0
2020-09-08,Rajasthan,Baran,873,590,12,0,26183.0
2020-09-09,Rajasthan,Baran,918,610,12,0,26497.0
2020-09-10,Rajasthan,Baran,941,630,12,0,26711.0
2020-09-11,Rajasthan,Baran,971,690,13,0,26885.0
2020-09-12,Rajasthan,Baran,994,698,13,0,27116.0
2020-09-13,Rajasthan,Baran,1008,720,13,0,27535.0
2020-09-14,Rajasthan,Baran,1029,750,13,0,27611.0
2020-09-15,Rajasthan,Baran,1058,799,13,0,27916.0
2020-09-16,Rajasthan,Baran,1078,819,13,0,28224.0
2020-09-17,Rajasthan,Baran,1106,825,13,0,28370.0
2020-09-18,Rajasthan,Baran,1139,843,14,0,28647.0
2020-09-19,Rajasthan,Baran,1164,870,15,0,28929.0
2020-09-20,Rajasthan,Baran,1174,920,15,0,29100.0
2020-09-21,Rajasthan,Baran,1183,950,16,0,29214.0
2020-09-22,Rajasthan,Baran,1193,996,16,0,29445.0
2020-09-23,Rajasthan,Baran,1198,1020,16,0,29593.0
2020-09-24,Rajasthan,Baran,1210,1033,17,0,29723.0
2020-09-25,Rajasthan,Baran,1228,1066,18,0,29904.0
2020-09-26,Rajasthan,Baran,1248,1076,19,0,30043.0
2020-09-27,Rajasthan,Baran,1261,1108,20,0,30199.0
2020-09-28,Rajasthan,Baran,1275,1123,21,0,30239.0
2020-09-29,Rajasthan,Baran,1286,1138,22,0,30438.0
2020-09-30,Rajasthan,Baran,1291,1185,22,0,30553.0
2020-10-01,Rajasthan,Baran,1305,1192,23,0,30671.0
2020-10-02,Rajasthan,Baran,1312,1195,23,0,30814.0
2020-10-03,Rajasthan,Baran,1319,1197,23,0,30885.0
