Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-27,Rajasthan,Bundi,1,0,0,0,1326.0
2020-05-28,Rajasthan,Bundi,2,0,0,0,1421.0
2020-05-29,Rajasthan,Bundi,2,0,0,0,1570.0
2020-05-30,Rajasthan,Bundi,2,0,0,0,1605.0
2020-05-31,Rajasthan,Bundi,2,0,0,0,1605.0
2020-06-01,Rajasthan,Bundi,2,0,0,0,1692.0
2020-06-02,Rajasthan,Bundi,2,0,0,0,1692.0
2020-06-03,Rajasthan,Bundi,2,0,0,0,1938.0
2020-06-04,Rajasthan,Bundi,4,0,0,0,1938.0
2020-06-05,Rajasthan,Bundi,4,0,0,0,1938.0
2020-06-06,Rajasthan,Bundi,4,0,0,0,1938.0
2020-06-07,Rajasthan,Bundi,5,0,0,0,1938.0
2020-06-08,Rajasthan,Bundi,7,0,0,0,2427.0
2020-06-09,Rajasthan,Bundi,8,0,0,0,2459.0
2020-06-10,Rajasthan,Bundi,9,1,0,0,2584.0
2020-06-11,Rajasthan,Bundi,9,3,0,0,2606.0
2020-06-12,Rajasthan,Bundi,9,3,0,0,2633.0
2020-06-13,Rajasthan,Bundi,9,3,0,0,2792.0
2020-06-14,Rajasthan,Bundi,9,3,0,0,2859.0
2020-06-15,Rajasthan,Bundi,10,3,0,0,2903.0
2020-06-16,Rajasthan,Bundi,10,3,0,0,3035.0
2020-06-17,Rajasthan,Bundi,10,3,0,0,3067.0
2020-06-18,Rajasthan,Bundi,10,3,0,0,3145.0
2020-06-19,Rajasthan,Bundi,10,8,0,0,3183.0
2020-06-20,Rajasthan,Bundi,10,8,0,0,3232.0
2020-06-21,Rajasthan,Bundi,10,8,0,0,3328.0
2020-06-22,Rajasthan,Bundi,10,8,0,0,3349.0
2020-06-23,Rajasthan,Bundi,10,10,0,0,3462.0
2020-06-24,Rajasthan,Bundi,12,10,0,0,3567.0
2020-06-25,Rajasthan,Bundi,13,10,0,0,3768.0
2020-06-26,Rajasthan,Bundi,14,10,0,0,3898.0
2020-06-27,Rajasthan,Bundi,14,10,0,0,3972.0
2020-06-28,Rajasthan,Bundi,14,10,0,0,4126.0
2020-06-29,Rajasthan,Bundi,14,10,0,0,4241.0
2020-06-30,Rajasthan,Bundi,14,10,0,0,4563.0
2020-07-01,Rajasthan,Bundi,14,11,0,0,4763.0
2020-07-02,Rajasthan,Bundi,15,11,0,0,4839.0
2020-07-03,Rajasthan,Bundi,15,11,0,0,4971.0
2020-07-04,Rajasthan,Bundi,15,11,0,0,5074.0
2020-07-05,Rajasthan,Bundi,15,11,0,0,5221.0
2020-07-06,Rajasthan,Bundi,15,11,0,0,5265.0
2020-07-07,Rajasthan,Bundi,16,14,0,0,5365.0
2020-07-08,Rajasthan,Bundi,16,14,0,0,5483.0
2020-07-09,Rajasthan,Bundi,16,14,0,0,5557.0
2020-07-10,Rajasthan,Bundi,18,14,0,0,5599.0
2020-07-11,Rajasthan,Bundi,18,14,0,0,5647.0
2020-07-12,Rajasthan,Bundi,22,14,0,0,5907.0
2020-07-13,Rajasthan,Bundi,22,14,0,0,6043.0
2020-07-14,Rajasthan,Bundi,30,14,0,0,6238.0
2020-07-15,Rajasthan,Bundi,30,15,0,0,6378.0
2020-07-16,Rajasthan,Bundi,35,15,0,0,6510.0
2020-07-17,Rajasthan,Bundi,35,15,0,0,6615.0
2020-07-18,Rajasthan,Bundi,36,15,0,0,6781.0
2020-07-19,Rajasthan,Bundi,36,15,0,0,7102.0
2020-07-20,Rajasthan,Bundi,37,15,0,0,7145.0
2020-07-21,Rajasthan,Bundi,38,23,0,0,7416.0
2020-07-22,Rajasthan,Bundi,40,26,0,0,7714.0
2020-07-23,Rajasthan,Bundi,49,26,0,0,7924.0
2020-07-24,Rajasthan,Bundi,50,31,0,0,8141.0
2020-07-25,Rajasthan,Bundi,62,31,0,0,8373.0
2020-07-26,Rajasthan,Bundi,91,31,0,0,8659.0
2020-07-27,Rajasthan,Bundi,110,31,0,0,8940.0
2020-07-28,Rajasthan,Bundi,119,31,0,0,9212.0
2020-07-29,Rajasthan,Bundi,122,45,0,0,9515.0
2020-07-30,Rajasthan,Bundi,129,48,0,0,9746.0
2020-07-31,Rajasthan,Bundi,136,57,0,0,10179.0
2020-08-01,Rajasthan,Bundi,151,60,0,0,10513.0
2020-08-02,Rajasthan,Bundi,151,60,0,0,10591.0
2020-08-03,Rajasthan,Bundi,221,60,0,0,10878.0
2020-08-04,Rajasthan,Bundi,229,69,0,0,10956.0
2020-08-05,Rajasthan,Bundi,237,69,0,0,11214.0
2020-08-06,Rajasthan,Bundi,250,84,1,0,11595.0
2020-08-07,Rajasthan,Bundi,252,95,1,0,11805.0
2020-08-08,Rajasthan,Bundi,255,95,1,0,12264.0
