Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Rajasthan,Hanumangarh,11,2,0,0,
2020-04-27,Rajasthan,Hanumangarh,11,2,0,0,
2020-04-28,Rajasthan,Hanumangarh,11,2,0,0,
2020-04-29,Rajasthan,Hanumangarh,11,5,0,0,
2020-04-30,Rajasthan,Hanumangarh,11,10,0,0,
2020-05-01,Rajasthan,Hanumangarh,11,10,0,0,
2020-05-02,Rajasthan,Hanumangarh,11,10,0,0,
2020-05-03,Rajasthan,Hanumangarh,11,10,0,0,
2020-05-04,Rajasthan,Hanumangarh,11,10,0,0,
2020-05-05,Rajasthan,Hanumangarh,11,10,0,0,
2020-05-06,Rajasthan,Hanumangarh,11,11,0,0,
2020-05-07,Rajasthan,Hanumangarh,11,11,0,0,
2020-05-08,Rajasthan,Hanumangarh,11,11,0,0,
2020-05-09,Rajasthan,Hanumangarh,11,11,0,0,
2020-05-10,Rajasthan,Hanumangarh,11,11,0,0,
2020-05-11,Rajasthan,Hanumangarh,11,11,0,0,
2020-05-12,Rajasthan,Hanumangarh,12,11,0,0,
2020-05-13,Rajasthan,Hanumangarh,12,11,0,0,
2020-05-14,Rajasthan,Hanumangarh,12,11,0,0,
2020-05-15,Rajasthan,Hanumangarh,14,11,0,0,
2020-05-16,Rajasthan,Hanumangarh,14,11,0,0,
2020-05-17,Rajasthan,Hanumangarh,14,11,0,0,
2020-05-18,Rajasthan,Hanumangarh,14,12,0,0,
2020-05-19,Rajasthan,Hanumangarh,14,12,0,0,
2020-05-20,Rajasthan,Hanumangarh,14,13,0,0,2646.0
2020-05-21,Rajasthan,Hanumangarh,14,13,0,0,2646.0
2020-05-22,Rajasthan,Hanumangarh,14,14,0,0,2815.0
2020-05-23,Rajasthan,Hanumangarh,14,14,0,0,2855.0
2020-05-24,Rajasthan,Hanumangarh,14,14,0,0,2904.0
2020-05-25,Rajasthan,Hanumangarh,14,14,0,0,2920.0
2020-05-26,Rajasthan,Hanumangarh,14,14,0,0,2923.0
2020-05-27,Rajasthan,Hanumangarh,21,14,0,0,3110.0
2020-05-28,Rajasthan,Hanumangarh,24,14,0,0,3279.0
2020-05-29,Rajasthan,Hanumangarh,29,14,0,0,3566.0
