Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Rajasthan,Jhalawar,30,16,0,0,
2020-04-27,Rajasthan,Jhalawar,40,16,0,0,
2020-04-28,Rajasthan,Jhalawar,40,20,0,0,
2020-04-29,Rajasthan,Jhalawar,40,20,0,0,
2020-04-30,Rajasthan,Jhalawar,40,20,0,0,
2020-05-01,Rajasthan,Jhalawar,40,28,0,0,
2020-05-02,Rajasthan,Jhalawar,40,28,0,0,
2020-05-03,Rajasthan,Jhalawar,40,28,0,0,
2020-05-04,Rajasthan,Jhalawar,41,28,0,0,
2020-05-05,Rajasthan,Jhalawar,42,38,0,0,
2020-05-06,Rajasthan,Jhalawar,45,39,0,0,
2020-05-07,Rajasthan,Jhalawar,45,39,0,0,
2020-05-08,Rajasthan,Jhalawar,47,39,0,0,
2020-05-09,Rajasthan,Jhalawar,47,41,0,0,
2020-05-10,Rajasthan,Jhalawar,47,41,0,0,
2020-05-11,Rajasthan,Jhalawar,47,41,0,0,
2020-05-12,Rajasthan,Jhalawar,47,41,0,0,
2020-05-13,Rajasthan,Jhalawar,47,45,0,0,
2020-05-14,Rajasthan,Jhalawar,47,47,0,0,
2020-05-15,Rajasthan,Jhalawar,48,47,0,0,
2020-05-16,Rajasthan,Jhalawar,48,47,0,0,
2020-05-17,Rajasthan,Jhalawar,49,47,0,0,
2020-05-18,Rajasthan,Jhalawar,49,47,0,0,
2020-05-19,Rajasthan,Jhalawar,50,47,0,0,5539.0
2020-05-20,Rajasthan,Jhalawar,51,47,0,0,5795.0
2020-05-21,Rajasthan,Jhalawar,52,47,0,0,6107.0
2020-05-22,Rajasthan,Jhalawar,52,47,0,0,6377.0
2020-05-23,Rajasthan,Jhalawar,59,47,0,0,6591.0
2020-05-24,Rajasthan,Jhalawar,59,47,0,0,6695.0
2020-05-25,Rajasthan,Jhalawar,59,48,0,0,6848.0
2020-05-26,Rajasthan,Jhalawar,71,48,0,0,7090.0
2020-05-27,Rajasthan,Jhalawar,135,48,0,0,7372.0
2020-05-28,Rajasthan,Jhalawar,204,49,0,0,7665.0
2020-05-29,Rajasthan,Jhalawar,246,50,0,0,8072.0
2020-05-30,Rajasthan,Jhalawar,249,51,0,0,8931.0
2020-05-31,Rajasthan,Jhalawar,264,54,0,0,8931.0
2020-06-01,Rajasthan,Jhalawar,269,55,0,0,10438.0
2020-06-02,Rajasthan,Jhalawar,292,66,0,0,10438.0
2020-06-03,Rajasthan,Jhalawar,302,132,0,0,10921.0
2020-06-04,Rajasthan,Jhalawar,302,132,0,0,10921.0
2020-06-05,Rajasthan,Jhalawar,326,162,0,0,10921.0
2020-06-06,Rajasthan,Jhalawar,326,162,0,0,10921.0
2020-06-07,Rajasthan,Jhalawar,327,237,0,0,10921.0
2020-06-08,Rajasthan,Jhalawar,329,244,0,0,13399.0
2020-06-09,Rajasthan,Jhalawar,331,245,0,0,13801.0
2020-06-10,Rajasthan,Jhalawar,335,248,0,0,14143.0
2020-06-11,Rajasthan,Jhalawar,337,248,0,0,14519.0
2020-06-12,Rajasthan,Jhalawar,340,295,0,0,14918.0
2020-06-13,Rajasthan,Jhalawar,342,297,0,0,15061.0
2020-06-14,Rajasthan,Jhalawar,342,331,0,0,15145.0
2020-06-15,Rajasthan,Jhalawar,342,331,0,0,15174.0
2020-06-16,Rajasthan,Jhalawar,345,335,0,0,15223.0
2020-06-17,Rajasthan,Jhalawar,346,335,0,0,16268.0
2020-06-18,Rajasthan,Jhalawar,351,337,0,0,17030.0
2020-06-19,Rajasthan,Jhalawar,353,337,0,0,17261.0
2020-06-20,Rajasthan,Jhalawar,365,338,0,0,17776.0
2020-06-21,Rajasthan,Jhalawar,367,340,0,0,18633.0
2020-06-22,Rajasthan,Jhalawar,367,345,0,0,19137.0
2020-06-23,Rajasthan,Jhalawar,370,346,0,0,19547.0
2020-06-24,Rajasthan,Jhalawar,374,351,0,0,19997.0
2020-06-25,Rajasthan,Jhalawar,375,353,0,0,20674.0
2020-06-26,Rajasthan,Jhalawar,375,355,0,0,20975.0
2020-06-27,Rajasthan,Jhalawar,375,357,0,0,21274.0
2020-06-28,Rajasthan,Jhalawar,375,361,0,0,21587.0
2020-06-29,Rajasthan,Jhalawar,375,362,0,0,22716.0
2020-06-30,Rajasthan,Jhalawar,375,362,0,0,22979.0
2020-07-01,Rajasthan,Jhalawar,375,362,0,0,23606.0
