Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Rajasthan,Jodhpur,364,50,5,0,14436.0
2020-04-27,Rajasthan,Jodhpur,375,81,6,0,15497.0
2020-04-28,Rajasthan,Jodhpur,400,81,6,0,16634.0
2020-04-29,Rajasthan,Jodhpur,413,103,6,0,17579.0
2020-04-30,Rajasthan,Jodhpur,510,120,6,0,18739.0
2020-05-01,Rajasthan,Jodhpur,545,124,7,0,19941.0
2020-05-02,Rajasthan,Jodhpur,605,192,8,0,21431.0
2020-05-03,Rajasthan,Jodhpur,632,192,8,0,22177.0
2020-05-04,Rajasthan,Jodhpur,721,203,10,0,23516.0
2020-05-05,Rajasthan,Jodhpur,762,230,13,0,24319.0
2020-05-06,Rajasthan,Jodhpur,812,258,14,0,25156.0
2020-05-07,Rajasthan,Jodhpur,842,312,15,0,26094.0
2020-05-08,Rajasthan,Jodhpur,851,342,16,0,28269.0
2020-05-09,Rajasthan,Jodhpur,862,396,16,0,29555.0
2020-05-10,Rajasthan,Jodhpur,873,441,16,0,32162.0
2020-05-11,Rajasthan,Jodhpur,886,491,16,0,32986.0
2020-05-12,Rajasthan,Jodhpur,911,520,16,0,35502.0
2020-05-13,Rajasthan,Jodhpur,919,619,16,0,37426.0
2020-05-14,Rajasthan,Jodhpur,955,634,16,0,39166.0
2020-05-15,Rajasthan,Jodhpur,986,638,16,0,41159.0
2020-05-16,Rajasthan,Jodhpur,993,722,16,0,43341.0
2020-05-17,Rajasthan,Jodhpur,1036,749,16,0,45638.0
2020-05-18,Rajasthan,Jodhpur,1071,792,16,0,47072.0
2020-05-19,Rajasthan,Jodhpur,1110,834,16,0,48075.0
2020-05-20,Rajasthan,Jodhpur,1128,834,16,0,49470.0
2020-05-21,Rajasthan,Jodhpur,1142,856,16,0,51560.0
2020-05-22,Rajasthan,Jodhpur,1163,861,17,0,54242.0
2020-05-23,Rajasthan,Jodhpur,1189,872,17,0,59227.0
2020-05-24,Rajasthan,Jodhpur,1224,872,17,0,61553.0
2020-05-25,Rajasthan,Jodhpur,1271,973,17,0,63192.0
2020-05-26,Rajasthan,Jodhpur,1278,994,17,0,64008.0
2020-05-27,Rajasthan,Jodhpur,1311,1022,17,0,66830.0
2020-05-28,Rajasthan,Jodhpur,1375,1022,17,0,69617.0
2020-05-29,Rajasthan,Jodhpur,1442,1076,17,0,70313.0
2020-05-30,Rajasthan,Jodhpur,1476,1111,19,0,73327.0
2020-05-31,Rajasthan,Jodhpur,1530,1130,19,0,73327.0
2020-06-01,Rajasthan,Jodhpur,1562,1130,19,0,78551.0
2020-06-02,Rajasthan,Jodhpur,1606,1130,19,0,78551.0
2020-06-03,Rajasthan,Jodhpur,1626,1170,20,0,81203.0
2020-06-04,Rajasthan,Jodhpur,1655,1204,20,0,81203.0
2020-06-05,Rajasthan,Jodhpur,1706,1227,20,0,81203.0
2020-06-06,Rajasthan,Jodhpur,1762,1252,21,0,81203.0
2020-06-07,Rajasthan,Jodhpur,1843,1277,21,0,81203.0
2020-06-08,Rajasthan,Jodhpur,1879,1337,23,0,95345.0
2020-06-09,Rajasthan,Jodhpur,1944,1390,25,0,97110.0
2020-06-10,Rajasthan,Jodhpur,1985,1489,26,0,100273.0
2020-06-11,Rajasthan,Jodhpur,2047,1489,26,0,102401.0
2020-06-12,Rajasthan,Jodhpur,2076,1514,27,0,104600.0
2020-06-13,Rajasthan,Jodhpur,2151,1592,27,0,107229.0
2020-06-14,Rajasthan,Jodhpur,2181,1624,27,0,109736.0
2020-06-15,Rajasthan,Jodhpur,2201,1722,27,0,110656.0
2020-06-16,Rajasthan,Jodhpur,2219,1722,28,0,112956.0
2020-06-17,Rajasthan,Jodhpur,2254,1722,28,0,114004.0
2020-06-18,Rajasthan,Jodhpur,2283,1833,30,0,116282.0
2020-06-19,Rajasthan,Jodhpur,2321,1878,30,0,117864.0
2020-06-20,Rajasthan,Jodhpur,2377,1987,30,0,119763.0
2020-06-21,Rajasthan,Jodhpur,2414,1987,30,0,122017.0
2020-06-22,Rajasthan,Jodhpur,2459,2011,34,0,123984.0
2020-06-23,Rajasthan,Jodhpur,2499,2067,37,0,126769.0
2020-06-24,Rajasthan,Jodhpur,2528,2147,37,0,128745.0
2020-06-25,Rajasthan,Jodhpur,2580,2176,37,0,130368.0
2020-06-26,Rajasthan,Jodhpur,2605,2178,38,0,131909.0
2020-06-27,Rajasthan,Jodhpur,2645,2220,41,0,133978.0
2020-06-28,Rajasthan,Jodhpur,2684,2279,41,0,135892.0
2020-06-29,Rajasthan,Jodhpur,2738,2311,45,0,137293.0
2020-06-30,Rajasthan,Jodhpur,2793,2358,49,0,139486.0
2020-07-01,Rajasthan,Jodhpur,2819,2358,51,0,142160.0
2020-07-02,Rajasthan,Jodhpur,2862,2389,53,0,145165.0
2020-07-03,Rajasthan,Jodhpur,2919,2442,53,0,148712.0
2020-07-04,Rajasthan,Jodhpur,2948,2484,53,0,153013.0
2020-07-05,Rajasthan,Jodhpur,3005,2515,59,0,157296.0
2020-07-06,Rajasthan,Jodhpur,3030,2534,59,0,159228.0
2020-07-07,Rajasthan,Jodhpur,3213,2574,61,0,163170.0
2020-07-08,Rajasthan,Jodhpur,3356,2592,62,0,168167.0
2020-07-09,Rajasthan,Jodhpur,3468,2630,65,0,173166.0
2020-07-10,Rajasthan,Jodhpur,3582,2727,65,0,177936.0
2020-07-11,Rajasthan,Jodhpur,3663,2765,65,0,183317.0
2020-07-12,Rajasthan,Jodhpur,3819,2784,65,0,187843.0
