Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Rajasthan,Karauli,3,2,0,0,
2020-04-27,Rajasthan,Karauli,3,2,0,0,
2020-04-28,Rajasthan,Karauli,3,2,0,0,
2020-04-29,Rajasthan,Karauli,3,2,0,0,
2020-04-30,Rajasthan,Karauli,3,2,0,0,
2020-05-01,Rajasthan,Karauli,3,2,0,0,
2020-05-02,Rajasthan,Karauli,3,2,0,0,
2020-05-03,Rajasthan,Karauli,3,2,0,0,
2020-05-04,Rajasthan,Karauli,3,2,0,0,
2020-05-05,Rajasthan,Karauli,3,2,0,0,
2020-05-06,Rajasthan,Karauli,4,3,1,0,
2020-05-07,Rajasthan,Karauli,4,3,1,0,
2020-05-08,Rajasthan,Karauli,5,3,1,0,
2020-05-09,Rajasthan,Karauli,5,3,1,0,
2020-05-10,Rajasthan,Karauli,5,3,1,0,
2020-05-11,Rajasthan,Karauli,7,3,1,0,
2020-05-12,Rajasthan,Karauli,7,3,1,0,
2020-05-13,Rajasthan,Karauli,7,3,1,0,
2020-05-14,Rajasthan,Karauli,8,3,2,0,
2020-05-15,Rajasthan,Karauli,9,3,2,0,
2020-05-16,Rajasthan,Karauli,9,3,2,0,
2020-05-17,Rajasthan,Karauli,10,3,2,0,
2020-05-18,Rajasthan,Karauli,10,4,2,0,
2020-05-19,Rajasthan,Karauli,10,4,2,0,1181.0
2020-05-20,Rajasthan,Karauli,10,4,2,0,1181.0
2020-05-21,Rajasthan,Karauli,10,4,2,0,1241.0
2020-05-22,Rajasthan,Karauli,10,4,2,0,1298.0
2020-05-23,Rajasthan,Karauli,10,4,2,0,1440.0
2020-05-24,Rajasthan,Karauli,10,4,2,0,1445.0
2020-05-25,Rajasthan,Karauli,10,4,2,0,1474.0
2020-05-26,Rajasthan,Karauli,10,4,2,0,1502.0
2020-05-27,Rajasthan,Karauli,12,4,2,0,1527.0
2020-05-28,Rajasthan,Karauli,12,4,3,0,1554.0
2020-05-29,Rajasthan,Karauli,12,6,3,0,1604.0
2020-05-30,Rajasthan,Karauli,16,7,3,0,2024.0
2020-05-31,Rajasthan,Karauli,17,7,3,0,2024.0
2020-06-01,Rajasthan,Karauli,17,8,3,0,2270.0
2020-06-02,Rajasthan,Karauli,17,8,3,0,2270.0
2020-06-03,Rajasthan,Karauli,19,9,3,0,2810.0
2020-06-04,Rajasthan,Karauli,20,9,3,0,2810.0
2020-06-05,Rajasthan,Karauli,20,11,3,0,2810.0
2020-06-06,Rajasthan,Karauli,29,11,3,0,2810.0
2020-06-07,Rajasthan,Karauli,29,11,3,0,2810.0
2020-06-08,Rajasthan,Karauli,29,13,3,0,3565.0
2020-06-09,Rajasthan,Karauli,33,13,3,0,3708.0
2020-06-10,Rajasthan,Karauli,34,13,3,0,3756.0
2020-06-11,Rajasthan,Karauli,35,16,3,0,4147.0
2020-06-12,Rajasthan,Karauli,36,16,3,0,4173.0
2020-06-13,Rajasthan,Karauli,39,16,3,0,4273.0
2020-06-14,Rajasthan,Karauli,42,17,3,0,4514.0
2020-06-15,Rajasthan,Karauli,44,17,3,0,4734.0
2020-06-16,Rajasthan,Karauli,45,21,3,0,4799.0
2020-06-17,Rajasthan,Karauli,46,21,3,0,5062.0
2020-06-18,Rajasthan,Karauli,46,21,3,0,5170.0
2020-06-19,Rajasthan,Karauli,46,21,4,0,5201.0
2020-06-20,Rajasthan,Karauli,60,27,4,0,5246.0
2020-06-21,Rajasthan,Karauli,70,28,4,0,5309.0
2020-06-22,Rajasthan,Karauli,70,31,4,0,5412.0
2020-06-23,Rajasthan,Karauli,74,32,4,0,5588.0
2020-06-24,Rajasthan,Karauli,76,32,4,0,5691.0
2020-06-25,Rajasthan,Karauli,76,43,4,0,5792.0
2020-06-26,Rajasthan,Karauli,90,44,4,0,5910.0
2020-06-27,Rajasthan,Karauli,91,50,4,0,6089.0
2020-06-28,Rajasthan,Karauli,96,50,4,0,6172.0
2020-06-29,Rajasthan,Karauli,96,66,4,0,6263.0
2020-06-30,Rajasthan,Karauli,97,71,4,0,6354.0
2020-07-01,Rajasthan,Karauli,98,76,4,0,6410.0
2020-07-02,Rajasthan,Karauli,104,76,4,0,6484.0
2020-07-03,Rajasthan,Karauli,105,77,4,0,6519.0
2020-07-04,Rajasthan,Karauli,108,84,4,0,6624.0
2020-07-05,Rajasthan,Karauli,110,84,4,0,6733.0
2020-07-06,Rajasthan,Karauli,113,90,4,0,6855.0
2020-07-07,Rajasthan,Karauli,113,99,4,0,6884.0
2020-07-08,Rajasthan,Karauli,115,101,4,0,7060.0
2020-07-09,Rajasthan,Karauli,122,101,4,0,7112.0
2020-07-10,Rajasthan,Karauli,128,101,4,0,7314.0
2020-07-11,Rajasthan,Karauli,131,101,4,0,7523.0
2020-07-12,Rajasthan,Karauli,140,104,4,0,7613.0
2020-07-13,Rajasthan,Karauli,149,105,4,0,7700.0
2020-07-14,Rajasthan,Karauli,157,105,4,0,7725.0
2020-07-15,Rajasthan,Karauli,160,108,4,0,7825.0
2020-07-16,Rajasthan,Karauli,164,110,5,0,7878.0
2020-07-17,Rajasthan,Karauli,165,110,5,0,8334.0
2020-07-18,Rajasthan,Karauli,166,110,5,0,8358.0
2020-07-19,Rajasthan,Karauli,190,110,5,0,8482.0
2020-07-20,Rajasthan,Karauli,228,112,5,0,8520.0
2020-07-21,Rajasthan,Karauli,239,112,5,0,8628.0
2020-07-22,Rajasthan,Karauli,245,117,5,0,8983.0
2020-07-23,Rajasthan,Karauli,250,129,5,0,9336.0
2020-07-24,Rajasthan,Karauli,263,151,5,0,9473.0
2020-07-25,Rajasthan,Karauli,278,160,5,0,9591.0
2020-07-26,Rajasthan,Karauli,301,160,5,0,9781.0
2020-07-27,Rajasthan,Karauli,305,165,5,0,9908.0
2020-07-28,Rajasthan,Karauli,324,169,5,0,10050.0
2020-07-29,Rajasthan,Karauli,326,173,6,0,10320.0
2020-07-30,Rajasthan,Karauli,335,184,6,0,10480.0
2020-07-31,Rajasthan,Karauli,351,186,6,0,10620.0
2020-08-01,Rajasthan,Karauli,351,193,6,0,10787.0
