Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Rajasthan,Kota,158,80,4,0,
2020-04-27,Rajasthan,Kota,165,98,5,0,
2020-04-28,Rajasthan,Kota,189,98,7,0,
2020-04-29,Rajasthan,Kota,192,98,7,0,
2020-04-30,Rajasthan,Kota,197,109,7,0,
2020-05-01,Rajasthan,Kota,204,125,7,0,
2020-05-02,Rajasthan,Kota,207,126,7,0,
2020-05-03,Rajasthan,Kota,209,151,7,0,
2020-05-04,Rajasthan,Kota,212,156,7,0,
2020-05-05,Rajasthan,Kota,221,158,10,0,
2020-05-06,Rajasthan,Kota,221,159,10,0,
2020-05-07,Rajasthan,Kota,223,159,11,0,
2020-05-08,Rajasthan,Kota,232,159,11,0,
2020-05-09,Rajasthan,Kota,233,183,11,0,
2020-05-10,Rajasthan,Kota,250,183,11,0,
2020-05-11,Rajasthan,Kota,259,183,11,0,
2020-05-12,Rajasthan,Kota,264,201,11,0,
2020-05-13,Rajasthan,Kota,269,201,11,0,
2020-05-14,Rajasthan,Kota,270,210,11,0,
2020-05-15,Rajasthan,Kota,318,212,11,0,
2020-05-16,Rajasthan,Kota,319,223,11,0,
2020-05-17,Rajasthan,Kota,324,230,12,0,
2020-05-18,Rajasthan,Kota,326,237,13,0,
2020-05-19,Rajasthan,Kota,331,237,14,0,16269.0
2020-05-20,Rajasthan,Kota,337,248,14,0,17067.0
2020-05-21,Rajasthan,Kota,339,248,14,0,17918.0
2020-05-22,Rajasthan,Kota,359,272,14,0,18705.0
2020-05-23,Rajasthan,Kota,373,272,16,0,19398.0
2020-05-24,Rajasthan,Kota,379,286,16,0,20243.0
2020-05-25,Rajasthan,Kota,386,302,16,0,20542.0
2020-05-26,Rajasthan,Kota,396,313,16,0,21444.0
2020-05-27,Rajasthan,Kota,414,313,16,0,22256.0
2020-05-28,Rajasthan,Kota,423,323,16,0,23154.0
2020-05-29,Rajasthan,Kota,440,323,16,0,23918.0
2020-05-30,Rajasthan,Kota,452,353,16,0,25046.0
2020-05-31,Rajasthan,Kota,466,355,16,0,25046.0
2020-06-01,Rajasthan,Kota,477,355,16,0,26837.0
2020-06-02,Rajasthan,Kota,490,362,17,0,26837.0
2020-06-03,Rajasthan,Kota,494,362,17,0,28815.0
2020-06-04,Rajasthan,Kota,501,384,17,0,28815.0
2020-06-05,Rajasthan,Kota,503,384,17,0,28815.0
2020-06-06,Rajasthan,Kota,506,400,18,0,28815.0
2020-06-07,Rajasthan,Kota,512,400,18,0,28815.0
2020-06-08,Rajasthan,Kota,524,444,18,0,32732.0
2020-06-09,Rajasthan,Kota,531,444,18,0,33604.0
2020-06-10,Rajasthan,Kota,535,452,18,0,34431.0
2020-06-11,Rajasthan,Kota,538,460,18,0,36241.0
2020-06-12,Rajasthan,Kota,541,460,18,0,36832.0
2020-06-13,Rajasthan,Kota,544,465,18,0,37714.0
2020-06-14,Rajasthan,Kota,545,468,18,0,38534.0
2020-06-15,Rajasthan,Kota,548,487,18,0,39862.0
2020-06-16,Rajasthan,Kota,548,487,18,0,40760.0
2020-06-17,Rajasthan,Kota,549,502,18,0,41936.0
2020-06-18,Rajasthan,Kota,552,502,19,0,42236.0
