Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Rajasthan,Pratapgarh,2,2,0,0,
2020-04-27,Rajasthan,Pratapgarh,2,2,0,0,
2020-04-28,Rajasthan,Pratapgarh,2,2,0,0,
2020-04-29,Rajasthan,Pratapgarh,2,2,0,0,
2020-04-30,Rajasthan,Pratapgarh,2,2,0,0,
2020-05-01,Rajasthan,Pratapgarh,2,2,0,0,
2020-05-02,Rajasthan,Pratapgarh,2,2,0,0,
2020-05-03,Rajasthan,Pratapgarh,4,2,1,0,
2020-05-04,Rajasthan,Pratapgarh,4,2,1,0,
2020-05-05,Rajasthan,Pratapgarh,4,2,1,0,
2020-05-06,Rajasthan,Pratapgarh,4,2,1,0,
2020-05-07,Rajasthan,Pratapgarh,4,2,1,0,
2020-05-08,Rajasthan,Pratapgarh,4,2,1,0,
2020-05-09,Rajasthan,Pratapgarh,4,2,1,0,
2020-05-10,Rajasthan,Pratapgarh,4,2,1,0,
2020-05-11,Rajasthan,Pratapgarh,4,2,1,0,
2020-05-12,Rajasthan,Pratapgarh,4,2,1,0,
2020-05-13,Rajasthan,Pratapgarh,4,3,1,0,
2020-05-14,Rajasthan,Pratapgarh,4,3,1,0,
2020-05-15,Rajasthan,Pratapgarh,4,3,1,0,
2020-05-16,Rajasthan,Pratapgarh,4,3,1,0,
2020-05-17,Rajasthan,Pratapgarh,5,3,1,0,
2020-05-18,Rajasthan,Pratapgarh,5,3,1,0,
2020-05-19,Rajasthan,Pratapgarh,7,3,1,0,
2020-05-20,Rajasthan,Pratapgarh,7,3,1,0,789.0
2020-05-21,Rajasthan,Pratapgarh,10,3,1,0,824.0
2020-05-22,Rajasthan,Pratapgarh,12,3,1,0,945.0
2020-05-23,Rajasthan,Pratapgarh,12,3,1,0,981.0
2020-05-24,Rajasthan,Pratapgarh,12,3,1,0,1030.0
2020-05-25,Rajasthan,Pratapgarh,12,3,1,0,1289.0
2020-05-26,Rajasthan,Pratapgarh,13,3,1,0,1388.0
2020-05-27,Rajasthan,Pratapgarh,13,3,1,0,1399.0
2020-05-28,Rajasthan,Pratapgarh,13,3,1,0,1619.0
2020-05-29,Rajasthan,Pratapgarh,13,4,1,0,1821.0
2020-05-30,Rajasthan,Pratapgarh,13,4,1,0,1906.0
2020-05-31,Rajasthan,Pratapgarh,14,4,1,0,1906.0
2020-06-01,Rajasthan,Pratapgarh,14,11,1,0,2259.0
2020-06-02,Rajasthan,Pratapgarh,14,11,1,0,2259.0
2020-06-03,Rajasthan,Pratapgarh,14,11,1,0,2541.0
2020-06-04,Rajasthan,Pratapgarh,14,12,1,0,2541.0
2020-06-05,Rajasthan,Pratapgarh,14,12,1,0,2541.0
2020-06-06,Rajasthan,Pratapgarh,14,12,1,0,2541.0
2020-06-07,Rajasthan,Pratapgarh,14,12,1,0,2541.0
2020-06-08,Rajasthan,Pratapgarh,14,13,1,0,2717.0
2020-06-09,Rajasthan,Pratapgarh,14,13,1,0,2779.0
2020-06-10,Rajasthan,Pratapgarh,14,13,1,0,2818.0
2020-06-11,Rajasthan,Pratapgarh,14,13,1,0,2865.0
2020-06-12,Rajasthan,Pratapgarh,14,13,1,0,2950.0
2020-06-13,Rajasthan,Pratapgarh,14,13,1,0,3024.0
2020-06-14,Rajasthan,Pratapgarh,14,13,1,0,3138.0
2020-06-15,Rajasthan,Pratapgarh,14,13,1,0,3173.0
2020-06-16,Rajasthan,Pratapgarh,14,13,1,0,3211.0
2020-06-17,Rajasthan,Pratapgarh,14,13,1,0,3231.0
2020-06-18,Rajasthan,Pratapgarh,14,13,1,0,3233.0
2020-06-19,Rajasthan,Pratapgarh,14,13,1,0,3247.0
2020-06-20,Rajasthan,Pratapgarh,14,13,1,0,3361.0
2020-06-21,Rajasthan,Pratapgarh,14,13,1,0,3389.0
2020-06-22,Rajasthan,Pratapgarh,14,13,1,0,3395.0
2020-06-23,Rajasthan,Pratapgarh,14,13,1,0,3411.0
2020-06-24,Rajasthan,Pratapgarh,15,13,1,0,3437.0
2020-06-25,Rajasthan,Pratapgarh,15,13,1,0,3449.0
2020-06-26,Rajasthan,Pratapgarh,15,13,1,0,3521.0
2020-06-27,Rajasthan,Pratapgarh,15,13,1,0,3587.0
2020-06-28,Rajasthan,Pratapgarh,16,13,1,0,3609.0
2020-06-29,Rajasthan,Pratapgarh,16,13,1,0,3645.0
2020-06-30,Rajasthan,Pratapgarh,16,13,1,0,3779.0
2020-07-01,Rajasthan,Pratapgarh,42,13,1,0,3833.0
