Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Rajasthan,Rajsamand,1,0,0,0,
2020-04-27,Rajasthan,Rajsamand,1,0,0,0,
2020-04-28,Rajasthan,Rajsamand,1,0,0,0,
2020-04-29,Rajasthan,Rajsamand,1,0,0,0,
2020-04-30,Rajasthan,Rajsamand,1,0,0,0,
2020-05-01,Rajasthan,Rajsamand,2,0,0,0,
2020-05-02,Rajasthan,Rajsamand,2,0,0,0,
2020-05-03,Rajasthan,Rajsamand,2,0,0,0,
2020-05-04,Rajasthan,Rajsamand,4,0,0,0,
2020-05-05,Rajasthan,Rajsamand,5,0,0,0,
2020-05-06,Rajasthan,Rajsamand,6,0,0,0,
2020-05-07,Rajasthan,Rajsamand,7,0,0,0,
2020-05-08,Rajasthan,Rajsamand,13,1,0,0,
2020-05-09,Rajasthan,Rajsamand,15,2,0,0,
2020-05-10,Rajasthan,Rajsamand,16,2,0,0,
2020-05-11,Rajasthan,Rajsamand,20,2,0,0,
2020-05-12,Rajasthan,Rajsamand,21,2,0,0,
2020-05-13,Rajasthan,Rajsamand,26,2,0,0,
2020-05-14,Rajasthan,Rajsamand,30,12,0,0,
2020-05-15,Rajasthan,Rajsamand,33,12,0,0,
2020-05-16,Rajasthan,Rajsamand,33,8,0,0,
2020-05-17,Rajasthan,Rajsamand,43,8,0,0,
2020-05-18,Rajasthan,Rajsamand,53,8,0,0,
2020-05-19,Rajasthan,Rajsamand,53,14,0,0,1750.0
2020-05-20,Rajasthan,Rajsamand,61,26,0,0,1788.0
2020-05-21,Rajasthan,Rajsamand,68,26,0,0,1850.0
2020-05-22,Rajasthan,Rajsamand,69,26,0,0,1896.0
2020-05-23,Rajasthan,Rajsamand,88,26,0,0,1984.0
2020-05-24,Rajasthan,Rajsamand,112,30,0,0,2075.0
2020-05-25,Rajasthan,Rajsamand,115,32,0,0,2076.0
2020-05-26,Rajasthan,Rajsamand,126,32,1,0,2808.0
2020-05-27,Rajasthan,Rajsamand,135,40,1,0,2940.0
2020-05-28,Rajasthan,Rajsamand,135,40,1,0,3004.0
2020-05-29,Rajasthan,Rajsamand,135,40,1,0,3318.0
2020-05-30,Rajasthan,Rajsamand,135,50,1,0,3461.0
2020-05-31,Rajasthan,Rajsamand,141,66,1,0,3461.0
2020-06-01,Rajasthan,Rajsamand,142,88,1,0,3592.0
2020-06-02,Rajasthan,Rajsamand,142,98,1,0,3592.0
2020-06-03,Rajasthan,Rajsamand,145,118,1,0,3776.0
2020-06-04,Rajasthan,Rajsamand,148,118,1,0,3776.0
2020-06-05,Rajasthan,Rajsamand,160,128,1,0,3776.0
2020-06-06,Rajasthan,Rajsamand,161,130,1,0,3776.0
2020-06-07,Rajasthan,Rajsamand,162,130,1,0,3776.0
2020-06-08,Rajasthan,Rajsamand,162,137,1,0,4739.0
2020-06-09,Rajasthan,Rajsamand,162,140,1,0,4837.0
2020-06-10,Rajasthan,Rajsamand,165,140,1,0,5117.0
2020-06-11,Rajasthan,Rajsamand,165,143,1,0,5262.0
2020-06-12,Rajasthan,Rajsamand,166,147,1,0,5413.0
2020-06-13,Rajasthan,Rajsamand,166,155,1,0,5430.0
2020-06-14,Rajasthan,Rajsamand,166,158,1,0,5719.0
2020-06-15,Rajasthan,Rajsamand,166,159,1,0,5774.0
2020-06-16,Rajasthan,Rajsamand,168,159,1,0,5896.0
2020-06-17,Rajasthan,Rajsamand,168,160,1,0,6015.0
2020-06-18,Rajasthan,Rajsamand,170,163,1,0,6293.0
2020-06-19,Rajasthan,Rajsamand,172,165,1,0,6432.0
2020-06-20,Rajasthan,Rajsamand,183,165,1,0,6673.0
2020-06-21,Rajasthan,Rajsamand,199,165,1,0,6887.0
2020-06-22,Rajasthan,Rajsamand,208,165,1,0,7043.0
2020-06-23,Rajasthan,Rajsamand,215,168,1,0,7394.0
2020-06-24,Rajasthan,Rajsamand,223,170,1,0,7687.0
2020-06-25,Rajasthan,Rajsamand,227,175,1,0,7911.0
2020-06-26,Rajasthan,Rajsamand,227,183,1,0,8050.0
2020-06-27,Rajasthan,Rajsamand,229,185,1,0,8237.0
2020-06-28,Rajasthan,Rajsamand,234,193,1,0,8489.0
2020-06-29,Rajasthan,Rajsamand,238,194,1,0,8659.0
2020-06-30,Rajasthan,Rajsamand,245,202,1,0,8903.0
2020-07-01,Rajasthan,Rajsamand,257,202,1,0,9096.0
2020-07-02,Rajasthan,Rajsamand,267,208,1,0,9353.0
2020-07-03,Rajasthan,Rajsamand,274,210,1,0,9646.0
2020-07-04,Rajasthan,Rajsamand,276,210,1,0,9985.0
2020-07-05,Rajasthan,Rajsamand,313,210,1,0,10413.0
2020-07-06,Rajasthan,Rajsamand,319,216,1,0,10788.0
2020-07-07,Rajasthan,Rajsamand,321,235,1,0,11297.0
2020-07-08,Rajasthan,Rajsamand,348,242,1,0,11695.0
2020-07-09,Rajasthan,Rajsamand,351,242,1,0,12074.0
2020-07-10,Rajasthan,Rajsamand,355,267,1,0,12438.0
2020-07-11,Rajasthan,Rajsamand,369,267,1,0,12748.0
2020-07-12,Rajasthan,Rajsamand,370,290,1,0,13181.0
2020-07-13,Rajasthan,Rajsamand,387,296,1,0,13418.0
2020-07-14,Rajasthan,Rajsamand,392,308,3,0,13826.0
2020-07-15,Rajasthan,Rajsamand,411,323,3,0,14110.0
2020-07-16,Rajasthan,Rajsamand,411,323,3,0,14455.0
2020-07-17,Rajasthan,Rajsamand,424,348,4,0,14845.0
2020-07-18,Rajasthan,Rajsamand,444,356,5,0,15238.0
2020-07-19,Rajasthan,Rajsamand,463,362,5,0,15782.0
2020-07-20,Rajasthan,Rajsamand,471,364,5,0,16186.0
2020-07-21,Rajasthan,Rajsamand,485,364,5,0,16573.0
2020-07-22,Rajasthan,Rajsamand,492,381,5,0,17202.0
2020-07-23,Rajasthan,Rajsamand,492,386,5,0,17804.0
2020-07-24,Rajasthan,Rajsamand,497,396,5,0,18357.0
2020-07-25,Rajasthan,Rajsamand,515,409,5,0,19013.0
2020-07-26,Rajasthan,Rajsamand,522,429,5,0,19725.0
2020-07-27,Rajasthan,Rajsamand,566,435,5,0,20097.0
2020-07-28,Rajasthan,Rajsamand,570,459,5,0,20686.0
2020-07-29,Rajasthan,Rajsamand,594,472,5,0,21400.0
2020-07-30,Rajasthan,Rajsamand,617,485,5,0,22063.0
2020-07-31,Rajasthan,Rajsamand,633,490,5,0,22888.0
2020-08-01,Rajasthan,Rajsamand,644,501,5,0,23515.0
2020-08-02,Rajasthan,Rajsamand,649,506,5,0,23831.0
2020-08-03,Rajasthan,Rajsamand,650,530,7,0,24353.0
2020-08-04,Rajasthan,Rajsamand,650,560,7,0,24440.0
2020-08-05,Rajasthan,Rajsamand,682,578,8,0,25002.0
2020-08-06,Rajasthan,Rajsamand,698,585,8,0,25826.0
2020-08-07,Rajasthan,Rajsamand,698,606,9,0,26321.0
2020-08-08,Rajasthan,Rajsamand,698,621,9,0,26702.0
2020-08-09,Rajasthan,Rajsamand,750,644,9,0,27088.0
2020-08-10,Rajasthan,Rajsamand,763,655,10,0,27663.0
2020-08-11,Rajasthan,Rajsamand,794,655,11,0,28338.0
2020-08-12,Rajasthan,Rajsamand,807,677,11,0,29371.0
2020-08-13,Rajasthan,Rajsamand,827,677,11,0,29865.0
2020-08-14,Rajasthan,Rajsamand,827,714,12,0,30408.0
2020-08-15,Rajasthan,Rajsamand,893,725,12,0,31201.0
2020-08-16,Rajasthan,Rajsamand,900,733,12,0,31568.0
2020-08-17,Rajasthan,Rajsamand,939,766,12,0,32013.0
2020-08-18,Rajasthan,Rajsamand,939,787,12,0,32888.0
2020-08-19,Rajasthan,Rajsamand,970,836,12,0,33723.0
2020-08-20,Rajasthan,Rajsamand,970,836,12,0,34674.0
2020-08-21,Rajasthan,Rajsamand,989,857,13,0,35135.0
2020-08-22,Rajasthan,Rajsamand,1013,865,13,0,35671.0
2020-08-23,Rajasthan,Rajsamand,1013,868,13,0,36318.0
2020-08-24,Rajasthan,Rajsamand,1034,868,13,0,36659.0
2020-08-25,Rajasthan,Rajsamand,1039,923,13,0,37087.0
2020-08-26,Rajasthan,Rajsamand,1046,923,13,0,37647.0
2020-08-27,Rajasthan,Rajsamand,1100,923,13,0,37858.0
2020-08-28,Rajasthan,Rajsamand,1121,989,13,0,38116.0
2020-08-29,Rajasthan,Rajsamand,1121,989,13,0,38384.0
2020-08-30,Rajasthan,Rajsamand,1133,1062,13,0,38774.0
2020-08-31,Rajasthan,Rajsamand,1149,1085,14,0,38998.0
2020-09-01,Rajasthan,Rajsamand,1181,1085,14,0,39300.0
2020-09-02,Rajasthan,Rajsamand,1214,1112,15,0,39582.0
2020-09-03,Rajasthan,Rajsamand,1218,1120,15,0,39908.0
2020-09-04,Rajasthan,Rajsamand,1256,1121,15,0,40219.0
2020-09-05,Rajasthan,Rajsamand,1259,1121,15,0,40582.0
2020-09-06,Rajasthan,Rajsamand,1286,1145,15,0,40845.0
2020-09-07,Rajasthan,Rajsamand,1325,1149,15,0,41049.0
2020-09-08,Rajasthan,Rajsamand,1338,1155,15,0,41485.0
2020-09-09,Rajasthan,Rajsamand,1363,1160,16,0,41765.0
2020-09-10,Rajasthan,Rajsamand,1372,1175,16,0,42137.0
2020-09-11,Rajasthan,Rajsamand,1409,1199,18,0,42559.0
2020-09-12,Rajasthan,Rajsamand,1431,1213,18,0,42863.0
2020-09-13,Rajasthan,Rajsamand,1468,1250,18,0,43227.0
2020-09-14,Rajasthan,Rajsamand,1482,1252,18,0,43435.0
2020-09-15,Rajasthan,Rajsamand,1496,1263,18,0,43950.0
2020-09-16,Rajasthan,Rajsamand,1511,1279,18,0,44495.0
2020-09-17,Rajasthan,Rajsamand,1527,1289,18,0,45047.0
2020-09-18,Rajasthan,Rajsamand,1554,1299,18,0,45591.0
2020-09-19,Rajasthan,Rajsamand,1575,1310,19,0,46180.0
2020-09-20,Rajasthan,Rajsamand,1586,1350,19,0,46777.0
2020-09-21,Rajasthan,Rajsamand,1606,1399,19,0,47125.0
2020-09-22,Rajasthan,Rajsamand,1637,1420,19,0,47670.0
2020-09-23,Rajasthan,Rajsamand,1658,1439,19,0,48383.0
2020-09-24,Rajasthan,Rajsamand,1687,1480,19,0,49221.0
2020-09-25,Rajasthan,Rajsamand,1718,1485,21,0,49750.0
2020-09-26,Rajasthan,Rajsamand,1750,1498,21,0,50411.0
2020-09-27,Rajasthan,Rajsamand,1786,1511,22,0,50873.0
2020-09-28,Rajasthan,Rajsamand,1816,1522,23,0,51114.0
2020-09-29,Rajasthan,Rajsamand,1849,1546,24,0,51642.0
2020-09-30,Rajasthan,Rajsamand,1875,1574,24,0,52129.0
2020-10-01,Rajasthan,Rajsamand,1904,1598,24,0,52485.0
2020-10-02,Rajasthan,Rajsamand,1937,1633,24,0,52927.0
2020-10-03,Rajasthan,Rajsamand,1957,1686,24,0,53187.0
2020-10-04,Rajasthan,Rajsamand,1982,1710,24,0,53548.0
2020-10-05,Rajasthan,Rajsamand,2009,1787,24,0,53741.0
2020-10-06,Rajasthan,Rajsamand,2019,1820,24,0,54148.0
2020-10-07,Rajasthan,Rajsamand,2051,1844,24,0,54434.0
2020-10-08,Rajasthan,Rajsamand,2065,1862,24,0,54686.0
2020-10-09,Rajasthan,Rajsamand,2087,1892,24,0,54976.0
2020-10-10,Rajasthan,Rajsamand,2107,1901,25,0,55287.0
2020-10-11,Rajasthan,Rajsamand,2122,1915,25,0,55618.0
2020-10-12,Rajasthan,Rajsamand,2148,1950,26,0,55703.0
2020-10-13,Rajasthan,Rajsamand,2162,1998,26,0,56047.0
2020-10-14,Rajasthan,Rajsamand,2207,2019,26,0,56286.0
2020-10-15,Rajasthan,Rajsamand,2224,2031,26,0,56535.0
2020-10-16,Rajasthan,Rajsamand,2240,2039,26,0,56741.0
2020-10-17,Rajasthan,Rajsamand,2262,2042,26,0,56968.0
2020-10-18,Rajasthan,Rajsamand,2268,2078,26,0,57068.0
2020-10-19,Rajasthan,Rajsamand,2276,2082,26,0,57143.0
2020-10-20,Rajasthan,Rajsamand,2284,2094,27,0,57528.0
2020-10-21,Rajasthan,Rajsamand,2311,2098,27,0,57801.0
2020-10-22,Rajasthan,Rajsamand,2342,2110,27,0,58002.0
2020-10-23,Rajasthan,Rajsamand,2352,2159,27,0,58262.0
2020-10-24,Rajasthan,Rajsamand,2364,2179,27,0,58488.0
2020-10-25,Rajasthan,Rajsamand,2372,2189,27,0,58573.0
2020-10-26,Rajasthan,Rajsamand,2380,2206,28,0,58634.0
2020-10-27,Rajasthan,Rajsamand,2382,2219,28,0,58892.0
2020-10-28,Rajasthan,Rajsamand,2387,2231,29,0,59037.0
2020-10-29,Rajasthan,Rajsamand,2387,2231,29,0,59037.0
