Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Rajasthan,Sikar,5,1,2,0,
2020-04-27,Rajasthan,Sikar,5,2,2,0,
2020-04-28,Rajasthan,Sikar,6,2,2,0,
2020-04-29,Rajasthan,Sikar,6,2,2,0,
2020-04-30,Rajasthan,Sikar,6,2,2,0,
2020-05-01,Rajasthan,Sikar,6,2,2,0,
2020-05-02,Rajasthan,Sikar,6,2,2,0,
2020-05-03,Rajasthan,Sikar,6,2,2,0,
2020-05-04,Rajasthan,Sikar,7,2,2,0,
2020-05-05,Rajasthan,Sikar,7,2,2,0,
2020-05-06,Rajasthan,Sikar,8,3,2,0,
2020-05-07,Rajasthan,Sikar,8,3,2,0,
2020-05-08,Rajasthan,Sikar,9,3,2,0,
2020-05-09,Rajasthan,Sikar,9,3,2,0,
2020-05-10,Rajasthan,Sikar,9,3,2,0,
2020-05-11,Rajasthan,Sikar,9,3,2,0,
2020-05-12,Rajasthan,Sikar,11,3,2,0,
2020-05-13,Rajasthan,Sikar,12,3,2,0,
2020-05-14,Rajasthan,Sikar,19,3,2,0,
2020-05-15,Rajasthan,Sikar,26,3,2,0,
2020-05-16,Rajasthan,Sikar,27,3,2,0,
2020-05-17,Rajasthan,Sikar,39,7,2,0,
2020-05-18,Rajasthan,Sikar,45,9,2,0,
2020-05-19,Rajasthan,Sikar,52,9,3,0,
2020-05-20,Rajasthan,Sikar,64,9,3,0,5177.0
2020-05-21,Rajasthan,Sikar,69,9,4,0,5667.0
2020-05-22,Rajasthan,Sikar,77,9,4,0,5744.0
2020-05-23,Rajasthan,Sikar,79,9,4,0,7476.0
2020-05-24,Rajasthan,Sikar,82,21,4,0,7479.0
2020-05-25,Rajasthan,Sikar,126,21,4,0,8826.0
2020-05-26,Rajasthan,Sikar,151,28,4,0,8858.0
2020-05-27,Rajasthan,Sikar,164,49,4,0,10135.0
2020-05-28,Rajasthan,Sikar,174,52,4,0,11884.0
2020-05-29,Rajasthan,Sikar,187,62,4,0,13059.0
2020-05-30,Rajasthan,Sikar,202,103,5,0,14994.0
2020-05-31,Rajasthan,Sikar,207,105,5,0,14994.0
2020-06-01,Rajasthan,Sikar,219,105,5,0,17023.0
2020-06-02,Rajasthan,Sikar,224,115,5,0,17023.0
2020-06-03,Rajasthan,Sikar,231,128,5,0,17065.0
2020-06-04,Rajasthan,Sikar,243,153,5,0,17065.0
2020-06-05,Rajasthan,Sikar,260,178,5,0,17065.0
2020-06-06,Rajasthan,Sikar,273,178,5,0,17065.0
2020-06-07,Rajasthan,Sikar,284,184,5,0,17065.0
2020-06-08,Rajasthan,Sikar,291,193,5,0,17211.0
2020-06-09,Rajasthan,Sikar,299,197,5,0,17273.0
2020-06-10,Rajasthan,Sikar,318,197,5,0,17891.0
2020-06-11,Rajasthan,Sikar,324,217,5,0,18938.0
2020-06-12,Rajasthan,Sikar,348,217,5,0,19756.0
2020-06-13,Rajasthan,Sikar,364,237,5,0,19813.0
2020-06-14,Rajasthan,Sikar,376,244,5,0,22785.0
2020-06-15,Rajasthan,Sikar,395,249,5,0,23015.0
2020-06-16,Rajasthan,Sikar,406,260,5,0,23598.0
2020-06-17,Rajasthan,Sikar,410,284,5,0,25429.0
2020-06-18,Rajasthan,Sikar,424,303,5,0,27140.0
2020-06-19,Rajasthan,Sikar,424,332,5,0,27813.0
2020-06-20,Rajasthan,Sikar,428,332,5,0,28857.0
2020-06-21,Rajasthan,Sikar,443,352,5,0,29593.0
2020-06-22,Rajasthan,Sikar,472,378,5,0,29886.0
2020-06-23,Rajasthan,Sikar,477,390,6,0,30659.0
2020-06-24,Rajasthan,Sikar,489,391,6,0,31610.0
2020-06-25,Rajasthan,Sikar,493,397,6,0,32605.0
2020-06-26,Rajasthan,Sikar,497,399,6,0,33005.0
2020-06-27,Rajasthan,Sikar,509,405,6,0,33756.0
2020-06-28,Rajasthan,Sikar,512,427,6,0,34544.0
2020-06-29,Rajasthan,Sikar,512,449,6,0,34629.0
2020-06-30,Rajasthan,Sikar,556,455,6,0,35227.0
2020-07-01,Rajasthan,Sikar,566,470,6,0,36278.0
2020-07-02,Rajasthan,Sikar,567,487,6,0,36884.0
2020-07-03,Rajasthan,Sikar,597,496,6,0,37318.0
2020-07-04,Rajasthan,Sikar,613,510,7,0,38123.0
2020-07-05,Rajasthan,Sikar,625,523,7,0,38847.0
2020-07-06,Rajasthan,Sikar,633,543,7,0,39017.0
2020-07-07,Rajasthan,Sikar,658,566,7,0,40062.0
2020-07-08,Rajasthan,Sikar,661,578,7,0,40749.0
2020-07-09,Rajasthan,Sikar,677,580,7,0,41942.0
2020-07-10,Rajasthan,Sikar,685,603,7,0,42456.0
2020-07-11,Rajasthan,Sikar,693,603,7,0,43308.0
2020-07-12,Rajasthan,Sikar,704,627,7,0,43793.0
2020-07-13,Rajasthan,Sikar,706,627,7,0,43850.0
2020-07-14,Rajasthan,Sikar,709,644,7,0,44577.0
2020-07-15,Rajasthan,Sikar,716,649,7,0,45328.0
2020-07-16,Rajasthan,Sikar,721,676,8,0,46221.0
2020-07-17,Rajasthan,Sikar,725,683,8,0,46675.0
2020-07-18,Rajasthan,Sikar,730,687,8,0,47558.0
2020-07-19,Rajasthan,Sikar,736,687,8,0,48278.0
2020-07-20,Rajasthan,Sikar,736,690,8,0,48471.0
2020-07-21,Rajasthan,Sikar,780,702,8,0,49726.0
2020-07-22,Rajasthan,Sikar,791,707,8,0,50221.0
2020-07-23,Rajasthan,Sikar,833,711,8,0,51149.0
2020-07-24,Rajasthan,Sikar,845,714,8,0,51717.0
2020-07-25,Rajasthan,Sikar,845,714,8,0,52515.0
2020-07-26,Rajasthan,Sikar,865,724,8,0,53085.0
2020-07-27,Rajasthan,Sikar,898,751,8,0,53257.0
2020-07-28,Rajasthan,Sikar,918,752,8,0,54068.0
2020-07-29,Rajasthan,Sikar,975,759,8,0,54899.0
2020-07-30,Rajasthan,Sikar,975,768,8,0,55718.0
2020-07-31,Rajasthan,Sikar,1063,768,8,0,56612.0
2020-08-01,Rajasthan,Sikar,1063,791,8,0,57569.0
2020-08-02,Rajasthan,Sikar,1106,791,8,0,58048.0
2020-08-03,Rajasthan,Sikar,1190,823,8,0,58482.0
2020-08-04,Rajasthan,Sikar,1202,889,10,0,58586.0
2020-08-05,Rajasthan,Sikar,1223,906,11,0,59701.0
2020-08-06,Rajasthan,Sikar,1223,917,11,0,60645.0
2020-08-07,Rajasthan,Sikar,1267,970,11,0,61801.0
2020-08-08,Rajasthan,Sikar,1293,970,11,0,63280.0
2020-08-09,Rajasthan,Sikar,1350,1016,11,0,64110.0
2020-08-10,Rajasthan,Sikar,1461,1027,11,0,64557.0
2020-08-11,Rajasthan,Sikar,1638,1067,11,0,65759.0
2020-08-12,Rajasthan,Sikar,1643,1161,11,0,67345.0
2020-08-13,Rajasthan,Sikar,1734,1161,11,0,67710.0
2020-08-14,Rajasthan,Sikar,1823,1291,11,0,68916.0
2020-08-15,Rajasthan,Sikar,1904,1375,11,0,69681.0
2020-08-16,Rajasthan,Sikar,1965,1460,13,0,70057.0
2020-08-17,Rajasthan,Sikar,2034,1558,13,0,70411.0
2020-08-18,Rajasthan,Sikar,2034,1616,13,0,71528.0
2020-08-19,Rajasthan,Sikar,2102,1663,13,0,72556.0
2020-08-20,Rajasthan,Sikar,2102,1681,13,0,73361.0
2020-08-21,Rajasthan,Sikar,2275,1770,14,0,74188.0
2020-08-22,Rajasthan,Sikar,2293,1824,15,0,75339.0
2020-08-23,Rajasthan,Sikar,2364,1886,15,0,76068.0
2020-08-24,Rajasthan,Sikar,2382,1914,16,0,76305.0
2020-08-25,Rajasthan,Sikar,2422,1985,16,0,77390.0
2020-08-26,Rajasthan,Sikar,2473,2090,17,0,78422.0
2020-08-27,Rajasthan,Sikar,2503,2158,17,0,79511.0
2020-08-28,Rajasthan,Sikar,2545,2286,17,0,80063.0
2020-08-29,Rajasthan,Sikar,2563,2336,17,0,80486.0
2020-08-30,Rajasthan,Sikar,2582,2359,18,0,80953.0
2020-08-31,Rajasthan,Sikar,2592,2474,18,0,81166.0
2020-09-01,Rajasthan,Sikar,2601,2501,18,0,81718.0
2020-09-02,Rajasthan,Sikar,2609,2580,19,0,82235.0
2020-09-03,Rajasthan,Sikar,2651,2585,19,0,82571.0
2020-09-04,Rajasthan,Sikar,2715,2585,19,0,82989.0
2020-09-05,Rajasthan,Sikar,2783,2589,20,0,83490.0
2020-09-06,Rajasthan,Sikar,2785,2600,20,0,83831.0
2020-09-07,Rajasthan,Sikar,2830,2615,20,0,83871.0
2020-09-08,Rajasthan,Sikar,2891,2630,20,0,84409.0
2020-09-09,Rajasthan,Sikar,2907,2690,21,0,84905.0
2020-09-10,Rajasthan,Sikar,2962,2700,21,0,85245.0
2020-09-11,Rajasthan,Sikar,3035,2842,23,0,85614.0
2020-09-12,Rajasthan,Sikar,3091,2852,24,0,85986.0
2020-09-13,Rajasthan,Sikar,3166,2910,24,0,86301.0
2020-09-14,Rajasthan,Sikar,3210,2912,25,0,86503.0
2020-09-15,Rajasthan,Sikar,3300,2998,25,0,87163.0
2020-09-16,Rajasthan,Sikar,3340,3050,25,0,87724.0
2020-09-17,Rajasthan,Sikar,3409,3070,26,0,88226.0
2020-09-18,Rajasthan,Sikar,3459,3099,26,0,88669.0
2020-09-19,Rajasthan,Sikar,3504,3177,27,0,89071.0
2020-09-20,Rajasthan,Sikar,3543,3194,27,0,89367.0
2020-09-21,Rajasthan,Sikar,3565,3290,28,0,89589.0
2020-09-22,Rajasthan,Sikar,3583,3318,29,0,90380.0
2020-09-23,Rajasthan,Sikar,3731,3319,29,0,91206.0
2020-09-24,Rajasthan,Sikar,3801,3320,30,0,91747.0
2020-09-25,Rajasthan,Sikar,3871,3321,31,0,92288.0
2020-09-26,Rajasthan,Sikar,3929,3322,32,0,92888.0
2020-09-27,Rajasthan,Sikar,4034,3324,33,0,93467.0
2020-09-28,Rajasthan,Sikar,4040,3420,33,0,93537.0
2020-09-29,Rajasthan,Sikar,4101,3483,33,0,94217.0
2020-09-30,Rajasthan,Sikar,4128,3521,34,0,94610.0
2020-10-01,Rajasthan,Sikar,4173,3587,34,0,95065.0
2020-10-02,Rajasthan,Sikar,4219,3759,34,0,95461.0
2020-10-03,Rajasthan,Sikar,4254,3802,34,0,95711.0
2020-10-04,Rajasthan,Sikar,4307,3856,35,0,96190.0
2020-10-05,Rajasthan,Sikar,4320,3977,36,0,96370.0
2020-10-06,Rajasthan,Sikar,4405,4088,37,0,97031.0
2020-10-07,Rajasthan,Sikar,4469,4189,38,0,97446.0
2020-10-08,Rajasthan,Sikar,4564,4278,39,0,97984.0
2020-10-09,Rajasthan,Sikar,4606,4340,40,0,98427.0
2020-10-10,Rajasthan,Sikar,4649,4423,41,0,98885.0
2020-10-11,Rajasthan,Sikar,4684,4479,42,0,99312.0
2020-10-12,Rajasthan,Sikar,4706,4498,43,0,99404.0
2020-10-13,Rajasthan,Sikar,4751,4509,44,0,100119.0
2020-10-14,Rajasthan,Sikar,4790,4520,44,0,100649.0
2020-10-15,Rajasthan,Sikar,4850,4568,45,0,101033.0
2020-10-16,Rajasthan,Sikar,4924,4578,45,0,101518.0
2020-10-17,Rajasthan,Sikar,5017,4652,45,0,102064.0
2020-10-18,Rajasthan,Sikar,5071,4766,45,0,102336.0
2020-10-19,Rajasthan,Sikar,5094,4804,46,0,102442.0
2020-10-20,Rajasthan,Sikar,5195,4859,47,0,103257.0
2020-10-21,Rajasthan,Sikar,5288,4910,48,0,103764.0
2020-10-22,Rajasthan,Sikar,5395,4997,49,0,104281.0
2020-10-23,Rajasthan,Sikar,5483,5012,50,0,104812.0
2020-10-24,Rajasthan,Sikar,5600,5029,51,0,105418.0
2020-10-25,Rajasthan,Sikar,5665,5033,52,0,105680.0
2020-10-26,Rajasthan,Sikar,5706,5343,53,0,105866.0
2020-10-27,Rajasthan,Sikar,5791,5379,54,0,106721.0
2020-10-28,Rajasthan,Sikar,5904,5419,55,0,107289.0
2020-10-29,Rajasthan,Sikar,5904,5419,55,0,107289.0
