Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-07,Rajasthan,Sirohi,1,0,0,0,
2020-05-08,Rajasthan,Sirohi,2,0,0,0,
2020-05-09,Rajasthan,Sirohi,3,0,0,0,
2020-05-10,Rajasthan,Sirohi,4,0,0,0,
2020-05-11,Rajasthan,Sirohi,11,0,0,0,
2020-05-12,Rajasthan,Sirohi,11,0,0,0,
2020-05-13,Rajasthan,Sirohi,14,0,0,0,
2020-05-14,Rajasthan,Sirohi,22,0,0,0,
2020-05-15,Rajasthan,Sirohi,22,0,0,0,
2020-05-16,Rajasthan,Sirohi,32,0,0,0,
2020-05-17,Rajasthan,Sirohi,42,0,0,0,
2020-05-18,Rajasthan,Sirohi,48,0,0,0,
2020-05-19,Rajasthan,Sirohi,65,0,0,0,3222.0
2020-05-20,Rajasthan,Sirohi,70,5,0,0,3333.0
2020-05-21,Rajasthan,Sirohi,78,5,0,0,3662.0
2020-05-22,Rajasthan,Sirohi,96,6,0,0,4109.0
2020-05-23,Rajasthan,Sirohi,100,6,0,0,5163.0
2020-05-24,Rajasthan,Sirohi,103,6,0,0,5222.0
2020-05-25,Rajasthan,Sirohi,112,6,0,0,5754.0
2020-05-26,Rajasthan,Sirohi,139,6,0,0,5756.0
2020-05-27,Rajasthan,Sirohi,141,6,0,0,5795.0
2020-05-28,Rajasthan,Sirohi,142,18,0,0,6122.0
2020-05-29,Rajasthan,Sirohi,147,18,0,0,6386.0
2020-05-30,Rajasthan,Sirohi,157,18,3,0,6475.0
2020-05-31,Rajasthan,Sirohi,159,43,3,0,6475.0
2020-06-01,Rajasthan,Sirohi,164,43,3,0,6622.0
2020-06-02,Rajasthan,Sirohi,176,59,3,0,6622.0
2020-06-03,Rajasthan,Sirohi,179,59,3,0,9373.0
2020-06-04,Rajasthan,Sirohi,181,59,3,0,9373.0
2020-06-05,Rajasthan,Sirohi,191,80,3,0,9373.0
2020-06-06,Rajasthan,Sirohi,195,80,3,0,9373.0
2020-06-07,Rajasthan,Sirohi,200,101,3,0,9373.0
2020-06-08,Rajasthan,Sirohi,210,109,3,0,10128.0
2020-06-09,Rajasthan,Sirohi,211,136,3,0,10916.0
2020-06-10,Rajasthan,Sirohi,219,136,3,0,10999.0
2020-06-11,Rajasthan,Sirohi,219,137,3,0,12863.0
2020-06-12,Rajasthan,Sirohi,266,142,4,0,12889.0
2020-06-13,Rajasthan,Sirohi,279,152,4,0,13324.0
2020-06-14,Rajasthan,Sirohi,298,153,4,0,13608.0
2020-06-15,Rajasthan,Sirohi,308,153,4,0,14353.0
2020-06-16,Rajasthan,Sirohi,312,159,5,0,14678.0
2020-06-17,Rajasthan,Sirohi,315,183,5,0,15515.0
2020-06-18,Rajasthan,Sirohi,326,183,5,0,16033.0
2020-06-19,Rajasthan,Sirohi,326,183,5,0,16485.0
2020-06-20,Rajasthan,Sirohi,344,197,5,0,17068.0
2020-06-21,Rajasthan,Sirohi,358,211,5,0,17786.0
2020-06-22,Rajasthan,Sirohi,360,242,5,0,18282.0
