Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Rajasthan,Tonk,115,32,1,0,
2020-04-27,Rajasthan,Tonk,123,35,1,0,
2020-04-28,Rajasthan,Tonk,131,35,1,0,
2020-04-29,Rajasthan,Tonk,131,35,1,0,
2020-04-30,Rajasthan,Tonk,134,35,1,0,
2020-05-01,Rajasthan,Tonk,134,89,1,0,
2020-05-02,Rajasthan,Tonk,134,113,1,0,
2020-05-03,Rajasthan,Tonk,134,113,1,0,
2020-05-04,Rajasthan,Tonk,134,115,1,0,
2020-05-05,Rajasthan,Tonk,136,120,1,0,
2020-05-06,Rajasthan,Tonk,136,120,1,0,
2020-05-07,Rajasthan,Tonk,136,120,1,0,
2020-05-08,Rajasthan,Tonk,136,131,1,0,
2020-05-09,Rajasthan,Tonk,136,131,1,0,
2020-05-10,Rajasthan,Tonk,140,131,1,0,
2020-05-11,Rajasthan,Tonk,142,131,1,0,
2020-05-12,Rajasthan,Tonk,142,131,1,0,
2020-05-13,Rajasthan,Tonk,144,131,1,0,
2020-05-14,Rajasthan,Tonk,144,134,1,0,
2020-05-15,Rajasthan,Tonk,144,134,1,0,
2020-05-16,Rajasthan,Tonk,147,137,1,0,
2020-05-17,Rajasthan,Tonk,147,137,1,0,
2020-05-18,Rajasthan,Tonk,149,137,1,0,
2020-05-19,Rajasthan,Tonk,154,142,1,0,6485.0
2020-05-20,Rajasthan,Tonk,156,142,1,0,6485.0
2020-05-21,Rajasthan,Tonk,156,142,1,0,6733.0
2020-05-22,Rajasthan,Tonk,156,142,1,0,6859.0
2020-05-23,Rajasthan,Tonk,159,149,1,0,6957.0
2020-05-24,Rajasthan,Tonk,159,158,1,0,7038.0
2020-05-25,Rajasthan,Tonk,159,158,1,0,7142.0
2020-05-26,Rajasthan,Tonk,159,158,1,0,7203.0
2020-05-27,Rajasthan,Tonk,163,156,1,0,5795.0
2020-05-28,Rajasthan,Tonk,163,156,1,0,6122.0
2020-05-29,Rajasthan,Tonk,163,158,1,0,7454.0
2020-05-30,Rajasthan,Tonk,163,158,1,0,7526.0
2020-05-31,Rajasthan,Tonk,164,158,1,0,7526.0
2020-06-01,Rajasthan,Tonk,165,161,1,0,7807.0
2020-06-02,Rajasthan,Tonk,166,161,1,0,7807.0
2020-06-03,Rajasthan,Tonk,169,162,1,0,8158.0
2020-06-04,Rajasthan,Tonk,169,162,1,0,8158.0
2020-06-05,Rajasthan,Tonk,169,163,1,0,8158.0
2020-06-06,Rajasthan,Tonk,169,163,1,0,8158.0
2020-06-07,Rajasthan,Tonk,175,163,1,0,8158.0
2020-06-08,Rajasthan,Tonk,175,163,1,0,9035.0
2020-06-09,Rajasthan,Tonk,175,167,1,0,9184.0
2020-06-10,Rajasthan,Tonk,175,167,1,0,9326.0
2020-06-11,Rajasthan,Tonk,176,167,1,0,9452.0
2020-06-12,Rajasthan,Tonk,178,173,1,0,9578.0
2020-06-13,Rajasthan,Tonk,180,173,1,0,9619.0
2020-06-14,Rajasthan,Tonk,180,173,1,0,9701.0
2020-06-15,Rajasthan,Tonk,181,173,1,0,9834.0
2020-06-16,Rajasthan,Tonk,187,175,1,0,10060.0
2020-06-17,Rajasthan,Tonk,187,175,1,0,10360.0
2020-06-18,Rajasthan,Tonk,189,175,1,0,10798.0
2020-06-19,Rajasthan,Tonk,195,176,1,0,11318.0
2020-06-20,Rajasthan,Tonk,196,177,1,0,11419.0
2020-06-21,Rajasthan,Tonk,198,177,1,0,11507.0
2020-06-22,Rajasthan,Tonk,200,188,1,0,11582.0
2020-06-23,Rajasthan,Tonk,200,188,1,0,11715.0
2020-06-24,Rajasthan,Tonk,200,196,1,0,11804.0
2020-06-25,Rajasthan,Tonk,200,196,1,0,11886.0
2020-06-26,Rajasthan,Tonk,200,196,1,0,11991.0
2020-06-27,Rajasthan,Tonk,200,196,1,0,12125.0
2020-06-28,Rajasthan,Tonk,200,196,1,0,12193.0
2020-06-29,Rajasthan,Tonk,200,196,1,0,12255.0
2020-06-30,Rajasthan,Tonk,201,199,1,0,12387.0
2020-07-01,Rajasthan,Tonk,201,199,1,0,12440.0
2020-07-02,Rajasthan,Tonk,201,199,1,0,12526.0
2020-07-03,Rajasthan,Tonk,202,199,1,0,12617.0
2020-07-04,Rajasthan,Tonk,204,199,1,0,12784.0
2020-07-05,Rajasthan,Tonk,207,199,1,0,12914.0
2020-07-06,Rajasthan,Tonk,208,199,1,0,13042.0
2020-07-07,Rajasthan,Tonk,209,199,1,0,13308.0
2020-07-08,Rajasthan,Tonk,211,199,1,0,13489.0
2020-07-09,Rajasthan,Tonk,212,199,1,0,13587.0
2020-07-10,Rajasthan,Tonk,213,203,1,0,13705.0
2020-07-11,Rajasthan,Tonk,214,203,1,0,13886.0
2020-07-12,Rajasthan,Tonk,214,203,2,0,13989.0
2020-07-13,Rajasthan,Tonk,214,203,2,0,14063.0
2020-07-14,Rajasthan,Tonk,214,203,2,0,14210.0
2020-07-15,Rajasthan,Tonk,218,203,2,0,14392.0
2020-07-16,Rajasthan,Tonk,218,211,2,0,14515.0
2020-07-17,Rajasthan,Tonk,221,211,2,0,14734.0
2020-07-18,Rajasthan,Tonk,224,211,2,0,15149.0
2020-07-19,Rajasthan,Tonk,225,211,2,0,15621.0
2020-07-20,Rajasthan,Tonk,226,211,2,0,15796.0
2020-07-21,Rajasthan,Tonk,245,215,2,0,16099.0
2020-07-22,Rajasthan,Tonk,245,218,2,0,16435.0
2020-07-23,Rajasthan,Tonk,247,218,2,0,16778.0
2020-07-24,Rajasthan,Tonk,252,218,2,0,16992.0
2020-07-25,Rajasthan,Tonk,252,220,2,0,17329.0
2020-07-26,Rajasthan,Tonk,254,220,3,0,17360.0
2020-07-27,Rajasthan,Tonk,262,238,3,0,17431.0
2020-07-28,Rajasthan,Tonk,265,240,3,0,17547.0
2020-07-29,Rajasthan,Tonk,265,240,3,0,17786.0
2020-07-30,Rajasthan,Tonk,272,244,3,0,18134.0
2020-07-31,Rajasthan,Tonk,274,244,3,0,18354.0
2020-08-01,Rajasthan,Tonk,279,253,3,0,18562.0
2020-08-02,Rajasthan,Tonk,285,258,3,0,18660.0
2020-08-03,Rajasthan,Tonk,304,263,3,0,18816.0
2020-08-04,Rajasthan,Tonk,322,266,3,0,18922.0
2020-08-05,Rajasthan,Tonk,325,284,3,0,19245.0
2020-08-06,Rajasthan,Tonk,346,284,3,0,19528.0
2020-08-07,Rajasthan,Tonk,370,284,3,0,19811.0
2020-08-08,Rajasthan,Tonk,378,291,3,0,20155.0
2020-08-09,Rajasthan,Tonk,378,303,3,0,20532.0
2020-08-10,Rajasthan,Tonk,384,305,3,0,20639.0
2020-08-11,Rajasthan,Tonk,402,319,3,0,20776.0
2020-08-12,Rajasthan,Tonk,408,330,5,0,21068.0
2020-08-13,Rajasthan,Tonk,408,330,5,0,21158.0
2020-08-14,Rajasthan,Tonk,427,336,5,0,21292.0
2020-08-15,Rajasthan,Tonk,443,342,5,0,21447.0
2020-08-16,Rajasthan,Tonk,477,351,5,0,21545.0
2020-08-17,Rajasthan,Tonk,484,368,5,0,21717.0
2020-08-18,Rajasthan,Tonk,511,391,5,0,21966.0
2020-08-19,Rajasthan,Tonk,514,418,5,0,22186.0
2020-08-20,Rajasthan,Tonk,514,435,6,0,22320.0
2020-08-21,Rajasthan,Tonk,522,437,8,0,22497.0
2020-08-22,Rajasthan,Tonk,532,438,9,0,22633.0
2020-08-23,Rajasthan,Tonk,540,438,10,0,22814.0
2020-08-24,Rajasthan,Tonk,548,467,10,0,22893.0
2020-08-25,Rajasthan,Tonk,553,467,10,0,23046.0
2020-08-26,Rajasthan,Tonk,561,471,10,0,23309.0
2020-08-27,Rajasthan,Tonk,570,492,10,0,23710.0
2020-08-28,Rajasthan,Tonk,593,494,10,0,23910.0
2020-08-29,Rajasthan,Tonk,600,501,10,0,24029.0
2020-08-30,Rajasthan,Tonk,612,501,11,0,24328.0
2020-08-31,Rajasthan,Tonk,652,501,12,0,24524.0
2020-09-01,Rajasthan,Tonk,672,501,12,0,24984.0
2020-09-02,Rajasthan,Tonk,685,510,12,0,25149.0
2020-09-03,Rajasthan,Tonk,717,510,13,0,25502.0
2020-09-04,Rajasthan,Tonk,735,510,13,0,25840.0
2020-09-05,Rajasthan,Tonk,764,550,13,0,26153.0
2020-09-06,Rajasthan,Tonk,770,600,13,0,26509.0
2020-09-07,Rajasthan,Tonk,774,610,13,0,26590.0
2020-09-08,Rajasthan,Tonk,783,630,13,0,26743.0
2020-09-09,Rajasthan,Tonk,784,660,13,0,26966.0
2020-09-10,Rajasthan,Tonk,804,663,13,0,27107.0
2020-09-11,Rajasthan,Tonk,806,681,13,0,27424.0
2020-09-12,Rajasthan,Tonk,809,685,13,0,27635.0
2020-09-13,Rajasthan,Tonk,821,699,13,0,27923.0
2020-09-14,Rajasthan,Tonk,840,701,13,0,28046.0
2020-09-15,Rajasthan,Tonk,863,720,13,0,28313.0
2020-09-16,Rajasthan,Tonk,881,731,13,0,28711.0
2020-09-17,Rajasthan,Tonk,904,740,13,0,28981.0
2020-09-18,Rajasthan,Tonk,939,766,13,0,29259.0
2020-09-19,Rajasthan,Tonk,966,771,14,0,29805.0
2020-09-20,Rajasthan,Tonk,1007,780,14,0,30141.0
2020-09-21,Rajasthan,Tonk,1047,820,15,0,30278.0
2020-09-22,Rajasthan,Tonk,1078,876,16,0,30668.0
2020-09-23,Rajasthan,Tonk,1109,891,16,0,30960.0
2020-09-24,Rajasthan,Tonk,1144,935,17,0,31218.0
2020-09-25,Rajasthan,Tonk,1171,942,17,0,31544.0
2020-09-26,Rajasthan,Tonk,1201,989,18,0,31887.0
2020-09-27,Rajasthan,Tonk,1235,992,18,0,32097.0
2020-09-28,Rajasthan,Tonk,1256,1020,19,0,32153.0
2020-09-29,Rajasthan,Tonk,1280,1098,19,0,32426.0
2020-09-30,Rajasthan,Tonk,1291,1118,19,0,32733.0
2020-10-01,Rajasthan,Tonk,1314,1121,19,0,32934.0
2020-10-02,Rajasthan,Tonk,1344,1130,21,0,33073.0
2020-10-03,Rajasthan,Tonk,1365,1143,21,0,33173.0
2020-10-04,Rajasthan,Tonk,1377,1167,21,0,33412.0
2020-10-05,Rajasthan,Tonk,1405,1175,21,0,33467.0
2020-10-06,Rajasthan,Tonk,1413,1210,21,0,33752.0
2020-10-07,Rajasthan,Tonk,1423,1289,22,0,33961.0
2020-10-08,Rajasthan,Tonk,1439,1295,22,0,34151.0
2020-10-09,Rajasthan,Tonk,1480,1329,22,0,34297.0
2020-10-10,Rajasthan,Tonk,1514,1348,22,0,34580.0
2020-10-11,Rajasthan,Tonk,1547,1369,22,0,34779.0
2020-10-12,Rajasthan,Tonk,1593,1371,23,0,34848.0
2020-10-13,Rajasthan,Tonk,1615,1379,23,0,35127.0
2020-10-14,Rajasthan,Tonk,1627,1387,23,0,35376.0
2020-10-15,Rajasthan,Tonk,1630,1394,23,0,35628.0
2020-10-16,Rajasthan,Tonk,1636,1412,23,0,35798.0
2020-10-17,Rajasthan,Tonk,1652,1433,23,0,36006.0
2020-10-18,Rajasthan,Tonk,1655,1487,23,0,36098.0
2020-10-19,Rajasthan,Tonk,1666,1497,23,0,36158.0
2020-10-20,Rajasthan,Tonk,1671,1512,24,0,36370.0
2020-10-21,Rajasthan,Tonk,1681,1529,24,0,36546.0
2020-10-22,Rajasthan,Tonk,1690,1532,24,0,36828.0
2020-10-23,Rajasthan,Tonk,1690,1548,24,0,36988.0
2020-10-24,Rajasthan,Tonk,1695,1588,24,0,37349.0
2020-10-25,Rajasthan,Tonk,1711,1590,25,0,37451.0
2020-10-26,Rajasthan,Tonk,1719,1596,25,0,37490.0
2020-10-27,Rajasthan,Tonk,1729,1600,26,0,37630.0
2020-10-28,Rajasthan,Tonk,1736,1630,26,0,37928.0
2020-10-29,Rajasthan,Tonk,1736,1630,26,0,37928.0
