Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Rajasthan,Udaipur,5,4,0,0,1518.0
2020-04-27,Rajasthan,Udaipur,6,4,0,0,1711.0
2020-04-28,Rajasthan,Udaipur,7,4,0,0,1842.0
2020-04-29,Rajasthan,Udaipur,8,4,0,0,2000.0
2020-04-30,Rajasthan,Udaipur,8,4,0,0,2187.0
2020-05-01,Rajasthan,Udaipur,8,4,0,0,2339.0
2020-05-02,Rajasthan,Udaipur,9,6,0,0,2539.0
2020-05-03,Rajasthan,Udaipur,14,6,0,0,2701.0
2020-05-04,Rajasthan,Udaipur,15,6,0,0,2927.0
2020-05-05,Rajasthan,Udaipur,15,6,0,0,3100.0
2020-05-06,Rajasthan,Udaipur,15,7,0,0,3342.0
2020-05-07,Rajasthan,Udaipur,20,7,0,0,3469.0
2020-05-08,Rajasthan,Udaipur,79,7,0,0,3799.0
2020-05-09,Rajasthan,Udaipur,103,12,0,0,4270.0
2020-05-10,Rajasthan,Udaipur,133,12,0,0,4600.0
2020-05-11,Rajasthan,Udaipur,182,12,0,0,5275.0
2020-05-12,Rajasthan,Udaipur,224,12,0,0,5892.0
2020-05-13,Rajasthan,Udaipur,257,12,0,0,6449.0
2020-05-14,Rajasthan,Udaipur,316,12,0,0,7216.0
2020-05-15,Rajasthan,Udaipur,354,12,0,0,7888.0
2020-05-16,Rajasthan,Udaipur,363,12,0,0,8432.0
2020-05-17,Rajasthan,Udaipur,380,12,0,0,9287.0
2020-05-18,Rajasthan,Udaipur,401,12,1,0,9287.0
2020-05-19,Rajasthan,Udaipur,417,12,1,0,9287.0
2020-05-20,Rajasthan,Udaipur,420,12,1,0,10279.0
2020-05-21,Rajasthan,Udaipur,433,12,1,0,11009.0
2020-05-22,Rajasthan,Udaipur,445,70,1,0,11842.0
2020-05-23,Rajasthan,Udaipur,459,70,1,0,12651.0
2020-05-24,Rajasthan,Udaipur,480,70,1,0,13312.0
2020-05-25,Rajasthan,Udaipur,492,70,1,0,13312.0
2020-05-26,Rajasthan,Udaipur,517,120,1,0,14274.0
2020-05-27,Rajasthan,Udaipur,523,155,1,0,14779.0
2020-05-28,Rajasthan,Udaipur,523,162,1,0,15239.0
2020-05-29,Rajasthan,Udaipur,532,359,1,0,16007.0
2020-05-30,Rajasthan,Udaipur,541,359,1,0,16347.0
2020-05-31,Rajasthan,Udaipur,552,419,1,0,16347.0
2020-06-01,Rajasthan,Udaipur,562,424,1,0,16747.0
2020-06-02,Rajasthan,Udaipur,566,424,1,0,16747.0
2020-06-03,Rajasthan,Udaipur,568,433,1,0,17527.0
2020-06-04,Rajasthan,Udaipur,576,466,1,0,17527.0
2020-06-05,Rajasthan,Udaipur,577,507,1,0,17527.0
2020-06-06,Rajasthan,Udaipur,586,515,1,0,17527.0
2020-06-07,Rajasthan,Udaipur,587,515,1,0,17527.0
2020-06-08,Rajasthan,Udaipur,587,520,1,0,19961.0
2020-06-09,Rajasthan,Udaipur,587,520,1,0,20311.0
2020-06-10,Rajasthan,Udaipur,590,535,1,0,20744.0
2020-06-11,Rajasthan,Udaipur,595,535,1,0,21193.0
2020-06-12,Rajasthan,Udaipur,597,559,1,0,21716.0
2020-06-13,Rajasthan,Udaipur,600,562,1,0,22114.0
2020-06-14,Rajasthan,Udaipur,603,565,1,0,22878.0
2020-06-15,Rajasthan,Udaipur,604,565,2,0,23538.0
2020-06-16,Rajasthan,Udaipur,624,565,2,0,24101.0
2020-06-17,Rajasthan,Udaipur,629,569,2,0,24129.0
2020-06-18,Rajasthan,Udaipur,633,570,2,0,25071.0
2020-06-19,Rajasthan,Udaipur,634,583,2,0,25605.0
2020-06-20,Rajasthan,Udaipur,641,584,2,0,25954.0
2020-06-21,Rajasthan,Udaipur,645,593,2,0,27025.0
2020-06-22,Rajasthan,Udaipur,658,593,3,0,27501.0
2020-06-23,Rajasthan,Udaipur,663,607,3,0,28339.0
2020-06-24,Rajasthan,Udaipur,670,615,3,0,29335.0
2020-06-25,Rajasthan,Udaipur,677,615,3,0,29944.0
2020-06-26,Rajasthan,Udaipur,677,615,3,0,31200.0
2020-06-27,Rajasthan,Udaipur,681,621,3,0,31435.0
2020-06-28,Rajasthan,Udaipur,685,632,3,0,32006.0
2020-06-29,Rajasthan,Udaipur,697,641,3,0,32550.0
2020-06-30,Rajasthan,Udaipur,703,653,3,0,33175.0
2020-07-01,Rajasthan,Udaipur,713,658,3,0,33694.0
2020-07-02,Rajasthan,Udaipur,735,660,3,0,34361.0
2020-07-03,Rajasthan,Udaipur,752,662,3,0,35316.0
2020-07-04,Rajasthan,Udaipur,772,662,3,0,36400.0
2020-07-05,Rajasthan,Udaipur,782,668,4,0,37403.0
2020-07-06,Rajasthan,Udaipur,792,668,4,0,37984.0
2020-07-07,Rajasthan,Udaipur,795,677,4,0,38767.0
2020-07-08,Rajasthan,Udaipur,812,690,4,0,39514.0
2020-07-09,Rajasthan,Udaipur,827,699,5,0,40161.0
2020-07-10,Rajasthan,Udaipur,830,702,5,0,40711.0
2020-07-11,Rajasthan,Udaipur,866,702,6,0,41454.0
2020-07-12,Rajasthan,Udaipur,870,705,7,0,42195.0
2020-07-13,Rajasthan,Udaipur,901,784,7,0,42984.0
2020-07-14,Rajasthan,Udaipur,911,789,7,0,43857.0
2020-07-15,Rajasthan,Udaipur,916,789,8,0,45016.0
2020-07-16,Rajasthan,Udaipur,934,796,9,0,46165.0
2020-07-17,Rajasthan,Udaipur,946,796,10,0,46985.0
2020-07-18,Rajasthan,Udaipur,958,837,10,0,48257.0
2020-07-19,Rajasthan,Udaipur,977,837,10,0,49239.0
2020-07-20,Rajasthan,Udaipur,1004,840,10,0,49844.0
2020-07-21,Rajasthan,Udaipur,1011,859,12,0,50556.0
2020-07-22,Rajasthan,Udaipur,1045,862,12,0,51963.0
2020-07-23,Rajasthan,Udaipur,1056,865,12,0,53154.0
2020-07-24,Rajasthan,Udaipur,1077,916,12,0,54345.0
2020-07-25,Rajasthan,Udaipur,1087,923,12,0,55811.0
2020-07-26,Rajasthan,Udaipur,1120,923,12,0,56908.0
2020-07-27,Rajasthan,Udaipur,1142,952,12,0,57301.0
2020-07-28,Rajasthan,Udaipur,1171,952,13,0,58669.0
2020-07-29,Rajasthan,Udaipur,1250,959,13,0,59940.0
2020-07-30,Rajasthan,Udaipur,1254,959,13,0,61453.0
2020-07-31,Rajasthan,Udaipur,1304,1005,13,0,63278.0
2020-08-01,Rajasthan,Udaipur,1304,1005,13,0,64812.0
2020-08-02,Rajasthan,Udaipur,1334,1015,13,0,65664.0
2020-08-03,Rajasthan,Udaipur,1365,1060,13,0,66312.0
2020-08-04,Rajasthan,Udaipur,1397,1060,13,0,66597.0
2020-08-05,Rajasthan,Udaipur,1436,1168,13,0,67580.0
2020-08-06,Rajasthan,Udaipur,1518,1175,13,0,68834.0
2020-08-07,Rajasthan,Udaipur,1518,1175,13,0,70056.0
2020-08-08,Rajasthan,Udaipur,1565,1218,14,0,71636.0
2020-08-09,Rajasthan,Udaipur,1643,1257,14,0,72765.0
2020-08-10,Rajasthan,Udaipur,1681,1337,14,0,73155.0
2020-08-11,Rajasthan,Udaipur,1681,1347,14,0,74425.0
2020-08-12,Rajasthan,Udaipur,1719,1347,14,0,76286.0
2020-08-13,Rajasthan,Udaipur,1772,1365,16,0,77137.0
2020-08-14,Rajasthan,Udaipur,1815,1382,16,0,78638.0
2020-08-15,Rajasthan,Udaipur,1852,1455,16,0,80375.0
2020-08-16,Rajasthan,Udaipur,1918,1498,18,0,81430.0
2020-08-17,Rajasthan,Udaipur,1988,1498,18,0,82468.0
2020-08-18,Rajasthan,Udaipur,1988,1593,19,0,84523.0
2020-08-19,Rajasthan,Udaipur,1988,1593,20,0,87585.0
2020-08-20,Rajasthan,Udaipur,2070,1629,20,0,90836.0
2020-08-21,Rajasthan,Udaipur,2098,1670,21,0,94365.0
2020-08-22,Rajasthan,Udaipur,2110,1692,22,0,97476.0
2020-08-23,Rajasthan,Udaipur,2139,1759,22,0,99529.0
2020-08-24,Rajasthan,Udaipur,2170,1759,23,0,100250.0
2020-08-25,Rajasthan,Udaipur,2189,1963,24,0,101310.0
2020-08-26,Rajasthan,Udaipur,2208,2029,24,0,102158.0
2020-08-27,Rajasthan,Udaipur,2227,2029,25,0,102862.0
2020-08-28,Rajasthan,Udaipur,2258,2111,25,0,103716.0
2020-08-29,Rajasthan,Udaipur,2335,2141,26,0,104437.0
2020-08-30,Rajasthan,Udaipur,2382,2177,27,0,105258.0
2020-08-31,Rajasthan,Udaipur,2418,2207,28,0,105572.0
2020-09-01,Rajasthan,Udaipur,2447,2222,28,0,106290.0
2020-09-02,Rajasthan,Udaipur,2485,2363,28,0,106957.0
2020-09-03,Rajasthan,Udaipur,2517,2363,29,0,107813.0
2020-09-04,Rajasthan,Udaipur,2529,2372,29,0,108719.0
2020-09-05,Rajasthan,Udaipur,2542,2383,29,0,109613.0
