Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-04,Sikkim,Unknown,0,0,0,0,170.0
2020-05-05,Sikkim,Unknown,0,0,0,0,181.0
2020-05-06,Sikkim,Unknown,0,0,0,0,189.0
2020-05-07,Sikkim,Unknown,0,0,0,0,216.0
2020-05-08,Sikkim,Unknown,0,0,0,0,216.0
2020-05-09,Sikkim,Unknown,0,0,0,0,219.0
2020-05-10,Sikkim,Unknown,0,0,0,0,219.0
2020-05-11,Sikkim,Unknown,0,0,0,0,219.0
2020-05-12,Sikkim,Unknown,0,0,0,0,348.0
2020-05-13,Sikkim,Unknown,0,0,0,0,439.0
2020-05-14,Sikkim,Unknown,0,0,0,0,579.0
2020-05-15,Sikkim,Unknown,0,0,0,0,348.0
2020-05-16,Sikkim,Unknown,0,0,0,0,840.0
2020-05-17,Sikkim,Unknown,0,0,0,0,947.0
2020-05-18,Sikkim,Unknown,0,0,0,0,1087.0
2020-05-19,Sikkim,Unknown,0,0,0,0,1204.0
2020-05-20,Sikkim,Unknown,0,0,0,0,1342.0
2020-05-21,Sikkim,Unknown,0,0,0,0,1342.0
2020-05-22,Sikkim,Unknown,0,0,0,0,1637.0
2020-05-23,Sikkim,Unknown,1,0,0,0,1707.0
2020-05-24,Sikkim,Unknown,1,0,0,0,1855.0
2020-05-25,Sikkim,Unknown,1,0,0,0,2103.0
2020-05-26,Sikkim,Unknown,1,0,0,0,2255.0
2020-05-27,Sikkim,Unknown,1,0,0,0,2417.0
2020-05-28,Sikkim,Unknown,1,0,0,0,2626.0
2020-05-29,Sikkim,Unknown,1,0,0,0,2759.0
2020-05-30,Sikkim,Unknown,1,0,0,0,2829.0
2020-05-31,Sikkim,Unknown,1,0,0,0,2925.0
2020-06-01,Sikkim,Unknown,1,0,0,0,3525.0
2020-06-02,Sikkim,Unknown,1,0,0,0,3788.0
2020-06-03,Sikkim,Unknown,2,0,0,0,4102.0
2020-06-04,Sikkim,Unknown,2,0,0,0,4358.0
2020-06-05,Sikkim,Unknown,3,0,0,0,4761.0
2020-06-06,Sikkim,Unknown,7,0,0,0,5005.0
2020-06-07,Sikkim,Unknown,7,0,0,0,5005.0
2020-06-08,Sikkim,Unknown,7,0,0,0,5547.0
2020-06-09,Sikkim,Unknown,13,3,0,0,5815.0
2020-06-10,Sikkim,Unknown,13,3,0,0,6161.0
2020-06-11,Sikkim,Unknown,13,3,0,0,6692.0
2020-06-12,Sikkim,Unknown,63,3,0,0,5157.0
2020-06-13,Sikkim,Unknown,63,4,0,0,5377.0
2020-06-14,Sikkim,Unknown,68,4,0,0,5664.0
2020-06-15,Sikkim,Unknown,68,4,0,0,5762.0
2020-06-16,Sikkim,Unknown,68,4,0,0,6192.0
2020-06-17,Sikkim,Unknown,70,4,0,0,6349.0
2020-06-18,Sikkim,Unknown,70,5,0,0,6349.0
2020-06-19,Sikkim,Unknown,70,21,0,0,6882.0
2020-06-20,Sikkim,Unknown,70,21,0,0,7183.0
2020-06-21,Sikkim,Unknown,78,25,0,0,9354.0
2020-06-22,Sikkim,Unknown,78,29,0,0,9449.0
2020-06-23,Sikkim,Unknown,79,29,0,0,9594.0
2020-06-24,Sikkim,Unknown,83,39,0,0,9849.0
2020-06-25,Sikkim,Unknown,85,39,0,0,10025.0
2020-06-26,Sikkim,Unknown,87,39,0,0,10212.0
2020-06-27,Sikkim,Unknown,87,49,0,0,10219.0
2020-06-28,Sikkim,Unknown,88,49,0,0,10364.0
2020-06-29,Sikkim,Unknown,88,49,0,0,10440.0
2020-06-30,Sikkim,Unknown,88,50,0,0,10535.0
2020-07-01,Sikkim,Unknown,89,52,0,0,10723.0
2020-07-02,Sikkim,Unknown,101,52,0,0,10900.0
2020-07-03,Sikkim,Unknown,102,52,0,0,11072.0
2020-07-04,Sikkim,Unknown,103,52,0,0,11242.0
2020-07-05,Sikkim,Unknown,125,61,0,13,11387.0
2020-07-06,Sikkim,Unknown,125,65,0,13,11407.0
2020-07-07,Sikkim,Unknown,127,65,0,13,11581.0
2020-07-08,Sikkim,Unknown,133,71,0,13,11820.0
2020-07-09,Sikkim,Unknown,134,71,0,13,12012.0
2020-07-10,Sikkim,Unknown,121,80,0,0,12119.0
2020-07-11,Sikkim,Unknown,147,80,0,0,12246.0
2020-07-12,Sikkim,Unknown,151,81,0,0,12531.0
2020-07-13,Sikkim,Unknown,153,87,0,0,12636.0
