Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Tamil Nadu,Coimbatore,141,94,0,0,
2020-04-27,Tamil Nadu,Coimbatore,141,120,0,0,
2020-04-28,Tamil Nadu,Coimbatore,141,120,0,0,
2020-04-29,Tamil Nadu,Coimbatore,141,121,0,0,
2020-04-30,Tamil Nadu,Coimbatore,141,125,0,0,
2020-05-01,Tamil Nadu,Coimbatore,141,127,0,0,
2020-05-02,Tamil Nadu,Coimbatore,142,127,0,0,
2020-05-03,Tamil Nadu,Coimbatore,146,133,1,0,
2020-05-04,Tamil Nadu,Coimbatore,146,133,1,0,
2020-05-05,Tamil Nadu,Coimbatore,146,140,1,0,
2020-05-06,Tamil Nadu,Coimbatore,146,140,1,0,
2020-05-07,Tamil Nadu,Coimbatore,146,140,1,0,
2020-05-08,Tamil Nadu,Coimbatore,146,140,1,0,
2020-05-09,Tamil Nadu,Coimbatore,146,140,1,0,
2020-05-10,Tamil Nadu,Coimbatore,146,140,1,0,
2020-05-11,Tamil Nadu,Coimbatore,146,140,1,0,
2020-05-12,Tamil Nadu,Coimbatore,146,140,1,0,
2020-05-13,Tamil Nadu,Coimbatore,146,144,1,0,
2020-05-14,Tamil Nadu,Coimbatore,146,144,1,0,
2020-05-15,Tamil Nadu,Coimbatore,146,144,1,0,
2020-05-16,Tamil Nadu,Coimbatore,145,144,1,0,
2020-05-17,Tamil Nadu,Coimbatore,145,144,1,0,
2020-05-18,Tamil Nadu,Coimbatore,145,144,1,0,
2020-05-19,Tamil Nadu,Coimbatore,145,144,1,0,
2020-05-20,Tamil Nadu,Coimbatore,145,144,1,0,
2020-05-21,Tamil Nadu,Coimbatore,145,144,1,0,
2020-05-22,Tamil Nadu,Coimbatore,145,144,1,0,
2020-05-23,Tamil Nadu,Coimbatore,145,144,1,0,
2020-05-24,Tamil Nadu,Coimbatore,145,144,1,0,
2020-05-25,Tamil Nadu,Coimbatore,145,144,1,0,
2020-05-26,Tamil Nadu,Coimbatore,145,144,1,0,
2020-05-27,Tamil Nadu,Coimbatore,145,144,1,0,
2020-05-28,Tamil Nadu,Coimbatore,145,144,1,0,
2020-05-29,Tamil Nadu,Coimbatore,145,144,1,0,
2020-05-30,Tamil Nadu,Coimbatore,145,144,1,0,
2020-05-31,Tamil Nadu,Coimbatore,145,144,1,0,
2020-06-01,Tamil Nadu,Coimbatore,150,144,1,0,
2020-06-02,Tamil Nadu,Coimbatore,150,144,1,0,
2020-06-03,Tamil Nadu,Coimbatore,159,144,1,0,
2020-06-04,Tamil Nadu,Coimbatore,153,144,1,0,
2020-06-05,Tamil Nadu,Coimbatore,153,144,1,0,
2020-06-06,Tamil Nadu,Coimbatore,158,145,1,0,
2020-06-07,Tamil Nadu,Coimbatore,161,145,1,0,22872.0
2020-06-08,Tamil Nadu,Coimbatore,161,147,1,0,22872.0
2020-06-09,Tamil Nadu,Coimbatore,166,147,1,0,22872.0
2020-06-10,Tamil Nadu,Coimbatore,167,147,1,0,22872.0
