Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Tamil Nadu,Erode,70,64,1,0,
2020-04-27,Tamil Nadu,Erode,70,64,1,0,
2020-04-28,Tamil Nadu,Erode,70,64,1,0,
2020-04-29,Tamil Nadu,Erode,70,69,1,0,
2020-04-30,Tamil Nadu,Erode,70,69,1,0,
2020-05-01,Tamil Nadu,Erode,70,69,1,0,
2020-05-02,Tamil Nadu,Erode,70,69,1,0,
2020-05-03,Tamil Nadu,Erode,70,69,1,0,
2020-05-04,Tamil Nadu,Erode,70,69,1,0,
2020-05-05,Tamil Nadu,Erode,70,69,1,0,
2020-05-06,Tamil Nadu,Erode,70,69,1,0,
2020-05-07,Tamil Nadu,Erode,70,69,1,0,
2020-05-08,Tamil Nadu,Erode,70,69,1,0,
2020-05-09,Tamil Nadu,Erode,70,69,1,0,
2020-05-10,Tamil Nadu,Erode,70,69,1,0,
2020-05-11,Tamil Nadu,Erode,70,69,1,0,
2020-05-12,Tamil Nadu,Erode,70,69,1,0,
2020-05-13,Tamil Nadu,Erode,70,69,1,0,
2020-05-14,Tamil Nadu,Erode,70,69,1,0,
2020-05-15,Tamil Nadu,Erode,70,69,1,0,
2020-05-16,Tamil Nadu,Erode,70,69,1,0,
2020-05-17,Tamil Nadu,Erode,70,69,1,0,
2020-05-18,Tamil Nadu,Erode,70,69,1,0,
2020-05-19,Tamil Nadu,Erode,70,69,1,0,
2020-05-20,Tamil Nadu,Erode,70,69,1,0,
2020-05-21,Tamil Nadu,Erode,70,69,1,0,
2020-05-22,Tamil Nadu,Erode,71,69,1,0,
2020-05-23,Tamil Nadu,Erode,71,69,1,0,
2020-05-24,Tamil Nadu,Erode,71,69,1,0,
2020-05-25,Tamil Nadu,Erode,71,69,1,0,
2020-05-26,Tamil Nadu,Erode,71,69,1,0,
2020-05-27,Tamil Nadu,Erode,71,69,1,0,
2020-05-28,Tamil Nadu,Erode,71,69,1,0,
2020-05-29,Tamil Nadu,Erode,72,69,1,0,
2020-05-30,Tamil Nadu,Erode,72,69,1,0,
2020-05-31,Tamil Nadu,Erode,72,70,1,0,
2020-06-01,Tamil Nadu,Erode,72,70,1,0,
2020-06-02,Tamil Nadu,Erode,74,70,1,0,
2020-06-03,Tamil Nadu,Erode,74,70,1,0,
2020-06-04,Tamil Nadu,Erode,72,70,1,0,
2020-06-05,Tamil Nadu,Erode,72,70,1,0,
2020-06-06,Tamil Nadu,Erode,73,70,1,0,
2020-06-07,Tamil Nadu,Erode,73,70,1,0,13421.0
2020-06-08,Tamil Nadu,Erode,75,70,1,0,13421.0
2020-06-09,Tamil Nadu,Erode,73,70,1,0,13421.0
2020-06-10,Tamil Nadu,Erode,74,70,1,0,13421.0
2020-06-11,Tamil Nadu,Erode,74,70,1,0,13421.0
2020-06-12,Tamil Nadu,Erode,72,70,1,0,13421.0
2020-06-13,Tamil Nadu,Erode,72,70,1,0,13421.0
2020-06-14,Tamil Nadu,Erode,73,70,1,0,13421.0
2020-06-15,Tamil Nadu,Erode,73,70,1,0,13421.0
2020-06-16,Tamil Nadu,Erode,73,70,1,0,13421.0
2020-06-17,Tamil Nadu,Erode,73,71,1,0,13421.0
2020-06-18,Tamil Nadu,Erode,76,71,1,0,13421.0
2020-06-19,Tamil Nadu,Erode,79,72,1,0,18657.0
2020-06-20,Tamil Nadu,Erode,78,72,1,0,19203.0
2020-06-21,Tamil Nadu,Erode,85,72,1,0,19203.0
2020-06-22,Tamil Nadu,Erode,83,72,1,0,19203.0
2020-06-23,Tamil Nadu,Erode,87,72,1,0,19203.0
2020-06-24,Tamil Nadu,Erode,89,72,2,0,19203.0
2020-06-25,Tamil Nadu,Erode,96,72,2,0,19203.0
2020-06-26,Tamil Nadu,Erode,100,74,2,0,19203.0
2020-06-27,Tamil Nadu,Erode,112,74,3,0,19203.0
2020-06-28,Tamil Nadu,Erode,124,75,3,0,19203.0
2020-06-29,Tamil Nadu,Erode,136,77,4,0,19203.0
2020-06-30,Tamil Nadu,Erode,157,80,4,0,19203.0
2020-07-01,Tamil Nadu,Erode,176,80,4,0,19203.0
2020-07-02,Tamil Nadu,Erode,191,80,4,0,19203.0
2020-07-03,Tamil Nadu,Erode,206,80,5,0,19203.0
2020-07-04,Tamil Nadu,Erode,222,81,5,0,19203.0
2020-07-05,Tamil Nadu,Erode,248,81,5,0,19203.0
2020-07-06,Tamil Nadu,Erode,288,83,5,0,19203.0
2020-07-07,Tamil Nadu,Erode,286,85,5,0,19203.0
2020-07-08,Tamil Nadu,Erode,296,85,5,0,19203.0
2020-07-09,Tamil Nadu,Erode,313,97,5,0,19203.0
2020-07-10,Tamil Nadu,Erode,327,100,6,0,19203.0
2020-07-11,Tamil Nadu,Erode,369,175,6,0,19203.0
2020-07-12,Tamil Nadu,Erode,389,175,7,0,19203.0
2020-07-13,Tamil Nadu,Erode,422,176,7,0,19203.0
2020-07-14,Tamil Nadu,Erode,451,196,7,0,19203.0
2020-07-15,Tamil Nadu,Erode,460,199,8,0,19203.0
2020-07-16,Tamil Nadu,Erode,468,200,8,0,19203.0
2020-07-17,Tamil Nadu,Erode,464,265,8,0,19203.0
2020-07-18,Tamil Nadu,Erode,473,266,8,0,19203.0
2020-07-19,Tamil Nadu,Erode,477,297,8,0,19203.0
2020-07-20,Tamil Nadu,Erode,509,306,8,0,19203.0
2020-07-21,Tamil Nadu,Erode,512,377,8,0,19203.0
2020-07-22,Tamil Nadu,Erode,518,391,8,0,19203.0
2020-07-23,Tamil Nadu,Erode,539,396,8,0,66240.0
2020-07-24,Tamil Nadu,Erode,564,416,8,0,66240.0
2020-07-25,Tamil Nadu,Erode,586,433,8,0,66240.0
2020-07-26,Tamil Nadu,Erode,618,443,8,0,66240.0
2020-07-27,Tamil Nadu,Erode,645,453,8,0,66240.0
2020-07-28,Tamil Nadu,Erode,656,456,8,0,66240.0
2020-07-29,Tamil Nadu,Erode,680,471,9,0,66240.0
2020-07-30,Tamil Nadu,Erode,690,504,9,0,66240.0
2020-07-31,Tamil Nadu,Erode,724,523,9,0,66240.0
2020-08-01,Tamil Nadu,Erode,732,551,9,0,66240.0
2020-08-02,Tamil Nadu,Erode,754,583,9,0,66240.0
2020-08-03,Tamil Nadu,Erode,767,597,10,0,66240.0
2020-08-04,Tamil Nadu,Erode,789,607,10,0,66240.0
2020-08-05,Tamil Nadu,Erode,829,610,10,0,66240.0
2020-08-06,Tamil Nadu,Erode,888,636,13,0,66240.0
2020-08-07,Tamil Nadu,Erode,955,646,14,0,66240.0
2020-08-08,Tamil Nadu,Erode,1012,664,16,0,66240.0
2020-08-09,Tamil Nadu,Erode,1064,680,17,0,66240.0
2020-08-10,Tamil Nadu,Erode,1101,690,17,0,66240.0
2020-08-11,Tamil Nadu,Erode,1115,709,17,0,66240.0
2020-08-12,Tamil Nadu,Erode,1164,726,19,0,66240.0
2020-08-13,Tamil Nadu,Erode,1206,741,19,0,66240.0
2020-08-14,Tamil Nadu,Erode,1334,799,20,0,66240.0
2020-08-15,Tamil Nadu,Erode,1349,853,20,0,66240.0
2020-08-16,Tamil Nadu,Erode,1445,895,24,0,66240.0
2020-08-17,Tamil Nadu,Erode,1582,904,25,0,66240.0
2020-08-18,Tamil Nadu,Erode,1640,920,27,0,66240.0
2020-08-19,Tamil Nadu,Erode,1726,946,28,0,66240.0
2020-08-20,Tamil Nadu,Erode,1804,993,29,0,66240.0
2020-08-21,Tamil Nadu,Erode,1907,1060,30,0,66240.0
2020-08-22,Tamil Nadu,Erode,2024,1079,30,0,66240.0
2020-08-23,Tamil Nadu,Erode,2071,1152,32,0,66240.0
2020-08-24,Tamil Nadu,Erode,2252,1217,32,0,66240.0
2020-08-25,Tamil Nadu,Erode,2396,1298,33,0,66240.0
2020-08-26,Tamil Nadu,Erode,2498,1390,38,0,66240.0
2020-08-27,Tamil Nadu,Erode,2620,1426,37,0,66240.0
2020-08-28,Tamil Nadu,Erode,2735,1483,38,0,66240.0
2020-08-29,Tamil Nadu,Erode,2891,1537,39,0,66240.0
2020-08-30,Tamil Nadu,Erode,3049,1722,40,0,66240.0
2020-08-31,Tamil Nadu,Erode,3177,1860,42,0,66240.0
2020-09-01,Tamil Nadu,Erode,3264,2040,43,0,66240.0
2020-09-02,Tamil Nadu,Erode,3359,2185,44,0,66240.0
2020-09-03,Tamil Nadu,Erode,3475,2259,45,0,66240.0
2020-09-04,Tamil Nadu,Erode,3587,2394,45,0,66240.0
2020-09-05,Tamil Nadu,Erode,3728,2454,46,0,66240.0
2020-09-06,Tamil Nadu,Erode,3842,2645,50,0,66240.0
2020-09-07,Tamil Nadu,Erode,3959,2731,50,0,66240.0
2020-09-08,Tamil Nadu,Erode,4082,2957,52,0,66240.0
2020-09-09,Tamil Nadu,Erode,4172,3096,52,0,66240.0
2020-09-10,Tamil Nadu,Erode,4205,3186,54,0,66240.0
2020-09-11,Tamil Nadu,Erode,4275,3251,54,0,66240.0
2020-09-12,Tamil Nadu,Erode,4409,3347,56,0,66240.0
2020-09-13,Tamil Nadu,Erode,4534,3432,59,0,66240.0
2020-09-14,Tamil Nadu,Erode,4668,3551,62,0,66240.0
2020-09-15,Tamil Nadu,Erode,4803,3694,63,0,66240.0
2020-09-16,Tamil Nadu,Erode,4903,3817,64,0,66240.0
2020-09-17,Tamil Nadu,Erode,5002,3914,64,0,66240.0
2020-09-18,Tamil Nadu,Erode,5116,4085,67,0,66240.0
2020-09-19,Tamil Nadu,Erode,5282,4159,67,0,66240.0
2020-09-20,Tamil Nadu,Erode,5427,4281,70,0,66240.0
2020-09-21,Tamil Nadu,Erode,5628,4412,72,0,66240.0
2020-09-22,Tamil Nadu,Erode,5764,4577,77,0,66240.0
2020-09-23,Tamil Nadu,Erode,5889,4699,77,0,66240.0
2020-09-24,Tamil Nadu,Erode,6029,4822,78,0,66240.0
2020-09-25,Tamil Nadu,Erode,6140,4945,79,0,66240.0
2020-09-26,Tamil Nadu,Erode,6280,5060,82,0,66240.0
2020-09-27,Tamil Nadu,Erode,6388,5230,84,0,66240.0
2020-09-28,Tamil Nadu,Erode,6525,5321,84,0,66240.0
2020-09-29,Tamil Nadu,Erode,6642,5454,88,0,66240.0
2020-09-30,Tamil Nadu,Erode,6776,5570,89,0,66240.0
2020-10-01,Tamil Nadu,Erode,6921,5720,91,0,66240.0
2020-10-02,Tamil Nadu,Erode,7118,5863,91,0,66240.0
2020-10-03,Tamil Nadu,Erode,7264,6041,91,0,66240.0
2020-10-04,Tamil Nadu,Erode,7395,6189,93,0,66240.0
2020-10-05,Tamil Nadu,Erode,7488,6306,95,0,66240.0
2020-10-06,Tamil Nadu,Erode,7557,6422,95,0,66240.0
2020-10-07,Tamil Nadu,Erode,7702,6550,95,0,66240.0
2020-10-08,Tamil Nadu,Erode,7837,6668,96,0,66240.0
2020-10-09,Tamil Nadu,Erode,7976,6817,96,0,66240.0
2020-10-10,Tamil Nadu,Erode,8113,6946,99,0,66240.0
2020-10-11,Tamil Nadu,Erode,8276,7076,101,0,66240.0
2020-10-12,Tamil Nadu,Erode,8426,7231,102,0,66240.0
2020-10-13,Tamil Nadu,Erode,8527,7391,104,0,66240.0
2020-10-14,Tamil Nadu,Erode,8648,7522,104,0,66240.0
2020-10-15,Tamil Nadu,Erode,8772,7644,106,0,66240.0
2020-10-16,Tamil Nadu,Erode,8904,7699,111,0,66240.0
2020-10-17,Tamil Nadu,Erode,9029,7856,113,0,66240.0
2020-10-18,Tamil Nadu,Erode,9131,7978,113,0,66240.0
2020-10-19,Tamil Nadu,Erode,9223,8112,113,0,66240.0
2020-10-20,Tamil Nadu,Erode,9290,8246,113,0,66240.0
2020-10-21,Tamil Nadu,Erode,9396,8365,115,0,66240.0
2020-10-22,Tamil Nadu,Erode,9459,8476,116,0,66240.0
2020-10-23,Tamil Nadu,Erode,9564,8580,117,0,66240.0
2020-10-24,Tamil Nadu,Erode,9653,8692,118,0,66240.0
2020-10-25,Tamil Nadu,Erode,9723,8785,119,0,66240.0
2020-10-26,Tamil Nadu,Erode,9806,8880,119,0,66240.0
2020-10-27,Tamil Nadu,Erode,9880,8988,120,0,66240.0
2020-10-28,Tamil Nadu,Erode,10015,9094,120,0,66240.0
2020-10-29,Tamil Nadu,Erode,10015,9094,120,0,66240.0
