Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Tamil Nadu,Kallakurichi,6,3,0,0,
2020-04-27,Tamil Nadu,Kallakurichi,6,3,0,0,
2020-04-28,Tamil Nadu,Kallakurichi,9,3,0,0,
2020-04-29,Tamil Nadu,Kallakurichi,9,3,0,0,
2020-04-30,Tamil Nadu,Kallakurichi,9,3,0,0,
2020-05-01,Tamil Nadu,Kallakurichi,9,3,0,0,
2020-05-02,Tamil Nadu,Kallakurichi,9,3,0,0,
2020-05-03,Tamil Nadu,Kallakurichi,15,3,0,0,
2020-05-04,Tamil Nadu,Kallakurichi,15,3,0,0,
2020-05-05,Tamil Nadu,Kallakurichi,53,3,0,0,
2020-05-06,Tamil Nadu,Kallakurichi,53,4,0,0,
2020-05-07,Tamil Nadu,Kallakurichi,54,4,0,0,
2020-05-08,Tamil Nadu,Kallakurichi,54,4,0,0,
2020-05-09,Tamil Nadu,Kallakurichi,55,4,0,0,
2020-05-10,Tamil Nadu,Kallakurichi,55,5,0,0,
2020-05-11,Tamil Nadu,Kallakurichi,55,5,0,0,
2020-05-12,Tamil Nadu,Kallakurichi,57,10,0,0,
2020-05-13,Tamil Nadu,Kallakurichi,57,10,0,0,
2020-05-14,Tamil Nadu,Kallakurichi,61,10,0,0,
2020-05-15,Tamil Nadu,Kallakurichi,61,14,0,0,
2020-05-16,Tamil Nadu,Kallakurichi,78,14,0,0,
2020-05-17,Tamil Nadu,Kallakurichi,95,39,0,0,
2020-05-18,Tamil Nadu,Kallakurichi,100,39,0,0,
2020-05-19,Tamil Nadu,Kallakurichi,111,44,0,0,
2020-05-20,Tamil Nadu,Kallakurichi,112,58,0,0,
2020-05-21,Tamil Nadu,Kallakurichi,120,58,0,0,
2020-05-22,Tamil Nadu,Kallakurichi,121,61,0,0,
2020-05-23,Tamil Nadu,Kallakurichi,121,61,0,0,
2020-05-24,Tamil Nadu,Kallakurichi,136,61,0,0,
2020-05-25,Tamil Nadu,Kallakurichi,146,79,0,0,
2020-05-26,Tamil Nadu,Kallakurichi,154,93,0,0,
2020-05-27,Tamil Nadu,Kallakurichi,220,93,0,0,
2020-05-28,Tamil Nadu,Kallakurichi,223,99,0,0,
2020-05-29,Tamil Nadu,Kallakurichi,242,110,0,0,
2020-05-30,Tamil Nadu,Kallakurichi,249,110,0,0,
2020-05-31,Tamil Nadu,Kallakurichi,251,111,0,0,
2020-06-01,Tamil Nadu,Kallakurichi,251,121,0,0,
2020-06-02,Tamil Nadu,Kallakurichi,255,136,0,0,
2020-06-03,Tamil Nadu,Kallakurichi,259,145,0,0,
2020-06-04,Tamil Nadu,Kallakurichi,252,153,0,0,
2020-06-05,Tamil Nadu,Kallakurichi,264,153,0,0,
2020-06-06,Tamil Nadu,Kallakurichi,264,153,0,0,
2020-06-07,Tamil Nadu,Kallakurichi,272,153,0,0,8653.0
2020-06-08,Tamil Nadu,Kallakurichi,292,234,0,0,8653.0
2020-06-09,Tamil Nadu,Kallakurichi,295,235,0,0,8653.0
2020-06-10,Tamil Nadu,Kallakurichi,299,238,0,0,8653.0
2020-06-11,Tamil Nadu,Kallakurichi,303,243,0,0,8653.0
2020-06-12,Tamil Nadu,Kallakurichi,319,245,0,0,8653.0
2020-06-13,Tamil Nadu,Kallakurichi,330,247,0,0,8653.0
2020-06-14,Tamil Nadu,Kallakurichi,344,247,0,0,8653.0
2020-06-15,Tamil Nadu,Kallakurichi,337,261,0,0,8653.0
2020-06-16,Tamil Nadu,Kallakurichi,338,262,0,0,8653.0
2020-06-17,Tamil Nadu,Kallakurichi,354,268,0,0,8653.0
2020-06-18,Tamil Nadu,Kallakurichi,357,282,0,0,8653.0
2020-06-19,Tamil Nadu,Kallakurichi,364,284,0,0,11108.0
2020-06-20,Tamil Nadu,Kallakurichi,366,292,0,0,11460.0
2020-06-21,Tamil Nadu,Kallakurichi,387,301,0,0,11460.0
2020-06-22,Tamil Nadu,Kallakurichi,395,301,1,0,11460.0
2020-06-23,Tamil Nadu,Kallakurichi,437,311,1,0,11460.0
2020-06-24,Tamil Nadu,Kallakurichi,448,325,1,0,11460.0
2020-06-25,Tamil Nadu,Kallakurichi,470,325,1,0,11460.0
2020-06-26,Tamil Nadu,Kallakurichi,527,325,1,0,11460.0
2020-06-27,Tamil Nadu,Kallakurichi,552,346,1,0,11460.0
2020-06-28,Tamil Nadu,Kallakurichi,707,355,1,0,11460.0
2020-06-29,Tamil Nadu,Kallakurichi,764,363,2,0,11460.0
2020-06-30,Tamil Nadu,Kallakurichi,850,364,2,0,11460.0
2020-07-01,Tamil Nadu,Kallakurichi,878,379,2,0,11460.0
2020-07-02,Tamil Nadu,Kallakurichi,1017,379,2,0,11460.0
2020-07-03,Tamil Nadu,Kallakurichi,1102,443,3,0,11460.0
2020-07-04,Tamil Nadu,Kallakurichi,1123,465,3,0,11460.0
2020-07-05,Tamil Nadu,Kallakurichi,1205,515,4,0,11460.0
2020-07-06,Tamil Nadu,Kallakurichi,1246,528,4,0,11460.0
2020-07-07,Tamil Nadu,Kallakurichi,1274,716,4,0,11460.0
2020-07-08,Tamil Nadu,Kallakurichi,1285,737,4,0,11460.0
2020-07-09,Tamil Nadu,Kallakurichi,1539,788,4,0,11460.0
2020-07-10,Tamil Nadu,Kallakurichi,1621,810,4,0,11460.0
2020-07-11,Tamil Nadu,Kallakurichi,1723,958,5,0,11460.0
2020-07-12,Tamil Nadu,Kallakurichi,1791,999,6,0,11460.0
2020-07-13,Tamil Nadu,Kallakurichi,1847,1018,6,0,11460.0
2020-07-14,Tamil Nadu,Kallakurichi,1904,1075,6,0,11460.0
2020-07-15,Tamil Nadu,Kallakurichi,1979,1222,10,0,11460.0
2020-07-16,Tamil Nadu,Kallakurichi,2049,1301,10,0,11460.0
2020-07-17,Tamil Nadu,Kallakurichi,2107,1378,10,0,11460.0
2020-07-18,Tamil Nadu,Kallakurichi,2184,1462,10,0,11460.0
2020-07-19,Tamil Nadu,Kallakurichi,2299,1579,11,0,11460.0
2020-07-20,Tamil Nadu,Kallakurichi,2388,1713,12,0,11460.0
2020-07-21,Tamil Nadu,Kallakurichi,2435,1780,14,0,11460.0
2020-07-22,Tamil Nadu,Kallakurichi,2517,1831,16,0,11460.0
2020-07-23,Tamil Nadu,Kallakurichi,2651,1903,16,0,28314.0
2020-07-24,Tamil Nadu,Kallakurichi,2833,2003,16,0,28314.0
2020-07-25,Tamil Nadu,Kallakurichi,2938,2042,19,0,28314.0
2020-07-26,Tamil Nadu,Kallakurichi,3065,2111,19,0,28314.0
2020-07-27,Tamil Nadu,Kallakurichi,3303,2190,21,0,28314.0
2020-07-28,Tamil Nadu,Kallakurichi,3498,2290,22,0,28314.0
2020-07-29,Tamil Nadu,Kallakurichi,3633,2444,22,0,28314.0
2020-07-30,Tamil Nadu,Kallakurichi,3726,2472,22,0,28314.0
2020-07-31,Tamil Nadu,Kallakurichi,3745,2671,23,0,28314.0
2020-08-01,Tamil Nadu,Kallakurichi,3807,2743,25,0,28314.0
2020-08-02,Tamil Nadu,Kallakurichi,3840,2828,26,0,28314.0
2020-08-03,Tamil Nadu,Kallakurichi,3906,2903,26,0,28314.0
2020-08-04,Tamil Nadu,Kallakurichi,4055,3012,26,0,28314.0
2020-08-05,Tamil Nadu,Kallakurichi,4063,3121,27,0,28314.0
2020-08-06,Tamil Nadu,Kallakurichi,4131,3274,30,0,28314.0
2020-08-07,Tamil Nadu,Kallakurichi,4270,3335,32,0,28314.0
2020-08-08,Tamil Nadu,Kallakurichi,4394,3545,35,0,28314.0
2020-08-09,Tamil Nadu,Kallakurichi,4480,3605,35,0,28314.0
2020-08-10,Tamil Nadu,Kallakurichi,4564,3702,36,0,28314.0
