Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Tamil Nadu,Kancheepuram,18,7,1,0,
2020-04-27,Tamil Nadu,Kancheepuram,18,7,1,0,
2020-04-28,Tamil Nadu,Kancheepuram,19,7,1,0,
2020-04-29,Tamil Nadu,Kancheepuram,22,9,1,0,
2020-04-30,Tamil Nadu,Kancheepuram,25,9,1,0,
2020-05-01,Tamil Nadu,Kancheepuram,27,9,1,0,
2020-05-02,Tamil Nadu,Kancheepuram,40,9,1,0,
2020-05-03,Tamil Nadu,Kancheepuram,40,9,1,0,
2020-05-04,Tamil Nadu,Kancheepuram,40,9,1,0,
2020-05-05,Tamil Nadu,Kancheepuram,41,10,1,0,
2020-05-06,Tamil Nadu,Kancheepuram,86,11,1,0,
2020-05-07,Tamil Nadu,Kancheepuram,88,11,1,0,
2020-05-08,Tamil Nadu,Kancheepuram,96,11,1,0,
2020-05-09,Tamil Nadu,Kancheepuram,113,12,1,0,
2020-05-10,Tamil Nadu,Kancheepuram,121,20,1,0,
2020-05-11,Tamil Nadu,Kancheepuram,129,26,1,0,
2020-05-12,Tamil Nadu,Kancheepuram,153,26,1,0,
2020-05-13,Tamil Nadu,Kancheepuram,157,27,1,0,
2020-05-14,Tamil Nadu,Kancheepuram,164,66,1,0,
2020-05-15,Tamil Nadu,Kancheepuram,175,71,1,0,
2020-05-16,Tamil Nadu,Kancheepuram,179,98,1,0,
2020-05-17,Tamil Nadu,Kancheepuram,184,107,1,0,
2020-05-18,Tamil Nadu,Kancheepuram,201,107,1,0,
2020-05-19,Tamil Nadu,Kancheepuram,206,120,1,0,
2020-05-20,Tamil Nadu,Kancheepuram,220,124,1,0,
2020-05-21,Tamil Nadu,Kancheepuram,233,129,1,0,
2020-05-22,Tamil Nadu,Kancheepuram,246,150,1,0,
2020-05-23,Tamil Nadu,Kancheepuram,259,155,1,0,
2020-05-24,Tamil Nadu,Kancheepuram,280,152,1,0,
2020-05-25,Tamil Nadu,Kancheepuram,299,165,1,0,
2020-05-26,Tamil Nadu,Kancheepuram,312,183,1,0,
2020-05-27,Tamil Nadu,Kancheepuram,329,200,1,0,
2020-05-28,Tamil Nadu,Kancheepuram,349,204,1,0,
2020-05-29,Tamil Nadu,Kancheepuram,361,210,1,0,
2020-05-30,Tamil Nadu,Kancheepuram,382,225,1,0,
2020-05-31,Tamil Nadu,Kancheepuram,398,232,2,0,
2020-06-01,Tamil Nadu,Kancheepuram,407,250,2,0,
2020-06-02,Tamil Nadu,Kancheepuram,422,254,2,0,
2020-06-03,Tamil Nadu,Kancheepuram,441,267,2,0,
2020-06-04,Tamil Nadu,Kancheepuram,465,292,3,0,
2020-06-05,Tamil Nadu,Kancheepuram,480,294,3,0,
2020-06-06,Tamil Nadu,Kancheepuram,500,309,3,0,
2020-06-07,Tamil Nadu,Kancheepuram,516,316,3,0,9885.0
2020-06-08,Tamil Nadu,Kancheepuram,534,321,4,0,9885.0
2020-06-09,Tamil Nadu,Kancheepuram,567,342,5,0,9885.0
2020-06-10,Tamil Nadu,Kancheepuram,600,360,5,0,9885.0
2020-06-11,Tamil Nadu,Kancheepuram,623,378,6,0,9885.0
