Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Tamil Nadu,Kanyakumari,16,6,0,0,
2020-04-27,Tamil Nadu,Kanyakumari,16,6,0,0,
2020-04-28,Tamil Nadu,Kanyakumari,16,6,0,0,
2020-04-29,Tamil Nadu,Kanyakumari,16,10,0,0,
2020-04-30,Tamil Nadu,Kanyakumari,16,10,0,0,
2020-05-01,Tamil Nadu,Kanyakumari,16,10,0,0,
2020-05-02,Tamil Nadu,Kanyakumari,16,10,0,0,
2020-05-03,Tamil Nadu,Kanyakumari,17,10,0,0,
2020-05-04,Tamil Nadu,Kanyakumari,17,10,0,0,
2020-05-05,Tamil Nadu,Kanyakumari,17,13,0,0,
2020-05-06,Tamil Nadu,Kanyakumari,17,13,0,0,
2020-05-07,Tamil Nadu,Kanyakumari,17,13,0,0,
2020-05-08,Tamil Nadu,Kanyakumari,25,16,0,0,
2020-05-09,Tamil Nadu,Kanyakumari,25,16,0,0,
2020-05-10,Tamil Nadu,Kanyakumari,25,16,0,0,
2020-05-11,Tamil Nadu,Kanyakumari,26,16,1,0,
2020-05-12,Tamil Nadu,Kanyakumari,27,16,1,0,
2020-05-13,Tamil Nadu,Kanyakumari,27,16,1,0,
2020-05-14,Tamil Nadu,Kanyakumari,31,16,1,0,
2020-05-15,Tamil Nadu,Kanyakumari,35,16,1,0,
2020-05-16,Tamil Nadu,Kanyakumari,37,16,1,0,
2020-05-17,Tamil Nadu,Kanyakumari,37,16,1,0,
2020-05-18,Tamil Nadu,Kanyakumari,44,16,1,0,
2020-05-19,Tamil Nadu,Kanyakumari,49,16,1,0,
2020-05-20,Tamil Nadu,Kanyakumari,49,20,1,0,
2020-05-21,Tamil Nadu,Kanyakumari,49,23,1,0,
2020-05-22,Tamil Nadu,Kanyakumari,49,24,1,0,
2020-05-23,Tamil Nadu,Kanyakumari,49,27,1,0,
2020-05-24,Tamil Nadu,Kanyakumari,51,27,1,0,
2020-05-25,Tamil Nadu,Kanyakumari,54,27,1,0,
2020-05-26,Tamil Nadu,Kanyakumari,58,27,1,0,
2020-05-27,Tamil Nadu,Kanyakumari,59,27,1,0,
2020-05-28,Tamil Nadu,Kanyakumari,59,27,1,0,
2020-05-29,Tamil Nadu,Kanyakumari,60,27,1,0,
2020-05-30,Tamil Nadu,Kanyakumari,68,28,1,0,
2020-05-31,Tamil Nadu,Kanyakumari,71,32,1,0,
2020-06-01,Tamil Nadu,Kanyakumari,73,34,1,0,
2020-06-02,Tamil Nadu,Kanyakumari,80,39,1,0,
2020-06-03,Tamil Nadu,Kanyakumari,81,43,1,0,
2020-06-04,Tamil Nadu,Kanyakumari,76,48,1,0,
2020-06-05,Tamil Nadu,Kanyakumari,77,48,1,0,
2020-06-06,Tamil Nadu,Kanyakumari,87,54,1,0,
2020-06-07,Tamil Nadu,Kanyakumari,87,59,1,0,18366.0
2020-06-08,Tamil Nadu,Kanyakumari,94,59,1,0,18366.0
2020-06-09,Tamil Nadu,Kanyakumari,95,61,1,0,18366.0
2020-06-10,Tamil Nadu,Kanyakumari,105,64,1,0,18366.0
2020-06-11,Tamil Nadu,Kanyakumari,108,67,1,0,18366.0
2020-06-12,Tamil Nadu,Kanyakumari,109,71,1,0,18366.0
2020-06-13,Tamil Nadu,Kanyakumari,120,71,1,0,18366.0
2020-06-14,Tamil Nadu,Kanyakumari,122,74,1,0,18366.0
2020-06-15,Tamil Nadu,Kanyakumari,127,74,1,0,18366.0
2020-06-16,Tamil Nadu,Kanyakumari,123,80,1,0,18366.0
2020-06-17,Tamil Nadu,Kanyakumari,130,80,1,0,18366.0
2020-06-18,Tamil Nadu,Kanyakumari,149,81,1,0,18366.0
2020-06-19,Tamil Nadu,Kanyakumari,151,91,1,0,27396.0
2020-06-20,Tamil Nadu,Kanyakumari,162,95,1,0,28453.0
2020-06-21,Tamil Nadu,Kanyakumari,168,96,1,0,28453.0
2020-06-22,Tamil Nadu,Kanyakumari,178,99,1,0,28453.0
2020-06-23,Tamil Nadu,Kanyakumari,180,100,1,0,28453.0
2020-06-24,Tamil Nadu,Kanyakumari,200,103,1,0,28453.0
2020-06-25,Tamil Nadu,Kanyakumari,255,118,1,0,28453.0
2020-06-26,Tamil Nadu,Kanyakumari,275,121,1,0,28453.0
2020-06-27,Tamil Nadu,Kanyakumari,304,128,1,0,28453.0
2020-06-28,Tamil Nadu,Kanyakumari,328,135,1,0,28453.0
2020-06-29,Tamil Nadu,Kanyakumari,349,141,1,0,28453.0
2020-06-30,Tamil Nadu,Kanyakumari,368,146,1,0,28453.0
2020-07-01,Tamil Nadu,Kanyakumari,401,158,1,0,28453.0
2020-07-02,Tamil Nadu,Kanyakumari,436,165,1,0,28453.0
2020-07-03,Tamil Nadu,Kanyakumari,489,180,1,0,28453.0
2020-07-04,Tamil Nadu,Kanyakumari,552,221,2,0,28453.0
2020-07-05,Tamil Nadu,Kanyakumari,560,247,3,0,28453.0
2020-07-06,Tamil Nadu,Kanyakumari,638,262,3,0,28453.0
2020-07-07,Tamil Nadu,Kanyakumari,757,315,4,0,28453.0
2020-07-08,Tamil Nadu,Kanyakumari,872,336,4,0,28453.0
2020-07-09,Tamil Nadu,Kanyakumari,965,369,4,0,28453.0
2020-07-10,Tamil Nadu,Kanyakumari,1070,408,4,0,28453.0
2020-07-11,Tamil Nadu,Kanyakumari,1203,457,5,0,28453.0
2020-07-12,Tamil Nadu,Kanyakumari,1306,457,6,0,28453.0
2020-07-13,Tamil Nadu,Kanyakumari,1491,492,6,0,28453.0
2020-07-14,Tamil Nadu,Kanyakumari,1613,553,10,0,28453.0
2020-07-15,Tamil Nadu,Kanyakumari,1745,596,14,0,28453.0
2020-07-16,Tamil Nadu,Kanyakumari,1891,612,15,0,28453.0
2020-07-17,Tamil Nadu,Kanyakumari,2041,680,15,0,28453.0
2020-07-18,Tamil Nadu,Kanyakumari,2187,706,16,0,28453.0
2020-07-19,Tamil Nadu,Kanyakumari,2318,740,19,0,28453.0
2020-07-20,Tamil Nadu,Kanyakumari,2409,924,20,0,28453.0
2020-07-21,Tamil Nadu,Kanyakumari,2568,964,20,0,28453.0
2020-07-22,Tamil Nadu,Kanyakumari,2721,976,20,0,28453.0
2020-07-23,Tamil Nadu,Kanyakumari,2858,976,22,0,79600.0
2020-07-24,Tamil Nadu,Kanyakumari,3124,1323,27,0,79600.0
2020-07-25,Tamil Nadu,Kanyakumari,3393,1720,29,0,79600.0
2020-07-26,Tamil Nadu,Kanyakumari,3610,1797,32,0,79600.0
2020-07-27,Tamil Nadu,Kanyakumari,3849,1964,32,0,79600.0
2020-07-28,Tamil Nadu,Kanyakumari,4073,1964,33,0,79600.0
2020-07-29,Tamil Nadu,Kanyakumari,4275,2299,33,0,79600.0
2020-07-30,Tamil Nadu,Kanyakumari,4523,2475,33,0,79600.0
2020-07-31,Tamil Nadu,Kanyakumari,4693,2650,39,0,79600.0
2020-08-01,Tamil Nadu,Kanyakumari,4891,2838,45,0,79600.0
2020-08-02,Tamil Nadu,Kanyakumari,5092,3000,49,0,79600.0
2020-08-03,Tamil Nadu,Kanyakumari,5307,3180,52,0,79600.0
2020-08-04,Tamil Nadu,Kanyakumari,5435,3372,61,0,79600.0
2020-08-05,Tamil Nadu,Kanyakumari,5607,3591,61,0,79600.0
2020-08-06,Tamil Nadu,Kanyakumari,5829,3833,63,0,79600.0
2020-08-07,Tamil Nadu,Kanyakumari,6015,4131,68,0,79600.0
2020-08-08,Tamil Nadu,Kanyakumari,6222,4257,69,0,79600.0
2020-08-09,Tamil Nadu,Kanyakumari,6348,4525,73,0,79600.0
2020-08-10,Tamil Nadu,Kanyakumari,6553,4686,80,0,79600.0
2020-08-11,Tamil Nadu,Kanyakumari,6746,4886,93,0,79600.0
2020-08-12,Tamil Nadu,Kanyakumari,6863,5061,97,0,79600.0
2020-08-13,Tamil Nadu,Kanyakumari,7050,5306,103,0,79600.0
2020-08-14,Tamil Nadu,Kanyakumari,7178,5575,108,0,79600.0
2020-08-15,Tamil Nadu,Kanyakumari,7359,5741,111,0,79600.0
2020-08-16,Tamil Nadu,Kanyakumari,7492,5919,114,0,79600.0
2020-08-17,Tamil Nadu,Kanyakumari,7699,6113,119,0,79600.0
2020-08-18,Tamil Nadu,Kanyakumari,7846,6225,126,0,79600.0
2020-08-19,Tamil Nadu,Kanyakumari,7968,6407,130,0,79600.0
2020-08-20,Tamil Nadu,Kanyakumari,8091,6450,136,0,79600.0
2020-08-21,Tamil Nadu,Kanyakumari,8248,6555,139,0,79600.0
2020-08-22,Tamil Nadu,Kanyakumari,8356,6716,143,0,79600.0
2020-08-23,Tamil Nadu,Kanyakumari,8538,6893,144,0,79600.0
2020-08-24,Tamil Nadu,Kanyakumari,8687,7099,149,0,79600.0
2020-08-25,Tamil Nadu,Kanyakumari,8840,7203,152,0,79600.0
2020-08-26,Tamil Nadu,Kanyakumari,8994,7352,157,0,79600.0
2020-08-27,Tamil Nadu,Kanyakumari,9094,7418,159,0,79600.0
2020-08-28,Tamil Nadu,Kanyakumari,9175,7623,164,0,79600.0
2020-08-29,Tamil Nadu,Kanyakumari,9336,7894,170,0,79600.0
2020-08-30,Tamil Nadu,Kanyakumari,9460,8017,173,0,79600.0
