Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-05,Tamil Nadu,Krishnagiri,2,0,0,0,
2020-05-06,Tamil Nadu,Krishnagiri,4,0,0,0,
2020-05-07,Tamil Nadu,Krishnagiri,8,0,0,0,
2020-05-08,Tamil Nadu,Krishnagiri,10,0,0,0,
2020-05-09,Tamil Nadu,Krishnagiri,10,0,0,0,
2020-05-10,Tamil Nadu,Krishnagiri,20,0,0,0,
2020-05-11,Tamil Nadu,Krishnagiri,20,0,0,0,
2020-05-12,Tamil Nadu,Krishnagiri,20,0,0,0,
2020-05-13,Tamil Nadu,Krishnagiri,20,0,0,0,
2020-05-14,Tamil Nadu,Krishnagiri,20,0,0,0,
2020-05-15,Tamil Nadu,Krishnagiri,20,0,0,0,
2020-05-16,Tamil Nadu,Krishnagiri,20,2,0,0,
2020-05-17,Tamil Nadu,Krishnagiri,20,0,0,0,
2020-05-18,Tamil Nadu,Krishnagiri,20,0,0,0,
2020-05-19,Tamil Nadu,Krishnagiri,20,18,0,0,
2020-05-20,Tamil Nadu,Krishnagiri,21,18,0,0,
2020-05-21,Tamil Nadu,Krishnagiri,21,18,0,0,
2020-05-22,Tamil Nadu,Krishnagiri,22,18,0,0,
2020-05-23,Tamil Nadu,Krishnagiri,22,19,0,0,
2020-05-24,Tamil Nadu,Krishnagiri,22,19,0,0,
2020-05-25,Tamil Nadu,Krishnagiri,23,19,0,0,
2020-05-26,Tamil Nadu,Krishnagiri,25,19,0,0,
2020-05-27,Tamil Nadu,Krishnagiri,25,20,0,0,
2020-05-28,Tamil Nadu,Krishnagiri,26,20,0,0,
2020-05-29,Tamil Nadu,Krishnagiri,26,20,0,0,
2020-05-30,Tamil Nadu,Krishnagiri,27,20,0,0,
2020-05-31,Tamil Nadu,Krishnagiri,28,20,0,0,
2020-06-01,Tamil Nadu,Krishnagiri,28,20,0,0,
2020-06-02,Tamil Nadu,Krishnagiri,28,20,0,0,
2020-06-03,Tamil Nadu,Krishnagiri,28,20,0,0,
2020-06-04,Tamil Nadu,Krishnagiri,29,21,0,0,
2020-06-05,Tamil Nadu,Krishnagiri,29,21,0,0,
2020-06-06,Tamil Nadu,Krishnagiri,37,21,0,0,
2020-06-07,Tamil Nadu,Krishnagiri,37,21,0,0,6565.0
2020-06-08,Tamil Nadu,Krishnagiri,37,21,0,0,6565.0
2020-06-09,Tamil Nadu,Krishnagiri,37,21,0,0,6565.0
2020-06-10,Tamil Nadu,Krishnagiri,38,21,0,0,6565.0
2020-06-11,Tamil Nadu,Krishnagiri,38,21,0,0,6565.0
2020-06-12,Tamil Nadu,Krishnagiri,38,21,0,0,6565.0
2020-06-13,Tamil Nadu,Krishnagiri,38,21,0,0,6565.0
2020-06-14,Tamil Nadu,Krishnagiri,39,21,0,0,6565.0
2020-06-15,Tamil Nadu,Krishnagiri,41,21,1,0,6565.0
2020-06-16,Tamil Nadu,Krishnagiri,41,22,1,0,6565.0
2020-06-17,Tamil Nadu,Krishnagiri,44,30,1,0,6565.0
2020-06-18,Tamil Nadu,Krishnagiri,44,30,1,0,6565.0
2020-06-19,Tamil Nadu,Krishnagiri,57,30,2,0,8128.0
2020-06-20,Tamil Nadu,Krishnagiri,63,32,2,0,8290.0
2020-06-21,Tamil Nadu,Krishnagiri,63,32,2,0,8290.0
2020-06-22,Tamil Nadu,Krishnagiri,72,32,2,0,8290.0
2020-06-23,Tamil Nadu,Krishnagiri,67,32,2,0,8290.0
2020-06-24,Tamil Nadu,Krishnagiri,71,32,2,0,8290.0
2020-06-25,Tamil Nadu,Krishnagiri,73,32,2,0,8290.0
2020-06-26,Tamil Nadu,Krishnagiri,87,32,2,0,8290.0
2020-06-27,Tamil Nadu,Krishnagiri,115,32,2,0,8290.0
2020-06-28,Tamil Nadu,Krishnagiri,110,32,2,0,8290.0
2020-06-29,Tamil Nadu,Krishnagiri,134,39,2,0,8290.0
2020-06-30,Tamil Nadu,Krishnagiri,140,39,2,0,8290.0
2020-07-01,Tamil Nadu,Krishnagiri,146,43,2,0,8290.0
2020-07-02,Tamil Nadu,Krishnagiri,156,43,2,0,8290.0
2020-07-03,Tamil Nadu,Krishnagiri,170,52,2,0,8290.0
2020-07-04,Tamil Nadu,Krishnagiri,175,67,2,0,8290.0
2020-07-05,Tamil Nadu,Krishnagiri,185,73,2,0,8290.0
2020-07-06,Tamil Nadu,Krishnagiri,200,74,2,0,8290.0
2020-07-07,Tamil Nadu,Krishnagiri,203,83,2,0,8290.0
2020-07-08,Tamil Nadu,Krishnagiri,217,83,3,0,8290.0
2020-07-09,Tamil Nadu,Krishnagiri,223,132,3,0,8290.0
2020-07-10,Tamil Nadu,Krishnagiri,225,157,4,0,8290.0
2020-07-11,Tamil Nadu,Krishnagiri,241,157,4,0,8290.0
2020-07-12,Tamil Nadu,Krishnagiri,253,157,4,0,8290.0
2020-07-13,Tamil Nadu,Krishnagiri,263,163,5,0,8290.0
2020-07-14,Tamil Nadu,Krishnagiri,274,165,7,0,8290.0
2020-07-15,Tamil Nadu,Krishnagiri,306,166,7,0,8290.0
2020-07-16,Tamil Nadu,Krishnagiri,328,178,8,0,8290.0
2020-07-17,Tamil Nadu,Krishnagiri,345,188,8,0,8290.0
2020-07-18,Tamil Nadu,Krishnagiri,379,200,8,0,8290.0
2020-07-19,Tamil Nadu,Krishnagiri,387,207,10,0,8290.0
2020-07-20,Tamil Nadu,Krishnagiri,413,250,10,0,8290.0
2020-07-21,Tamil Nadu,Krishnagiri,451,250,10,0,8290.0
2020-07-22,Tamil Nadu,Krishnagiri,520,265,12,0,8290.0
2020-07-23,Tamil Nadu,Krishnagiri,551,283,13,0,14284.0
2020-07-24,Tamil Nadu,Krishnagiri,633,314,14,0,14284.0
2020-07-25,Tamil Nadu,Krishnagiri,664,328,14,0,14284.0
2020-07-26,Tamil Nadu,Krishnagiri,716,337,14,0,14284.0
2020-07-27,Tamil Nadu,Krishnagiri,776,346,14,0,14284.0
2020-07-28,Tamil Nadu,Krishnagiri,817,367,14,0,14284.0
2020-07-29,Tamil Nadu,Krishnagiri,924,394,14,0,14284.0
2020-07-30,Tamil Nadu,Krishnagiri,950,441,14,0,14284.0
2020-07-31,Tamil Nadu,Krishnagiri,968,479,14,0,14284.0
2020-08-01,Tamil Nadu,Krishnagiri,1042,548,14,0,14284.0
2020-08-02,Tamil Nadu,Krishnagiri,1102,578,14,0,14284.0
2020-08-03,Tamil Nadu,Krishnagiri,1170,617,14,0,14284.0
2020-08-04,Tamil Nadu,Krishnagiri,1196,660,16,0,14284.0
2020-08-05,Tamil Nadu,Krishnagiri,1206,741,16,0,14284.0
2020-08-06,Tamil Nadu,Krishnagiri,1263,798,16,0,14284.0
2020-08-07,Tamil Nadu,Krishnagiri,1310,850,20,0,14284.0
2020-08-08,Tamil Nadu,Krishnagiri,1361,901,21,0,14284.0
2020-08-09,Tamil Nadu,Krishnagiri,1422,930,21,0,14284.0
2020-08-10,Tamil Nadu,Krishnagiri,1480,943,21,0,14284.0
2020-08-11,Tamil Nadu,Krishnagiri,1523,1048,23,0,14284.0
2020-08-12,Tamil Nadu,Krishnagiri,1530,1105,23,0,14284.0
2020-08-13,Tamil Nadu,Krishnagiri,1539,1150,23,0,14284.0
2020-08-14,Tamil Nadu,Krishnagiri,1552,1187,24,0,14284.0
2020-08-15,Tamil Nadu,Krishnagiri,1611,1237,25,0,14284.0
2020-08-16,Tamil Nadu,Krishnagiri,1658,1268,26,0,14284.0
2020-08-17,Tamil Nadu,Krishnagiri,1672,1298,26,0,14284.0
2020-08-18,Tamil Nadu,Krishnagiri,1688,1336,26,0,14284.0
2020-08-19,Tamil Nadu,Krishnagiri,1707,1386,26,0,14284.0
2020-08-20,Tamil Nadu,Krishnagiri,1710,1420,26,0,14284.0
2020-08-21,Tamil Nadu,Krishnagiri,1760,1452,26,0,14284.0
2020-08-22,Tamil Nadu,Krishnagiri,1790,1476,27,0,14284.0
2020-08-23,Tamil Nadu,Krishnagiri,1809,1488,27,0,14284.0
2020-08-24,Tamil Nadu,Krishnagiri,1867,1538,28,0,14284.0
2020-08-25,Tamil Nadu,Krishnagiri,1913,1556,28,0,14284.0
2020-08-26,Tamil Nadu,Krishnagiri,1944,1593,28,0,14284.0
2020-08-27,Tamil Nadu,Krishnagiri,1977,1618,29,0,14284.0
