Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Tamil Nadu,Madurai,75,8,2,0,
2020-04-27,Tamil Nadu,Madurai,79,8,2,0,
2020-04-28,Tamil Nadu,Madurai,79,36,2,0,
2020-04-29,Tamil Nadu,Madurai,79,40,2,0,
2020-04-30,Tamil Nadu,Madurai,84,40,2,0,
2020-05-01,Tamil Nadu,Madurai,87,42,2,0,
2020-05-02,Tamil Nadu,Madurai,88,42,2,0,
2020-05-03,Tamil Nadu,Madurai,90,43,2,0,
2020-05-04,Tamil Nadu,Madurai,91,43,2,0,
2020-05-05,Tamil Nadu,Madurai,92,43,2,0,
2020-05-06,Tamil Nadu,Madurai,112,48,2,0,
2020-05-07,Tamil Nadu,Madurai,112,54,2,0,
2020-05-08,Tamil Nadu,Madurai,114,54,2,0,
2020-05-09,Tamil Nadu,Madurai,114,70,2,0,
2020-05-10,Tamil Nadu,Madurai,118,73,2,0,
2020-05-11,Tamil Nadu,Madurai,122,73,2,0,
2020-05-12,Tamil Nadu,Madurai,122,73,2,0,
2020-05-13,Tamil Nadu,Madurai,124,83,2,0,
2020-05-14,Tamil Nadu,Madurai,132,83,2,0,
2020-05-15,Tamil Nadu,Madurai,143,87,2,0,
2020-05-16,Tamil Nadu,Madurai,147,89,2,0,
2020-05-17,Tamil Nadu,Madurai,160,107,2,0,
2020-05-18,Tamil Nadu,Madurai,163,108,2,0,
2020-05-19,Tamil Nadu,Madurai,163,108,2,0,
2020-05-20,Tamil Nadu,Madurai,172,108,2,0,
2020-05-21,Tamil Nadu,Madurai,191,109,2,0,
2020-05-22,Tamil Nadu,Madurai,224,111,2,0,
2020-05-23,Tamil Nadu,Madurai,226,113,2,0,
2020-05-24,Tamil Nadu,Madurai,232,115,2,0,
2020-05-25,Tamil Nadu,Madurai,232,118,2,0,
2020-05-26,Tamil Nadu,Madurai,234,122,2,0,
2020-05-27,Tamil Nadu,Madurai,241,140,2,0,
2020-05-28,Tamil Nadu,Madurai,249,153,2,0,
2020-05-29,Tamil Nadu,Madurai,249,153,2,0,
2020-05-30,Tamil Nadu,Madurai,268,158,2,0,
2020-05-31,Tamil Nadu,Madurai,278,164,3,0,
2020-06-01,Tamil Nadu,Madurai,278,165,3,0,
2020-06-02,Tamil Nadu,Madurai,279,174,3,0,
2020-06-03,Tamil Nadu,Madurai,286,177,3,0,
2020-06-04,Tamil Nadu,Madurai,283,193,3,0,
2020-06-05,Tamil Nadu,Madurai,292,196,3,0,
2020-06-06,Tamil Nadu,Madurai,298,229,3,0,
2020-06-07,Tamil Nadu,Madurai,312,235,3,0,14102.0
2020-06-08,Tamil Nadu,Madurai,317,240,3,0,14102.0
2020-06-09,Tamil Nadu,Madurai,333,241,3,0,14102.0
2020-06-10,Tamil Nadu,Madurai,343,241,3,0,14102.0
2020-06-11,Tamil Nadu,Madurai,363,254,3,0,14102.0
2020-06-12,Tamil Nadu,Madurai,394,265,3,0,14102.0
2020-06-13,Tamil Nadu,Madurai,409,271,3,0,14102.0
2020-06-14,Tamil Nadu,Madurai,426,277,4,0,14102.0
2020-06-15,Tamil Nadu,Madurai,442,291,4,0,14102.0
2020-06-16,Tamil Nadu,Madurai,464,301,5,0,14102.0
2020-06-17,Tamil Nadu,Madurai,493,323,6,0,14102.0
2020-06-18,Tamil Nadu,Madurai,495,330,6,0,14102.0
2020-06-19,Tamil Nadu,Madurai,550,345,7,0,21461.0
2020-06-20,Tamil Nadu,Madurai,636,367,8,0,23092.0
2020-06-21,Tamil Nadu,Madurai,705,381,8,0,23092.0
2020-06-22,Tamil Nadu,Madurai,849,389,8,0,23092.0
2020-06-23,Tamil Nadu,Madurai,988,405,9,0,23092.0
2020-06-24,Tamil Nadu,Madurai,1073,423,9,0,23092.0
2020-06-25,Tamil Nadu,Madurai,1279,448,11,0,23092.0
2020-06-26,Tamil Nadu,Madurai,1477,520,13,0,23092.0
2020-06-27,Tamil Nadu,Madurai,1703,548,20,0,23092.0
2020-06-28,Tamil Nadu,Madurai,1995,591,25,0,23092.0
2020-06-29,Tamil Nadu,Madurai,2302,609,29,0,23092.0
2020-06-30,Tamil Nadu,Madurai,2557,817,32,0,23092.0
2020-07-01,Tamil Nadu,Madurai,2858,878,39,0,23092.0
2020-07-02,Tamil Nadu,Madurai,3133,887,43,0,23092.0
2020-07-03,Tamil Nadu,Madurai,3423,967,51,0,23092.0
2020-07-04,Tamil Nadu,Madurai,3776,994,57,0,23092.0
2020-07-05,Tamil Nadu,Madurai,4085,1048,62,0,23092.0
2020-07-06,Tamil Nadu,Madurai,4338,1070,69,0,23092.0
2020-07-07,Tamil Nadu,Madurai,4674,1111,77,0,23092.0
2020-07-08,Tamil Nadu,Madurai,5057,1160,86,0,23092.0
2020-07-09,Tamil Nadu,Madurai,5299,1203,95,0,23092.0
2020-07-10,Tamil Nadu,Madurai,5482,1250,101,0,23092.0
2020-07-11,Tamil Nadu,Madurai,5757,1803,111,0,23092.0
2020-07-12,Tamil Nadu,Madurai,6078,2590,116,0,23092.0
2020-07-13,Tamil Nadu,Madurai,6539,2616,120,0,23092.0
2020-07-14,Tamil Nadu,Madurai,6990,2667,124,0,23092.0
2020-07-15,Tamil Nadu,Madurai,7331,3855,129,0,23092.0
2020-07-16,Tamil Nadu,Madurai,7597,4534,134,0,23092.0
2020-07-17,Tamil Nadu,Madurai,7858,4677,138,0,23092.0
2020-07-18,Tamil Nadu,Madurai,8044,4758,147,0,23092.0
2020-07-19,Tamil Nadu,Madurai,8251,4823,155,0,23092.0
2020-07-20,Tamil Nadu,Madurai,8357,4934,160,0,23092.0
2020-07-21,Tamil Nadu,Madurai,8517,5070,167,0,23092.0
2020-07-22,Tamil Nadu,Madurai,8705,5515,174,0,23092.0
2020-07-23,Tamil Nadu,Madurai,8984,5965,183,0,97279.0
2020-07-24,Tamil Nadu,Madurai,9302,6448,193,0,97279.0
2020-07-25,Tamil Nadu,Madurai,9595,7394,202,0,97279.0
2020-07-26,Tamil Nadu,Madurai,9805,7643,210,0,97279.0
2020-07-27,Tamil Nadu,Madurai,10057,7809,216,0,97279.0
2020-07-28,Tamil Nadu,Madurai,10392,7882,222,0,97279.0
2020-07-29,Tamil Nadu,Madurai,10618,7995,231,0,97279.0
2020-07-30,Tamil Nadu,Madurai,10838,8221,233,0,97279.0
2020-07-31,Tamil Nadu,Madurai,11009,8423,237,0,97279.0
2020-08-01,Tamil Nadu,Madurai,11175,8631,247,0,97279.0
2020-08-02,Tamil Nadu,Madurai,11352,8745,253,0,97279.0
2020-08-03,Tamil Nadu,Madurai,11455,8787,257,0,97279.0
2020-08-04,Tamil Nadu,Madurai,11487,8984,261,0,97279.0
2020-08-05,Tamil Nadu,Madurai,11593,9219,267,0,97279.0
2020-08-06,Tamil Nadu,Madurai,11689,9549,276,0,97279.0
2020-08-07,Tamil Nadu,Madurai,11797,9733,278,0,97279.0
2020-08-08,Tamil Nadu,Madurai,11898,9989,282,0,97279.0
2020-08-09,Tamil Nadu,Madurai,12005,10452,288,0,97279.0
2020-08-10,Tamil Nadu,Madurai,12104,10750,293,0,97279.0
2020-08-11,Tamil Nadu,Madurai,12195,11028,297,0,97279.0
2020-08-12,Tamil Nadu,Madurai,12366,11054,303,0,97279.0
2020-08-13,Tamil Nadu,Madurai,12515,11151,308,0,97279.0
2020-08-14,Tamil Nadu,Madurai,12561,11195,309,0,97279.0
2020-08-15,Tamil Nadu,Madurai,12643,11300,315,0,97279.0
2020-08-16,Tamil Nadu,Madurai,12764,11404,321,0,97279.0
2020-08-17,Tamil Nadu,Madurai,12888,11424,324,0,97279.0
2020-08-18,Tamil Nadu,Madurai,12955,11571,327,0,97279.0
2020-08-19,Tamil Nadu,Madurai,13067,11660,329,0,97279.0
2020-08-20,Tamil Nadu,Madurai,13149,11765,330,0,97279.0
2020-08-21,Tamil Nadu,Madurai,13237,11903,331,0,97279.0
2020-08-22,Tamil Nadu,Madurai,13328,12075,332,0,97279.0
2020-08-23,Tamil Nadu,Madurai,13433,12123,335,0,97279.0
2020-08-24,Tamil Nadu,Madurai,13508,12191,338,0,97279.0
2020-08-25,Tamil Nadu,Madurai,13590,12249,340,0,97279.0
2020-08-26,Tamil Nadu,Madurai,13621,12343,341,0,97279.0
2020-08-27,Tamil Nadu,Madurai,13685,12446,345,0,97279.0
2020-08-28,Tamil Nadu,Madurai,13788,12570,350,0,97279.0
2020-08-29,Tamil Nadu,Madurai,13894,12684,354,0,97279.0
2020-08-30,Tamil Nadu,Madurai,14030,12813,357,0,97279.0
2020-08-31,Tamil Nadu,Madurai,14152,12931,358,0,97279.0
2020-09-01,Tamil Nadu,Madurai,14279,13021,358,0,97279.0
2020-09-02,Tamil Nadu,Madurai,14386,13222,360,0,97279.0
2020-09-03,Tamil Nadu,Madurai,14455,13282,360,0,97279.0
2020-09-04,Tamil Nadu,Madurai,14575,13334,364,0,97279.0
2020-09-05,Tamil Nadu,Madurai,14674,13376,364,0,97279.0
2020-09-06,Tamil Nadu,Madurai,14775,13423,366,0,97279.0
2020-09-07,Tamil Nadu,Madurai,14881,13468,367,0,97279.0
2020-09-08,Tamil Nadu,Madurai,14988,13555,368,0,97279.0
