Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Tamil Nadu,Nagapattinam,44,28,0,0,
2020-04-27,Tamil Nadu,Nagapattinam,44,28,0,0,
2020-04-28,Tamil Nadu,Nagapattinam,44,28,0,0,
2020-04-29,Tamil Nadu,Nagapattinam,44,31,0,0,
2020-04-30,Tamil Nadu,Nagapattinam,44,35,0,0,
2020-05-01,Tamil Nadu,Nagapattinam,45,42,0,0,
2020-05-02,Tamil Nadu,Nagapattinam,45,42,0,0,
2020-05-03,Tamil Nadu,Nagapattinam,45,42,0,0,
2020-05-04,Tamil Nadu,Nagapattinam,45,44,0,0,
2020-05-05,Tamil Nadu,Nagapattinam,45,44,0,0,
2020-05-06,Tamil Nadu,Nagapattinam,45,44,0,0,
2020-05-07,Tamil Nadu,Nagapattinam,45,44,0,0,
2020-05-08,Tamil Nadu,Nagapattinam,45,44,0,0,
2020-05-09,Tamil Nadu,Nagapattinam,45,44,0,0,
2020-05-10,Tamil Nadu,Nagapattinam,45,44,0,0,
2020-05-11,Tamil Nadu,Nagapattinam,45,44,0,0,
2020-05-12,Tamil Nadu,Nagapattinam,45,44,0,0,
2020-05-13,Tamil Nadu,Nagapattinam,47,44,0,0,
2020-05-14,Tamil Nadu,Nagapattinam,47,44,0,0,
2020-05-15,Tamil Nadu,Nagapattinam,47,44,0,0,
2020-05-16,Tamil Nadu,Nagapattinam,49,45,0,0,
2020-05-17,Tamil Nadu,Nagapattinam,50,45,0,0,
2020-05-18,Tamil Nadu,Nagapattinam,50,45,0,0,
2020-05-19,Tamil Nadu,Nagapattinam,51,45,0,0,
2020-05-20,Tamil Nadu,Nagapattinam,51,45,0,0,
2020-05-21,Tamil Nadu,Nagapattinam,51,45,0,0,
2020-05-22,Tamil Nadu,Nagapattinam,51,46,0,0,
2020-05-23,Tamil Nadu,Nagapattinam,51,48,0,0,
2020-05-24,Tamil Nadu,Nagapattinam,51,48,0,0,
2020-05-25,Tamil Nadu,Nagapattinam,51,48,0,0,
2020-05-26,Tamil Nadu,Nagapattinam,51,51,0,0,
2020-05-27,Tamil Nadu,Nagapattinam,52,51,0,0,
2020-05-28,Tamil Nadu,Nagapattinam,54,51,0,0,
2020-05-29,Tamil Nadu,Nagapattinam,54,51,0,0,
2020-05-30,Tamil Nadu,Nagapattinam,59,51,0,0,
2020-05-31,Tamil Nadu,Nagapattinam,60,51,0,0,
2020-06-01,Tamil Nadu,Nagapattinam,60,51,0,0,
2020-06-02,Tamil Nadu,Nagapattinam,63,51,0,0,
2020-06-03,Tamil Nadu,Nagapattinam,64,51,0,0,
2020-06-04,Tamil Nadu,Nagapattinam,72,51,0,0,
2020-06-05,Tamil Nadu,Nagapattinam,75,51,0,0,
2020-06-06,Tamil Nadu,Nagapattinam,76,51,0,0,
2020-06-07,Tamil Nadu,Nagapattinam,76,51,0,0,7958.0
2020-06-08,Tamil Nadu,Nagapattinam,81,51,0,0,7958.0
2020-06-09,Tamil Nadu,Nagapattinam,88,51,0,0,7958.0
2020-06-10,Tamil Nadu,Nagapattinam,92,51,0,0,7958.0
2020-06-11,Tamil Nadu,Nagapattinam,105,51,0,0,7958.0
2020-06-12,Tamil Nadu,Nagapattinam,106,52,0,0,7958.0
2020-06-13,Tamil Nadu,Nagapattinam,106,53,0,0,7958.0
2020-06-14,Tamil Nadu,Nagapattinam,113,54,0,0,7958.0
2020-06-15,Tamil Nadu,Nagapattinam,123,54,0,0,7958.0
2020-06-16,Tamil Nadu,Nagapattinam,166,59,0,0,7958.0
2020-06-17,Tamil Nadu,Nagapattinam,179,59,0,0,7958.0
2020-06-18,Tamil Nadu,Nagapattinam,181,61,0,0,7958.0
2020-06-19,Tamil Nadu,Nagapattinam,191,61,0,0,10395.0
2020-06-20,Tamil Nadu,Nagapattinam,195,70,0,0,10789.0
2020-06-21,Tamil Nadu,Nagapattinam,202,67,0,0,10789.0
2020-06-22,Tamil Nadu,Nagapattinam,219,67,0,0,10789.0
2020-06-23,Tamil Nadu,Nagapattinam,165,72,0,0,10789.0
2020-06-24,Tamil Nadu,Nagapattinam,228,73,0,0,10789.0
2020-06-25,Tamil Nadu,Nagapattinam,234,73,0,0,10789.0
2020-06-26,Tamil Nadu,Nagapattinam,209,82,0,0,10789.0
2020-06-27,Tamil Nadu,Nagapattinam,249,82,0,0,10789.0
2020-06-28,Tamil Nadu,Nagapattinam,250,83,0,0,10789.0
2020-06-29,Tamil Nadu,Nagapattinam,252,85,0,0,10789.0
2020-06-30,Tamil Nadu,Nagapattinam,254,86,0,0,10789.0
2020-07-01,Tamil Nadu,Nagapattinam,263,97,0,0,10789.0
2020-07-02,Tamil Nadu,Nagapattinam,260,100,0,0,10789.0
2020-07-03,Tamil Nadu,Nagapattinam,273,106,0,0,10789.0
2020-07-04,Tamil Nadu,Nagapattinam,279,106,0,0,10789.0
2020-07-05,Tamil Nadu,Nagapattinam,285,114,0,0,10789.0
2020-07-06,Tamil Nadu,Nagapattinam,310,128,0,0,10789.0
2020-07-07,Tamil Nadu,Nagapattinam,314,130,0,0,10789.0
2020-07-08,Tamil Nadu,Nagapattinam,325,163,0,0,10789.0
2020-07-09,Tamil Nadu,Nagapattinam,350,169,0,0,10789.0
2020-07-10,Tamil Nadu,Nagapattinam,347,173,1,0,10789.0
2020-07-11,Tamil Nadu,Nagapattinam,353,175,1,0,10789.0
2020-07-12,Tamil Nadu,Nagapattinam,347,176,1,0,10789.0
2020-07-13,Tamil Nadu,Nagapattinam,374,181,1,0,10789.0
2020-07-14,Tamil Nadu,Nagapattinam,383,183,1,0,10789.0
2020-07-15,Tamil Nadu,Nagapattinam,388,195,1,0,10789.0
2020-07-16,Tamil Nadu,Nagapattinam,396,203,1,0,10789.0
2020-07-17,Tamil Nadu,Nagapattinam,396,207,1,0,10789.0
2020-07-18,Tamil Nadu,Nagapattinam,418,235,1,0,10789.0
2020-07-19,Tamil Nadu,Nagapattinam,433,280,1,0,10789.0
2020-07-20,Tamil Nadu,Nagapattinam,428,280,1,0,10789.0
2020-07-21,Tamil Nadu,Nagapattinam,466,282,1,0,10789.0
2020-07-22,Tamil Nadu,Nagapattinam,480,285,1,0,10789.0
2020-07-23,Tamil Nadu,Nagapattinam,484,288,1,0,20984.0
2020-07-24,Tamil Nadu,Nagapattinam,523,301,2,0,20984.0
2020-07-25,Tamil Nadu,Nagapattinam,533,302,2,0,20984.0
2020-07-26,Tamil Nadu,Nagapattinam,565,314,3,0,20984.0
2020-07-27,Tamil Nadu,Nagapattinam,587,325,4,0,20984.0
2020-07-28,Tamil Nadu,Nagapattinam,601,334,4,0,20984.0
2020-07-29,Tamil Nadu,Nagapattinam,657,360,7,0,20984.0
2020-07-30,Tamil Nadu,Nagapattinam,685,372,8,0,20984.0
2020-07-31,Tamil Nadu,Nagapattinam,735,388,8,0,20984.0
2020-08-01,Tamil Nadu,Nagapattinam,772,444,8,0,20984.0
2020-08-02,Tamil Nadu,Nagapattinam,789,444,8,0,20984.0
2020-08-03,Tamil Nadu,Nagapattinam,817,453,9,0,20984.0
2020-08-04,Tamil Nadu,Nagapattinam,873,459,10,0,20984.0
2020-08-05,Tamil Nadu,Nagapattinam,917,475,11,0,20984.0
2020-08-06,Tamil Nadu,Nagapattinam,921,520,11,0,20984.0
2020-08-07,Tamil Nadu,Nagapattinam,999,550,11,0,20984.0
2020-08-08,Tamil Nadu,Nagapattinam,1076,574,11,0,20984.0
2020-08-09,Tamil Nadu,Nagapattinam,1145,613,11,0,20984.0
2020-08-10,Tamil Nadu,Nagapattinam,1204,632,14,0,20984.0
2020-08-11,Tamil Nadu,Nagapattinam,1249,662,16,0,20984.0
2020-08-12,Tamil Nadu,Nagapattinam,1321,714,16,0,20984.0
2020-08-13,Tamil Nadu,Nagapattinam,1392,723,16,0,20984.0
2020-08-14,Tamil Nadu,Nagapattinam,1422,809,16,0,20984.0
2020-08-15,Tamil Nadu,Nagapattinam,1504,834,16,0,20984.0
2020-08-16,Tamil Nadu,Nagapattinam,1570,865,16,0,20984.0
2020-08-17,Tamil Nadu,Nagapattinam,1580,898,16,0,20984.0
2020-08-18,Tamil Nadu,Nagapattinam,1650,940,18,0,20984.0
2020-08-19,Tamil Nadu,Nagapattinam,1718,979,20,0,20984.0
2020-08-20,Tamil Nadu,Nagapattinam,1737,1180,23,0,20984.0
2020-08-21,Tamil Nadu,Nagapattinam,1786,1200,26,0,20984.0
2020-08-22,Tamil Nadu,Nagapattinam,1867,1228,28,0,20984.0
2020-08-23,Tamil Nadu,Nagapattinam,1889,1284,29,0,20984.0
2020-08-24,Tamil Nadu,Nagapattinam,1954,1309,29,0,20984.0
2020-08-25,Tamil Nadu,Nagapattinam,2105,1330,30,0,20984.0
2020-08-26,Tamil Nadu,Nagapattinam,2191,1384,30,0,20984.0
2020-08-27,Tamil Nadu,Nagapattinam,2283,1567,34,0,20984.0
2020-08-28,Tamil Nadu,Nagapattinam,2339,1590,36,0,20984.0
2020-08-29,Tamil Nadu,Nagapattinam,2440,1642,37,0,20984.0
2020-08-30,Tamil Nadu,Nagapattinam,2577,1711,40,0,20984.0
2020-08-31,Tamil Nadu,Nagapattinam,2687,1759,42,0,20984.0
2020-09-01,Tamil Nadu,Nagapattinam,2774,1852,42,0,20984.0
2020-09-02,Tamil Nadu,Nagapattinam,2845,1977,45,0,20984.0
2020-09-03,Tamil Nadu,Nagapattinam,2912,2015,48,0,20984.0
2020-09-04,Tamil Nadu,Nagapattinam,3010,2049,51,0,20984.0
2020-09-05,Tamil Nadu,Nagapattinam,3179,2096,51,0,20984.0
2020-09-06,Tamil Nadu,Nagapattinam,3325,2172,53,0,20984.0
2020-09-07,Tamil Nadu,Nagapattinam,3389,2305,55,0,20984.0
2020-09-08,Tamil Nadu,Nagapattinam,3413,2347,57,0,20984.0
2020-09-09,Tamil Nadu,Nagapattinam,3585,2442,58,0,20984.0
2020-09-10,Tamil Nadu,Nagapattinam,3716,2587,65,0,20984.0
2020-09-11,Tamil Nadu,Nagapattinam,3764,2681,66,0,20984.0
2020-09-12,Tamil Nadu,Nagapattinam,3919,2775,67,0,20984.0
2020-09-13,Tamil Nadu,Nagapattinam,4075,2872,67,0,20984.0
2020-09-14,Tamil Nadu,Nagapattinam,4201,2966,69,0,20984.0
2020-09-15,Tamil Nadu,Nagapattinam,4312,3087,70,0,20984.0
