Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Tamil Nadu,Perambalur,7,1,0,0,
2020-04-27,Tamil Nadu,Perambalur,7,1,0,0,
2020-04-28,Tamil Nadu,Perambalur,7,1,0,0,
2020-04-29,Tamil Nadu,Perambalur,7,1,0,0,
2020-04-30,Tamil Nadu,Perambalur,9,1,0,0,
2020-05-01,Tamil Nadu,Perambalur,9,1,0,0,
2020-05-02,Tamil Nadu,Perambalur,11,3,0,0,
2020-05-03,Tamil Nadu,Perambalur,11,3,0,0,
2020-05-04,Tamil Nadu,Perambalur,36,3,0,0,
2020-05-05,Tamil Nadu,Perambalur,37,4,0,0,
2020-05-06,Tamil Nadu,Perambalur,40,4,0,0,
2020-05-07,Tamil Nadu,Perambalur,73,4,0,0,
2020-05-08,Tamil Nadu,Perambalur,73,5,0,0,
2020-05-09,Tamil Nadu,Perambalur,104,5,0,0,
2020-05-10,Tamil Nadu,Perambalur,113,5,0,0,
2020-05-11,Tamil Nadu,Perambalur,114,7,0,0,
2020-05-12,Tamil Nadu,Perambalur,141,8,0,0,
2020-05-13,Tamil Nadu,Perambalur,142,8,0,0,
2020-05-14,Tamil Nadu,Perambalur,137,13,0,0,
2020-05-15,Tamil Nadu,Perambalur,139,30,0,0,
2020-05-16,Tamil Nadu,Perambalur,139,30,0,0,
2020-05-17,Tamil Nadu,Perambalur,139,33,0,0,
2020-05-18,Tamil Nadu,Perambalur,139,33,0,0,
2020-05-19,Tamil Nadu,Perambalur,139,91,0,0,
2020-05-20,Tamil Nadu,Perambalur,139,91,0,0,
2020-05-21,Tamil Nadu,Perambalur,139,113,0,0,
2020-05-22,Tamil Nadu,Perambalur,139,133,0,0,
2020-05-23,Tamil Nadu,Perambalur,139,134,0,0,
2020-05-24,Tamil Nadu,Perambalur,139,135,0,0,
2020-05-25,Tamil Nadu,Perambalur,139,135,0,0,
2020-05-26,Tamil Nadu,Perambalur,139,135,0,0,
2020-05-27,Tamil Nadu,Perambalur,139,135,0,0,
2020-05-28,Tamil Nadu,Perambalur,139,139,0,0,
2020-05-29,Tamil Nadu,Perambalur,139,139,0,0,
2020-05-30,Tamil Nadu,Perambalur,140,139,0,0,
2020-05-31,Tamil Nadu,Perambalur,141,139,0,0,
2020-06-01,Tamil Nadu,Perambalur,142,139,0,0,
2020-06-02,Tamil Nadu,Perambalur,143,139,0,0,
2020-06-03,Tamil Nadu,Perambalur,143,139,0,0,
2020-06-04,Tamil Nadu,Perambalur,142,139,0,0,
2020-06-05,Tamil Nadu,Perambalur,143,139,0,0,
2020-06-06,Tamil Nadu,Perambalur,143,139,0,0,
2020-06-07,Tamil Nadu,Perambalur,143,140,0,0,3999.0
2020-06-08,Tamil Nadu,Perambalur,143,141,0,0,3999.0
2020-06-09,Tamil Nadu,Perambalur,144,141,0,0,3999.0
2020-06-10,Tamil Nadu,Perambalur,144,141,0,0,3999.0
2020-06-11,Tamil Nadu,Perambalur,145,141,0,0,3999.0
2020-06-12,Tamil Nadu,Perambalur,143,141,0,0,3999.0
2020-06-13,Tamil Nadu,Perambalur,145,141,0,0,3999.0
2020-06-14,Tamil Nadu,Perambalur,146,141,0,0,3999.0
