Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Tamil Nadu,Ramanathapuram,15,7,0,0,
2020-04-27,Tamil Nadu,Ramanathapuram,15,7,0,0,
2020-04-28,Tamil Nadu,Ramanathapuram,15,7,0,0,
2020-04-29,Tamil Nadu,Ramanathapuram,15,10,0,0,
2020-04-30,Tamil Nadu,Ramanathapuram,18,10,0,0,
2020-05-01,Tamil Nadu,Ramanathapuram,18,10,0,0,
2020-05-02,Tamil Nadu,Ramanathapuram,20,11,0,0,
2020-05-03,Tamil Nadu,Ramanathapuram,20,11,0,0,
2020-05-04,Tamil Nadu,Ramanathapuram,21,11,0,0,
2020-05-05,Tamil Nadu,Ramanathapuram,21,11,0,0,
2020-05-06,Tamil Nadu,Ramanathapuram,21,12,0,0,
2020-05-07,Tamil Nadu,Ramanathapuram,23,14,0,0,
2020-05-08,Tamil Nadu,Ramanathapuram,24,14,0,0,
2020-05-09,Tamil Nadu,Ramanathapuram,26,16,1,0,
2020-05-10,Tamil Nadu,Ramanathapuram,27,16,1,0,
2020-05-11,Tamil Nadu,Ramanathapuram,31,16,1,0,
2020-05-12,Tamil Nadu,Ramanathapuram,31,15,1,0,
2020-05-13,Tamil Nadu,Ramanathapuram,31,15,1,0,
2020-05-14,Tamil Nadu,Ramanathapuram,31,21,1,0,
2020-05-15,Tamil Nadu,Ramanathapuram,31,21,1,0,
2020-05-16,Tamil Nadu,Ramanathapuram,31,21,1,0,
2020-05-17,Tamil Nadu,Ramanathapuram,31,21,1,0,
2020-05-18,Tamil Nadu,Ramanathapuram,37,21,1,0,
2020-05-19,Tamil Nadu,Ramanathapuram,39,21,1,0,
2020-05-20,Tamil Nadu,Ramanathapuram,39,21,1,0,
2020-05-21,Tamil Nadu,Ramanathapuram,39,21,1,0,
2020-05-22,Tamil Nadu,Ramanathapuram,52,26,1,0,
2020-05-23,Tamil Nadu,Ramanathapuram,55,29,1,0,
2020-05-24,Tamil Nadu,Ramanathapuram,58,29,1,0,
2020-05-25,Tamil Nadu,Ramanathapuram,63,29,1,0,
2020-05-26,Tamil Nadu,Ramanathapuram,64,30,1,0,
2020-05-27,Tamil Nadu,Ramanathapuram,65,30,1,0,
2020-05-28,Tamil Nadu,Ramanathapuram,65,36,1,0,
2020-05-29,Tamil Nadu,Ramanathapuram,65,37,1,0,
2020-05-30,Tamil Nadu,Ramanathapuram,78,37,1,0,
2020-05-31,Tamil Nadu,Ramanathapuram,84,38,1,0,
2020-06-01,Tamil Nadu,Ramanathapuram,86,52,1,0,
2020-06-02,Tamil Nadu,Ramanathapuram,87,52,1,0,
2020-06-03,Tamil Nadu,Ramanathapuram,92,54,1,0,
2020-06-04,Tamil Nadu,Ramanathapuram,93,58,1,0,
2020-06-05,Tamil Nadu,Ramanathapuram,97,58,1,0,
2020-06-06,Tamil Nadu,Ramanathapuram,97,58,1,0,
2020-06-07,Tamil Nadu,Ramanathapuram,106,58,1,0,7074.0
2020-06-08,Tamil Nadu,Ramanathapuram,112,72,1,0,7074.0
2020-06-09,Tamil Nadu,Ramanathapuram,118,73,1,0,7074.0
2020-06-10,Tamil Nadu,Ramanathapuram,126,73,1,0,7074.0
2020-06-11,Tamil Nadu,Ramanathapuram,133,73,1,0,7074.0
2020-06-12,Tamil Nadu,Ramanathapuram,135,73,1,0,7074.0
2020-06-13,Tamil Nadu,Ramanathapuram,135,75,1,0,7074.0
2020-06-14,Tamil Nadu,Ramanathapuram,158,76,1,0,7074.0
2020-06-15,Tamil Nadu,Ramanathapuram,158,79,1,0,7074.0
2020-06-16,Tamil Nadu,Ramanathapuram,156,86,1,0,7074.0
2020-06-17,Tamil Nadu,Ramanathapuram,194,93,1,0,7074.0
2020-06-18,Tamil Nadu,Ramanathapuram,222,95,1,0,7074.0
2020-06-19,Tamil Nadu,Ramanathapuram,245,101,2,0,9390.0
2020-06-20,Tamil Nadu,Ramanathapuram,269,104,2,0,9723.0
2020-06-21,Tamil Nadu,Ramanathapuram,299,112,2,0,9723.0
2020-06-22,Tamil Nadu,Ramanathapuram,317,131,2,0,9723.0
2020-06-23,Tamil Nadu,Ramanathapuram,339,134,3,0,9723.0
2020-06-24,Tamil Nadu,Ramanathapuram,338,144,4,0,9723.0
2020-06-25,Tamil Nadu,Ramanathapuram,474,156,4,0,9723.0
2020-06-26,Tamil Nadu,Ramanathapuram,546,162,4,0,9723.0
2020-06-27,Tamil Nadu,Ramanathapuram,648,176,4,0,9723.0
2020-06-28,Tamil Nadu,Ramanathapuram,742,199,6,0,9723.0
2020-06-29,Tamil Nadu,Ramanathapuram,803,210,8,0,9723.0
2020-06-30,Tamil Nadu,Ramanathapuram,839,235,10,0,9723.0
2020-07-01,Tamil Nadu,Ramanathapuram,952,243,12,0,9723.0
2020-07-02,Tamil Nadu,Ramanathapuram,1069,265,14,0,9723.0
2020-07-03,Tamil Nadu,Ramanathapuram,1143,318,17,0,9723.0
2020-07-04,Tamil Nadu,Ramanathapuram,1292,359,19,0,9723.0
2020-07-05,Tamil Nadu,Ramanathapuram,1385,424,20,0,9723.0
2020-07-06,Tamil Nadu,Ramanathapuram,1454,452,21,0,9723.0
2020-07-07,Tamil Nadu,Ramanathapuram,1479,504,22,0,9723.0
2020-07-08,Tamil Nadu,Ramanathapuram,1544,546,23,0,9723.0
2020-07-09,Tamil Nadu,Ramanathapuram,1606,624,28,0,9723.0
2020-07-10,Tamil Nadu,Ramanathapuram,1691,674,32,0,9723.0
2020-07-11,Tamil Nadu,Ramanathapuram,1774,716,32,0,9723.0
2020-07-12,Tamil Nadu,Ramanathapuram,1849,760,34,0,9723.0
2020-07-13,Tamil Nadu,Ramanathapuram,1892,785,38,0,9723.0
2020-07-14,Tamil Nadu,Ramanathapuram,1956,1193,38,0,9723.0
2020-07-15,Tamil Nadu,Ramanathapuram,2076,1225,39,0,9723.0
2020-07-16,Tamil Nadu,Ramanathapuram,2167,1279,39,0,9723.0
2020-07-17,Tamil Nadu,Ramanathapuram,2249,1384,43,0,9723.0
2020-07-18,Tamil Nadu,Ramanathapuram,2316,1398,47,0,9723.0
2020-07-19,Tamil Nadu,Ramanathapuram,2442,1414,48,0,9723.0
2020-07-20,Tamil Nadu,Ramanathapuram,2525,1445,50,0,9723.0
2020-07-21,Tamil Nadu,Ramanathapuram,2603,1801,52,0,9723.0
2020-07-22,Tamil Nadu,Ramanathapuram,2692,1871,53,0,9723.0
2020-07-23,Tamil Nadu,Ramanathapuram,2792,1976,53,0,23389.0
2020-07-24,Tamil Nadu,Ramanathapuram,2865,2017,53,0,23389.0
2020-07-25,Tamil Nadu,Ramanathapuram,2951,2029,55,0,23389.0
2020-07-26,Tamil Nadu,Ramanathapuram,3040,2188,57,0,23389.0
2020-07-27,Tamil Nadu,Ramanathapuram,3094,2245,59,0,23389.0
2020-07-28,Tamil Nadu,Ramanathapuram,3132,2292,59,0,23389.0
2020-07-29,Tamil Nadu,Ramanathapuram,3169,2410,60,0,23389.0
2020-07-30,Tamil Nadu,Ramanathapuram,3215,2483,62,0,23389.0
2020-07-31,Tamil Nadu,Ramanathapuram,3255,2557,64,0,23389.0
2020-08-01,Tamil Nadu,Ramanathapuram,3293,2643,66,0,23389.0
2020-08-02,Tamil Nadu,Ramanathapuram,3338,2744,66,0,23389.0
2020-08-03,Tamil Nadu,Ramanathapuram,3400,2814,68,0,23389.0
2020-08-04,Tamil Nadu,Ramanathapuram,3449,2899,70,0,23389.0
2020-08-05,Tamil Nadu,Ramanathapuram,3483,2989,70,0,23389.0
2020-08-06,Tamil Nadu,Ramanathapuram,3503,3043,71,0,23389.0
2020-08-07,Tamil Nadu,Ramanathapuram,3546,3081,72,0,23389.0
2020-08-08,Tamil Nadu,Ramanathapuram,3585,3103,73,0,23389.0
2020-08-09,Tamil Nadu,Ramanathapuram,3646,3150,75,0,23389.0
2020-08-10,Tamil Nadu,Ramanathapuram,3682,3196,78,0,23389.0
2020-08-11,Tamil Nadu,Ramanathapuram,3719,3229,78,0,23389.0
2020-08-12,Tamil Nadu,Ramanathapuram,3780,3271,79,0,23389.0
2020-08-13,Tamil Nadu,Ramanathapuram,3840,3328,84,0,23389.0
2020-08-14,Tamil Nadu,Ramanathapuram,3898,3377,85,0,23389.0
2020-08-15,Tamil Nadu,Ramanathapuram,3957,3378,86,0,23389.0
2020-08-16,Tamil Nadu,Ramanathapuram,4015,3429,87,0,23389.0
2020-08-17,Tamil Nadu,Ramanathapuram,4064,3473,89,0,23389.0
2020-08-18,Tamil Nadu,Ramanathapuram,4113,3528,91,0,23389.0
2020-08-19,Tamil Nadu,Ramanathapuram,4149,3588,94,0,23389.0
2020-08-20,Tamil Nadu,Ramanathapuram,4199,3623,94,0,23389.0
2020-08-21,Tamil Nadu,Ramanathapuram,4307,3660,94,0,23389.0
2020-08-22,Tamil Nadu,Ramanathapuram,4347,3720,97,0,23389.0
2020-08-23,Tamil Nadu,Ramanathapuram,4385,3781,97,0,23389.0
2020-08-24,Tamil Nadu,Ramanathapuram,4415,3839,97,0,23389.0
2020-08-25,Tamil Nadu,Ramanathapuram,4484,3897,98,0,23389.0
2020-08-26,Tamil Nadu,Ramanathapuram,4523,3955,101,0,23389.0
2020-08-27,Tamil Nadu,Ramanathapuram,4599,3992,101,0,23389.0
2020-08-28,Tamil Nadu,Ramanathapuram,4628,4040,103,0,23389.0
2020-08-29,Tamil Nadu,Ramanathapuram,4665,4081,103,0,23389.0
2020-08-30,Tamil Nadu,Ramanathapuram,4687,4130,104,0,23389.0
2020-08-31,Tamil Nadu,Ramanathapuram,4718,4237,106,0,23389.0
2020-09-01,Tamil Nadu,Ramanathapuram,4758,4277,107,0,23389.0
2020-09-02,Tamil Nadu,Ramanathapuram,4815,4315,107,0,23389.0
2020-09-03,Tamil Nadu,Ramanathapuram,4889,4345,107,0,23389.0
2020-09-04,Tamil Nadu,Ramanathapuram,4911,4415,107,0,23389.0
2020-09-05,Tamil Nadu,Ramanathapuram,4931,4454,108,0,23389.0
2020-09-06,Tamil Nadu,Ramanathapuram,4974,4531,109,0,23389.0
2020-09-07,Tamil Nadu,Ramanathapuram,5007,4561,109,0,23389.0
2020-09-08,Tamil Nadu,Ramanathapuram,5039,4595,110,0,23389.0
2020-09-09,Tamil Nadu,Ramanathapuram,5079,4619,111,0,23389.0
2020-09-10,Tamil Nadu,Ramanathapuram,5132,4648,112,0,23389.0
2020-09-11,Tamil Nadu,Ramanathapuram,5142,4648,113,0,23389.0
2020-09-12,Tamil Nadu,Ramanathapuram,5165,4751,113,0,23389.0
2020-09-13,Tamil Nadu,Ramanathapuram,5181,4824,113,0,23389.0
2020-09-14,Tamil Nadu,Ramanathapuram,5207,4846,114,0,23389.0
2020-09-15,Tamil Nadu,Ramanathapuram,5233,4849,114,0,23389.0
2020-09-16,Tamil Nadu,Ramanathapuram,5269,4879,114,0,23389.0
2020-09-17,Tamil Nadu,Ramanathapuram,5299,4913,114,0,23389.0
2020-09-18,Tamil Nadu,Ramanathapuram,5332,4945,114,0,23389.0
2020-09-19,Tamil Nadu,Ramanathapuram,5363,4985,115,0,23389.0
2020-09-20,Tamil Nadu,Ramanathapuram,5378,5038,115,0,23389.0
2020-09-21,Tamil Nadu,Ramanathapuram,5393,5048,115,0,23389.0
2020-09-22,Tamil Nadu,Ramanathapuram,5401,5071,115,0,23389.0
2020-09-23,Tamil Nadu,Ramanathapuram,5411,5088,118,0,23389.0
2020-09-24,Tamil Nadu,Ramanathapuram,5427,5115,118,0,23389.0
2020-09-25,Tamil Nadu,Ramanathapuram,5445,5141,118,0,23389.0
2020-09-26,Tamil Nadu,Ramanathapuram,5467,5178,119,0,23389.0
2020-09-27,Tamil Nadu,Ramanathapuram,5478,5205,119,0,23389.0
2020-09-28,Tamil Nadu,Ramanathapuram,5508,5235,119,0,23389.0
2020-09-29,Tamil Nadu,Ramanathapuram,5530,5261,119,0,23389.0
2020-09-30,Tamil Nadu,Ramanathapuram,5542,5274,119,0,23389.0
2020-10-01,Tamil Nadu,Ramanathapuram,5551,5293,119,0,23389.0
2020-10-02,Tamil Nadu,Ramanathapuram,5568,5298,119,0,23389.0
2020-10-03,Tamil Nadu,Ramanathapuram,5587,5310,119,0,23389.0
2020-10-04,Tamil Nadu,Ramanathapuram,5609,5329,120,0,23389.0
2020-10-05,Tamil Nadu,Ramanathapuram,5629,5346,120,0,23389.0
2020-10-06,Tamil Nadu,Ramanathapuram,5647,5365,120,0,23389.0
2020-10-07,Tamil Nadu,Ramanathapuram,5664,5375,120,0,23389.0
2020-10-08,Tamil Nadu,Ramanathapuram,5678,5402,120,0,23389.0
2020-10-09,Tamil Nadu,Ramanathapuram,5700,5422,123,0,23389.0
2020-10-10,Tamil Nadu,Ramanathapuram,5718,5431,123,0,23389.0
2020-10-11,Tamil Nadu,Ramanathapuram,5744,5435,123,0,23389.0
2020-10-12,Tamil Nadu,Ramanathapuram,5760,5452,124,0,23389.0
2020-10-13,Tamil Nadu,Ramanathapuram,5777,5467,124,0,23389.0
2020-10-14,Tamil Nadu,Ramanathapuram,5797,5489,124,0,23389.0
2020-10-15,Tamil Nadu,Ramanathapuram,5817,5504,124,0,23389.0
2020-10-16,Tamil Nadu,Ramanathapuram,5835,5530,124,0,23389.0
2020-10-17,Tamil Nadu,Ramanathapuram,5849,5560,124,0,23389.0
2020-10-18,Tamil Nadu,Ramanathapuram,5863,5572,125,0,23389.0
2020-10-19,Tamil Nadu,Ramanathapuram,5887,5585,125,0,23389.0
2020-10-20,Tamil Nadu,Ramanathapuram,5900,5606,127,0,23389.0
2020-10-21,Tamil Nadu,Ramanathapuram,5913,5615,127,0,23389.0
2020-10-22,Tamil Nadu,Ramanathapuram,5924,5628,127,0,23389.0
2020-10-23,Tamil Nadu,Ramanathapuram,5930,5641,127,0,23389.0
2020-10-24,Tamil Nadu,Ramanathapuram,5943,5654,127,0,23389.0
2020-10-25,Tamil Nadu,Ramanathapuram,5955,5682,127,0,23389.0
2020-10-26,Tamil Nadu,Ramanathapuram,5965,5699,128,0,23389.0
2020-10-27,Tamil Nadu,Ramanathapuram,5967,5722,129,0,23389.0
2020-10-28,Tamil Nadu,Ramanathapuram,5977,5739,129,0,23389.0
2020-10-29,Tamil Nadu,Ramanathapuram,5977,5739,129,0,23389.0
