Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Tamil Nadu,Salem,31,6,0,0,
2020-04-27,Tamil Nadu,Salem,31,6,0,0,
2020-04-28,Tamil Nadu,Salem,31,16,0,0,
2020-04-29,Tamil Nadu,Salem,31,20,0,0,
2020-04-30,Tamil Nadu,Salem,32,23,0,0,
2020-05-01,Tamil Nadu,Salem,32,24,0,0,
2020-05-02,Tamil Nadu,Salem,33,24,0,0,
2020-05-03,Tamil Nadu,Salem,33,24,0,0,
2020-05-04,Tamil Nadu,Salem,33,24,0,0,
2020-05-05,Tamil Nadu,Salem,34,24,0,0,
2020-05-06,Tamil Nadu,Salem,35,24,0,0,
2020-05-07,Tamil Nadu,Salem,35,24,0,0,
2020-05-08,Tamil Nadu,Salem,35,28,0,0,
2020-05-09,Tamil Nadu,Salem,35,28,0,0,
2020-05-10,Tamil Nadu,Salem,35,29,0,0,
2020-05-11,Tamil Nadu,Salem,35,29,0,0,
2020-05-12,Tamil Nadu,Salem,35,30,0,0,
2020-05-13,Tamil Nadu,Salem,35,30,0,0,
2020-05-14,Tamil Nadu,Salem,35,30,0,0,
2020-05-15,Tamil Nadu,Salem,35,35,0,0,
2020-05-16,Tamil Nadu,Salem,35,35,0,0,
2020-05-17,Tamil Nadu,Salem,44,35,0,0,
2020-05-18,Tamil Nadu,Salem,49,35,0,0,
2020-05-19,Tamil Nadu,Salem,49,35,0,0,
2020-05-20,Tamil Nadu,Salem,49,35,0,0,
2020-05-21,Tamil Nadu,Salem,49,35,0,0,
2020-05-22,Tamil Nadu,Salem,49,35,0,0,
2020-05-23,Tamil Nadu,Salem,52,35,0,0,
2020-05-24,Tamil Nadu,Salem,52,35,0,0,
2020-05-25,Tamil Nadu,Salem,58,35,0,0,
2020-05-26,Tamil Nadu,Salem,68,35,0,0,
2020-05-27,Tamil Nadu,Salem,68,35,0,0,
2020-05-28,Tamil Nadu,Salem,107,40,0,0,
2020-05-29,Tamil Nadu,Salem,107,45,0,0,
2020-05-30,Tamil Nadu,Salem,146,45,0,0,
2020-05-31,Tamil Nadu,Salem,195,53,0,0,
2020-06-01,Tamil Nadu,Salem,211,53,0,0,
2020-06-02,Tamil Nadu,Salem,220,54,0,0,
2020-06-03,Tamil Nadu,Salem,223,54,0,0,
2020-06-04,Tamil Nadu,Salem,209,64,0,0,
2020-06-05,Tamil Nadu,Salem,216,68,0,0,
2020-06-06,Tamil Nadu,Salem,213,92,0,0,
2020-06-07,Tamil Nadu,Salem,216,147,0,0,22751.0
2020-06-08,Tamil Nadu,Salem,221,150,0,0,22751.0
2020-06-09,Tamil Nadu,Salem,211,173,0,0,22751.0
2020-06-10,Tamil Nadu,Salem,213,173,0,0,22751.0
2020-06-11,Tamil Nadu,Salem,222,182,0,0,22751.0
2020-06-12,Tamil Nadu,Salem,217,186,0,0,22751.0
2020-06-13,Tamil Nadu,Salem,222,187,0,0,22751.0
2020-06-14,Tamil Nadu,Salem,229,189,0,0,22751.0
2020-06-15,Tamil Nadu,Salem,226,189,0,0,22751.0
2020-06-16,Tamil Nadu,Salem,231,190,0,0,22751.0
2020-06-17,Tamil Nadu,Salem,256,193,0,0,22751.0
2020-06-18,Tamil Nadu,Salem,271,195,0,0,22751.0
2020-06-19,Tamil Nadu,Salem,280,200,0,0,30125.0
2020-06-20,Tamil Nadu,Salem,323,201,0,0,31019.0
2020-06-21,Tamil Nadu,Salem,335,204,0,0,31019.0
2020-06-22,Tamil Nadu,Salem,352,204,0,0,31019.0
2020-06-23,Tamil Nadu,Salem,347,210,1,0,31019.0
2020-06-24,Tamil Nadu,Salem,404,215,2,0,31019.0
2020-06-25,Tamil Nadu,Salem,494,221,2,0,31019.0
2020-06-26,Tamil Nadu,Salem,599,229,2,0,31019.0
2020-06-27,Tamil Nadu,Salem,604,238,2,0,31019.0
2020-06-28,Tamil Nadu,Salem,710,262,2,0,31019.0
2020-06-29,Tamil Nadu,Salem,753,268,2,0,31019.0
2020-06-30,Tamil Nadu,Salem,780,284,3,0,31019.0
2020-07-01,Tamil Nadu,Salem,946,288,3,0,31019.0
2020-07-02,Tamil Nadu,Salem,1034,288,3,0,31019.0
2020-07-03,Tamil Nadu,Salem,1127,311,4,0,31019.0
2020-07-04,Tamil Nadu,Salem,1197,337,5,0,31019.0
2020-07-05,Tamil Nadu,Salem,1247,400,5,0,31019.0
2020-07-06,Tamil Nadu,Salem,1288,413,5,0,31019.0
2020-07-07,Tamil Nadu,Salem,1340,466,5,0,31019.0
2020-07-08,Tamil Nadu,Salem,1409,576,6,0,31019.0
2020-07-09,Tamil Nadu,Salem,1502,613,7,0,31019.0
2020-07-10,Tamil Nadu,Salem,1630,667,7,0,31019.0
2020-07-11,Tamil Nadu,Salem,1767,703,7,0,31019.0
2020-07-12,Tamil Nadu,Salem,1867,872,7,0,31019.0
2020-07-13,Tamil Nadu,Salem,1967,970,9,0,31019.0
2020-07-14,Tamil Nadu,Salem,2026,1024,9,0,31019.0
2020-07-15,Tamil Nadu,Salem,2053,1055,9,0,31019.0
2020-07-16,Tamil Nadu,Salem,2123,1129,11,0,31019.0
2020-07-17,Tamil Nadu,Salem,2186,1148,11,0,31019.0
2020-07-18,Tamil Nadu,Salem,2234,1308,14,0,31019.0
2020-07-19,Tamil Nadu,Salem,2295,1379,18,0,31019.0
2020-07-20,Tamil Nadu,Salem,2374,1505,19,0,31019.0
2020-07-21,Tamil Nadu,Salem,2459,1606,19,0,31019.0
2020-07-22,Tamil Nadu,Salem,2560,1697,19,0,31019.0
2020-07-23,Tamil Nadu,Salem,2609,1874,20,0,79660.0
2020-07-24,Tamil Nadu,Salem,2732,1938,21,0,79660.0
2020-07-25,Tamil Nadu,Salem,2845,2045,22,0,79660.0
2020-07-26,Tamil Nadu,Salem,3001,2084,23,0,79660.0
2020-07-27,Tamil Nadu,Salem,3185,2185,25,0,79660.0
2020-07-28,Tamil Nadu,Salem,3309,2248,27,0,79660.0
2020-07-29,Tamil Nadu,Salem,3428,2313,27,0,79660.0
2020-07-30,Tamil Nadu,Salem,3498,2416,30,0,79660.0
2020-07-31,Tamil Nadu,Salem,3622,2494,31,0,79660.0
2020-08-01,Tamil Nadu,Salem,3670,2545,33,0,79660.0
2020-08-02,Tamil Nadu,Salem,3804,2605,33,0,79660.0
2020-08-03,Tamil Nadu,Salem,3868,2686,36,0,79660.0
2020-08-04,Tamil Nadu,Salem,3931,2755,39,0,79660.0
2020-08-05,Tamil Nadu,Salem,4088,2881,41,0,79660.0
2020-08-06,Tamil Nadu,Salem,4251,3099,43,0,79660.0
2020-08-07,Tamil Nadu,Salem,4420,3202,49,0,79660.0
2020-08-08,Tamil Nadu,Salem,4458,3428,52,0,79660.0
2020-08-09,Tamil Nadu,Salem,4622,3492,52,0,79660.0
2020-08-10,Tamil Nadu,Salem,4744,3565,56,0,79660.0
2020-08-11,Tamil Nadu,Salem,4951,3639,58,0,79660.0
2020-08-12,Tamil Nadu,Salem,5170,3705,61,0,79660.0
2020-08-13,Tamil Nadu,Salem,5344,3764,66,0,79660.0
2020-08-14,Tamil Nadu,Salem,5537,3873,69,0,79660.0
2020-08-15,Tamil Nadu,Salem,5737,3973,70,0,79660.0
2020-08-16,Tamil Nadu,Salem,5917,4282,75,0,79660.0
2020-08-17,Tamil Nadu,Salem,6185,4364,77,0,79660.0
2020-08-18,Tamil Nadu,Salem,6471,4469,85,0,79660.0
2020-08-19,Tamil Nadu,Salem,6766,4707,85,0,79660.0
2020-08-20,Tamil Nadu,Salem,7123,4866,92,0,79660.0
2020-08-21,Tamil Nadu,Salem,7389,5047,98,0,79660.0
2020-08-22,Tamil Nadu,Salem,7679,5162,102,0,79660.0
2020-08-23,Tamil Nadu,Salem,7942,5393,110,0,79660.0
2020-08-24,Tamil Nadu,Salem,8214,5566,112,0,79660.0
2020-08-25,Tamil Nadu,Salem,8511,5783,115,0,79660.0
2020-08-26,Tamil Nadu,Salem,8966,6005,123,0,79660.0
2020-08-27,Tamil Nadu,Salem,9379,6222,126,0,79660.0
2020-08-28,Tamil Nadu,Salem,9815,6523,129,0,79660.0
2020-08-29,Tamil Nadu,Salem,10248,6882,134,0,79660.0
2020-08-30,Tamil Nadu,Salem,10583,7156,143,0,79660.0
2020-08-31,Tamil Nadu,Salem,11074,7546,146,0,79660.0
2020-09-01,Tamil Nadu,Salem,11412,7727,156,0,79660.0
2020-09-02,Tamil Nadu,Salem,11826,7942,160,0,79660.0
2020-09-03,Tamil Nadu,Salem,12043,8292,165,0,79660.0
2020-09-04,Tamil Nadu,Salem,12285,8585,170,0,79660.0
2020-09-05,Tamil Nadu,Salem,12535,8861,176,0,79660.0
2020-09-06,Tamil Nadu,Salem,12654,9380,182,0,79660.0
2020-09-07,Tamil Nadu,Salem,12839,9901,188,0,79660.0
2020-09-08,Tamil Nadu,Salem,13005,10453,194,0,79660.0
2020-09-09,Tamil Nadu,Salem,13284,11041,197,0,79660.0
2020-09-10,Tamil Nadu,Salem,13590,11608,204,0,79660.0
2020-09-11,Tamil Nadu,Salem,13888,11817,210,0,79660.0
2020-09-12,Tamil Nadu,Salem,14180,12042,218,0,79660.0
2020-09-13,Tamil Nadu,Salem,14475,12265,228,0,79660.0
2020-09-14,Tamil Nadu,Salem,14774,12498,231,0,79660.0
