Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Tamil Nadu,Tenkasi,35,2,0,0,
2020-04-27,Tamil Nadu,Tenkasi,35,2,0,0,
2020-04-28,Tamil Nadu,Tenkasi,35,2,0,0,
2020-04-29,Tamil Nadu,Tenkasi,35,5,0,0,
2020-04-30,Tamil Nadu,Tenkasi,35,5,0,0,
2020-05-01,Tamil Nadu,Tenkasi,35,8,0,0,
2020-05-02,Tamil Nadu,Tenkasi,35,11,0,0,
2020-05-03,Tamil Nadu,Tenkasi,37,11,0,0,
2020-05-04,Tamil Nadu,Tenkasi,46,12,0,0,
2020-05-05,Tamil Nadu,Tenkasi,47,12,0,0,
2020-05-06,Tamil Nadu,Tenkasi,48,12,0,0,
2020-05-07,Tamil Nadu,Tenkasi,48,15,0,0,
2020-05-08,Tamil Nadu,Tenkasi,49,16,0,0,
2020-05-09,Tamil Nadu,Tenkasi,49,16,0,0,
2020-05-10,Tamil Nadu,Tenkasi,49,21,0,0,
2020-05-11,Tamil Nadu,Tenkasi,49,21,0,0,
2020-05-12,Tamil Nadu,Tenkasi,50,30,0,0,
2020-05-13,Tamil Nadu,Tenkasi,50,32,0,0,
2020-05-14,Tamil Nadu,Tenkasi,54,34,0,0,
2020-05-15,Tamil Nadu,Tenkasi,56,34,0,0,
2020-05-16,Tamil Nadu,Tenkasi,61,35,0,0,
2020-05-17,Tamil Nadu,Tenkasi,64,40,0,0,
2020-05-18,Tamil Nadu,Tenkasi,70,40,0,0,
2020-05-19,Tamil Nadu,Tenkasi,72,44,0,0,
2020-05-20,Tamil Nadu,Tenkasi,75,48,0,0,
2020-05-21,Tamil Nadu,Tenkasi,83,50,0,0,
2020-05-22,Tamil Nadu,Tenkasi,83,51,0,0,
2020-05-23,Tamil Nadu,Tenkasi,85,52,0,0,
2020-05-24,Tamil Nadu,Tenkasi,85,52,0,0,
2020-05-25,Tamil Nadu,Tenkasi,85,52,0,0,
2020-05-26,Tamil Nadu,Tenkasi,85,53,0,0,
2020-05-27,Tamil Nadu,Tenkasi,85,54,0,0,
2020-05-28,Tamil Nadu,Tenkasi,85,56,0,0,
2020-05-29,Tamil Nadu,Tenkasi,85,61,0,0,
2020-05-30,Tamil Nadu,Tenkasi,86,61,0,0,
2020-05-31,Tamil Nadu,Tenkasi,86,63,0,0,
2020-06-01,Tamil Nadu,Tenkasi,88,65,0,0,
2020-06-02,Tamil Nadu,Tenkasi,90,68,0,0,
2020-06-03,Tamil Nadu,Tenkasi,94,73,0,0,
2020-06-04,Tamil Nadu,Tenkasi,96,77,0,0,
2020-06-05,Tamil Nadu,Tenkasi,98,77,0,0,
2020-06-06,Tamil Nadu,Tenkasi,100,85,0,0,
2020-06-07,Tamil Nadu,Tenkasi,103,85,0,0,7163.0
2020-06-08,Tamil Nadu,Tenkasi,106,88,0,0,7163.0
2020-06-09,Tamil Nadu,Tenkasi,106,88,0,0,7163.0
2020-06-10,Tamil Nadu,Tenkasi,106,88,0,0,7163.0
2020-06-11,Tamil Nadu,Tenkasi,111,88,0,0,7163.0
2020-06-12,Tamil Nadu,Tenkasi,115,89,0,0,7163.0
2020-06-13,Tamil Nadu,Tenkasi,118,90,0,0,7163.0
2020-06-14,Tamil Nadu,Tenkasi,134,90,0,0,7163.0
2020-06-15,Tamil Nadu,Tenkasi,144,90,0,0,7163.0
2020-06-16,Tamil Nadu,Tenkasi,157,93,0,0,7163.0
2020-06-17,Tamil Nadu,Tenkasi,162,97,0,0,7163.0
2020-06-18,Tamil Nadu,Tenkasi,196,98,0,0,7163.0
2020-06-19,Tamil Nadu,Tenkasi,210,98,0,0,11804.0
2020-06-20,Tamil Nadu,Tenkasi,218,107,0,0,11804.0
2020-06-21,Tamil Nadu,Tenkasi,241,108,0,0,11804.0
2020-06-22,Tamil Nadu,Tenkasi,261,108,0,0,11804.0
2020-06-23,Tamil Nadu,Tenkasi,272,110,0,0,11804.0
2020-06-24,Tamil Nadu,Tenkasi,277,110,0,0,11804.0
2020-06-25,Tamil Nadu,Tenkasi,286,110,0,0,11804.0
2020-06-26,Tamil Nadu,Tenkasi,294,111,0,0,11804.0
2020-06-27,Tamil Nadu,Tenkasi,303,111,0,0,11804.0
2020-06-28,Tamil Nadu,Tenkasi,332,111,0,0,11804.0
2020-06-29,Tamil Nadu,Tenkasi,335,153,0,0,11804.0
2020-06-30,Tamil Nadu,Tenkasi,347,179,0,0,11804.0
2020-07-01,Tamil Nadu,Tenkasi,368,182,0,0,11804.0
2020-07-02,Tamil Nadu,Tenkasi,387,204,1,0,11804.0
2020-07-03,Tamil Nadu,Tenkasi,391,207,1,0,11804.0
2020-07-04,Tamil Nadu,Tenkasi,408,207,1,0,11804.0
2020-07-05,Tamil Nadu,Tenkasi,448,207,1,0,11804.0
2020-07-06,Tamil Nadu,Tenkasi,468,256,1,0,11804.0
2020-07-07,Tamil Nadu,Tenkasi,530,256,1,0,11804.0
2020-07-08,Tamil Nadu,Tenkasi,558,299,1,0,11804.0
2020-07-09,Tamil Nadu,Tenkasi,589,299,1,0,11804.0
2020-07-10,Tamil Nadu,Tenkasi,598,299,1,0,11804.0
2020-07-11,Tamil Nadu,Tenkasi,665,299,1,0,11804.0
2020-07-12,Tamil Nadu,Tenkasi,683,325,1,0,11804.0
2020-07-13,Tamil Nadu,Tenkasi,721,325,2,0,11804.0
2020-07-14,Tamil Nadu,Tenkasi,824,325,3,0,11804.0
2020-07-15,Tamil Nadu,Tenkasi,842,325,3,0,11804.0
2020-07-16,Tamil Nadu,Tenkasi,859,325,3,0,11804.0
2020-07-17,Tamil Nadu,Tenkasi,926,325,3,0,11804.0
2020-07-18,Tamil Nadu,Tenkasi,1019,336,3,0,11804.0
2020-07-19,Tamil Nadu,Tenkasi,1096,415,3,0,11804.0
2020-07-20,Tamil Nadu,Tenkasi,1200,433,3,0,11804.0
2020-07-21,Tamil Nadu,Tenkasi,1259,435,3,0,11804.0
2020-07-22,Tamil Nadu,Tenkasi,1344,450,3,0,11804.0
2020-07-23,Tamil Nadu,Tenkasi,1412,450,7,0,26338.0
2020-07-24,Tamil Nadu,Tenkasi,1506,450,9,0,26338.0
2020-07-25,Tamil Nadu,Tenkasi,1607,837,10,0,26338.0
2020-07-26,Tamil Nadu,Tenkasi,1682,869,12,0,26338.0
2020-07-27,Tamil Nadu,Tenkasi,1794,869,15,0,26338.0
2020-07-28,Tamil Nadu,Tenkasi,1844,937,15,0,26338.0
2020-07-29,Tamil Nadu,Tenkasi,1911,944,16,0,26338.0
2020-07-30,Tamil Nadu,Tenkasi,1968,962,19,0,26338.0
2020-07-31,Tamil Nadu,Tenkasi,2032,986,19,0,26338.0
2020-08-01,Tamil Nadu,Tenkasi,2210,1173,23,0,26338.0
2020-08-02,Tamil Nadu,Tenkasi,2315,1191,27,0,26338.0
2020-08-03,Tamil Nadu,Tenkasi,2397,1236,32,0,26338.0
2020-08-04,Tamil Nadu,Tenkasi,2443,1622,36,0,26338.0
2020-08-05,Tamil Nadu,Tenkasi,2564,1662,36,0,26338.0
2020-08-06,Tamil Nadu,Tenkasi,2629,1720,39,0,26338.0
2020-08-07,Tamil Nadu,Tenkasi,2748,1828,43,0,26338.0
2020-08-08,Tamil Nadu,Tenkasi,2952,1876,44,0,26338.0
2020-08-09,Tamil Nadu,Tenkasi,3132,1915,45,0,26338.0
2020-08-10,Tamil Nadu,Tenkasi,3246,1964,50,0,26338.0
2020-08-11,Tamil Nadu,Tenkasi,3382,2026,54,0,26338.0
2020-08-12,Tamil Nadu,Tenkasi,3481,2055,57,0,26338.0
2020-08-13,Tamil Nadu,Tenkasi,3632,2152,61,0,26338.0
2020-08-14,Tamil Nadu,Tenkasi,3725,2313,65,0,26338.0
2020-08-15,Tamil Nadu,Tenkasi,3814,2380,67,0,26338.0
2020-08-16,Tamil Nadu,Tenkasi,3905,2650,69,0,26338.0
2020-08-17,Tamil Nadu,Tenkasi,4052,2779,72,0,26338.0
2020-08-18,Tamil Nadu,Tenkasi,4146,2899,74,0,26338.0
2020-08-19,Tamil Nadu,Tenkasi,4214,3134,78,0,26338.0
2020-08-20,Tamil Nadu,Tenkasi,4355,3200,83,0,26338.0
2020-08-21,Tamil Nadu,Tenkasi,4473,3261,86,0,26338.0
2020-08-22,Tamil Nadu,Tenkasi,4603,3359,88,0,26338.0
2020-08-23,Tamil Nadu,Tenkasi,4751,3620,91,0,26338.0
2020-08-24,Tamil Nadu,Tenkasi,4840,3863,94,0,26338.0
2020-08-25,Tamil Nadu,Tenkasi,4926,3916,96,0,26338.0
