Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Tamil Nadu,Thanjavur,54,23,0,0,
2020-04-27,Tamil Nadu,Thanjavur,54,23,0,0,
2020-04-28,Tamil Nadu,Thanjavur,54,24,0,0,
2020-04-29,Tamil Nadu,Thanjavur,54,33,0,0,
2020-04-30,Tamil Nadu,Thanjavur,54,35,0,0,
2020-05-01,Tamil Nadu,Thanjavur,56,35,0,0,
2020-05-02,Tamil Nadu,Thanjavur,56,38,0,0,
2020-05-03,Tamil Nadu,Thanjavur,56,41,0,0,
2020-05-04,Tamil Nadu,Thanjavur,57,42,0,0,
2020-05-05,Tamil Nadu,Thanjavur,57,43,0,0,
2020-05-06,Tamil Nadu,Thanjavur,58,43,0,0,
2020-05-07,Tamil Nadu,Thanjavur,60,43,0,0,
2020-05-08,Tamil Nadu,Thanjavur,60,44,0,0,
2020-05-09,Tamil Nadu,Thanjavur,61,45,0,0,
2020-05-10,Tamil Nadu,Thanjavur,61,47,0,0,
2020-05-11,Tamil Nadu,Thanjavur,64,47,0,0,
2020-05-12,Tamil Nadu,Thanjavur,64,47,0,0,
2020-05-13,Tamil Nadu,Thanjavur,65,47,0,0,
2020-05-14,Tamil Nadu,Thanjavur,70,47,0,0,
2020-05-15,Tamil Nadu,Thanjavur,71,53,0,0,
2020-05-16,Tamil Nadu,Thanjavur,72,54,0,0,
2020-05-17,Tamil Nadu,Thanjavur,72,62,0,0,
2020-05-18,Tamil Nadu,Thanjavur,72,62,0,0,
2020-05-19,Tamil Nadu,Thanjavur,75,66,0,0,
2020-05-20,Tamil Nadu,Thanjavur,76,66,0,0,
2020-05-21,Tamil Nadu,Thanjavur,80,66,0,0,
2020-05-22,Tamil Nadu,Thanjavur,80,66,0,0,
2020-05-23,Tamil Nadu,Thanjavur,80,67,0,0,
2020-05-24,Tamil Nadu,Thanjavur,83,67,0,0,
2020-05-25,Tamil Nadu,Thanjavur,84,67,0,0,
2020-05-26,Tamil Nadu,Thanjavur,84,67,0,0,
2020-05-27,Tamil Nadu,Thanjavur,85,69,0,0,
2020-05-28,Tamil Nadu,Thanjavur,86,71,0,0,
2020-05-29,Tamil Nadu,Thanjavur,86,76,0,0,
2020-05-30,Tamil Nadu,Thanjavur,88,76,0,0,
2020-05-31,Tamil Nadu,Thanjavur,89,77,0,0,
2020-06-01,Tamil Nadu,Thanjavur,93,77,0,0,
2020-06-02,Tamil Nadu,Thanjavur,96,79,0,0,
2020-06-03,Tamil Nadu,Thanjavur,102,80,0,0,
2020-06-04,Tamil Nadu,Thanjavur,103,83,0,0,
2020-06-05,Tamil Nadu,Thanjavur,104,85,0,0,
2020-06-06,Tamil Nadu,Thanjavur,106,85,0,0,
2020-06-07,Tamil Nadu,Thanjavur,113,88,0,0,17820.0
2020-06-08,Tamil Nadu,Thanjavur,117,89,0,0,17820.0
2020-06-09,Tamil Nadu,Thanjavur,125,89,0,0,17820.0
2020-06-10,Tamil Nadu,Thanjavur,127,90,0,0,17820.0
2020-06-11,Tamil Nadu,Thanjavur,133,89,0,0,17820.0
2020-06-12,Tamil Nadu,Thanjavur,140,91,0,0,17820.0
2020-06-13,Tamil Nadu,Thanjavur,150,96,1,0,17820.0
2020-06-14,Tamil Nadu,Thanjavur,155,101,1,0,17820.0
2020-06-15,Tamil Nadu,Thanjavur,167,106,1,0,17820.0
2020-06-16,Tamil Nadu,Thanjavur,171,106,1,0,17820.0
2020-06-17,Tamil Nadu,Thanjavur,183,111,1,0,17820.0
2020-06-18,Tamil Nadu,Thanjavur,204,117,1,0,17820.0
2020-06-19,Tamil Nadu,Thanjavur,213,118,1,0,23680.0
2020-06-20,Tamil Nadu,Thanjavur,223,124,1,0,24097.0
2020-06-21,Tamil Nadu,Thanjavur,272,128,1,0,24097.0
2020-06-22,Tamil Nadu,Thanjavur,308,130,1,0,24097.0
2020-06-23,Tamil Nadu,Thanjavur,319,134,1,0,24097.0
2020-06-24,Tamil Nadu,Thanjavur,335,150,1,0,24097.0
2020-06-25,Tamil Nadu,Thanjavur,357,153,1,0,24097.0
2020-06-26,Tamil Nadu,Thanjavur,382,156,1,0,24097.0
2020-06-27,Tamil Nadu,Thanjavur,396,169,1,0,24097.0
2020-06-28,Tamil Nadu,Thanjavur,420,176,1,0,24097.0
2020-06-29,Tamil Nadu,Thanjavur,424,193,1,0,24097.0
2020-06-30,Tamil Nadu,Thanjavur,448,206,1,0,24097.0
2020-07-01,Tamil Nadu,Thanjavur,455,227,1,0,24097.0
2020-07-02,Tamil Nadu,Thanjavur,465,274,2,0,24097.0
2020-07-03,Tamil Nadu,Thanjavur,478,293,2,0,24097.0
2020-07-04,Tamil Nadu,Thanjavur,481,310,2,0,24097.0
2020-07-05,Tamil Nadu,Thanjavur,496,310,2,0,24097.0
2020-07-06,Tamil Nadu,Thanjavur,499,325,2,0,24097.0
2020-07-07,Tamil Nadu,Thanjavur,533,359,2,0,24097.0
2020-07-08,Tamil Nadu,Thanjavur,544,371,3,0,24097.0
2020-07-09,Tamil Nadu,Thanjavur,576,384,5,0,24097.0
2020-07-10,Tamil Nadu,Thanjavur,625,395,5,0,24097.0
2020-07-11,Tamil Nadu,Thanjavur,652,409,5,0,24097.0
2020-07-12,Tamil Nadu,Thanjavur,687,415,6,0,24097.0
2020-07-13,Tamil Nadu,Thanjavur,709,421,9,0,24097.0
2020-07-14,Tamil Nadu,Thanjavur,738,422,11,0,24097.0
2020-07-15,Tamil Nadu,Thanjavur,809,439,12,0,24097.0
2020-07-16,Tamil Nadu,Thanjavur,835,469,13,0,24097.0
2020-07-17,Tamil Nadu,Thanjavur,952,486,13,0,24097.0
2020-07-18,Tamil Nadu,Thanjavur,1131,508,16,0,24097.0
2020-07-19,Tamil Nadu,Thanjavur,1161,529,16,0,24097.0
2020-07-20,Tamil Nadu,Thanjavur,1245,564,16,0,24097.0
2020-07-21,Tamil Nadu,Thanjavur,1316,589,16,0,24097.0
2020-07-22,Tamil Nadu,Thanjavur,1422,642,16,0,24097.0
2020-07-23,Tamil Nadu,Thanjavur,1542,686,17,0,67445.0
2020-07-24,Tamil Nadu,Thanjavur,1730,936,17,0,67445.0
2020-07-25,Tamil Nadu,Thanjavur,1892,943,17,0,67445.0
2020-07-26,Tamil Nadu,Thanjavur,2045,1064,18,0,67445.0
2020-07-27,Tamil Nadu,Thanjavur,2160,1175,18,0,67445.0
2020-07-28,Tamil Nadu,Thanjavur,2366,1346,20,0,67445.0
2020-07-29,Tamil Nadu,Thanjavur,2554,1460,20,0,67445.0
2020-07-30,Tamil Nadu,Thanjavur,2651,1534,26,0,67445.0
2020-07-31,Tamil Nadu,Thanjavur,2748,1606,28,0,67445.0
2020-08-01,Tamil Nadu,Thanjavur,2915,1894,28,0,67445.0
2020-08-02,Tamil Nadu,Thanjavur,3008,2006,29,0,67445.0
2020-08-03,Tamil Nadu,Thanjavur,3154,2147,31,0,67445.0
2020-08-04,Tamil Nadu,Thanjavur,3243,2347,32,0,67445.0
2020-08-05,Tamil Nadu,Thanjavur,3322,2476,34,0,67445.0
2020-08-06,Tamil Nadu,Thanjavur,3484,2567,36,0,67445.0
2020-08-07,Tamil Nadu,Thanjavur,3701,2634,39,0,67445.0
2020-08-08,Tamil Nadu,Thanjavur,3934,2715,42,0,67445.0
2020-08-09,Tamil Nadu,Thanjavur,4089,2756,45,0,67445.0
2020-08-10,Tamil Nadu,Thanjavur,4215,2889,49,0,67445.0
2020-08-11,Tamil Nadu,Thanjavur,4346,2974,55,0,67445.0
2020-08-12,Tamil Nadu,Thanjavur,4406,3169,55,0,67445.0
2020-08-13,Tamil Nadu,Thanjavur,4561,3356,59,0,67445.0
2020-08-14,Tamil Nadu,Thanjavur,4652,3498,61,0,67445.0
2020-08-15,Tamil Nadu,Thanjavur,4764,3614,68,0,67445.0
2020-08-16,Tamil Nadu,Thanjavur,4888,3808,73,0,67445.0
2020-08-17,Tamil Nadu,Thanjavur,5000,3999,75,0,67445.0
2020-08-18,Tamil Nadu,Thanjavur,5130,4082,80,0,67445.0
2020-08-19,Tamil Nadu,Thanjavur,5245,4338,82,0,67445.0
2020-08-20,Tamil Nadu,Thanjavur,5358,4415,84,0,67445.0
2020-08-21,Tamil Nadu,Thanjavur,5457,4491,86,0,67445.0
2020-08-22,Tamil Nadu,Thanjavur,5566,4573,88,0,67445.0
2020-08-23,Tamil Nadu,Thanjavur,5682,4755,91,0,67445.0
2020-08-24,Tamil Nadu,Thanjavur,5796,4821,95,0,67445.0
2020-08-25,Tamil Nadu,Thanjavur,5871,4973,101,0,67445.0
2020-08-26,Tamil Nadu,Thanjavur,5986,5085,106,0,67445.0
2020-08-27,Tamil Nadu,Thanjavur,6108,5209,107,0,67445.0
2020-08-28,Tamil Nadu,Thanjavur,6238,5347,109,0,67445.0
2020-08-29,Tamil Nadu,Thanjavur,6373,5450,111,0,67445.0
2020-08-30,Tamil Nadu,Thanjavur,6494,5543,114,0,67445.0
2020-08-31,Tamil Nadu,Thanjavur,6610,5636,116,0,67445.0
2020-09-01,Tamil Nadu,Thanjavur,6737,5762,117,0,67445.0
2020-09-02,Tamil Nadu,Thanjavur,6886,5785,117,0,67445.0
2020-09-03,Tamil Nadu,Thanjavur,7026,5918,119,0,67445.0
2020-09-04,Tamil Nadu,Thanjavur,7191,6090,119,0,67445.0
2020-09-05,Tamil Nadu,Thanjavur,7305,6181,120,0,67445.0
2020-09-06,Tamil Nadu,Thanjavur,7450,6356,121,0,67445.0
2020-09-07,Tamil Nadu,Thanjavur,7572,6368,123,0,67445.0
2020-09-08,Tamil Nadu,Thanjavur,7691,6554,123,0,67445.0
2020-09-09,Tamil Nadu,Thanjavur,7822,6777,124,0,67445.0
2020-09-10,Tamil Nadu,Thanjavur,7906,6974,126,0,67445.0
2020-09-11,Tamil Nadu,Thanjavur,8051,7145,128,0,67445.0
2020-09-12,Tamil Nadu,Thanjavur,8192,7249,128,0,67445.0
2020-09-13,Tamil Nadu,Thanjavur,8340,7335,128,0,67445.0
2020-09-14,Tamil Nadu,Thanjavur,8466,7446,130,0,67445.0
2020-09-15,Tamil Nadu,Thanjavur,8626,7497,132,0,67445.0
2020-09-16,Tamil Nadu,Thanjavur,8751,7652,135,0,67445.0
2020-09-17,Tamil Nadu,Thanjavur,8899,7742,138,0,67445.0
2020-09-18,Tamil Nadu,Thanjavur,9063,7892,140,0,67445.0
2020-09-19,Tamil Nadu,Thanjavur,9205,7990,142,0,67445.0
2020-09-20,Tamil Nadu,Thanjavur,9371,8089,144,0,67445.0
2020-09-21,Tamil Nadu,Thanjavur,9495,8204,148,0,67445.0
2020-09-22,Tamil Nadu,Thanjavur,9650,8281,151,0,67445.0
2020-09-23,Tamil Nadu,Thanjavur,9836,8419,157,0,67445.0
2020-09-24,Tamil Nadu,Thanjavur,10026,8523,159,0,67445.0
2020-09-25,Tamil Nadu,Thanjavur,10181,8692,161,0,67445.0
2020-09-26,Tamil Nadu,Thanjavur,10369,8966,167,0,67445.0
2020-09-27,Tamil Nadu,Thanjavur,10551,9162,169,0,67445.0
2020-09-28,Tamil Nadu,Thanjavur,10733,9392,172,0,67445.0
2020-09-29,Tamil Nadu,Thanjavur,10922,9466,174,0,67445.0
2020-09-30,Tamil Nadu,Thanjavur,11194,9503,178,0,67445.0
2020-10-01,Tamil Nadu,Thanjavur,11427,9538,180,0,67445.0
2020-10-02,Tamil Nadu,Thanjavur,11650,9721,183,0,67445.0
2020-10-03,Tamil Nadu,Thanjavur,11900,10056,184,0,67445.0
2020-10-04,Tamil Nadu,Thanjavur,12143,10367,185,0,67445.0
2020-10-05,Tamil Nadu,Thanjavur,12394,10766,187,0,67445.0
2020-10-06,Tamil Nadu,Thanjavur,12616,11110,188,0,67445.0
2020-10-07,Tamil Nadu,Thanjavur,12863,11405,190,0,67445.0
2020-10-08,Tamil Nadu,Thanjavur,13108,11670,195,0,67445.0
2020-10-09,Tamil Nadu,Thanjavur,13348,11931,196,0,67445.0
2020-10-10,Tamil Nadu,Thanjavur,13541,12285,199,0,67445.0
2020-10-11,Tamil Nadu,Thanjavur,13719,12571,201,0,67445.0
2020-10-12,Tamil Nadu,Thanjavur,13864,12888,203,0,67445.0
2020-10-13,Tamil Nadu,Thanjavur,13984,13052,205,0,67445.0
2020-10-14,Tamil Nadu,Thanjavur,14084,13233,207,0,67445.0
2020-10-15,Tamil Nadu,Thanjavur,14184,13310,208,0,67445.0
2020-10-16,Tamil Nadu,Thanjavur,14287,13409,210,0,67445.0
2020-10-17,Tamil Nadu,Thanjavur,14389,13540,210,0,67445.0
2020-10-18,Tamil Nadu,Thanjavur,14479,13698,211,0,67445.0
2020-10-19,Tamil Nadu,Thanjavur,14560,13817,212,0,67445.0
2020-10-20,Tamil Nadu,Thanjavur,14649,13925,212,0,67445.0
2020-10-21,Tamil Nadu,Thanjavur,14715,14042,213,0,67445.0
2020-10-22,Tamil Nadu,Thanjavur,14790,14136,215,0,67445.0
2020-10-23,Tamil Nadu,Thanjavur,14865,14217,215,0,67445.0
2020-10-24,Tamil Nadu,Thanjavur,14928,14310,216,0,67445.0
2020-10-25,Tamil Nadu,Thanjavur,14991,14400,216,0,67445.0
2020-10-26,Tamil Nadu,Thanjavur,15056,14472,216,0,67445.0
2020-10-27,Tamil Nadu,Thanjavur,15120,14573,216,0,67445.0
2020-10-28,Tamil Nadu,Thanjavur,15172,14645,216,0,67445.0
2020-10-29,Tamil Nadu,Thanjavur,15172,14645,216,0,67445.0
