Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Tamil Nadu,Thiruvallur,54,14,0,0,
2020-04-27,Tamil Nadu,Thiruvallur,54,14,0,0,
2020-04-28,Tamil Nadu,Thiruvallur,54,29,0,0,
2020-04-29,Tamil Nadu,Thiruvallur,55,30,0,0,
2020-04-30,Tamil Nadu,Thiruvallur,56,30,0,0,
2020-05-01,Tamil Nadu,Thiruvallur,62,44,0,0,
2020-05-02,Tamil Nadu,Thiruvallur,70,45,0,0,
2020-05-03,Tamil Nadu,Thiruvallur,72,45,0,0,
2020-05-04,Tamil Nadu,Thiruvallur,81,46,0,0,
2020-05-05,Tamil Nadu,Thiruvallur,101,49,0,0,
2020-05-06,Tamil Nadu,Thiruvallur,135,50,0,0,
2020-05-07,Tamil Nadu,Thiruvallur,198,50,1,0,
2020-05-08,Tamil Nadu,Thiruvallur,273,53,1,0,
2020-05-09,Tamil Nadu,Thiruvallur,299,61,1,0,
2020-05-10,Tamil Nadu,Thiruvallur,346,63,2,0,
2020-05-11,Tamil Nadu,Thiruvallur,443,64,2,0,
2020-05-12,Tamil Nadu,Thiruvallur,470,66,3,0,
2020-05-13,Tamil Nadu,Thiruvallur,495,82,3,0,
2020-05-14,Tamil Nadu,Thiruvallur,495,82,3,0,
2020-05-15,Tamil Nadu,Thiruvallur,516,84,3,0,
2020-05-16,Tamil Nadu,Thiruvallur,526,176,3,0,
2020-05-17,Tamil Nadu,Thiruvallur,544,178,5,0,
2020-05-18,Tamil Nadu,Thiruvallur,563,179,5,0,
2020-05-19,Tamil Nadu,Thiruvallur,571,185,6,0,
2020-05-20,Tamil Nadu,Thiruvallur,594,191,7,0,
2020-05-21,Tamil Nadu,Thiruvallur,636,215,7,0,
2020-05-22,Tamil Nadu,Thiruvallur,675,243,7,0,
2020-05-23,Tamil Nadu,Thiruvallur,697,263,7,0,
2020-05-24,Tamil Nadu,Thiruvallur,731,270,8,0,
2020-05-25,Tamil Nadu,Thiruvallur,768,326,8,0,
2020-05-26,Tamil Nadu,Thiruvallur,793,467,8,0,
2020-05-27,Tamil Nadu,Thiruvallur,825,470,9,0,
2020-05-28,Tamil Nadu,Thiruvallur,863,514,9,0,
