Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Tamil Nadu,Thiruvarur,30,8,0,0,
2020-04-27,Tamil Nadu,Thiruvarur,30,14,0,0,
2020-04-28,Tamil Nadu,Thiruvarur,30,14,0,0,
2020-04-29,Tamil Nadu,Thiruvarur,30,15,0,0,
2020-04-30,Tamil Nadu,Thiruvarur,30,16,0,0,
2020-05-01,Tamil Nadu,Thiruvarur,30,18,0,0,
2020-05-02,Tamil Nadu,Thiruvarur,30,18,0,0,
2020-05-03,Tamil Nadu,Thiruvarur,30,19,0,0,
2020-05-04,Tamil Nadu,Thiruvarur,32,19,0,0,
2020-05-05,Tamil Nadu,Thiruvarur,32,20,0,0,
2020-05-06,Tamil Nadu,Thiruvarur,33,22,0,0,
2020-05-07,Tamil Nadu,Thiruvarur,33,23,0,0,
2020-05-08,Tamil Nadu,Thiruvarur,33,23,0,0,
2020-05-09,Tamil Nadu,Thiruvarur,33,24,0,0,
2020-05-10,Tamil Nadu,Thiruvarur,33,25,0,0,
2020-05-11,Tamil Nadu,Thiruvarur,33,25,0,0,
2020-05-12,Tamil Nadu,Thiruvarur,33,29,0,0,
2020-05-13,Tamil Nadu,Thiruvarur,33,29,0,0,
2020-05-14,Tamil Nadu,Thiruvarur,32,29,0,0,
2020-05-15,Tamil Nadu,Thiruvarur,32,29,0,0,
2020-05-16,Tamil Nadu,Thiruvarur,32,29,0,0,
2020-05-17,Tamil Nadu,Thiruvarur,32,29,0,0,
2020-05-18,Tamil Nadu,Thiruvarur,32,29,0,0,
2020-05-19,Tamil Nadu,Thiruvarur,32,30,0,0,
2020-05-20,Tamil Nadu,Thiruvarur,32,30,0,0,
2020-05-21,Tamil Nadu,Thiruvarur,32,32,0,0,
2020-05-22,Tamil Nadu,Thiruvarur,35,32,0,0,
2020-05-23,Tamil Nadu,Thiruvarur,35,32,0,0,
2020-05-24,Tamil Nadu,Thiruvarur,37,32,0,0,
2020-05-25,Tamil Nadu,Thiruvarur,38,32,0,0,
2020-05-26,Tamil Nadu,Thiruvarur,38,32,0,0,
2020-05-27,Tamil Nadu,Thiruvarur,42,33,0,0,
2020-05-28,Tamil Nadu,Thiruvarur,42,33,0,0,
2020-05-29,Tamil Nadu,Thiruvarur,42,33,0,0,
2020-05-30,Tamil Nadu,Thiruvarur,46,33,0,0,
2020-05-31,Tamil Nadu,Thiruvarur,47,33,0,0,
2020-06-01,Tamil Nadu,Thiruvarur,47,34,0,0,
2020-06-02,Tamil Nadu,Thiruvarur,49,36,0,0,
2020-06-03,Tamil Nadu,Thiruvarur,51,36,0,0,
2020-06-04,Tamil Nadu,Thiruvarur,51,36,0,0,
2020-06-05,Tamil Nadu,Thiruvarur,55,38,0,0,
2020-06-06,Tamil Nadu,Thiruvarur,58,42,0,0,
2020-06-07,Tamil Nadu,Thiruvarur,59,44,0,0,8448.0
2020-06-08,Tamil Nadu,Thiruvarur,62,45,0,0,8448.0
2020-06-09,Tamil Nadu,Thiruvarur,69,45,0,0,8448.0
2020-06-10,Tamil Nadu,Thiruvarur,83,45,0,0,8448.0
