Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Tamil Nadu,Thoothukkudi,27,23,2,0,
2020-04-27,Tamil Nadu,Thoothukkudi,27,25,1,0,
2020-04-28,Tamil Nadu,Thoothukkudi,27,25,1,0,
2020-04-29,Tamil Nadu,Thoothukkudi,27,25,1,0,
2020-04-30,Tamil Nadu,Thoothukkudi,27,25,1,0,
2020-05-01,Tamil Nadu,Thoothukkudi,27,26,1,0,
2020-05-02,Tamil Nadu,Thoothukkudi,27,26,1,0,
2020-05-03,Tamil Nadu,Thoothukkudi,27,26,1,0,
2020-05-04,Tamil Nadu,Thoothukkudi,27,26,1,0,
2020-05-05,Tamil Nadu,Thoothukkudi,27,26,1,0,
2020-05-06,Tamil Nadu,Thoothukkudi,29,26,1,0,
2020-05-07,Tamil Nadu,Thoothukkudi,30,26,1,0,
2020-05-08,Tamil Nadu,Thoothukkudi,30,26,1,0,
2020-05-09,Tamil Nadu,Thoothukkudi,30,26,1,0,
2020-05-10,Tamil Nadu,Thoothukkudi,30,26,1,0,
2020-05-11,Tamil Nadu,Thoothukkudi,33,26,1,0,
2020-05-12,Tamil Nadu,Thoothukkudi,35,26,1,0,
2020-05-13,Tamil Nadu,Thoothukkudi,36,26,1,0,
2020-05-14,Tamil Nadu,Thoothukkudi,38,26,1,0,
2020-05-15,Tamil Nadu,Thoothukkudi,48,26,2,0,
2020-05-16,Tamil Nadu,Thoothukkudi,56,26,2,0,
2020-05-17,Tamil Nadu,Thoothukkudi,69,28,2,0,
2020-05-18,Tamil Nadu,Thoothukkudi,84,28,2,0,
2020-05-19,Tamil Nadu,Thoothukkudi,90,29,2,0,
2020-05-20,Tamil Nadu,Thoothukkudi,112,29,2,0,
2020-05-21,Tamil Nadu,Thoothukkudi,134,29,2,0,
2020-05-22,Tamil Nadu,Thoothukkudi,143,34,2,0,
2020-05-23,Tamil Nadu,Thoothukkudi,148,36,2,0,
2020-05-24,Tamil Nadu,Thoothukkudi,159,39,2,0,
2020-05-25,Tamil Nadu,Thoothukkudi,176,46,2,0,
2020-05-26,Tamil Nadu,Thoothukkudi,186,57,2,0,
2020-05-27,Tamil Nadu,Thoothukkudi,194,78,2,0,
2020-05-28,Tamil Nadu,Thoothukkudi,198,86,2,0,
2020-05-29,Tamil Nadu,Thoothukkudi,199,104,2,0,
2020-05-30,Tamil Nadu,Thoothukkudi,216,127,2,0,
2020-05-31,Tamil Nadu,Thoothukkudi,226,135,2,0,
2020-06-01,Tamil Nadu,Thoothukkudi,227,146,2,0,
2020-06-02,Tamil Nadu,Thoothukkudi,278,149,2,0,
2020-06-03,Tamil Nadu,Thoothukkudi,295,157,2,0,
2020-06-04,Tamil Nadu,Thoothukkudi,301,162,2,0,
2020-06-05,Tamil Nadu,Thoothukkudi,312,168,2,0,
