Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Tamil Nadu,Viluppuram,51,22,2,0,
2020-04-27,Tamil Nadu,Viluppuram,52,22,2,0,
2020-04-28,Tamil Nadu,Viluppuram,52,22,2,0,
2020-04-29,Tamil Nadu,Viluppuram,54,23,2,0,
2020-04-30,Tamil Nadu,Viluppuram,54,23,2,0,
2020-05-01,Tamil Nadu,Viluppuram,55,26,2,0,
2020-05-02,Tamil Nadu,Viluppuram,57,27,2,0,
2020-05-03,Tamil Nadu,Viluppuram,90,27,2,0,
2020-05-04,Tamil Nadu,Viluppuram,139,29,2,0,
2020-05-05,Tamil Nadu,Viluppuram,164,29,2,0,
2020-05-06,Tamil Nadu,Viluppuram,169,29,2,0,
2020-05-07,Tamil Nadu,Viluppuram,214,32,2,0,
2020-05-08,Tamil Nadu,Viluppuram,235,32,2,0,
2020-05-09,Tamil Nadu,Viluppuram,302,35,2,0,
2020-05-10,Tamil Nadu,Viluppuram,308,42,2,0,
2020-05-11,Tamil Nadu,Viluppuram,308,48,2,0,
2020-05-12,Tamil Nadu,Viluppuram,309,53,2,0,
2020-05-13,Tamil Nadu,Viluppuram,316,53,2,0,
2020-05-14,Tamil Nadu,Viluppuram,306,53,2,0,
2020-05-15,Tamil Nadu,Viluppuram,306,128,2,0,
2020-05-16,Tamil Nadu,Viluppuram,308,153,2,0,
2020-05-17,Tamil Nadu,Viluppuram,308,276,2,0,
2020-05-18,Tamil Nadu,Viluppuram,312,276,2,0,
2020-05-19,Tamil Nadu,Viluppuram,312,278,2,0,
2020-05-20,Tamil Nadu,Viluppuram,319,278,2,0,
2020-05-21,Tamil Nadu,Viluppuram,323,294,2,0,
2020-05-22,Tamil Nadu,Viluppuram,323,296,2,0,
2020-05-23,Tamil Nadu,Viluppuram,327,300,2,0,
2020-05-24,Tamil Nadu,Viluppuram,327,300,2,0,
2020-05-25,Tamil Nadu,Viluppuram,327,300,2,0,
2020-05-26,Tamil Nadu,Viluppuram,327,303,2,0,
2020-05-27,Tamil Nadu,Viluppuram,339,305,2,0,
2020-05-28,Tamil Nadu,Viluppuram,342,305,2,0,
2020-05-29,Tamil Nadu,Viluppuram,343,307,2,0,
