Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Tamil Nadu,Virudhunagar,32,16,0,0,
2020-04-27,Tamil Nadu,Virudhunagar,32,16,0,0,
2020-04-28,Tamil Nadu,Virudhunagar,32,16,0,0,
2020-04-29,Tamil Nadu,Virudhunagar,32,16,0,0,
2020-04-30,Tamil Nadu,Virudhunagar,32,19,0,0,
2020-05-01,Tamil Nadu,Virudhunagar,32,19,0,0,
2020-05-02,Tamil Nadu,Virudhunagar,32,19,0,0,
2020-05-03,Tamil Nadu,Virudhunagar,32,19,0,0,
2020-05-04,Tamil Nadu,Virudhunagar,34,23,0,0,
2020-05-05,Tamil Nadu,Virudhunagar,35,23,0,0,
2020-05-06,Tamil Nadu,Virudhunagar,35,26,0,0,
2020-05-07,Tamil Nadu,Virudhunagar,35,28,0,0,
2020-05-08,Tamil Nadu,Virudhunagar,38,28,0,0,
2020-05-09,Tamil Nadu,Virudhunagar,38,35,0,0,
2020-05-10,Tamil Nadu,Virudhunagar,40,35,0,0,
2020-05-11,Tamil Nadu,Virudhunagar,41,35,0,0,
2020-05-12,Tamil Nadu,Virudhunagar,45,31,0,0,
2020-05-13,Tamil Nadu,Virudhunagar,45,31,0,0,
2020-05-14,Tamil Nadu,Virudhunagar,44,32,0,0,
2020-05-15,Tamil Nadu,Virudhunagar,46,32,0,0,
2020-05-16,Tamil Nadu,Virudhunagar,47,34,0,0,
2020-05-17,Tamil Nadu,Virudhunagar,51,35,0,0,
2020-05-18,Tamil Nadu,Virudhunagar,54,37,0,0,
2020-05-19,Tamil Nadu,Virudhunagar,55,37,0,0,
2020-05-20,Tamil Nadu,Virudhunagar,61,37,0,0,
2020-05-21,Tamil Nadu,Virudhunagar,69,40,0,0,
2020-05-22,Tamil Nadu,Virudhunagar,95,43,0,0,
2020-05-23,Tamil Nadu,Virudhunagar,97,44,0,0,
2020-05-24,Tamil Nadu,Virudhunagar,110,44,0,0,
2020-05-25,Tamil Nadu,Virudhunagar,127,44,0,0,
2020-05-26,Tamil Nadu,Virudhunagar,128,46,0,0,
2020-05-27,Tamil Nadu,Virudhunagar,116,47,0,0,
2020-05-28,Tamil Nadu,Virudhunagar,119,50,0,0,
2020-05-29,Tamil Nadu,Virudhunagar,120,50,0,0,
2020-05-30,Tamil Nadu,Virudhunagar,121,58,0,0,
2020-05-31,Tamil Nadu,Virudhunagar,123,58,0,0,
2020-06-01,Tamil Nadu,Virudhunagar,124,58,0,0,
2020-06-02,Tamil Nadu,Virudhunagar,127,62,0,0,
2020-06-03,Tamil Nadu,Virudhunagar,128,90,0,0,
2020-06-04,Tamil Nadu,Virudhunagar,136,98,0,0,
2020-06-05,Tamil Nadu,Virudhunagar,143,98,0,0,
2020-06-06,Tamil Nadu,Virudhunagar,144,115,0,0,
2020-06-07,Tamil Nadu,Virudhunagar,149,116,0,0,10803.0
