Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Telangana,Unknown,1001,316,25,0,14962.0
2020-04-27,Telangana,Unknown,1003,332,25,0,14962.0
2020-04-28,Telangana,Unknown,1009,374,25,0,19063.0
2020-04-29,Telangana,Unknown,1016,409,25,0,19278.0
2020-04-30,Telangana,Unknown,1038,442,28,0,19278.0
2020-05-01,Telangana,Unknown,1044,464,28,0,19278.0
2020-05-02,Telangana,Unknown,1061,499,29,0,19278.0
2020-05-03,Telangana,Unknown,1082,545,29,0,19278.0
2020-05-04,Telangana,Unknown,1085,585,29,0,19278.0
2020-05-05,Telangana,Unknown,1096,628,29,0,19278.0
2020-05-06,Telangana,Unknown,1107,648,29,0,19278.0
2020-05-07,Telangana,Unknown,1122,693,29,0,19278.0
2020-05-08,Telangana,Unknown,1132,727,29,0,19278.0
2020-05-09,Telangana,Unknown,1163,751,30,0,19278.0
2020-05-10,Telangana,Unknown,1196,751,30,0,19278.0
2020-05-11,Telangana,Unknown,1275,801,30,0,19278.0
2020-05-12,Telangana,Unknown,1326,822,32,0,19278.0
2020-05-13,Telangana,Unknown,1367,939,34,0,19278.0
2020-05-14,Telangana,Unknown,1414,952,34,0,19278.0
2020-05-15,Telangana,Unknown,1454,959,34,0,19278.0
2020-05-16,Telangana,Unknown,1509,971,34,0,23388.0
2020-05-17,Telangana,Unknown,1551,992,34,0,23388.0
2020-05-18,Telangana,Unknown,1592,1002,34,0,23388.0
2020-05-19,Telangana,Unknown,1634,1011,38,0,23388.0
2020-05-20,Telangana,Unknown,1661,1013,40,0,23388.0
2020-05-21,Telangana,Unknown,1699,1036,45,0,23388.0
2020-05-22,Telangana,Unknown,1761,1043,48,0,23388.0
2020-05-23,Telangana,Unknown,1813,1068,49,0,23388.0
2020-05-24,Telangana,Unknown,1854,1092,53,0,23388.0
2020-05-25,Telangana,Unknown,1920,1164,56,0,23388.0
2020-05-26,Telangana,Unknown,2032,1284,57,0,23388.0
2020-05-27,Telangana,Unknown,2139,1321,63,0,23388.0
2020-05-28,Telangana,Unknown,2256,1345,67,0,23388.0
2020-05-29,Telangana,Unknown,2425,1381,71,0,23388.0
2020-05-30,Telangana,Unknown,2499,1412,77,0,23388.0
2020-05-31,Telangana,Unknown,2698,1428,82,0,23388.0
2020-06-01,Telangana,Unknown,2792,1491,88,0,23388.0
2020-06-02,Telangana,Unknown,2891,1526,92,0,23388.0
2020-06-03,Telangana,Unknown,3020,1556,99,0,23388.0
2020-06-04,Telangana,Unknown,3147,1587,105,0,23388.0
2020-06-05,Telangana,Unknown,3290,1627,113,0,23388.0
2020-06-06,Telangana,Unknown,3496,1710,123,0,23388.0
2020-06-07,Telangana,Unknown,3650,1742,137,0,23388.0
2020-06-08,Telangana,Unknown,3742,1742,142,0,23388.0
2020-06-09,Telangana,Unknown,3920,1742,148,0,23388.0
2020-06-10,Telangana,Unknown,4111,1817,156,0,23388.0
2020-06-11,Telangana,Unknown,4320,1993,165,0,23388.0
2020-06-12,Telangana,Unknown,4484,2278,174,0,23388.0
2020-06-13,Telangana,Unknown,4737,2352,182,0,23388.0
2020-06-14,Telangana,Unknown,4974,2377,185,0,23388.0
2020-06-15,Telangana,Unknown,5193,2766,187,0,23388.0
2020-06-16,Telangana,Unknown,5406,3027,191,0,44431.0
2020-06-17,Telangana,Unknown,5675,3071,192,0,45911.0
2020-06-18,Telangana,Unknown,6027,3301,195,0,45911.0
2020-06-19,Telangana,Unknown,6526,3352,198,0,50569.0
2020-06-20,Telangana,Unknown,7072,3506,203,0,53757.0
2020-06-21,Telangana,Unknown,7802,3731,210,0,57054.0
2020-06-22,Telangana,Unknown,8674,4005,217,0,60243.0
2020-06-23,Telangana,Unknown,9553,4224,220,0,63249.0
2020-06-24,Telangana,Unknown,10444,4361,225,0,67318.0
2020-06-25,Telangana,Unknown,11364,4688,230,0,70934.0
2020-06-26,Telangana,Unknown,12349,4766,237,0,75308.0
2020-06-27,Telangana,Unknown,13436,4928,243,0,79231.0
2020-06-28,Telangana,Unknown,14419,5172,247,0,82458.0
2020-06-29,Telangana,Unknown,15394,5582,253,0,85106.0
2020-06-30,Telangana,Unknown,16339,7294,260,0,88563.0
2020-07-01,Telangana,Unknown,17357,8082,267,0,92797.0
2020-07-02,Telangana,Unknown,18570,9069,275,0,98153.0
2020-07-03,Telangana,Unknown,20462,10195,283,0,104118.0
2020-07-04,Telangana,Unknown,22312,11537,288,0,110545.0
2020-07-05,Telangana,Unknown,23902,12703,295,0,115835.0
2020-07-06,Telangana,Unknown,25733,14781,306,0,122218.0
2020-07-07,Telangana,Unknown,27612,16287,313,0,128438.0
2020-07-08,Telangana,Unknown,29536,17279,324,0,134801.0
2020-07-09,Telangana,Unknown,30946,18192,331,0,140755.0
2020-07-10,Telangana,Unknown,32224,19205,339,0,151109.0
2020-07-11,Telangana,Unknown,33402,20919,348,0,162171.0
2020-07-12,Telangana,Unknown,34671,22482,356,0,170324.0
2020-07-13,Telangana,Unknown,36221,23679,365,0,181849.0
2020-07-14,Telangana,Unknown,37745,24840,375,0,195024.0
2020-07-15,Telangana,Unknown,39342,25999,386,0,208666.0
2020-07-16,Telangana,Unknown,41018,27295,396,0,222693.0
2020-07-17,Telangana,Unknown,42496,28705,403,0,237817.0
2020-07-18,Telangana,Unknown,43780,30607,409,0,252700.0
2020-07-19,Telangana,Unknown,45076,32438,415,0,265219.0
2020-07-20,Telangana,Unknown,46274,34323,422,0,276222.0
2020-07-21,Telangana,Unknown,47704,36385,429,0,293077.0
2020-07-22,Telangana,Unknown,49259,37666,438,0,308959.0
2020-07-23,Telangana,Unknown,50826,39327,447,0,322326.0
2020-07-24,Telangana,Unknown,52466,40334,455,0,337771.0
2020-07-25,Telangana,Unknown,54059,41332,463,0,353425.0
2020-07-26,Telangana,Unknown,54059,41332,463,0,353425.0
2020-07-27,Telangana,Unknown,55532,42106,471,0,363242.0
2020-07-28,Telangana,Unknown,57142,42909,480,0,379081.0
2020-07-29,Telangana,Unknown,58906,43751,492,0,397939.0
2020-07-30,Telangana,Unknown,60717,44572,505,0,416202.0
2020-07-31,Telangana,Unknown,62703,45388,519,0,437582.0
2020-08-01,Telangana,Unknown,64786,46502,530,0,458593.0
2020-08-02,Telangana,Unknown,66677,47590,540,0,477795.0
2020-08-03,Telangana,Unknown,67660,48609,551,0,487238.0
2020-08-04,Telangana,Unknown,68946,49675,563,0,501025.0
2020-08-05,Telangana,Unknown,70958,50814,576,0,522143.0
2020-08-06,Telangana,Unknown,73050,52103,589,0,543489.0
2020-08-07,Telangana,Unknown,75257,53239,601,0,566984.0
2020-08-08,Telangana,Unknown,77513,54330,615,0,590306.0
2020-08-09,Telangana,Unknown,79495,55999,627,0,613231.0
2020-08-10,Telangana,Unknown,80751,57586,637,0,624840.0
2020-08-11,Telangana,Unknown,82647,59374,645,0,642875.0
2020-08-12,Telangana,Unknown,84544,61294,654,0,665847.0
2020-08-13,Telangana,Unknown,86475,63074,665,0,689150.0
2020-08-14,Telangana,Unknown,88396,64284,674,0,711196.0
2020-08-15,Telangana,Unknown,90259,66196,684,0,732435.0
2020-08-16,Telangana,Unknown,91361,68126,693,0,744555.0
2020-08-17,Telangana,Unknown,92255,70132,703,0,753349.0
2020-08-18,Telangana,Unknown,93937,72202,711,0,772928.0
2020-08-19,Telangana,Unknown,95700,73991,719,0,797470.0
2020-08-20,Telangana,Unknown,97424,75186,729,0,821311.0
2020-08-21,Telangana,Unknown,99391,76967,737,0,848078.0
2020-08-22,Telangana,Unknown,101865,78735,744,0,891173.0
2020-08-23,Telangana,Unknown,104249,80586,755,0,931839.0
2020-08-24,Telangana,Unknown,106091,82411,761,0,968121.0
2020-08-25,Telangana,Unknown,108670,84163,770,0,1021054.0
2020-08-26,Telangana,Unknown,111688,85223,780,0,1082094.0
2020-08-27,Telangana,Unknown,114483,86095,788,0,1142480.0
2020-08-28,Telangana,Unknown,117415,87675,799,0,1204343.0
2020-08-29,Telangana,Unknown,120166,89350,808,0,1266643.0
2020-08-30,Telangana,Unknown,123090,90988,818,0,1327791.0
2020-08-31,Telangana,Unknown,124963,92837,827,0,1365582.0
2020-09-01,Telangana,Unknown,127697,95162,836,0,1423846.0
2020-09-02,Telangana,Unknown,130589,97402,846,0,1483267.0
2020-09-03,Telangana,Unknown,133406,100013,856,0,1542978.0
2020-09-04,Telangana,Unknown,135884,102024,866,0,1605521.0
2020-09-05,Telangana,Unknown,138395,104603,877,0,1667653.0
2020-09-06,Telangana,Unknown,140969,107530,886,0,1730389.0
2020-09-07,Telangana,Unknown,142771,110241,895,0,1766982.0
2020-09-08,Telangana,Unknown,145163,112587,906,0,1827905.0
2020-09-09,Telangana,Unknown,147642,115072,916,0,1890554.0
2020-09-10,Telangana,Unknown,150176,117143,927,0,1953571.0
2020-09-11,Telangana,Unknown,152602,119467,940,0,2016461.0
2020-09-12,Telangana,Unknown,154880,121925,950,0,2078695.0
2020-09-13,Telangana,Unknown,157096,124528,961,0,2134912.0
2020-09-14,Telangana,Unknown,158513,127007,974,0,2169339.0
2020-09-15,Telangana,Unknown,160571,129187,984,0,2220586.0
2020-09-16,Telangana,Unknown,162844,131447,996,0,2276222.0
2020-09-17,Telangana,Unknown,165003,133555,1005,0,2329316.0
2020-09-18,Telangana,Unknown,167046,135357,1016,0,2379950.0
2020-09-19,Telangana,Unknown,169169,137508,1025,0,2434409.0
2020-09-20,Telangana,Unknown,171306,139700,1033,0,2488220.0
2020-09-21,Telangana,Unknown,172608,141930,1042,0,2519315.0
2020-09-22,Telangana,Unknown,174774,144073,1052,0,2573005.0
2020-09-23,Telangana,Unknown,177070,146135,1062,0,2628897.0
2020-09-24,Telangana,Unknown,179246,148139,1070,0,2684215.0
2020-09-25,Telangana,Unknown,181627,150160,1080,0,2741836.0
2020-09-26,Telangana,Unknown,183866,152441,1091,0,2800761.0
2020-09-27,Telangana,Unknown,185833,154499,1100,0,2850869.0
2020-09-28,Telangana,Unknown,187211,156431,1107,0,2886334.0
2020-09-29,Telangana,Unknown,189283,158690,1116,0,2940642.0
2020-09-30,Telangana,Unknown,191386,160933,1127,0,2996001.0
2020-10-01,Telangana,Unknown,193600,163407,1135,0,3050444.0
2020-10-02,Telangana,Unknown,195609,165844,1145,0,3104542.0
2020-10-03,Telangana,Unknown,197327,167846,1153,0,3153626.0
2020-10-04,Telangana,Unknown,199276,170212,1163,0,3205249.0
2020-10-05,Telangana,Unknown,200611,172388,1171,0,3241597.0
2020-10-06,Telangana,Unknown,202594,174769,1181,0,3292195.0
2020-10-07,Telangana,Unknown,204748,177008,1189,0,3346472.0
2020-10-08,Telangana,Unknown,206644,179075,1201,0,3396839.0
2020-10-09,Telangana,Unknown,208535,180953,1208,0,3449925.0
2020-10-10,Telangana,Unknown,210346,183025,1217,0,3500394.0
2020-10-11,Telangana,Unknown,212063,185128,1222,0,3547051.0
2020-10-12,Telangana,Unknown,213084,187342,1228,0,3577261.0
2020-10-13,Telangana,Unknown,214792,189351,1233,0,3624096.0
2020-10-14,Telangana,Unknown,216238,191269,1241,0,3664152.0
2020-10-15,Telangana,Unknown,217670,193218,1249,0,3703047.0
2020-10-16,Telangana,Unknown,219224,194653,1256,0,3746963.0
2020-10-17,Telangana,Unknown,220675,196636,1265,0,3789460.0
2020-10-18,Telangana,Unknown,222111,198790,1271,0,3830503.0
2020-10-19,Telangana,Unknown,223059,200686,1275,0,3856530.0
2020-10-20,Telangana,Unknown,224545,202577,1282,0,3898829.0
2020-10-21,Telangana,Unknown,226124,204388,1287,0,3940304.0
2020-10-22,Telangana,Unknown,227580,206105,1292,0,3978869.0
2020-10-23,Telangana,Unknown,229001,207326,1298,0,4017353.0
2020-10-24,Telangana,Unknown,230274,209034,1303,0,4052633.0
2020-10-25,Telangana,Unknown,231252,210480,1307,0,4079688.0
2020-10-26,Telangana,Unknown,231834,211912,1311,0,4094417.0
2020-10-27,Telangana,Unknown,232671,213466,1315,0,4115516.0
2020-10-28,Telangana,Unknown,234152,214917,1319,0,4155597.0
2020-10-29,Telangana,Unknown,234152,214917,1319,0,4196958.0
