Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-02,Tripura,Dhalai,2,0,0,0,
2020-05-03,Tripura,Dhalai,14,0,0,0,
2020-05-04,Tripura,Dhalai,27,0,0,0,
2020-05-05,Tripura,Dhalai,40,0,0,0,
2020-05-06,Tripura,Dhalai,62,0,0,0,
2020-05-07,Tripura,Dhalai,86,0,0,0,
2020-05-08,Tripura,Dhalai,116,0,0,0,
2020-05-09,Tripura,Dhalai,132,0,0,0,
2020-05-10,Tripura,Dhalai,148,0,0,0,
2020-05-11,Tripura,Dhalai,148,0,0,0,
2020-05-12,Tripura,Dhalai,150,0,0,0,
2020-05-13,Tripura,Dhalai,151,0,0,0,
2020-05-14,Tripura,Dhalai,152,27,0,0,
2020-05-15,Tripura,Dhalai,152,40,0,0,
2020-05-16,Tripura,Dhalai,160,62,0,0,
2020-05-17,Tripura,Dhalai,158,83,0,0,
2020-05-18,Tripura,Dhalai,158,87,0,0,
2020-05-19,Tripura,Dhalai,162,114,0,0,2456.0
2020-05-20,Tripura,Dhalai,162,114,0,0,2631.0
2020-05-21,Tripura,Dhalai,162,146,0,0,2631.0
2020-05-22,Tripura,Dhalai,162,150,0,0,2631.0
2020-05-23,Tripura,Dhalai,164,150,0,0,2631.0
2020-05-24,Tripura,Dhalai,164,160,0,0,2631.0
2020-05-25,Tripura,Dhalai,164,160,0,0,2631.0
2020-05-26,Tripura,Dhalai,165,160,0,0,2631.0
2020-05-27,Tripura,Dhalai,165,160,0,0,2631.0
2020-05-28,Tripura,Dhalai,165,162,0,0,2631.0
2020-05-29,Tripura,Dhalai,165,162,0,0,2631.0
2020-05-30,Tripura,Dhalai,171,163,0,0,2631.0
2020-05-31,Tripura,Dhalai,175,163,0,0,2631.0
2020-06-01,Tripura,Dhalai,175,163,0,0,4232.0
2020-06-02,Tripura,Dhalai,194,163,0,0,4342.0
2020-06-03,Tripura,Dhalai,194,163,0,0,4485.0
2020-06-04,Tripura,Dhalai,195,163,0,0,4551.0
2020-06-05,Tripura,Dhalai,196,163,0,0,4658.0
2020-06-06,Tripura,Dhalai,199,163,0,0,4756.0
2020-06-07,Tripura,Dhalai,199,164,0,0,4888.0
2020-06-08,Tripura,Dhalai,199,164,0,0,5003.0
2020-06-09,Tripura,Dhalai,199,164,0,0,5039.0
2020-06-10,Tripura,Dhalai,200,170,0,0,5148.0
2020-06-11,Tripura,Dhalai,201,171,0,0,5245.0
2020-06-12,Tripura,Dhalai,201,171,0,0,3309.0
2020-06-13,Tripura,Dhalai,201,176,0,0,5333.0
2020-06-14,Tripura,Dhalai,201,176,0,0,5349.0
2020-06-15,Tripura,Dhalai,201,176,0,0,5424.0
2020-06-16,Tripura,Dhalai,201,184,0,0,5447.0
2020-06-17,Tripura,Dhalai,201,184,0,0,5498.0
2020-06-18,Tripura,Dhalai,202,196,0,0,5650.0
2020-06-19,Tripura,Dhalai,202,197,0,0,5727.0
2020-06-20,Tripura,Dhalai,203,198,0,0,5783.0
2020-06-21,Tripura,Dhalai,204,200,0,0,5925.0
2020-06-22,Tripura,Dhalai,205,200,0,0,5997.0
2020-06-23,Tripura,Dhalai,209,201,0,0,6088.0
2020-06-24,Tripura,Dhalai,209,201,0,0,6157.0
2020-06-25,Tripura,Dhalai,210,201,0,0,6272.0
2020-06-26,Tripura,Dhalai,211,202,0,0,6367.0
2020-06-27,Tripura,Dhalai,213,201,0,0,6434.0
2020-06-28,Tripura,Dhalai,213,201,0,0,6497.0
2020-06-29,Tripura,Dhalai,213,201,0,0,6629.0
2020-06-30,Tripura,Dhalai,213,201,0,0,6645.0
2020-07-01,Tripura,Dhalai,213,201,0,0,6669.0
2020-07-02,Tripura,Dhalai,218,201,0,0,6814.0
2020-07-03,Tripura,Dhalai,242,201,0,0,6838.0
2020-07-04,Tripura,Dhalai,244,203,0,0,6866.0
2020-07-05,Tripura,Dhalai,245,203,0,0,6932.0
2020-07-06,Tripura,Dhalai,248,204,0,0,6966.0
2020-07-07,Tripura,Dhalai,249,209,0,0,7005.0
2020-07-08,Tripura,Dhalai,249,213,0,0,7069.0
2020-07-09,Tripura,Dhalai,249,213,0,0,7173.0
2020-07-10,Tripura,Dhalai,264,213,0,0,7252.0
2020-07-11,Tripura,Dhalai,265,213,0,1,7312.0
2020-07-12,Tripura,Dhalai,270,218,0,1,7333.0
2020-07-13,Tripura,Dhalai,271,241,0,1,7520.0
2020-07-14,Tripura,Dhalai,283,242,0,1,7742.0
2020-07-15,Tripura,Dhalai,296,245,0,1,8095.0
2020-07-16,Tripura,Dhalai,299,245,0,1,8095.0
2020-07-17,Tripura,Dhalai,299,252,0,1,8492.0
2020-07-18,Tripura,Dhalai,409,252,1,1,9333.0
2020-07-19,Tripura,Dhalai,497,248,1,1,9907.0
2020-07-20,Tripura,Dhalai,516,250,2,1,10342.0
2020-07-21,Tripura,Dhalai,549,264,2,1,10756.0
2020-07-22,Tripura,Dhalai,567,270,2,1,11168.0
2020-07-23,Tripura,Dhalai,577,279,2,1,11533.0
2020-07-24,Tripura,Dhalai,581,282,2,1,11730.0
2020-07-25,Tripura,Dhalai,585,297,2,1,11963.0
2020-07-26,Tripura,Dhalai,585,301,2,1,12015.0
2020-07-27,Tripura,Dhalai,594,325,2,1,12324.0
2020-07-28,Tripura,Dhalai,606,342,2,1,12809.0
2020-07-29,Tripura,Dhalai,614,342,2,1,13451.0
2020-07-30,Tripura,Dhalai,618,352,2,1,14237.0
2020-07-31,Tripura,Dhalai,622,524,2,1,14997.0
2020-08-01,Tripura,Dhalai,633,524,2,1,15566.0
2020-08-02,Tripura,Dhalai,635,561,2,1,15968.0
2020-08-03,Tripura,Dhalai,635,561,2,1,16214.0
2020-08-04,Tripura,Dhalai,636,567,2,1,16214.0
2020-08-05,Tripura,Dhalai,640,572,2,1,16876.0
2020-08-06,Tripura,Dhalai,646,585,2,1,16634.0
2020-08-07,Tripura,Dhalai,648,591,2,1,16786.0
2020-08-08,Tripura,Dhalai,652,616,2,1,17037.0
2020-08-09,Tripura,Dhalai,660,621,2,1,17253.0
2020-08-10,Tripura,Dhalai,661,626,2,1,17316.0
2020-08-11,Tripura,Dhalai,666,630,2,1,17533.0
2020-08-12,Tripura,Dhalai,670,636,2,1,17678.0
2020-08-13,Tripura,Dhalai,675,636,2,1,17763.0
2020-08-14,Tripura,Dhalai,684,642,2,1,17950.0
2020-08-15,Tripura,Dhalai,685,644,2,1,18061.0
2020-08-16,Tripura,Dhalai,686,644,2,1,18112.0
2020-08-17,Tripura,Dhalai,702,647,2,1,18215.0
2020-08-18,Tripura,Dhalai,751,657,2,1,18537.0
2020-08-19,Tripura,Dhalai,762,662,2,1,18897.0
2020-08-20,Tripura,Dhalai,785,662,2,1,19222.0
2020-08-21,Tripura,Dhalai,790,667,2,1,19460.0
2020-08-22,Tripura,Dhalai,817,672,2,1,19857.0
2020-08-23,Tripura,Dhalai,860,680,2,1,20284.0
2020-08-24,Tripura,Dhalai,874,685,2,1,20690.0
2020-08-25,Tripura,Dhalai,896,685,2,1,20966.0
2020-08-26,Tripura,Dhalai,911,687,2,1,21329.0
2020-08-27,Tripura,Dhalai,933,698,2,1,21751.0
2020-08-28,Tripura,Dhalai,996,729,2,1,22314.0
2020-08-29,Tripura,Dhalai,1057,742,2,1,22923.0
2020-08-30,Tripura,Dhalai,1081,757,2,1,23408.0
2020-08-31,Tripura,Dhalai,1115,763,2,1,23718.0
2020-09-01,Tripura,Dhalai,1142,791,3,1,24064.0
2020-09-02,Tripura,Dhalai,1214,807,4,1,24594.0
2020-09-03,Tripura,Dhalai,1311,836,5,1,25240.0
2020-09-04,Tripura,Dhalai,1377,853,5,1,25744.0
2020-09-05,Tripura,Dhalai,1438,867,6,1,26438.0
2020-09-06,Tripura,Dhalai,1493,880,6,1,26861.0
2020-09-07,Tripura,Dhalai,1540,902,6,1,27201.0
2020-09-08,Tripura,Dhalai,1622,916,6,1,27760.0
2020-09-09,Tripura,Dhalai,1705,946,7,1,28449.0
2020-09-10,Tripura,Dhalai,1799,963,7,1,29081.0
2020-09-11,Tripura,Dhalai,1856,969,7,1,29554.0
2020-09-12,Tripura,Dhalai,1881,1029,7,1,29877.0
2020-09-13,Tripura,Dhalai,1953,1091,7,1,30374.0
2020-09-14,Tripura,Dhalai,1973,1116,7,1,30724.0
2020-09-15,Tripura,Dhalai,2025,1169,8,1,31197.0
2020-09-16,Tripura,Dhalai,2077,1205,8,1,31591.0
2020-09-17,Tripura,Dhalai,2116,1262,8,1,32011.0
2020-09-18,Tripura,Dhalai,2136,1353,8,1,32229.0
2020-09-19,Tripura,Dhalai,2176,1454,8,1,32616.0
2020-09-20,Tripura,Dhalai,2257,1552,9,1,33180.0
2020-09-21,Tripura,Dhalai,2290,1598,9,1,33468.0
2020-09-22,Tripura,Dhalai,2364,1647,9,1,34004.0
2020-09-23,Tripura,Dhalai,2442,1710,9,1,34565.0
2020-09-24,Tripura,Dhalai,2499,1773,9,1,34977.0
2020-09-25,Tripura,Dhalai,2526,1857,9,1,35263.0
2020-09-26,Tripura,Dhalai,2556,1909,9,1,35552.0
2020-09-27,Tripura,Dhalai,2593,1934,10,1,35815.0
2020-09-28,Tripura,Dhalai,2613,1997,10,1,36027.0
2020-09-29,Tripura,Dhalai,2674,2020,10,1,36372.0
2020-09-30,Tripura,Dhalai,2719,2062,10,1,36713.0
2020-10-01,Tripura,Dhalai,2761,2109,10,1,37066.0
2020-10-02,Tripura,Dhalai,2806,2148,10,1,37346.0
2020-10-03,Tripura,Dhalai,2817,2181,10,1,37536.0
2020-10-04,Tripura,Dhalai,2853,2225,10,1,37842.0
2020-10-05,Tripura,Dhalai,2869,2297,10,1,38035.0
2020-10-06,Tripura,Dhalai,2898,2354,10,1,38328.0
2020-10-07,Tripura,Dhalai,2923,2471,10,1,38668.0
2020-10-08,Tripura,Dhalai,2960,2475,11,1,38995.0
2020-10-09,Tripura,Dhalai,2985,2536,11,1,39221.0
2020-10-10,Tripura,Dhalai,2999,2573,11,1,39529.0
2020-10-11,Tripura,Dhalai,3010,2606,11,1,39804.0
2020-10-12,Tripura,Dhalai,3019,2640,11,1,40042.0
2020-10-13,Tripura,Dhalai,3042,2662,11,1,40359.0
2020-10-14,Tripura,Dhalai,3064,2712,11,1,40747.0
2020-10-15,Tripura,Dhalai,3082,2753,11,1,41023.0
2020-10-16,Tripura,Dhalai,3104,2804,12,1,41306.0
2020-10-17,Tripura,Dhalai,3120,2842,13,1,41575.0
2020-10-18,Tripura,Dhalai,3129,2853,13,1,41970.0
2020-10-19,Tripura,Dhalai,3140,2886,14,1,42403.0
2020-10-20,Tripura,Dhalai,3165,2900,14,1,42678.0
2020-10-21,Tripura,Dhalai,3184,2930,14,1,42978.0
2020-10-22,Tripura,Dhalai,3197,2953,14,1,43432.0
2020-10-23,Tripura,Dhalai,3213,2985,15,1,43734.0
2020-10-24,Tripura,Dhalai,3225,3010,15,1,44094.0
2020-10-25,Tripura,Dhalai,3231,3026,15,1,44300.0
