Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-19,Tripura,West Tripura,0,0,0,0,457.0
2020-05-20,Tripura,West Tripura,0,0,0,0,3588.0
2020-05-21,Tripura,West Tripura,0,0,0,0,3588.0
2020-05-22,Tripura,West Tripura,0,0,0,0,3588.0
2020-05-23,Tripura,West Tripura,6,0,0,0,3588.0
2020-05-24,Tripura,West Tripura,6,0,0,0,3588.0
2020-05-25,Tripura,West Tripura,6,0,0,0,3588.0
2020-05-26,Tripura,West Tripura,8,0,0,0,3588.0
2020-05-27,Tripura,West Tripura,8,0,0,0,3588.0
2020-05-28,Tripura,West Tripura,8,0,0,0,3588.0
2020-05-29,Tripura,West Tripura,8,0,0,0,3588.0
2020-05-30,Tripura,West Tripura,17,0,0,0,3588.0
2020-05-31,Tripura,West Tripura,19,0,0,0,3588.0
2020-06-01,Tripura,West Tripura,23,0,0,0,6565.0
2020-06-02,Tripura,West Tripura,22,0,0,0,6722.0
2020-06-03,Tripura,West Tripura,40,0,0,0,7071.0
2020-06-04,Tripura,West Tripura,42,0,0,0,7178.0
2020-06-05,Tripura,West Tripura,48,0,0,0,7388.0
2020-06-06,Tripura,West Tripura,61,0,0,0,7568.0
2020-06-07,Tripura,West Tripura,61,7,0,0,8031.0
2020-06-08,Tripura,West Tripura,61,7,0,0,8507.0
2020-06-09,Tripura,West Tripura,61,7,1,0,8932.0
2020-06-10,Tripura,West Tripura,78,8,1,0,9400.0
2020-06-11,Tripura,West Tripura,86,15,1,0,9849.0
2020-06-12,Tripura,West Tripura,86,15,1,0,10420.0
2020-06-13,Tripura,West Tripura,89,15,1,0,10717.0
2020-06-14,Tripura,West Tripura,89,15,1,0,11878.0
2020-06-15,Tripura,West Tripura,89,20,1,0,12741.0
2020-06-16,Tripura,West Tripura,88,41,1,0,13475.0
2020-06-17,Tripura,West Tripura,118,41,1,0,13830.0
2020-06-18,Tripura,West Tripura,121,44,1,0,14173.0
2020-06-19,Tripura,West Tripura,124,49,1,0,14500.0
2020-06-20,Tripura,West Tripura,127,51,1,0,14894.0
2020-06-21,Tripura,West Tripura,143,58,1,0,15154.0
2020-06-22,Tripura,West Tripura,147,73,1,0,15419.0
2020-06-23,Tripura,West Tripura,148,79,1,0,15667.0
2020-06-24,Tripura,West Tripura,148,86,1,0,15903.0
2020-06-25,Tripura,West Tripura,149,88,1,0,16251.0
2020-06-26,Tripura,West Tripura,152,90,1,0,16616.0
2020-06-27,Tripura,West Tripura,153,86,1,0,16838.0
2020-06-28,Tripura,West Tripura,151,85,1,0,17423.0
2020-06-29,Tripura,West Tripura,156,88,1,0,17830.0
2020-06-30,Tripura,West Tripura,158,88,1,0,18460.0
2020-07-01,Tripura,West Tripura,161,89,1,0,18911.0
2020-07-02,Tripura,West Tripura,179,121,1,0,19711.0
2020-07-03,Tripura,West Tripura,196,121,1,0,20321.0
2020-07-04,Tripura,West Tripura,204,141,1,0,20965.0
2020-07-05,Tripura,West Tripura,211,141,1,0,21712.0
2020-07-06,Tripura,West Tripura,224,146,1,5,22505.0
2020-07-07,Tripura,West Tripura,230,146,1,5,23092.0
2020-07-08,Tripura,West Tripura,240,148,1,5,23636.0
2020-07-09,Tripura,West Tripura,244,152,1,5,24393.0
2020-07-10,Tripura,West Tripura,279,155,1,5,25006.0
2020-07-11,Tripura,West Tripura,290,155,1,5,25857.0
2020-07-12,Tripura,West Tripura,327,171,1,5,26499.0
2020-07-13,Tripura,West Tripura,339,182,1,5,27496.0
2020-07-14,Tripura,West Tripura,368,198,1,5,28200.0
2020-07-15,Tripura,West Tripura,380,217,1,5,29044.0
2020-07-16,Tripura,West Tripura,401,217,1,5,29044.0
2020-07-17,Tripura,West Tripura,401,229,1,5,30509.0
2020-07-18,Tripura,West Tripura,431,237,1,5,32177.0
2020-07-19,Tripura,West Tripura,479,241,1,5,32822.0
2020-07-20,Tripura,West Tripura,561,267,1,5,34029.0
2020-07-21,Tripura,West Tripura,626,283,1,5,35349.0
2020-07-22,Tripura,West Tripura,655,325,1,7,36518.0
2020-07-23,Tripura,West Tripura,688,336,1,7,37580.0
2020-07-24,Tripura,West Tripura,716,361,1,7,38783.0
2020-07-25,Tripura,West Tripura,751,371,1,7,39861.0
2020-07-26,Tripura,West Tripura,758,384,2,7,40806.0
2020-07-27,Tripura,West Tripura,798,408,2,7,41455.0
2020-07-28,Tripura,West Tripura,874,436,5,7,43442.0
2020-07-29,Tripura,West Tripura,956,460,5,7,45348.0
2020-07-30,Tripura,West Tripura,1048,575,5,7,47264.0
2020-07-31,Tripura,West Tripura,1153,621,5,7,49248.0
2020-08-01,Tripura,West Tripura,1254,645,6,7,51138.0
2020-08-02,Tripura,West Tripura,1305,654,9,7,52396.0
2020-08-03,Tripura,West Tripura,1305,654,9,7,53620.0
2020-08-04,Tripura,West Tripura,1348,673,9,7,53620.0
2020-08-05,Tripura,West Tripura,1402,691,10,7,54593.0
2020-08-06,Tripura,West Tripura,1432,707,10,7,55689.0
2020-08-07,Tripura,West Tripura,1482,736,12,7,56719.0
2020-08-08,Tripura,West Tripura,1546,788,13,7,58066.0
2020-08-09,Tripura,West Tripura,1603,816,14,7,59332.0
2020-08-10,Tripura,West Tripura,1625,881,15,7,60101.0
2020-08-11,Tripura,West Tripura,1702,980,16,7,61515.0
2020-08-12,Tripura,West Tripura,1741,1041,16,7,62691.0
2020-08-13,Tripura,West Tripura,1778,1080,17,7,63619.0
2020-08-14,Tripura,West Tripura,1838,1121,18,7,64601.0
2020-08-15,Tripura,West Tripura,1926,1143,20,7,66131.0
2020-08-16,Tripura,West Tripura,1980,1169,22,7,66870.0
2020-08-17,Tripura,West Tripura,2032,1203,24,7,67481.0
2020-08-18,Tripura,West Tripura,2097,1246,26,7,68526.0
2020-08-19,Tripura,West Tripura,2188,1273,28,7,69819.0
2020-08-20,Tripura,West Tripura,2282,1288,28,7,70880.0
2020-08-21,Tripura,West Tripura,2391,1335,32,7,72100.0
2020-08-22,Tripura,West Tripura,2537,1496,33,7,73849.0
