Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Agra,372,49,10,0,
2020-04-27,Uttar Pradesh,Agra,384,52,10,0,
2020-04-28,Uttar Pradesh,Agra,401,71,12,0,
2020-04-29,Uttar Pradesh,Agra,430,91,14,0,
2020-04-30,Uttar Pradesh,Agra,468,91,14,0,
2020-05-01,Uttar Pradesh,Agra,497,91,14,0,
2020-05-02,Uttar Pradesh,Agra,536,104,14,0,
2020-05-03,Uttar Pradesh,Agra,596,104,14,0,
2020-05-04,Uttar Pradesh,Agra,628,113,14,0,7463.0
2020-05-05,Uttar Pradesh,Agra,640,208,16,0,7463.0
2020-05-06,Uttar Pradesh,Agra,655,208,16,0,7463.0
2020-05-07,Uttar Pradesh,Agra,670,220,16,0,7463.0
2020-05-08,Uttar Pradesh,Agra,706,261,16,0,7463.0
2020-05-09,Uttar Pradesh,Agra,743,267,21,0,7463.0
2020-05-10,Uttar Pradesh,Agra,756,326,24,0,7463.0
2020-05-11,Uttar Pradesh,Agra,770,326,24,0,9520.0
2020-05-12,Uttar Pradesh,Agra,794,326,24,0,9520.0
2020-05-13,Uttar Pradesh,Agra,791,364,24,0,9520.0
2020-05-14,Uttar Pradesh,Agra,785,394,24,0,9520.0
2020-05-15,Uttar Pradesh,Agra,794,394,24,0,10377.0
2020-05-16,Uttar Pradesh,Agra,806,501,27,0,10544.0
2020-05-17,Uttar Pradesh,Agra,810,547,27,0,10741.0
2020-05-18,Uttar Pradesh,Agra,815,547,27,0,10822.0
2020-05-19,Uttar Pradesh,Agra,827,613,27,0,10822.0
2020-05-20,Uttar Pradesh,Agra,836,625,27,0,11284.0
2020-05-21,Uttar Pradesh,Agra,845,675,28,0,11284.0
2020-05-22,Uttar Pradesh,Agra,839,692,33,0,11462.0
2020-05-23,Uttar Pradesh,Agra,845,693,33,0,11875.0
2020-05-24,Uttar Pradesh,Agra,850,725,33,0,12027.0
2020-05-25,Uttar Pradesh,Agra,859,725,33,0,12153.0
2020-05-26,Uttar Pradesh,Agra,866,731,33,0,12384.0
2020-05-27,Uttar Pradesh,Agra,873,739,33,0,12559.0
2020-05-28,Uttar Pradesh,Agra,874,739,40,0,12782.0
2020-05-29,Uttar Pradesh,Agra,876,741,40,0,12956.0
2020-05-30,Uttar Pradesh,Agra,875,755,40,0,13162.0
2020-05-31,Uttar Pradesh,Agra,882,756,41,0,13162.0
2020-06-01,Uttar Pradesh,Agra,890,769,41,0,13162.0
2020-06-02,Uttar Pradesh,Agra,896,770,45,0,13162.0
2020-06-03,Uttar Pradesh,Agra,904,770,45,0,13162.0
2020-06-04,Uttar Pradesh,Agra,914,774,47,0,13162.0
2020-06-05,Uttar Pradesh,Agra,928,777,48,0,13162.0
2020-06-06,Uttar Pradesh,Agra,939,786,48,0,13162.0
2020-06-07,Uttar Pradesh,Agra,956,795,50,0,13162.0
2020-06-08,Uttar Pradesh,Agra,972,800,52,0,13162.0
2020-06-09,Uttar Pradesh,Agra,986,804,54,0,13162.0
2020-06-10,Uttar Pradesh,Agra,994,805,55,0,13162.0
2020-06-11,Uttar Pradesh,Agra,999,808,58,0,13162.0
2020-06-12,Uttar Pradesh,Agra,1009,823,60,0,13162.0
2020-06-13,Uttar Pradesh,Agra,1023,832,62,0,13162.0
2020-06-14,Uttar Pradesh,Agra,1038,849,64,0,13162.0
2020-06-15,Uttar Pradesh,Agra,1054,859,66,0,13162.0
2020-06-16,Uttar Pradesh,Agra,1075,867,69,0,13162.0
2020-06-17,Uttar Pradesh,Agra,1093,878,72,0,13162.0
2020-06-18,Uttar Pradesh,Agra,1114,887,76,0,13162.0
2020-06-19,Uttar Pradesh,Agra,1127,901,79,0,13162.0
2020-06-20,Uttar Pradesh,Agra,1136,908,79,0,13162.0
2020-06-21,Uttar Pradesh,Agra,1137,923,79,0,13162.0
2020-06-22,Uttar Pradesh,Agra,1144,934,83,0,13162.0
2020-06-23,Uttar Pradesh,Agra,1150,944,84,0,13162.0
2020-06-24,Uttar Pradesh,Agra,1159,957,85,0,13162.0
2020-06-25,Uttar Pradesh,Agra,1164,967,85,0,13162.0
2020-06-26,Uttar Pradesh,Agra,1178,976,86,0,13162.0
2020-06-27,Uttar Pradesh,Agra,1185,987,87,0,13162.0
2020-06-28,Uttar Pradesh,Agra,1196,1002,87,0,13162.0
2020-06-29,Uttar Pradesh,Agra,1214,1004,87,0,13162.0
2020-06-30,Uttar Pradesh,Agra,1222,1014,87,0,13162.0
2020-07-01,Uttar Pradesh,Agra,1225,1021,89,0,13162.0
2020-07-02,Uttar Pradesh,Agra,1241,1034,90,0,13162.0
2020-07-03,Uttar Pradesh,Agra,1264,1039,92,0,13162.0
2020-07-04,Uttar Pradesh,Agra,1267,1044,93,0,13162.0
2020-07-05,Uttar Pradesh,Agra,1284,1057,93,0,13162.0
2020-07-06,Uttar Pradesh,Agra,1305,1069,93,0,13162.0
2020-07-07,Uttar Pradesh,Agra,1311,1090,93,0,13162.0
2020-07-08,Uttar Pradesh,Agra,1334,1097,93,0,13162.0
2020-07-09,Uttar Pradesh,Agra,1346,1102,93,0,13162.0
2020-07-10,Uttar Pradesh,Agra,1367,1111,93,0,28921.0
2020-07-11,Uttar Pradesh,Agra,1380,1126,93,0,29432.0
2020-07-12,Uttar Pradesh,Agra,1386,1135,94,0,29929.0
2020-07-13,Uttar Pradesh,Agra,1395,1140,94,0,30510.0
2020-07-14,Uttar Pradesh,Agra,1414,1158,95,0,31417.0
2020-07-15,Uttar Pradesh,Agra,1424,1170,95,0,32238.0
2020-07-16,Uttar Pradesh,Agra,1441,1192,96,0,33136.0
2020-07-17,Uttar Pradesh,Agra,1457,1201,96,0,33932.0
2020-07-18,Uttar Pradesh,Agra,1477,1214,96,0,34543.0
2020-07-19,Uttar Pradesh,Agra,1497,1233,96,0,35018.0
2020-07-20,Uttar Pradesh,Agra,1508,1247,96,0,35018.0
2020-07-21,Uttar Pradesh,Agra,1529,1255,96,0,36112.0
2020-07-22,Uttar Pradesh,Agra,1543,1270,97,0,36947.0
2020-07-23,Uttar Pradesh,Agra,1566,1275,97,0,37836.0
2020-07-24,Uttar Pradesh,Agra,1591,1287,99,0,37836.0
2020-07-25,Uttar Pradesh,Agra,1609,1320,99,0,39958.0
2020-07-26,Uttar Pradesh,Agra,1629,1351,99,0,41544.0
2020-07-27,Uttar Pradesh,Agra,1667,1367,99,0,43151.0
2020-07-28,Uttar Pradesh,Agra,1684,1376,99,0,43151.0
2020-07-29,Uttar Pradesh,Agra,1705,1394,99,0,46641.0
2020-07-30,Uttar Pradesh,Agra,1743,1403,100,0,48703.0
2020-07-31,Uttar Pradesh,Agra,1793,1423,100,0,50759.0
2020-08-01,Uttar Pradesh,Agra,1826,1447,100,0,52942.0
2020-08-02,Uttar Pradesh,Agra,1861,1472,101,0,54960.0
2020-08-03,Uttar Pradesh,Agra,1895,1494,99,0,56563.0
2020-08-04,Uttar Pradesh,Agra,1905,1515,99,0,56563.0
2020-08-05,Uttar Pradesh,Agra,1946,1546,99,0,59353.0
2020-08-06,Uttar Pradesh,Agra,1985,1592,100,0,61085.0
2020-08-07,Uttar Pradesh,Agra,2016,1613,101,0,62692.0
2020-08-08,Uttar Pradesh,Agra,2051,1642,101,0,64469.0
2020-08-09,Uttar Pradesh,Agra,2097,1672,101,0,66275.0
2020-08-10,Uttar Pradesh,Agra,2117,1699,101,0,68149.0
2020-08-11,Uttar Pradesh,Agra,2172,1716,101,0,70007.0
2020-08-12,Uttar Pradesh,Agra,2190,1747,102,0,71818.0
2020-08-13,Uttar Pradesh,Agra,2227,1767,102,0,73713.0
2020-08-14,Uttar Pradesh,Agra,2237,1782,102,0,75709.0
2020-08-15,Uttar Pradesh,Agra,2268,1826,102,0,78013.0
2020-08-16,Uttar Pradesh,Agra,2297,1870,103,0,80010.0
2020-08-17,Uttar Pradesh,Agra,2337,1900,104,0,81731.0
2020-08-18,Uttar Pradesh,Agra,2360,1944,104,0,83844.0
2020-08-19,Uttar Pradesh,Agra,2372,1981,104,0,86409.0
2020-08-20,Uttar Pradesh,Agra,2396,2018,105,0,88939.0
2020-08-21,Uttar Pradesh,Agra,2421,2054,105,0,92013.0
2020-08-22,Uttar Pradesh,Agra,2463,2080,105,0,94329.0
2020-08-23,Uttar Pradesh,Agra,2500,2115,105,0,96917.0
2020-08-24,Uttar Pradesh,Agra,2532,2133,106,0,100012.0
2020-08-25,Uttar Pradesh,Agra,2581,2175,106,0,102958.0
2020-08-26,Uttar Pradesh,Agra,2617,2204,106,0,105977.0
2020-08-27,Uttar Pradesh,Agra,2660,2223,106,0,108322.0
2020-08-28,Uttar Pradesh,Agra,2700,2248,106,0,110416.0
2020-08-29,Uttar Pradesh,Agra,2760,2281,106,0,112713.0
2020-08-30,Uttar Pradesh,Agra,2827,2317,107,0,115156.0
2020-08-31,Uttar Pradesh,Agra,2889,2344,107,0,117527.0
2020-09-01,Uttar Pradesh,Agra,2957,2392,107,0,120058.0
2020-09-02,Uttar Pradesh,Agra,3041,2418,107,0,122638.0
2020-09-03,Uttar Pradesh,Agra,3117,2460,108,0,125183.0
2020-09-04,Uttar Pradesh,Agra,3208,2501,108,0,127881.0
2020-09-05,Uttar Pradesh,Agra,3288,2545,109,0,130530.0
2020-09-06,Uttar Pradesh,Agra,3373,2595,110,0,132684.0
2020-09-07,Uttar Pradesh,Agra,3459,2655,110,0,134695.0
2020-09-08,Uttar Pradesh,Agra,3542,2710,111,0,137059.0
2020-09-09,Uttar Pradesh,Agra,3642,2769,111,0,139432.0
2020-09-10,Uttar Pradesh,Agra,3733,2859,111,0,142045.0
2020-09-11,Uttar Pradesh,Agra,3834,2928,111,0,145013.0
2020-09-12,Uttar Pradesh,Agra,3934,3007,112,0,147555.0
2020-09-13,Uttar Pradesh,Agra,4045,3104,113,0,150020.0
2020-09-14,Uttar Pradesh,Agra,4152,3175,113,0,152087.0
2020-09-15,Uttar Pradesh,Agra,4276,3291,113,0,152087.0
2020-09-16,Uttar Pradesh,Agra,4332,3399,115,0,157386.0
