Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Aligarh,13,0,1,0,
2020-04-27,Uttar Pradesh,Aligarh,23,0,1,0,
2020-04-28,Uttar Pradesh,Aligarh,24,0,1,0,
2020-04-29,Uttar Pradesh,Aligarh,32,0,1,0,
2020-04-30,Uttar Pradesh,Aligarh,35,0,1,0,
2020-05-01,Uttar Pradesh,Aligarh,35,0,1,0,
2020-05-02,Uttar Pradesh,Aligarh,41,0,1,0,
2020-05-03,Uttar Pradesh,Aligarh,42,0,1,0,
2020-05-04,Uttar Pradesh,Aligarh,42,0,1,0,
2020-05-05,Uttar Pradesh,Aligarh,43,0,1,0,
2020-05-06,Uttar Pradesh,Aligarh,50,2,2,0,
2020-05-07,Uttar Pradesh,Aligarh,53,6,2,0,
2020-05-08,Uttar Pradesh,Aligarh,53,10,2,0,
2020-05-09,Uttar Pradesh,Aligarh,55,11,3,0,
2020-05-10,Uttar Pradesh,Aligarh,55,13,3,0,
2020-05-11,Uttar Pradesh,Aligarh,57,22,3,0,
2020-05-12,Uttar Pradesh,Aligarh,60,22,3,0,
2020-05-13,Uttar Pradesh,Aligarh,63,24,3,0,
2020-05-14,Uttar Pradesh,Aligarh,66,24,3,0,
2020-05-15,Uttar Pradesh,Aligarh,66,37,3,0,
2020-05-16,Uttar Pradesh,Aligarh,66,37,3,0,
2020-05-17,Uttar Pradesh,Aligarh,73,37,8,0,
2020-05-18,Uttar Pradesh,Aligarh,78,39,8,0,
2020-05-19,Uttar Pradesh,Aligarh,99,49,8,0,
2020-05-20,Uttar Pradesh,Aligarh,99,53,8,0,
2020-05-21,Uttar Pradesh,Aligarh,110,53,9,0,
2020-05-22,Uttar Pradesh,Aligarh,115,55,10,0,
2020-05-23,Uttar Pradesh,Aligarh,121,56,11,0,
2020-05-24,Uttar Pradesh,Aligarh,126,59,12,0,
2020-05-25,Uttar Pradesh,Aligarh,127,59,12,0,
2020-05-26,Uttar Pradesh,Aligarh,129,59,14,0,
2020-05-27,Uttar Pradesh,Aligarh,129,59,15,0,
2020-05-28,Uttar Pradesh,Aligarh,130,65,15,0,
2020-05-29,Uttar Pradesh,Aligarh,145,65,15,0,
2020-05-30,Uttar Pradesh,Aligarh,145,66,15,0,
2020-05-31,Uttar Pradesh,Aligarh,154,75,15,0,
2020-06-01,Uttar Pradesh,Aligarh,160,84,16,0,
2020-06-02,Uttar Pradesh,Aligarh,162,87,16,0,
2020-06-03,Uttar Pradesh,Aligarh,170,88,16,0,
2020-06-04,Uttar Pradesh,Aligarh,176,88,16,0,
2020-06-05,Uttar Pradesh,Aligarh,177,88,16,0,
2020-06-06,Uttar Pradesh,Aligarh,185,98,16,0,
2020-06-07,Uttar Pradesh,Aligarh,200,99,16,0,
2020-06-08,Uttar Pradesh,Aligarh,213,100,16,0,
2020-06-09,Uttar Pradesh,Aligarh,220,104,17,0,
2020-06-10,Uttar Pradesh,Aligarh,226,105,18,0,
2020-06-11,Uttar Pradesh,Aligarh,236,138,19,0,
2020-06-12,Uttar Pradesh,Aligarh,245,139,19,0,
2020-06-13,Uttar Pradesh,Aligarh,255,140,19,0,
2020-06-14,Uttar Pradesh,Aligarh,271,144,19,0,
2020-06-15,Uttar Pradesh,Aligarh,282,154,19,0,
2020-06-16,Uttar Pradesh,Aligarh,292,154,20,0,
2020-06-17,Uttar Pradesh,Aligarh,309,156,20,0,
2020-06-18,Uttar Pradesh,Aligarh,311,159,20,0,
2020-06-19,Uttar Pradesh,Aligarh,339,161,20,0,
2020-06-20,Uttar Pradesh,Aligarh,355,183,20,0,
2020-06-21,Uttar Pradesh,Aligarh,367,184,20,0,
2020-06-22,Uttar Pradesh,Aligarh,374,197,21,0,
2020-06-23,Uttar Pradesh,Aligarh,404,208,22,0,
2020-06-24,Uttar Pradesh,Aligarh,409,211,22,0,
2020-06-25,Uttar Pradesh,Aligarh,426,224,22,0,
2020-06-26,Uttar Pradesh,Aligarh,440,225,22,0,
2020-06-27,Uttar Pradesh,Aligarh,454,235,22,0,
2020-06-28,Uttar Pradesh,Aligarh,458,245,22,0,
2020-06-29,Uttar Pradesh,Aligarh,475,266,22,0,
2020-06-30,Uttar Pradesh,Aligarh,500,301,23,0,
2020-07-01,Uttar Pradesh,Aligarh,519,309,23,0,
2020-07-02,Uttar Pradesh,Aligarh,545,320,23,0,
2020-07-03,Uttar Pradesh,Aligarh,569,321,23,0,
2020-07-04,Uttar Pradesh,Aligarh,576,343,23,0,
2020-07-05,Uttar Pradesh,Aligarh,593,355,23,0,
