Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-11,Uttar Pradesh,Ambedkar Nagar,2,0,0,0,
2020-05-12,Uttar Pradesh,Ambedkar Nagar,2,0,0,0,
2020-05-13,Uttar Pradesh,Ambedkar Nagar,2,0,0,0,
2020-05-14,Uttar Pradesh,Ambedkar Nagar,2,0,0,0,
2020-05-15,Uttar Pradesh,Ambedkar Nagar,4,0,0,0,
2020-05-16,Uttar Pradesh,Ambedkar Nagar,6,0,0,0,
2020-05-17,Uttar Pradesh,Ambedkar Nagar,13,0,0,0,
2020-05-18,Uttar Pradesh,Ambedkar Nagar,20,0,0,0,
2020-05-19,Uttar Pradesh,Ambedkar Nagar,21,0,0,0,
2020-05-20,Uttar Pradesh,Ambedkar Nagar,22,0,0,0,
2020-05-21,Uttar Pradesh,Ambedkar Nagar,31,0,0,0,
2020-05-22,Uttar Pradesh,Ambedkar Nagar,31,1,1,0,
2020-05-23,Uttar Pradesh,Ambedkar Nagar,35,1,1,0,
2020-05-24,Uttar Pradesh,Ambedkar Nagar,37,1,1,0,
2020-05-25,Uttar Pradesh,Ambedkar Nagar,39,1,1,0,
2020-05-26,Uttar Pradesh,Ambedkar Nagar,49,2,2,0,
2020-05-27,Uttar Pradesh,Ambedkar Nagar,51,5,2,0,
2020-05-28,Uttar Pradesh,Ambedkar Nagar,51,10,2,0,
2020-05-29,Uttar Pradesh,Ambedkar Nagar,56,12,3,0,
2020-05-30,Uttar Pradesh,Ambedkar Nagar,61,13,3,0,
2020-05-31,Uttar Pradesh,Ambedkar Nagar,62,19,3,0,
2020-06-01,Uttar Pradesh,Ambedkar Nagar,66,24,3,0,
2020-06-02,Uttar Pradesh,Ambedkar Nagar,70,27,3,0,
2020-06-03,Uttar Pradesh,Ambedkar Nagar,70,27,3,0,
2020-06-04,Uttar Pradesh,Ambedkar Nagar,74,28,3,0,
2020-06-05,Uttar Pradesh,Ambedkar Nagar,81,29,3,0,
2020-06-06,Uttar Pradesh,Ambedkar Nagar,84,35,3,0,
2020-06-07,Uttar Pradesh,Ambedkar Nagar,85,39,3,0,
2020-06-08,Uttar Pradesh,Ambedkar Nagar,93,46,3,0,
2020-06-09,Uttar Pradesh,Ambedkar Nagar,94,47,3,0,
2020-06-10,Uttar Pradesh,Ambedkar Nagar,94,48,3,0,
