Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-05,Uttar Pradesh,Amethi,1,0,0,0,
2020-05-06,Uttar Pradesh,Amethi,1,0,0,0,
2020-05-07,Uttar Pradesh,Amethi,3,0,0,0,
2020-05-08,Uttar Pradesh,Amethi,5,0,0,0,
2020-05-09,Uttar Pradesh,Amethi,5,0,0,0,
2020-05-10,Uttar Pradesh,Amethi,6,0,0,0,
2020-05-11,Uttar Pradesh,Amethi,6,0,0,0,
2020-05-12,Uttar Pradesh,Amethi,11,0,0,0,
2020-05-13,Uttar Pradesh,Amethi,11,0,0,0,
2020-05-14,Uttar Pradesh,Amethi,13,0,0,0,
2020-05-15,Uttar Pradesh,Amethi,16,0,0,0,
2020-05-16,Uttar Pradesh,Amethi,16,0,0,0,
2020-05-17,Uttar Pradesh,Amethi,18,0,0,0,
2020-05-18,Uttar Pradesh,Amethi,26,0,0,0,
2020-05-19,Uttar Pradesh,Amethi,26,0,0,0,
2020-05-20,Uttar Pradesh,Amethi,26,4,0,0,
2020-05-21,Uttar Pradesh,Amethi,31,4,0,0,
2020-05-22,Uttar Pradesh,Amethi,31,5,0,0,
2020-05-23,Uttar Pradesh,Amethi,40,5,0,0,
2020-05-24,Uttar Pradesh,Amethi,41,5,0,0,
2020-05-25,Uttar Pradesh,Amethi,46,5,0,0,
2020-05-26,Uttar Pradesh,Amethi,80,9,0,0,
2020-05-27,Uttar Pradesh,Amethi,88,12,0,0,
2020-05-28,Uttar Pradesh,Amethi,89,18,0,0,
2020-05-29,Uttar Pradesh,Amethi,89,28,0,0,
2020-05-30,Uttar Pradesh,Amethi,132,28,0,0,
2020-05-31,Uttar Pradesh,Amethi,146,29,0,0,
2020-06-01,Uttar Pradesh,Amethi,148,29,0,0,
2020-06-02,Uttar Pradesh,Amethi,171,29,0,0,
2020-06-03,Uttar Pradesh,Amethi,171,29,0,0,
2020-06-04,Uttar Pradesh,Amethi,180,29,0,0,
2020-06-05,Uttar Pradesh,Amethi,183,32,0,0,
2020-06-06,Uttar Pradesh,Amethi,196,70,0,0,
2020-06-07,Uttar Pradesh,Amethi,200,71,0,0,
2020-06-08,Uttar Pradesh,Amethi,202,78,0,0,
2020-06-09,Uttar Pradesh,Amethi,214,78,0,0,
2020-06-10,Uttar Pradesh,Amethi,214,116,1,0,
2020-06-11,Uttar Pradesh,Amethi,215,134,1,0,
2020-06-12,Uttar Pradesh,Amethi,215,134,1,0,
2020-06-13,Uttar Pradesh,Amethi,216,160,1,0,
2020-06-14,Uttar Pradesh,Amethi,217,185,1,0,
2020-06-15,Uttar Pradesh,Amethi,226,189,1,0,
2020-06-16,Uttar Pradesh,Amethi,236,193,1,0,
2020-06-17,Uttar Pradesh,Amethi,237,201,1,0,
2020-06-18,Uttar Pradesh,Amethi,247,202,1,0,
2020-06-19,Uttar Pradesh,Amethi,254,205,1,0,
2020-06-20,Uttar Pradesh,Amethi,263,212,1,0,
2020-06-21,Uttar Pradesh,Amethi,267,213,1,0,
2020-06-22,Uttar Pradesh,Amethi,269,235,1,0,
2020-06-23,Uttar Pradesh,Amethi,275,235,1,0,
2020-06-24,Uttar Pradesh,Amethi,276,244,1,0,
2020-06-25,Uttar Pradesh,Amethi,277,250,1,0,
2020-06-26,Uttar Pradesh,Amethi,277,261,1,0,
2020-06-27,Uttar Pradesh,Amethi,279,266,1,0,
2020-06-28,Uttar Pradesh,Amethi,279,266,1,0,
2020-06-29,Uttar Pradesh,Amethi,278,271,1,0,
2020-06-30,Uttar Pradesh,Amethi,282,271,1,0,
