Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Ayodhya,1,0,0,0,
2020-04-27,Uttar Pradesh,Ayodhya,1,0,0,0,
2020-04-28,Uttar Pradesh,Ayodhya,1,0,0,0,
2020-04-29,Uttar Pradesh,Ayodhya,1,0,0,0,
2020-04-30,Uttar Pradesh,Ayodhya,1,0,0,0,
2020-05-01,Uttar Pradesh,Ayodhya,1,0,0,0,
2020-05-02,Uttar Pradesh,Ayodhya,1,0,0,0,
2020-05-03,Uttar Pradesh,Ayodhya,1,0,0,0,
2020-05-04,Uttar Pradesh,Ayodhya,1,0,0,0,
2020-05-05,Uttar Pradesh,Ayodhya,1,0,0,0,
2020-05-06,Uttar Pradesh,Ayodhya,1,0,0,0,
2020-05-07,Uttar Pradesh,Ayodhya,1,0,0,0,
2020-05-08,Uttar Pradesh,Ayodhya,1,0,0,0,
2020-05-09,Uttar Pradesh,Ayodhya,1,0,0,0,
2020-05-10,Uttar Pradesh,Ayodhya,2,0,0,0,
2020-05-11,Uttar Pradesh,Ayodhya,1,1,0,0,
2020-05-12,Uttar Pradesh,Ayodhya,1,1,0,0,
2020-05-13,Uttar Pradesh,Ayodhya,1,1,0,0,
2020-05-14,Uttar Pradesh,Ayodhya,1,1,0,0,
2020-05-15,Uttar Pradesh,Ayodhya,5,1,0,0,
2020-05-16,Uttar Pradesh,Ayodhya,7,1,0,0,
2020-05-17,Uttar Pradesh,Ayodhya,7,1,0,0,
2020-05-18,Uttar Pradesh,Ayodhya,7,1,0,0,
2020-05-19,Uttar Pradesh,Ayodhya,7,1,0,0,
2020-05-20,Uttar Pradesh,Ayodhya,28,1,0,0,
2020-05-21,Uttar Pradesh,Ayodhya,47,1,1,0,
2020-05-22,Uttar Pradesh,Ayodhya,53,1,3,0,
2020-05-23,Uttar Pradesh,Ayodhya,57,1,3,0,
2020-05-24,Uttar Pradesh,Ayodhya,57,1,3,0,
2020-05-25,Uttar Pradesh,Ayodhya,57,1,3,0,
2020-05-26,Uttar Pradesh,Ayodhya,70,1,3,0,
2020-05-27,Uttar Pradesh,Ayodhya,93,2,3,0,
2020-05-28,Uttar Pradesh,Ayodhya,94,2,3,0,
2020-05-29,Uttar Pradesh,Ayodhya,103,5,3,0,
2020-05-30,Uttar Pradesh,Ayodhya,108,6,3,0,
2020-05-31,Uttar Pradesh,Ayodhya,113,30,3,0,
2020-06-01,Uttar Pradesh,Ayodhya,116,39,3,0,
2020-06-02,Uttar Pradesh,Ayodhya,116,48,3,0,
2020-06-03,Uttar Pradesh,Ayodhya,116,48,3,0,
2020-06-04,Uttar Pradesh,Ayodhya,127,48,3,0,
2020-06-05,Uttar Pradesh,Ayodhya,128,48,3,0,
2020-06-06,Uttar Pradesh,Ayodhya,128,59,3,0,
2020-06-07,Uttar Pradesh,Ayodhya,138,78,3,0,
2020-06-08,Uttar Pradesh,Ayodhya,140,90,4,0,
2020-06-09,Uttar Pradesh,Ayodhya,145,91,4,0,
2020-06-10,Uttar Pradesh,Ayodhya,150,103,4,0,
2020-06-11,Uttar Pradesh,Ayodhya,153,103,4,0,
2020-06-12,Uttar Pradesh,Ayodhya,156,103,4,0,
2020-06-13,Uttar Pradesh,Ayodhya,162,107,4,0,
2020-06-14,Uttar Pradesh,Ayodhya,171,115,4,0,
2020-06-15,Uttar Pradesh,Ayodhya,181,115,4,0,
2020-06-16,Uttar Pradesh,Ayodhya,181,124,4,0,
2020-06-17,Uttar Pradesh,Ayodhya,187,124,4,0,
2020-06-18,Uttar Pradesh,Ayodhya,197,125,4,0,
2020-06-19,Uttar Pradesh,Ayodhya,201,129,4,0,
2020-06-20,Uttar Pradesh,Ayodhya,201,132,4,0,
2020-06-21,Uttar Pradesh,Ayodhya,216,139,4,0,
2020-06-22,Uttar Pradesh,Ayodhya,222,139,4,0,
2020-06-23,Uttar Pradesh,Ayodhya,230,148,4,0,
2020-06-24,Uttar Pradesh,Ayodhya,230,151,4,0,
2020-06-25,Uttar Pradesh,Ayodhya,247,167,4,0,
2020-06-26,Uttar Pradesh,Ayodhya,247,171,4,0,
2020-06-27,Uttar Pradesh,Ayodhya,262,176,4,0,
2020-06-28,Uttar Pradesh,Ayodhya,264,176,4,0,
2020-06-29,Uttar Pradesh,Ayodhya,274,188,4,0,
2020-06-30,Uttar Pradesh,Ayodhya,276,192,4,0,
2020-07-01,Uttar Pradesh,Ayodhya,289,196,4,0,
2020-07-02,Uttar Pradesh,Ayodhya,294,196,4,0,
2020-07-03,Uttar Pradesh,Ayodhya,305,199,4,0,
2020-07-04,Uttar Pradesh,Ayodhya,307,209,4,0,
2020-07-05,Uttar Pradesh,Ayodhya,311,225,4,0,
2020-07-06,Uttar Pradesh,Ayodhya,317,229,4,0,
2020-07-07,Uttar Pradesh,Ayodhya,335,248,4,0,
2020-07-08,Uttar Pradesh,Ayodhya,341,254,4,0,
2020-07-09,Uttar Pradesh,Ayodhya,381,254,4,0,
2020-07-10,Uttar Pradesh,Ayodhya,397,259,4,0,15273.0
2020-07-11,Uttar Pradesh,Ayodhya,437,273,5,0,15947.0
2020-07-12,Uttar Pradesh,Ayodhya,444,274,5,0,15947.0
2020-07-13,Uttar Pradesh,Ayodhya,457,275,5,0,17339.0
2020-07-14,Uttar Pradesh,Ayodhya,493,280,5,0,17947.0
2020-07-15,Uttar Pradesh,Ayodhya,527,300,6,0,18459.0
2020-07-16,Uttar Pradesh,Ayodhya,556,318,6,0,19180.0
2020-07-17,Uttar Pradesh,Ayodhya,572,318,7,0,19906.0
2020-07-18,Uttar Pradesh,Ayodhya,615,329,8,0,20490.0
2020-07-19,Uttar Pradesh,Ayodhya,624,348,8,0,20842.0
2020-07-20,Uttar Pradesh,Ayodhya,635,363,8,0,21514.0
2020-07-21,Uttar Pradesh,Ayodhya,653,378,8,0,22090.0
2020-07-22,Uttar Pradesh,Ayodhya,680,428,8,0,22604.0
2020-07-23,Uttar Pradesh,Ayodhya,703,483,8,0,23334.0
2020-07-24,Uttar Pradesh,Ayodhya,713,524,9,0,23876.0
2020-07-25,Uttar Pradesh,Ayodhya,750,554,9,0,23876.0
2020-07-26,Uttar Pradesh,Ayodhya,841,565,12,0,26203.0
2020-07-27,Uttar Pradesh,Ayodhya,875,580,12,0,28423.0
2020-07-28,Uttar Pradesh,Ayodhya,927,597,12,0,30269.0
2020-07-29,Uttar Pradesh,Ayodhya,993,605,13,0,31939.0
2020-07-30,Uttar Pradesh,Ayodhya,1052,622,13,0,33669.0
2020-07-31,Uttar Pradesh,Ayodhya,1194,636,14,0,34395.0
2020-08-01,Uttar Pradesh,Ayodhya,1248,657,14,0,34395.0
2020-08-02,Uttar Pradesh,Ayodhya,1334,656,16,0,35621.0
2020-08-03,Uttar Pradesh,Ayodhya,1350,730,16,0,35621.0
2020-08-04,Uttar Pradesh,Ayodhya,1370,744,17,0,35621.0
2020-08-05,Uttar Pradesh,Ayodhya,1420,781,17,0,37589.0
2020-08-06,Uttar Pradesh,Ayodhya,1448,841,20,0,38104.0
2020-08-07,Uttar Pradesh,Ayodhya,1495,910,21,0,40486.0
2020-08-08,Uttar Pradesh,Ayodhya,1556,944,21,0,41573.0
2020-08-09,Uttar Pradesh,Ayodhya,1630,984,21,0,42239.0
2020-08-10,Uttar Pradesh,Ayodhya,1662,1069,21,0,43399.0
2020-08-11,Uttar Pradesh,Ayodhya,1713,1116,21,0,44302.0
2020-08-12,Uttar Pradesh,Ayodhya,1779,1174,22,0,45135.0
2020-08-13,Uttar Pradesh,Ayodhya,1826,1202,24,0,45889.0
2020-08-14,Uttar Pradesh,Ayodhya,1889,1228,26,0,46753.0
2020-08-15,Uttar Pradesh,Ayodhya,1935,1276,26,0,46753.0
2020-08-16,Uttar Pradesh,Ayodhya,1998,1372,28,0,47805.0
2020-08-17,Uttar Pradesh,Ayodhya,2051,1423,30,0,48834.0
2020-08-18,Uttar Pradesh,Ayodhya,2093,1462,32,0,48834.0
2020-08-19,Uttar Pradesh,Ayodhya,2172,1502,33,0,50436.0
2020-08-20,Uttar Pradesh,Ayodhya,2228,1540,33,0,50436.0
2020-08-21,Uttar Pradesh,Ayodhya,2322,1573,33,0,53067.0
2020-08-22,Uttar Pradesh,Ayodhya,2417,1654,34,0,53067.0
2020-08-23,Uttar Pradesh,Ayodhya,2509,1772,36,0,56497.0
2020-08-24,Uttar Pradesh,Ayodhya,2581,1850,37,0,58571.0
2020-08-25,Uttar Pradesh,Ayodhya,2724,1905,38,0,60438.0
2020-08-26,Uttar Pradesh,Ayodhya,2837,1938,39,0,62233.0
2020-08-27,Uttar Pradesh,Ayodhya,2946,2001,40,0,64242.0
2020-08-28,Uttar Pradesh,Ayodhya,3069,2045,40,0,66121.0
2020-08-29,Uttar Pradesh,Ayodhya,3171,2069,42,0,67732.0
2020-08-30,Uttar Pradesh,Ayodhya,3272,2107,43,0,69088.0
2020-08-31,Uttar Pradesh,Ayodhya,3327,2234,43,0,70990.0
2020-09-01,Uttar Pradesh,Ayodhya,3428,2324,46,0,72742.0
2020-09-02,Uttar Pradesh,Ayodhya,3513,2412,47,0,74589.0
2020-09-03,Uttar Pradesh,Ayodhya,3632,2521,47,0,76726.0
2020-09-04,Uttar Pradesh,Ayodhya,3740,2619,47,0,78826.0
2020-09-05,Uttar Pradesh,Ayodhya,3861,2731,47,0,80919.0
2020-09-06,Uttar Pradesh,Ayodhya,3959,2842,47,0,80919.0
2020-09-07,Uttar Pradesh,Ayodhya,4034,2958,48,0,84757.0
2020-09-08,Uttar Pradesh,Ayodhya,4165,3057,48,0,86527.0
2020-09-09,Uttar Pradesh,Ayodhya,4252,3129,52,0,88867.0
2020-09-10,Uttar Pradesh,Ayodhya,4376,3177,54,0,90932.0
2020-09-11,Uttar Pradesh,Ayodhya,4474,3294,54,0,92845.0
2020-09-12,Uttar Pradesh,Ayodhya,4577,3368,55,0,94865.0
2020-09-13,Uttar Pradesh,Ayodhya,4636,3531,55,0,96115.0
2020-09-14,Uttar Pradesh,Ayodhya,4695,3637,56,0,98003.0
2020-09-15,Uttar Pradesh,Ayodhya,4780,3767,57,0,99926.0
2020-09-16,Uttar Pradesh,Ayodhya,4888,3870,57,0,102246.0
2020-09-17,Uttar Pradesh,Ayodhya,4955,3937,57,0,104216.0
2020-09-18,Uttar Pradesh,Ayodhya,5070,4048,60,0,106536.0
2020-09-19,Uttar Pradesh,Ayodhya,5182,4155,64,0,109237.0
2020-09-20,Uttar Pradesh,Ayodhya,5281,4272,64,0,110818.0
2020-09-21,Uttar Pradesh,Ayodhya,5333,4357,64,0,113585.0
2020-09-22,Uttar Pradesh,Ayodhya,5443,4417,65,0,116163.0
2020-09-23,Uttar Pradesh,Ayodhya,5517,4488,66,0,118645.0
2020-09-24,Uttar Pradesh,Ayodhya,5594,4553,67,0,120380.0
2020-09-25,Uttar Pradesh,Ayodhya,5659,4639,67,0,123463.0
2020-09-26,Uttar Pradesh,Ayodhya,5761,4731,69,0,126453.0
2020-09-27,Uttar Pradesh,Ayodhya,5812,4861,70,0,128140.0
2020-09-28,Uttar Pradesh,Ayodhya,5863,4959,70,0,131069.0
2020-09-29,Uttar Pradesh,Ayodhya,5948,5048,72,0,134287.0
2020-09-30,Uttar Pradesh,Ayodhya,6030,5160,73,0,137387.0
2020-10-01,Uttar Pradesh,Ayodhya,6112,5203,74,0,140513.0
