Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Baghpat,15,1,0,0,
2020-04-27,Uttar Pradesh,Baghpat,15,11,0,0,
2020-04-28,Uttar Pradesh,Baghpat,15,11,0,0,
2020-04-29,Uttar Pradesh,Baghpat,15,13,0,0,
2020-04-30,Uttar Pradesh,Baghpat,15,13,0,0,
2020-05-01,Uttar Pradesh,Baghpat,16,14,0,0,
2020-05-02,Uttar Pradesh,Baghpat,17,14,0,0,
2020-05-03,Uttar Pradesh,Baghpat,17,14,0,0,
2020-05-04,Uttar Pradesh,Baghpat,17,14,0,0,
2020-05-05,Uttar Pradesh,Baghpat,18,14,0,0,
2020-05-06,Uttar Pradesh,Baghpat,18,14,0,0,
2020-05-07,Uttar Pradesh,Baghpat,18,14,0,0,
2020-05-08,Uttar Pradesh,Baghpat,21,16,0,0,
2020-05-09,Uttar Pradesh,Baghpat,21,16,0,0,
2020-05-10,Uttar Pradesh,Baghpat,21,16,0,0,
2020-05-11,Uttar Pradesh,Baghpat,22,16,0,0,
2020-05-12,Uttar Pradesh,Baghpat,25,16,0,0,
2020-05-13,Uttar Pradesh,Baghpat,25,16,0,0,
2020-05-14,Uttar Pradesh,Baghpat,25,16,0,0,
2020-05-15,Uttar Pradesh,Baghpat,25,16,0,0,
2020-05-16,Uttar Pradesh,Baghpat,25,16,0,0,
2020-05-17,Uttar Pradesh,Baghpat,26,18,0,0,
2020-05-18,Uttar Pradesh,Baghpat,26,18,0,0,
2020-05-19,Uttar Pradesh,Baghpat,26,18,0,0,
2020-05-20,Uttar Pradesh,Baghpat,27,20,0,0,
2020-05-21,Uttar Pradesh,Baghpat,27,20,0,0,
2020-05-22,Uttar Pradesh,Baghpat,27,24,0,0,
2020-05-23,Uttar Pradesh,Baghpat,27,24,0,0,
2020-05-24,Uttar Pradesh,Baghpat,29,24,0,0,
2020-05-25,Uttar Pradesh,Baghpat,29,24,0,0,
2020-05-26,Uttar Pradesh,Baghpat,29,24,0,0,
2020-05-27,Uttar Pradesh,Baghpat,30,24,0,0,
2020-05-28,Uttar Pradesh,Baghpat,30,24,1,0,
2020-05-29,Uttar Pradesh,Baghpat,30,24,1,0,
2020-05-30,Uttar Pradesh,Baghpat,40,24,1,0,
2020-05-31,Uttar Pradesh,Baghpat,42,25,1,0,
2020-06-01,Uttar Pradesh,Baghpat,43,26,1,0,
2020-06-02,Uttar Pradesh,Baghpat,44,26,1,0,
2020-06-03,Uttar Pradesh,Baghpat,46,26,1,0,
2020-06-04,Uttar Pradesh,Baghpat,64,26,1,0,
2020-06-05,Uttar Pradesh,Baghpat,76,27,1,0,
2020-06-06,Uttar Pradesh,Baghpat,76,27,1,0,
2020-06-07,Uttar Pradesh,Baghpat,92,28,1,0,
2020-06-08,Uttar Pradesh,Baghpat,100,28,1,0,
2020-06-09,Uttar Pradesh,Baghpat,104,28,1,0,
2020-06-10,Uttar Pradesh,Baghpat,119,28,1,0,
2020-06-11,Uttar Pradesh,Baghpat,119,28,1,0,
2020-06-12,Uttar Pradesh,Baghpat,124,39,2,0,
2020-06-13,Uttar Pradesh,Baghpat,141,42,2,0,
2020-06-14,Uttar Pradesh,Baghpat,145,43,2,0,
2020-06-15,Uttar Pradesh,Baghpat,150,49,2,0,
2020-06-16,Uttar Pradesh,Baghpat,153,51,2,0,
2020-06-17,Uttar Pradesh,Baghpat,164,51,2,0,
2020-06-18,Uttar Pradesh,Baghpat,184,74,2,0,
2020-06-19,Uttar Pradesh,Baghpat,192,77,2,0,
2020-06-20,Uttar Pradesh,Baghpat,192,82,3,0,
2020-06-21,Uttar Pradesh,Baghpat,210,107,3,0,
2020-06-22,Uttar Pradesh,Baghpat,222,136,3,0,
2020-06-23,Uttar Pradesh,Baghpat,224,139,3,0,
2020-06-24,Uttar Pradesh,Baghpat,224,144,3,0,
2020-06-25,Uttar Pradesh,Baghpat,231,146,3,0,
2020-06-26,Uttar Pradesh,Baghpat,232,150,3,0,
2020-06-27,Uttar Pradesh,Baghpat,247,167,4,0,
2020-06-28,Uttar Pradesh,Baghpat,264,177,4,0,
2020-06-29,Uttar Pradesh,Baghpat,264,185,4,0,
2020-06-30,Uttar Pradesh,Baghpat,266,193,4,0,
2020-07-01,Uttar Pradesh,Baghpat,275,214,4,0,
2020-07-02,Uttar Pradesh,Baghpat,276,215,5,0,
2020-07-03,Uttar Pradesh,Baghpat,303,217,5,0,
2020-07-04,Uttar Pradesh,Baghpat,315,220,5,0,
2020-07-05,Uttar Pradesh,Baghpat,343,224,7,0,
2020-07-06,Uttar Pradesh,Baghpat,344,244,7,0,
2020-07-07,Uttar Pradesh,Baghpat,391,244,7,0,
2020-07-08,Uttar Pradesh,Baghpat,413,257,7,0,
2020-07-09,Uttar Pradesh,Baghpat,421,260,7,0,
2020-07-10,Uttar Pradesh,Baghpat,427,267,7,0,17623.0
2020-07-11,Uttar Pradesh,Baghpat,436,282,7,0,18958.0
2020-07-12,Uttar Pradesh,Baghpat,451,296,7,0,20589.0
2020-07-13,Uttar Pradesh,Baghpat,452,311,7,0,22751.0
2020-07-14,Uttar Pradesh,Baghpat,469,324,7,0,24616.0
2020-07-15,Uttar Pradesh,Baghpat,474,331,7,0,27637.0
2020-07-16,Uttar Pradesh,Baghpat,487,331,7,0,28771.0
2020-07-17,Uttar Pradesh,Baghpat,490,387,8,0,29846.0
2020-07-18,Uttar Pradesh,Baghpat,500,401,8,0,31335.0
2020-07-19,Uttar Pradesh,Baghpat,508,405,8,0,32766.0
2020-07-20,Uttar Pradesh,Baghpat,513,419,10,0,34085.0
2020-07-21,Uttar Pradesh,Baghpat,518,423,11,0,35358.0
2020-07-22,Uttar Pradesh,Baghpat,528,437,11,0,36503.0
2020-07-23,Uttar Pradesh,Baghpat,546,444,11,0,37744.0
2020-07-24,Uttar Pradesh,Baghpat,568,449,11,0,38956.0
2020-07-25,Uttar Pradesh,Baghpat,577,487,11,0,40106.0
2020-07-26,Uttar Pradesh,Baghpat,586,498,12,0,41763.0
2020-07-27,Uttar Pradesh,Baghpat,594,508,12,0,42669.0
2020-07-28,Uttar Pradesh,Baghpat,602,512,12,0,43618.0
2020-07-29,Uttar Pradesh,Baghpat,610,515,12,0,44795.0
2020-07-30,Uttar Pradesh,Baghpat,616,522,12,0,46029.0
2020-07-31,Uttar Pradesh,Baghpat,623,526,12,0,46716.0
2020-08-01,Uttar Pradesh,Baghpat,622,534,12,0,47435.0
2020-08-02,Uttar Pradesh,Baghpat,628,538,12,0,47963.0
2020-08-03,Uttar Pradesh,Baghpat,630,553,12,0,48672.0
2020-08-04,Uttar Pradesh,Baghpat,632,554,12,0,48672.0
2020-08-05,Uttar Pradesh,Baghpat,639,558,12,0,50817.0
2020-08-06,Uttar Pradesh,Baghpat,645,563,13,0,52148.0
2020-08-07,Uttar Pradesh,Baghpat,655,570,13,0,53448.0
2020-08-08,Uttar Pradesh,Baghpat,660,577,13,0,54767.0
2020-08-09,Uttar Pradesh,Baghpat,672,582,13,0,56044.0
2020-08-10,Uttar Pradesh,Baghpat,683,586,14,0,57364.0
2020-08-11,Uttar Pradesh,Baghpat,694,592,14,0,58650.0
2020-08-12,Uttar Pradesh,Baghpat,707,594,14,0,59922.0
2020-08-13,Uttar Pradesh,Baghpat,714,600,14,0,61229.0
2020-08-14,Uttar Pradesh,Baghpat,724,608,14,0,62523.0
2020-08-15,Uttar Pradesh,Baghpat,745,616,14,0,62523.0
2020-08-16,Uttar Pradesh,Baghpat,747,631,15,0,65179.0
2020-08-17,Uttar Pradesh,Baghpat,764,633,15,0,66453.0
2020-08-18,Uttar Pradesh,Baghpat,772,645,15,0,66453.0
2020-08-19,Uttar Pradesh,Baghpat,775,661,15,0,69259.0
2020-08-20,Uttar Pradesh,Baghpat,784,674,15,0,70637.0
2020-08-21,Uttar Pradesh,Baghpat,810,682,15,0,72006.0
2020-08-22,Uttar Pradesh,Baghpat,812,701,15,0,72006.0
2020-08-23,Uttar Pradesh,Baghpat,820,711,15,0,74812.0
