Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Bahraich,9,0,0,0,
2020-04-27,Uttar Pradesh,Bahraich,9,0,0,0,
2020-04-28,Uttar Pradesh,Bahraich,9,0,0,0,
2020-04-29,Uttar Pradesh,Bahraich,9,0,0,0,
2020-04-30,Uttar Pradesh,Bahraich,9,0,0,0,
2020-05-01,Uttar Pradesh,Bahraich,9,0,0,0,
2020-05-02,Uttar Pradesh,Bahraich,14,0,0,0,
2020-05-03,Uttar Pradesh,Bahraich,14,0,0,0,
2020-05-04,Uttar Pradesh,Bahraich,15,0,0,0,
2020-05-05,Uttar Pradesh,Bahraich,15,0,0,0,
2020-05-06,Uttar Pradesh,Bahraich,15,0,0,0,
2020-05-07,Uttar Pradesh,Bahraich,15,0,0,0,
2020-05-08,Uttar Pradesh,Bahraich,17,8,0,0,
2020-05-09,Uttar Pradesh,Bahraich,22,8,0,0,
2020-05-10,Uttar Pradesh,Bahraich,24,8,0,0,
2020-05-11,Uttar Pradesh,Bahraich,25,9,0,0,
2020-05-12,Uttar Pradesh,Bahraich,26,9,0,0,
2020-05-13,Uttar Pradesh,Bahraich,26,11,0,0,
2020-05-14,Uttar Pradesh,Bahraich,35,11,0,0,
2020-05-15,Uttar Pradesh,Bahraich,37,13,0,0,
2020-05-16,Uttar Pradesh,Bahraich,37,13,0,0,
2020-05-17,Uttar Pradesh,Bahraich,45,13,0,0,
2020-05-18,Uttar Pradesh,Bahraich,51,18,0,0,
2020-05-19,Uttar Pradesh,Bahraich,62,18,0,0,
2020-05-20,Uttar Pradesh,Bahraich,63,24,0,0,
2020-05-21,Uttar Pradesh,Bahraich,66,24,0,0,
2020-05-22,Uttar Pradesh,Bahraich,68,25,0,0,
2020-05-23,Uttar Pradesh,Bahraich,68,26,0,0,
2020-05-24,Uttar Pradesh,Bahraich,70,26,0,0,
2020-05-25,Uttar Pradesh,Bahraich,73,35,0,0,
2020-05-26,Uttar Pradesh,Bahraich,74,35,0,0,
2020-05-27,Uttar Pradesh,Bahraich,76,35,0,0,
2020-05-28,Uttar Pradesh,Bahraich,78,53,0,0,
2020-05-29,Uttar Pradesh,Bahraich,81,53,0,0,
2020-05-30,Uttar Pradesh,Bahraich,85,53,0,0,
2020-05-31,Uttar Pradesh,Bahraich,85,53,0,0,
2020-06-01,Uttar Pradesh,Bahraich,87,62,0,0,
