Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Banda,3,0,0,0,
2020-04-27,Uttar Pradesh,Banda,3,0,0,0,
2020-04-28,Uttar Pradesh,Banda,4,0,0,0,
2020-04-29,Uttar Pradesh,Banda,4,0,0,0,
2020-04-30,Uttar Pradesh,Banda,4,0,0,0,
2020-05-01,Uttar Pradesh,Banda,7,3,0,0,
2020-05-02,Uttar Pradesh,Banda,7,3,0,0,
2020-05-03,Uttar Pradesh,Banda,7,3,0,0,
2020-05-04,Uttar Pradesh,Banda,7,3,0,0,
2020-05-05,Uttar Pradesh,Banda,7,3,0,0,
2020-05-06,Uttar Pradesh,Banda,14,3,0,0,
2020-05-07,Uttar Pradesh,Banda,17,3,0,0,
2020-05-08,Uttar Pradesh,Banda,18,3,0,0,
2020-05-09,Uttar Pradesh,Banda,18,3,0,0,
2020-05-10,Uttar Pradesh,Banda,20,3,0,0,
2020-05-11,Uttar Pradesh,Banda,20,3,0,0,
2020-05-12,Uttar Pradesh,Banda,21,3,0,0,
2020-05-13,Uttar Pradesh,Banda,21,4,0,0,
2020-05-14,Uttar Pradesh,Banda,21,4,0,0,
2020-05-15,Uttar Pradesh,Banda,21,4,0,0,
2020-05-16,Uttar Pradesh,Banda,21,4,0,0,
2020-05-17,Uttar Pradesh,Banda,21,10,0,0,
2020-05-18,Uttar Pradesh,Banda,21,17,0,0,
2020-05-19,Uttar Pradesh,Banda,21,19,0,0,
2020-05-20,Uttar Pradesh,Banda,21,20,0,0,
2020-05-21,Uttar Pradesh,Banda,22,21,0,0,
2020-05-22,Uttar Pradesh,Banda,23,21,0,0,
2020-05-23,Uttar Pradesh,Banda,23,21,0,0,
2020-05-24,Uttar Pradesh,Banda,23,21,0,0,
2020-05-25,Uttar Pradesh,Banda,23,21,0,0,
2020-05-26,Uttar Pradesh,Banda,23,21,0,0,
2020-05-27,Uttar Pradesh,Banda,23,21,0,0,
2020-05-28,Uttar Pradesh,Banda,23,21,0,0,
2020-05-29,Uttar Pradesh,Banda,23,21,0,0,
2020-05-30,Uttar Pradesh,Banda,23,22,0,0,
2020-05-31,Uttar Pradesh,Banda,24,22,0,0,
2020-06-01,Uttar Pradesh,Banda,25,23,0,0,
2020-06-02,Uttar Pradesh,Banda,25,23,0,0,
2020-06-03,Uttar Pradesh,Banda,25,23,0,0,
