Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Barabanki,1,1,0,0,
2020-04-27,Uttar Pradesh,Barabanki,1,1,0,0,
2020-04-28,Uttar Pradesh,Barabanki,1,1,0,0,
2020-04-29,Uttar Pradesh,Barabanki,1,1,0,0,
2020-04-30,Uttar Pradesh,Barabanki,1,1,0,0,
2020-05-01,Uttar Pradesh,Barabanki,1,1,0,0,
2020-05-02,Uttar Pradesh,Barabanki,1,1,0,0,
2020-05-03,Uttar Pradesh,Barabanki,2,1,0,0,
2020-05-04,Uttar Pradesh,Barabanki,2,1,0,0,
2020-05-05,Uttar Pradesh,Barabanki,2,1,0,0,
2020-05-06,Uttar Pradesh,Barabanki,2,1,0,0,
2020-05-07,Uttar Pradesh,Barabanki,2,1,0,0,
2020-05-08,Uttar Pradesh,Barabanki,2,1,0,0,
2020-05-09,Uttar Pradesh,Barabanki,2,1,0,0,
2020-05-10,Uttar Pradesh,Barabanki,2,1,0,0,
2020-05-11,Uttar Pradesh,Barabanki,7,1,0,0,
2020-05-12,Uttar Pradesh,Barabanki,7,1,0,0,
2020-05-13,Uttar Pradesh,Barabanki,7,1,0,0,
2020-05-14,Uttar Pradesh,Barabanki,10,1,0,0,
2020-05-15,Uttar Pradesh,Barabanki,22,1,0,0,
2020-05-16,Uttar Pradesh,Barabanki,29,1,0,0,
2020-05-17,Uttar Pradesh,Barabanki,29,1,0,0,
2020-05-18,Uttar Pradesh,Barabanki,29,2,0,0,
2020-05-19,Uttar Pradesh,Barabanki,29,2,0,0,
2020-05-20,Uttar Pradesh,Barabanki,79,2,0,0,
2020-05-21,Uttar Pradesh,Barabanki,133,2,0,0,
2020-05-22,Uttar Pradesh,Barabanki,133,4,0,0,
2020-05-23,Uttar Pradesh,Barabanki,133,4,0,0,
2020-05-24,Uttar Pradesh,Barabanki,133,4,0,0,
2020-05-25,Uttar Pradesh,Barabanki,140,5,0,0,
2020-05-26,Uttar Pradesh,Barabanki,142,22,1,0,
2020-05-27,Uttar Pradesh,Barabanki,144,22,1,0,
2020-05-28,Uttar Pradesh,Barabanki,144,76,1,0,
2020-05-29,Uttar Pradesh,Barabanki,147,119,1,0,
2020-05-30,Uttar Pradesh,Barabanki,152,119,1,0,
2020-05-31,Uttar Pradesh,Barabanki,156,130,1,0,
2020-06-01,Uttar Pradesh,Barabanki,159,131,1,0,
2020-06-02,Uttar Pradesh,Barabanki,163,131,1,0,
2020-06-03,Uttar Pradesh,Barabanki,163,131,1,0,
2020-06-04,Uttar Pradesh,Barabanki,164,138,1,0,
2020-06-05,Uttar Pradesh,Barabanki,168,138,1,0,
