Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Bareilly,6,6,0,0,
2020-04-27,Uttar Pradesh,Bareilly,7,6,0,0,
2020-04-28,Uttar Pradesh,Bareilly,7,6,0,0,
2020-04-29,Uttar Pradesh,Bareilly,8,6,1,0,
2020-04-30,Uttar Pradesh,Bareilly,8,6,1,0,
2020-05-01,Uttar Pradesh,Bareilly,8,6,1,0,
2020-05-02,Uttar Pradesh,Bareilly,10,6,1,0,
2020-05-03,Uttar Pradesh,Bareilly,10,6,1,0,
2020-05-04,Uttar Pradesh,Bareilly,10,6,1,0,
2020-05-05,Uttar Pradesh,Bareilly,10,6,1,0,
2020-05-06,Uttar Pradesh,Bareilly,10,6,1,0,
2020-05-07,Uttar Pradesh,Bareilly,11,6,1,0,
2020-05-08,Uttar Pradesh,Bareilly,11,6,1,0,
2020-05-09,Uttar Pradesh,Bareilly,11,7,1,0,
2020-05-10,Uttar Pradesh,Bareilly,11,7,1,0,
2020-05-11,Uttar Pradesh,Bareilly,11,7,1,0,
2020-05-12,Uttar Pradesh,Bareilly,11,8,1,0,
2020-05-13,Uttar Pradesh,Bareilly,11,10,1,0,
2020-05-14,Uttar Pradesh,Bareilly,11,10,1,0,
2020-05-15,Uttar Pradesh,Bareilly,13,10,1,0,
2020-05-16,Uttar Pradesh,Bareilly,14,10,1,0,
2020-05-17,Uttar Pradesh,Bareilly,17,10,1,0,
2020-05-18,Uttar Pradesh,Bareilly,17,10,1,0,
2020-05-19,Uttar Pradesh,Bareilly,20,10,1,0,
2020-05-20,Uttar Pradesh,Bareilly,26,10,1,0,
2020-05-21,Uttar Pradesh,Bareilly,26,10,1,0,
2020-05-22,Uttar Pradesh,Bareilly,30,10,1,0,
2020-05-23,Uttar Pradesh,Bareilly,39,10,1,0,
2020-05-24,Uttar Pradesh,Bareilly,47,10,1,0,
2020-05-25,Uttar Pradesh,Bareilly,51,10,2,0,
2020-05-26,Uttar Pradesh,Bareilly,51,10,2,0,
2020-05-27,Uttar Pradesh,Bareilly,52,10,2,0,
2020-05-28,Uttar Pradesh,Bareilly,52,10,2,0,
2020-05-29,Uttar Pradesh,Bareilly,53,15,2,0,
2020-05-30,Uttar Pradesh,Bareilly,52,17,2,0,
2020-05-31,Uttar Pradesh,Bareilly,56,17,2,0,
2020-06-01,Uttar Pradesh,Bareilly,56,17,2,0,
2020-06-02,Uttar Pradesh,Bareilly,62,20,2,0,
2020-06-03,Uttar Pradesh,Bareilly,62,20,2,0,
2020-06-04,Uttar Pradesh,Bareilly,62,21,2,0,
2020-06-05,Uttar Pradesh,Bareilly,68,22,2,0,
2020-06-06,Uttar Pradesh,Bareilly,67,33,2,0,
2020-06-07,Uttar Pradesh,Bareilly,68,36,2,0,
2020-06-08,Uttar Pradesh,Bareilly,73,36,2,0,
2020-06-09,Uttar Pradesh,Bareilly,75,38,2,0,
2020-06-10,Uttar Pradesh,Bareilly,75,38,2,0,
2020-06-11,Uttar Pradesh,Bareilly,91,38,2,0,
2020-06-12,Uttar Pradesh,Bareilly,110,42,2,0,
2020-06-13,Uttar Pradesh,Bareilly,117,44,2,0,
2020-06-14,Uttar Pradesh,Bareilly,126,44,2,0,
2020-06-15,Uttar Pradesh,Bareilly,137,48,2,0,
2020-06-16,Uttar Pradesh,Bareilly,148,49,2,0,
2020-06-17,Uttar Pradesh,Bareilly,147,49,2,0,4251.0
2020-06-18,Uttar Pradesh,Bareilly,147,49,3,0,4251.0
2020-06-19,Uttar Pradesh,Bareilly,155,49,3,0,4251.0
2020-06-20,Uttar Pradesh,Bareilly,157,53,3,0,4251.0
2020-06-21,Uttar Pradesh,Bareilly,177,56,3,0,4251.0
2020-06-22,Uttar Pradesh,Bareilly,181,103,3,0,4251.0
2020-06-23,Uttar Pradesh,Bareilly,194,105,4,0,4251.0
2020-06-24,Uttar Pradesh,Bareilly,203,120,4,0,4251.0
2020-06-25,Uttar Pradesh,Bareilly,206,121,5,0,4251.0
2020-06-26,Uttar Pradesh,Bareilly,207,133,6,0,4251.0
2020-06-27,Uttar Pradesh,Bareilly,220,142,7,0,4251.0
2020-06-28,Uttar Pradesh,Bareilly,230,145,8,0,4251.0
2020-06-29,Uttar Pradesh,Bareilly,233,145,9,0,4251.0
2020-06-30,Uttar Pradesh,Bareilly,244,149,10,0,4251.0
2020-07-01,Uttar Pradesh,Bareilly,259,157,10,0,4251.0
2020-07-02,Uttar Pradesh,Bareilly,302,160,11,0,4251.0
2020-07-03,Uttar Pradesh,Bareilly,316,170,11,0,4251.0
2020-07-04,Uttar Pradesh,Bareilly,324,174,14,0,4251.0
2020-07-05,Uttar Pradesh,Bareilly,347,180,14,0,4251.0
2020-07-06,Uttar Pradesh,Bareilly,399,182,14,0,4251.0
2020-07-07,Uttar Pradesh,Bareilly,450,183,15,0,4251.0
2020-07-08,Uttar Pradesh,Bareilly,481,183,15,0,4251.0
