Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Basti,23,5,1,0,
2020-04-27,Uttar Pradesh,Basti,23,13,1,0,
2020-04-28,Uttar Pradesh,Basti,23,13,1,0,
2020-04-29,Uttar Pradesh,Basti,23,13,1,0,
2020-04-30,Uttar Pradesh,Basti,23,13,1,0,
2020-05-01,Uttar Pradesh,Basti,25,13,1,0,
2020-05-02,Uttar Pradesh,Basti,32,13,1,0,
2020-05-03,Uttar Pradesh,Basti,32,13,1,0,
2020-05-04,Uttar Pradesh,Basti,32,13,1,0,
2020-05-05,Uttar Pradesh,Basti,32,13,1,0,
2020-05-06,Uttar Pradesh,Basti,36,20,1,0,
2020-05-07,Uttar Pradesh,Basti,36,20,1,0,
2020-05-08,Uttar Pradesh,Basti,35,24,1,0,
2020-05-09,Uttar Pradesh,Basti,37,24,1,0,
2020-05-10,Uttar Pradesh,Basti,38,24,1,0,
2020-05-11,Uttar Pradesh,Basti,41,24,1,0,
2020-05-12,Uttar Pradesh,Basti,41,24,1,0,
2020-05-13,Uttar Pradesh,Basti,41,24,1,0,
2020-05-14,Uttar Pradesh,Basti,46,24,1,0,
2020-05-15,Uttar Pradesh,Basti,46,24,1,0,
2020-05-16,Uttar Pradesh,Basti,48,24,1,0,
2020-05-17,Uttar Pradesh,Basti,52,26,1,0,
2020-05-18,Uttar Pradesh,Basti,54,30,1,0,
2020-05-19,Uttar Pradesh,Basti,98,30,2,0,
2020-05-20,Uttar Pradesh,Basti,104,30,2,0,
2020-05-21,Uttar Pradesh,Basti,120,30,2,0,
2020-05-22,Uttar Pradesh,Basti,120,30,2,0,
2020-05-23,Uttar Pradesh,Basti,119,28,2,0,
2020-05-24,Uttar Pradesh,Basti,124,28,2,0,
2020-05-25,Uttar Pradesh,Basti,140,28,3,0,
2020-05-26,Uttar Pradesh,Basti,143,43,3,0,
2020-05-27,Uttar Pradesh,Basti,148,43,3,0,
2020-05-28,Uttar Pradesh,Basti,155,41,4,0,
2020-05-29,Uttar Pradesh,Basti,156,41,4,0,
2020-05-30,Uttar Pradesh,Basti,167,41,4,0,
2020-05-31,Uttar Pradesh,Basti,174,41,4,0,
2020-06-01,Uttar Pradesh,Basti,191,42,4,0,
2020-06-02,Uttar Pradesh,Basti,209,42,4,0,
2020-06-03,Uttar Pradesh,Basti,209,42,4,0,
2020-06-04,Uttar Pradesh,Basti,220,43,4,0,
2020-06-05,Uttar Pradesh,Basti,220,47,4,0,
2020-06-06,Uttar Pradesh,Basti,228,56,4,0,
2020-06-07,Uttar Pradesh,Basti,234,88,4,0,
2020-06-08,Uttar Pradesh,Basti,237,110,4,0,
2020-06-09,Uttar Pradesh,Basti,239,127,5,0,
2020-06-10,Uttar Pradesh,Basti,244,137,10,0,
2020-06-11,Uttar Pradesh,Basti,249,160,10,0,
2020-06-12,Uttar Pradesh,Basti,251,165,11,0,
2020-06-13,Uttar Pradesh,Basti,259,169,12,0,
2020-06-14,Uttar Pradesh,Basti,259,169,12,0,
2020-06-15,Uttar Pradesh,Basti,263,177,12,0,
2020-06-16,Uttar Pradesh,Basti,269,191,12,0,
2020-06-17,Uttar Pradesh,Basti,288,200,12,0,
2020-06-18,Uttar Pradesh,Basti,303,203,12,0,
2020-06-19,Uttar Pradesh,Basti,311,210,12,0,
2020-06-20,Uttar Pradesh,Basti,308,210,12,0,
2020-06-21,Uttar Pradesh,Basti,321,214,12,0,
2020-06-22,Uttar Pradesh,Basti,326,216,12,0,
2020-06-23,Uttar Pradesh,Basti,328,229,13,0,
2020-06-24,Uttar Pradesh,Basti,328,234,13,0,
2020-06-25,Uttar Pradesh,Basti,335,240,13,0,
2020-06-26,Uttar Pradesh,Basti,342,240,14,0,
2020-06-27,Uttar Pradesh,Basti,348,248,15,0,
2020-06-28,Uttar Pradesh,Basti,350,263,15,0,
2020-06-29,Uttar Pradesh,Basti,351,283,15,0,
2020-06-30,Uttar Pradesh,Basti,354,293,15,0,
2020-07-01,Uttar Pradesh,Basti,355,293,15,0,
2020-07-02,Uttar Pradesh,Basti,369,299,15,0,
2020-07-03,Uttar Pradesh,Basti,371,312,15,0,
2020-07-04,Uttar Pradesh,Basti,375,316,15,0,
2020-07-05,Uttar Pradesh,Basti,376,320,15,0,
2020-07-06,Uttar Pradesh,Basti,378,320,15,0,
2020-07-07,Uttar Pradesh,Basti,380,325,15,0,
2020-07-08,Uttar Pradesh,Basti,380,328,15,0,
2020-07-09,Uttar Pradesh,Basti,384,331,15,0,
2020-07-10,Uttar Pradesh,Basti,400,332,15,0,15294.0
2020-07-11,Uttar Pradesh,Basti,415,335,15,0,15951.0
2020-07-12,Uttar Pradesh,Basti,422,339,16,0,16429.0
2020-07-13,Uttar Pradesh,Basti,432,345,16,0,16846.0
2020-07-14,Uttar Pradesh,Basti,457,346,16,0,17283.0
2020-07-15,Uttar Pradesh,Basti,460,351,17,0,17283.0
2020-07-16,Uttar Pradesh,Basti,481,357,17,0,17698.0
2020-07-17,Uttar Pradesh,Basti,521,358,17,0,18329.0
2020-07-18,Uttar Pradesh,Basti,531,361,17,0,18849.0
2020-07-19,Uttar Pradesh,Basti,538,362,17,0,19356.0
2020-07-20,Uttar Pradesh,Basti,564,373,18,0,20124.0
