Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Etah,3,0,0,0,
2020-04-27,Uttar Pradesh,Etah,3,0,0,0,
2020-04-28,Uttar Pradesh,Etah,3,0,0,0,
2020-04-29,Uttar Pradesh,Etah,3,0,0,0,
2020-04-30,Uttar Pradesh,Etah,4,0,0,0,
2020-05-01,Uttar Pradesh,Etah,9,0,0,0,
2020-05-02,Uttar Pradesh,Etah,11,0,0,0,
2020-05-03,Uttar Pradesh,Etah,11,0,0,0,
2020-05-04,Uttar Pradesh,Etah,11,0,0,0,
2020-05-05,Uttar Pradesh,Etah,11,0,0,0,
2020-05-06,Uttar Pradesh,Etah,12,3,1,0,
2020-05-07,Uttar Pradesh,Etah,12,3,1,0,
2020-05-08,Uttar Pradesh,Etah,9,3,1,0,
2020-05-09,Uttar Pradesh,Etah,9,3,1,0,
2020-05-10,Uttar Pradesh,Etah,11,3,1,0,
2020-05-11,Uttar Pradesh,Etah,11,3,1,0,
2020-05-12,Uttar Pradesh,Etah,11,3,1,0,
2020-05-13,Uttar Pradesh,Etah,11,8,1,0,
2020-05-14,Uttar Pradesh,Etah,11,8,1,0,
2020-05-15,Uttar Pradesh,Etah,11,9,1,0,
2020-05-16,Uttar Pradesh,Etah,11,9,1,0,
2020-05-17,Uttar Pradesh,Etah,11,9,1,0,
2020-05-18,Uttar Pradesh,Etah,11,9,1,0,
2020-05-19,Uttar Pradesh,Etah,11,9,1,0,
2020-05-20,Uttar Pradesh,Etah,13,9,1,0,
2020-05-21,Uttar Pradesh,Etah,13,9,2,0,
2020-05-22,Uttar Pradesh,Etah,13,9,2,0,
2020-05-23,Uttar Pradesh,Etah,13,9,2,0,
2020-05-24,Uttar Pradesh,Etah,13,9,3,0,
2020-05-25,Uttar Pradesh,Etah,16,9,3,0,
2020-05-26,Uttar Pradesh,Etah,16,9,3,0,
2020-05-27,Uttar Pradesh,Etah,23,9,3,0,
2020-05-28,Uttar Pradesh,Etah,23,9,3,0,
2020-05-29,Uttar Pradesh,Etah,24,9,3,0,
2020-05-30,Uttar Pradesh,Etah,29,9,4,0,
2020-05-31,Uttar Pradesh,Etah,32,10,4,0,
2020-06-01,Uttar Pradesh,Etah,34,10,4,0,
2020-06-02,Uttar Pradesh,Etah,38,10,4,0,
2020-06-03,Uttar Pradesh,Etah,42,11,4,0,
2020-06-04,Uttar Pradesh,Etah,43,11,4,0,
2020-06-05,Uttar Pradesh,Etah,50,11,4,0,
2020-06-06,Uttar Pradesh,Etah,51,13,4,0,
2020-06-07,Uttar Pradesh,Etah,51,18,4,0,
2020-06-08,Uttar Pradesh,Etah,51,18,4,0,
2020-06-09,Uttar Pradesh,Etah,53,18,4,0,
2020-06-10,Uttar Pradesh,Etah,53,18,4,0,
2020-06-11,Uttar Pradesh,Etah,54,18,4,0,
2020-06-12,Uttar Pradesh,Etah,61,18,4,0,
2020-06-13,Uttar Pradesh,Etah,61,18,4,0,
2020-06-14,Uttar Pradesh,Etah,64,27,4,0,
2020-06-15,Uttar Pradesh,Etah,66,27,5,0,
2020-06-16,Uttar Pradesh,Etah,68,27,5,0,
2020-06-17,Uttar Pradesh,Etah,72,29,5,0,
2020-06-18,Uttar Pradesh,Etah,74,29,5,0,
2020-06-19,Uttar Pradesh,Etah,76,28,6,0,
2020-06-20,Uttar Pradesh,Etah,82,28,6,0,
2020-06-21,Uttar Pradesh,Etah,94,38,6,0,
2020-06-22,Uttar Pradesh,Etah,102,42,6,0,
2020-06-23,Uttar Pradesh,Etah,102,42,7,0,
2020-06-24,Uttar Pradesh,Etah,120,44,7,0,
2020-06-25,Uttar Pradesh,Etah,126,44,7,0,
2020-06-26,Uttar Pradesh,Etah,133,44,7,0,
2020-06-27,Uttar Pradesh,Etah,134,45,7,0,
2020-06-28,Uttar Pradesh,Etah,136,45,7,0,
2020-06-29,Uttar Pradesh,Etah,137,48,7,0,
2020-06-30,Uttar Pradesh,Etah,138,53,7,0,
2020-07-01,Uttar Pradesh,Etah,139,67,7,0,
2020-07-02,Uttar Pradesh,Etah,139,68,8,0,
2020-07-03,Uttar Pradesh,Etah,140,69,8,0,
2020-07-04,Uttar Pradesh,Etah,141,68,8,0,
2020-07-05,Uttar Pradesh,Etah,145,70,8,0,
2020-07-06,Uttar Pradesh,Etah,158,73,8,0,
2020-07-07,Uttar Pradesh,Etah,159,85,8,0,
2020-07-08,Uttar Pradesh,Etah,161,103,8,0,
2020-07-09,Uttar Pradesh,Etah,162,103,8,0,
2020-07-10,Uttar Pradesh,Etah,164,104,8,0,7346.0
2020-07-11,Uttar Pradesh,Etah,165,106,8,0,7566.0
2020-07-12,Uttar Pradesh,Etah,171,106,8,0,7816.0
2020-07-13,Uttar Pradesh,Etah,175,109,10,0,7996.0
2020-07-14,Uttar Pradesh,Etah,176,110,10,0,8166.0
2020-07-15,Uttar Pradesh,Etah,176,110,10,0,8246.0
2020-07-16,Uttar Pradesh,Etah,181,114,10,0,8446.0
2020-07-17,Uttar Pradesh,Etah,198,119,10,0,8656.0
2020-07-18,Uttar Pradesh,Etah,201,119,10,0,8876.0
2020-07-19,Uttar Pradesh,Etah,205,121,10,0,9096.0
2020-07-20,Uttar Pradesh,Etah,206,121,10,0,9306.0
2020-07-21,Uttar Pradesh,Etah,212,121,10,0,9506.0
2020-07-22,Uttar Pradesh,Etah,232,122,10,0,9806.0
2020-07-23,Uttar Pradesh,Etah,240,123,10,0,10106.0
2020-07-24,Uttar Pradesh,Etah,250,124,10,0,10456.0
2020-07-25,Uttar Pradesh,Etah,255,124,10,0,10456.0
2020-07-26,Uttar Pradesh,Etah,273,124,10,0,10456.0
2020-07-27,Uttar Pradesh,Etah,277,126,10,0,11006.0
2020-07-28,Uttar Pradesh,Etah,307,126,10,0,11556.0
2020-07-29,Uttar Pradesh,Etah,325,127,10,0,11556.0
2020-07-30,Uttar Pradesh,Etah,331,129,10,0,12056.0
2020-07-31,Uttar Pradesh,Etah,337,130,10,0,12496.0
2020-08-01,Uttar Pradesh,Etah,344,134,10,0,12996.0
2020-08-02,Uttar Pradesh,Etah,347,136,10,0,13796.0
2020-08-03,Uttar Pradesh,Etah,359,141,10,0,13896.0
2020-08-04,Uttar Pradesh,Etah,393,143,10,0,13896.0
2020-08-05,Uttar Pradesh,Etah,424,146,10,0,15896.0
2020-08-06,Uttar Pradesh,Etah,440,209,10,0,16896.0
2020-08-07,Uttar Pradesh,Etah,451,213,10,0,22977.0
2020-08-08,Uttar Pradesh,Etah,467,227,10,0,22977.0
2020-08-09,Uttar Pradesh,Etah,484,231,11,0,22977.0
2020-08-10,Uttar Pradesh,Etah,513,247,11,0,22977.0
2020-08-11,Uttar Pradesh,Etah,537,287,11,0,22977.0
2020-08-12,Uttar Pradesh,Etah,558,288,11,0,22977.0
2020-08-13,Uttar Pradesh,Etah,566,303,10,0,23262.0
2020-08-14,Uttar Pradesh,Etah,594,306,10,0,24177.0
2020-08-15,Uttar Pradesh,Etah,597,336,10,0,24177.0
2020-08-16,Uttar Pradesh,Etah,604,343,10,0,25677.0
2020-08-17,Uttar Pradesh,Etah,615,357,11,0,29577.0
2020-08-18,Uttar Pradesh,Etah,621,364,11,0,29577.0
2020-08-19,Uttar Pradesh,Etah,632,369,11,0,31577.0
2020-08-20,Uttar Pradesh,Etah,658,389,11,0,32477.0
2020-08-21,Uttar Pradesh,Etah,677,458,11,0,33871.0
2020-08-22,Uttar Pradesh,Etah,710,470,11,0,33871.0
2020-08-23,Uttar Pradesh,Etah,728,478,11,0,36551.0
2020-08-24,Uttar Pradesh,Etah,736,483,11,0,37651.0
2020-08-25,Uttar Pradesh,Etah,756,497,11,0,38671.0
2020-08-26,Uttar Pradesh,Etah,789,501,11,0,38671.0
2020-08-27,Uttar Pradesh,Etah,806,524,11,0,38751.0
2020-08-28,Uttar Pradesh,Etah,832,539,11,0,40218.0
2020-08-29,Uttar Pradesh,Etah,855,548,11,0,41718.0
2020-08-30,Uttar Pradesh,Etah,902,596,11,0,43218.0
2020-08-31,Uttar Pradesh,Etah,913,615,11,0,44480.0
2020-09-01,Uttar Pradesh,Etah,950,638,11,0,45880.0
2020-09-02,Uttar Pradesh,Etah,988,648,11,0,47380.0
2020-09-03,Uttar Pradesh,Etah,999,678,11,0,48580.0
2020-09-04,Uttar Pradesh,Etah,1027,707,11,0,49829.0
2020-09-05,Uttar Pradesh,Etah,1053,745,11,0,50029.0
2020-09-06,Uttar Pradesh,Etah,1089,783,11,0,51011.0
2020-09-07,Uttar Pradesh,Etah,1111,796,11,0,52191.0
2020-09-08,Uttar Pradesh,Etah,1149,837,11,0,53391.0
2020-09-09,Uttar Pradesh,Etah,1211,860,11,0,54791.0
2020-09-10,Uttar Pradesh,Etah,1240,876,11,0,56131.0
2020-09-11,Uttar Pradesh,Etah,1277,904,11,0,57489.0
2020-09-12,Uttar Pradesh,Etah,1315,921,11,0,57489.0
2020-09-13,Uttar Pradesh,Etah,1354,935,11,0,57489.0
2020-09-14,Uttar Pradesh,Etah,1361,985,11,0,57489.0
2020-09-15,Uttar Pradesh,Etah,1445,1000,12,0,57489.0
