Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Etawah,2,0,0,0,
2020-04-27,Uttar Pradesh,Etawah,2,0,0,0,
2020-04-28,Uttar Pradesh,Etawah,2,1,0,0,
2020-04-29,Uttar Pradesh,Etawah,2,1,0,0,
2020-04-30,Uttar Pradesh,Etawah,2,1,0,0,
2020-05-01,Uttar Pradesh,Etawah,2,1,0,0,
2020-05-02,Uttar Pradesh,Etawah,2,1,0,0,
2020-05-03,Uttar Pradesh,Etawah,2,1,0,0,
2020-05-04,Uttar Pradesh,Etawah,6,1,0,0,
2020-05-05,Uttar Pradesh,Etawah,2,2,0,0,
2020-05-06,Uttar Pradesh,Etawah,2,2,0,0,
2020-05-07,Uttar Pradesh,Etawah,2,2,0,0,
2020-05-08,Uttar Pradesh,Etawah,3,2,0,0,
2020-05-09,Uttar Pradesh,Etawah,3,2,0,0,
2020-05-10,Uttar Pradesh,Etawah,2,2,0,0,
2020-05-11,Uttar Pradesh,Etawah,2,2,0,0,
2020-05-12,Uttar Pradesh,Etawah,2,2,0,0,
2020-05-13,Uttar Pradesh,Etawah,2,2,0,0,
2020-05-14,Uttar Pradesh,Etawah,3,2,0,0,
2020-05-15,Uttar Pradesh,Etawah,3,2,0,0,
2020-05-16,Uttar Pradesh,Etawah,4,2,0,0,
2020-05-17,Uttar Pradesh,Etawah,4,2,0,0,
2020-05-18,Uttar Pradesh,Etawah,4,2,0,0,
2020-05-19,Uttar Pradesh,Etawah,4,2,0,0,
2020-05-20,Uttar Pradesh,Etawah,19,2,0,0,
2020-05-21,Uttar Pradesh,Etawah,20,2,0,0,
2020-05-22,Uttar Pradesh,Etawah,28,2,0,0,
2020-05-23,Uttar Pradesh,Etawah,37,2,0,0,
2020-05-24,Uttar Pradesh,Etawah,38,2,0,0,
2020-05-25,Uttar Pradesh,Etawah,43,2,1,0,
2020-05-26,Uttar Pradesh,Etawah,46,2,1,0,
2020-05-27,Uttar Pradesh,Etawah,47,3,1,0,
2020-05-28,Uttar Pradesh,Etawah,49,3,1,0,
2020-05-29,Uttar Pradesh,Etawah,51,3,1,0,
2020-05-30,Uttar Pradesh,Etawah,50,5,1,0,
2020-05-31,Uttar Pradesh,Etawah,51,5,1,0,
2020-06-01,Uttar Pradesh,Etawah,55,6,1,0,
2020-06-02,Uttar Pradesh,Etawah,57,10,1,0,
2020-06-03,Uttar Pradesh,Etawah,57,26,1,0,
2020-06-04,Uttar Pradesh,Etawah,63,26,1,0,
2020-06-05,Uttar Pradesh,Etawah,67,27,1,0,
2020-06-06,Uttar Pradesh,Etawah,78,32,1,0,
2020-06-07,Uttar Pradesh,Etawah,82,38,1,0,
2020-06-08,Uttar Pradesh,Etawah,88,39,1,0,
2020-06-09,Uttar Pradesh,Etawah,94,41,1,0,
2020-06-10,Uttar Pradesh,Etawah,96,41,1,0,
2020-06-11,Uttar Pradesh,Etawah,99,42,1,0,
2020-06-12,Uttar Pradesh,Etawah,103,47,1,0,
2020-06-13,Uttar Pradesh,Etawah,119,50,1,0,
2020-06-14,Uttar Pradesh,Etawah,128,53,1,0,
2020-06-15,Uttar Pradesh,Etawah,134,58,1,0,
2020-06-16,Uttar Pradesh,Etawah,135,64,2,0,
2020-06-17,Uttar Pradesh,Etawah,143,65,2,0,
2020-06-18,Uttar Pradesh,Etawah,151,67,4,0,
2020-06-19,Uttar Pradesh,Etawah,164,75,4,0,
2020-06-20,Uttar Pradesh,Etawah,167,87,5,0,
2020-06-21,Uttar Pradesh,Etawah,175,93,7,0,
2020-06-22,Uttar Pradesh,Etawah,194,94,7,0,
2020-06-23,Uttar Pradesh,Etawah,221,101,8,0,
2020-06-24,Uttar Pradesh,Etawah,239,103,8,0,
2020-06-25,Uttar Pradesh,Etawah,242,108,10,0,
2020-06-26,Uttar Pradesh,Etawah,249,113,12,0,
2020-06-27,Uttar Pradesh,Etawah,253,119,12,0,
2020-06-28,Uttar Pradesh,Etawah,276,121,13,0,
2020-06-29,Uttar Pradesh,Etawah,290,127,14,0,
2020-06-30,Uttar Pradesh,Etawah,295,131,14,0,
2020-07-01,Uttar Pradesh,Etawah,295,134,14,0,
2020-07-02,Uttar Pradesh,Etawah,309,157,14,0,
2020-07-03,Uttar Pradesh,Etawah,322,181,14,0,
2020-07-04,Uttar Pradesh,Etawah,324,182,14,0,
2020-07-05,Uttar Pradesh,Etawah,328,204,16,0,
2020-07-06,Uttar Pradesh,Etawah,337,211,16,0,
2020-07-07,Uttar Pradesh,Etawah,338,214,17,0,
2020-07-08,Uttar Pradesh,Etawah,348,231,17,0,
2020-07-09,Uttar Pradesh,Etawah,359,245,17,0,
2020-07-10,Uttar Pradesh,Etawah,369,248,17,0,7907.0
2020-07-11,Uttar Pradesh,Etawah,374,249,18,0,7907.0
2020-07-12,Uttar Pradesh,Etawah,384,264,18,0,8350.0
2020-07-13,Uttar Pradesh,Etawah,393,278,18,0,8600.0
2020-07-14,Uttar Pradesh,Etawah,411,278,18,0,8952.0
2020-07-15,Uttar Pradesh,Etawah,422,283,18,0,9019.0
2020-07-16,Uttar Pradesh,Etawah,428,285,19,0,9239.0
2020-07-17,Uttar Pradesh,Etawah,432,293,19,0,9634.0
2020-07-18,Uttar Pradesh,Etawah,452,306,19,0,10064.0
2020-07-19,Uttar Pradesh,Etawah,497,309,20,0,10416.0
2020-07-20,Uttar Pradesh,Etawah,499,319,20,0,10716.0
2020-07-21,Uttar Pradesh,Etawah,513,322,20,0,11085.0
2020-07-22,Uttar Pradesh,Etawah,527,328,20,0,11400.0
2020-07-23,Uttar Pradesh,Etawah,538,347,21,0,11756.0
2020-07-24,Uttar Pradesh,Etawah,567,381,21,0,12083.0
2020-07-25,Uttar Pradesh,Etawah,589,396,22,0,12423.0
2020-07-26,Uttar Pradesh,Etawah,599,400,22,0,12738.0
2020-07-27,Uttar Pradesh,Etawah,635,422,22,0,14058.0
2020-07-28,Uttar Pradesh,Etawah,652,429,22,0,14838.0
2020-07-29,Uttar Pradesh,Etawah,664,436,23,0,15527.0
2020-07-30,Uttar Pradesh,Etawah,679,441,23,0,16392.0
2020-07-31,Uttar Pradesh,Etawah,694,447,23,0,17580.0
2020-08-01,Uttar Pradesh,Etawah,716,451,24,0,18479.0
2020-08-02,Uttar Pradesh,Etawah,754,464,25,0,19244.0
2020-08-03,Uttar Pradesh,Etawah,799,483,25,0,19702.0
2020-08-04,Uttar Pradesh,Etawah,837,509,27,0,19702.0
2020-08-05,Uttar Pradesh,Etawah,883,529,28,0,20664.0
2020-08-06,Uttar Pradesh,Etawah,922,539,28,0,22087.0
2020-08-07,Uttar Pradesh,Etawah,952,567,28,0,23642.0
2020-08-08,Uttar Pradesh,Etawah,987,584,29,0,25185.0
2020-08-09,Uttar Pradesh,Etawah,1014,594,29,0,26406.0
2020-08-10,Uttar Pradesh,Etawah,1031,607,29,0,27380.0
2020-08-11,Uttar Pradesh,Etawah,1068,636,29,0,28940.0
2020-08-12,Uttar Pradesh,Etawah,1091,652,29,0,30237.0
2020-08-13,Uttar Pradesh,Etawah,1128,681,29,0,31185.0
2020-08-14,Uttar Pradesh,Etawah,1161,745,29,0,32511.0
2020-08-15,Uttar Pradesh,Etawah,1176,771,30,0,32511.0
2020-08-16,Uttar Pradesh,Etawah,1199,811,30,0,35494.0
2020-08-17,Uttar Pradesh,Etawah,1243,851,30,0,35570.0
2020-08-18,Uttar Pradesh,Etawah,1276,893,30,0,35570.0
2020-08-19,Uttar Pradesh,Etawah,1296,921,32,0,38570.0
2020-08-20,Uttar Pradesh,Etawah,1425,979,32,0,39936.0
2020-08-21,Uttar Pradesh,Etawah,1460,1012,32,0,41065.0
2020-08-22,Uttar Pradesh,Etawah,1506,1029,33,0,41065.0
2020-08-23,Uttar Pradesh,Etawah,1551,1050,33,0,43957.0
2020-08-24,Uttar Pradesh,Etawah,1610,1069,34,0,45140.0
2020-08-25,Uttar Pradesh,Etawah,1677,1080,34,0,47033.0
2020-08-26,Uttar Pradesh,Etawah,1781,1148,36,0,48954.0
2020-08-27,Uttar Pradesh,Etawah,1861,1196,37,0,50688.0
2020-08-28,Uttar Pradesh,Etawah,1941,1229,37,0,52107.0
2020-08-29,Uttar Pradesh,Etawah,1988,1252,37,0,53671.0
2020-08-30,Uttar Pradesh,Etawah,2056,1383,37,0,54718.0
2020-08-31,Uttar Pradesh,Etawah,2107,1407,37,0,55469.0
2020-09-01,Uttar Pradesh,Etawah,2136,1465,37,0,57368.0
2020-09-02,Uttar Pradesh,Etawah,2189,1516,38,0,58654.0
2020-09-03,Uttar Pradesh,Etawah,2268,1580,38,0,59975.0
2020-09-04,Uttar Pradesh,Etawah,2325,1650,38,0,61404.0
2020-09-05,Uttar Pradesh,Etawah,2404,1725,40,0,62647.0
2020-09-06,Uttar Pradesh,Etawah,2481,1798,40,0,63987.0
2020-09-07,Uttar Pradesh,Etawah,2551,1872,40,0,65173.0
2020-09-08,Uttar Pradesh,Etawah,2631,1917,40,0,66678.0
2020-09-09,Uttar Pradesh,Etawah,2686,1983,43,0,68181.0
2020-09-10,Uttar Pradesh,Etawah,2807,2029,43,0,69815.0
2020-09-11,Uttar Pradesh,Etawah,2887,2057,43,0,71249.0
2020-09-12,Uttar Pradesh,Etawah,3002,2108,43,0,72621.0
2020-09-13,Uttar Pradesh,Etawah,3064,2174,44,0,74050.0
2020-09-14,Uttar Pradesh,Etawah,3150,2275,44,0,74771.0
2020-09-15,Uttar Pradesh,Etawah,3244,2352,46,0,76376.0
2020-09-16,Uttar Pradesh,Etawah,3299,2436,46,0,77905.0
2020-09-17,Uttar Pradesh,Etawah,3378,2532,46,0,79776.0
2020-09-18,Uttar Pradesh,Etawah,3451,2635,47,0,81489.0
2020-09-19,Uttar Pradesh,Etawah,3491,2711,47,0,83797.0
2020-09-20,Uttar Pradesh,Etawah,3548,2789,49,0,86010.0
2020-09-21,Uttar Pradesh,Etawah,3612,2863,52,0,87406.0
2020-09-22,Uttar Pradesh,Etawah,3655,2964,52,0,89650.0
2020-09-23,Uttar Pradesh,Etawah,3711,3017,54,0,91749.0
2020-09-24,Uttar Pradesh,Etawah,3772,3093,54,0,93774.0
2020-09-25,Uttar Pradesh,Etawah,3811,3167,55,0,95717.0
2020-09-26,Uttar Pradesh,Etawah,3877,3223,55,0,97761.0
2020-09-27,Uttar Pradesh,Etawah,3921,3282,58,0,99567.0
2020-09-28,Uttar Pradesh,Etawah,3961,3341,60,0,100547.0
2020-09-29,Uttar Pradesh,Etawah,3992,3389,63,0,102504.0
2020-09-30,Uttar Pradesh,Etawah,4024,3463,63,0,104439.0
2020-10-01,Uttar Pradesh,Etawah,4070,3516,64,0,106563.0
2020-10-02,Uttar Pradesh,Etawah,4107,3564,64,0,108788.0
2020-10-03,Uttar Pradesh,Etawah,4149,3627,65,0,110120.0
2020-10-04,Uttar Pradesh,Etawah,4180,3692,65,0,112071.0
2020-10-05,Uttar Pradesh,Etawah,4225,3722,65,0,113115.0
2020-10-06,Uttar Pradesh,Etawah,4237,3794,65,0,115194.0
2020-10-07,Uttar Pradesh,Etawah,4256,3825,65,0,115194.0
2020-10-08,Uttar Pradesh,Etawah,4306,3844,65,0,119393.0
2020-10-09,Uttar Pradesh,Etawah,4348,3881,65,0,121549.0
2020-10-10,Uttar Pradesh,Etawah,4382,3911,67,0,123664.0
2020-10-11,Uttar Pradesh,Etawah,4423,3950,67,0,125432.0
2020-10-12,Uttar Pradesh,Etawah,4434,3972,67,0,126565.0
2020-10-13,Uttar Pradesh,Etawah,4461,4008,68,0,128581.0
2020-10-14,Uttar Pradesh,Etawah,4475,4068,68,0,130540.0
2020-10-15,Uttar Pradesh,Etawah,4496,4100,69,0,132336.0
2020-10-16,Uttar Pradesh,Etawah,4522,4121,70,0,134169.0
2020-10-17,Uttar Pradesh,Etawah,4573,4159,70,0,136090.0
2020-10-18,Uttar Pradesh,Etawah,4605,4206,71,0,138027.0
2020-10-19,Uttar Pradesh,Etawah,4626,4247,71,0,138977.0
2020-10-20,Uttar Pradesh,Etawah,4637,4274,71,0,140864.0
2020-10-21,Uttar Pradesh,Etawah,4657,4307,71,0,142457.0
2020-10-22,Uttar Pradesh,Etawah,4662,4326,71,0,144050.0
2020-10-23,Uttar Pradesh,Etawah,4677,4342,71,0,145661.0
2020-10-24,Uttar Pradesh,Etawah,4701,4360,72,0,147539.0
2020-10-25,Uttar Pradesh,Etawah,4712,4381,72,0,147539.0
2020-10-26,Uttar Pradesh,Etawah,4744,4407,72,0,148408.0
2020-10-27,Uttar Pradesh,Etawah,4756,4458,75,0,150283.0
2020-10-28,Uttar Pradesh,Etawah,4772,4489,75,0,150283.0
2020-10-29,Uttar Pradesh,Etawah,4772,4489,75,0,150283.0
